image,condition,budget_target,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,siglip_sim,siglip_blocked,edit_strength,usable,seconds
task_attr_mod_color_11699,none,floor,identity,0.0,0.0,0.0,0.0,,1.0,False,0.8,True,402.6
task_attr_mod_color_11699,none,floor,blur1,0.16048,0.00229,0.0,0.0,,0.94746,False,0.8,True,402.6
task_attr_mod_color_11699,none,floor,jpeg75,0.13438,0.00035,0.0,0.0,,0.98985,False,0.8,True,402.6
task_attr_mod_color_11699,none,floor,crop_resize0.1,0.52629,0.02373,0.0,0.0,,0.97805,False,0.8,True,402.6
task_attr_mod_color_11699,none,floor,jpeg_then_resize75,0.17803,0.00109,0.0,0.0,,0.97293,False,0.8,True,402.6
task_attr_mod_color_11699,none,floor,adverse_cleaner,0.13926,0.00462,0.0,0.0,,0.98735,False,0.8,True,402.6
task_attr_mod_color_136767,none,floor,identity,0.0,0.0,0.0,0.0,,1.0,False,0.8,True,391.3
task_attr_mod_color_136767,none,floor,blur1,0.13644,0.01776,0.0,0.0,,0.97011,False,0.8,True,391.3
task_attr_mod_color_136767,none,floor,jpeg75,0.08085,0.00632,0.0,0.0,,0.99243,False,0.8,True,391.3
task_attr_mod_color_136767,none,floor,crop_resize0.1,0.49363,0.00442,0.0,0.0,,0.98191,False,0.8,True,391.3
task_attr_mod_color_136767,none,floor,jpeg_then_resize75,0.13586,0.01249,0.0,0.0,,0.98059,False,0.8,True,391.3
task_attr_mod_color_136767,none,floor,adverse_cleaner,0.12073,0.03128,0.0,0.0,,0.97871,False,0.8,True,391.3
task_attr_mod_color_184837,none,floor,identity,0.0,0.0,0.0,0.0,,1.0,False,0.8,True,391.4
task_attr_mod_color_184837,none,floor,blur1,0.15532,0.01061,0.0,0.0,,0.98208,False,0.8,True,391.4
task_attr_mod_color_184837,none,floor,jpeg75,0.10107,0.04348,0.0,0.0,,0.98602,False,0.8,True,391.4
task_attr_mod_color_184837,none,floor,crop_resize0.1,0.64292,0.00421,0.0,0.0,,0.93818,False,0.8,True,391.4
task_attr_mod_color_184837,none,floor,jpeg_then_resize75,0.20369,0.05092,0.0,0.0,,0.98198,False,0.8,True,391.4
task_attr_mod_color_184837,none,floor,adverse_cleaner,0.08554,0.01361,0.0,0.0,,0.98832,False,0.8,True,391.4
task_attr_mod_color_32648,none,floor,identity,0.0,0.0,0.0,0.0,,1.0,False,0.8,True,390.5
task_attr_mod_color_32648,none,floor,blur1,0.11289,0.01691,0.0,0.0,,0.98643,False,0.8,True,390.5
task_attr_mod_color_32648,none,floor,jpeg75,0.09991,0.01239,0.0,0.0,,0.98988,False,0.8,True,390.5
task_attr_mod_color_32648,none,floor,crop_resize0.1,0.34258,0.00385,0.0,0.0,,0.98059,False,0.8,True,390.5
task_attr_mod_color_32648,none,floor,jpeg_then_resize75,0.12421,0.01973,0.0,0.0,,0.98489,False,0.8,True,390.5
task_attr_mod_color_32648,none,floor,adverse_cleaner,0.2431,0.00935,0.0,0.0,,0.95907,False,0.8,True,390.5
task_attr_mod_color_6205,none,floor,identity,0.0,0.0,0.0,0.0,,1.0,False,0.8,True,391.4
task_attr_mod_color_6205,none,floor,blur1,0.18181,0.06734,0.0,0.0,,0.95642,False,0.8,True,391.4
task_attr_mod_color_6205,none,floor,jpeg75,0.07827,0.00072,0.0,0.0,,0.99426,False,0.8,True,391.4
task_attr_mod_color_6205,none,floor,crop_resize0.1,0.57492,0.00313,0.0,0.0,,0.96979,False,0.8,True,391.4
task_attr_mod_color_6205,none,floor,jpeg_then_resize75,0.12018,0.01833,0.0,0.0,,0.97325,False,0.8,True,391.4
task_attr_mod_color_6205,none,floor,adverse_cleaner,0.14475,0.06863,0.0,0.0,,0.96344,False,0.8,True,391.4
