image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,shading,instruct-pix2pix,turn the color of potted plant to pink,,0.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.04997,0.97071,18.75,0.90389,0.04627,0.05171,0.96461,19.916,0.66686,0.04678,0.22924,0.11547,0.99547,0.99044,False,0.837,361.1
task_attr_mod_color_136767,shading,instruct-pix2pix,turn the color of astronaut to pink,,0.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.04149,0.95101,22.269,0.69708,0.05175,0.07319,0.93783,21.956,0.54191,0.05684,0.26196,0.07701,0.98113,0.98929,False,0.837,367.7
task_attr_mod_color_184837,shading,instruct-pix2pix,turn the color of frame to pink,,0.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.01539,0.9653,21.58,0.86842,0.04054,0.03233,0.96114,23.587,0.61958,0.04905,0.26314,0.08337,0.99203,0.99222,False,0.837,355.1
task_attr_mod_color_32648,shading,instruct-pix2pix,turn the color of potion bottle to orange,,0.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.01971,0.97739,33.01,0.80527,0.02452,0.01684,0.98928,33.304,0.84814,0.01361,0.19509,0.02236,0.9972,0.99778,False,0.837,170.0
task_attr_mod_color_6205,shading,instruct-pix2pix,turn the color of toolbox to red,,0.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.03325,0.96133,21.561,0.78721,0.04254,0.17042,0.82082,12.419,0.5823,0.12449,0.22755,0.08355,0.98411,0.96825,False,0.837,170.2
task_env_weather_112463,shading,instruct-pix2pix,transform the setting to spring with blooming flowers,,0.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.04009,0.97065,19.266,0.9033,0.03603,0.189,0.82655,19.21,0.49444,0.1127,0.22822,0.10881,0.96865,0.96961,False,0.837,170.3
task_env_weather_246440,shading,instruct-pix2pix,transform the setting to autumn with falling leaves,,0.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.01029,0.97329,23.247,0.87907,0.02939,0.15848,0.8482,21.607,0.38955,0.07497,0.24983,0.06881,0.98438,0.97416,False,0.837,170.2
task_env_weather_63722,shading,instruct-pix2pix,change the setting to a snowy landscape,,0.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.02911,0.97312,20.595,0.87106,0.03688,0.05722,0.96909,21.738,0.61726,0.04292,0.21265,0.09338,0.98682,0.98775,False,0.837,170.2
task_obj_add_40931,shading,instruct-pix2pix,Add the blood on snout,,0.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.01297,0.96982,24.814,0.85905,0.03225,0.0496,0.94106,23.846,0.63549,0.04586,0.22263,0.05745,0.98072,0.98391,False,0.837,170.2
task_obj_remove_380621,shading,instruct-pix2pix,Remove iceberg,,0.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.03925,0.94918,23.521,0.74585,0.07657,0.0752,0.92457,22.113,0.5054,0.07714,0.22823,0.06667,0.98798,0.98504,False,0.837,170.1
task_obj_swap_joint_mask_276754,shading,instruct-pix2pix,Replace the satellite dish with rocket,,0.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.01305,0.96884,27.473,0.87046,0.04223,0.22453,0.88866,21.31,0.25592,0.18836,0.24362,0.0423,0.94524,0.91835,False,0.837,169.9
task_obj_swap_joint_mask_533428,shading,instruct-pix2pix,Replace the samurai armor with red jacket,,0.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.01539,0.97074,21.641,0.86775,0.02441,0.41448,0.5201,12.66,0.18406,0.21517,0.24792,0.08278,0.73634,0.77665,True,0.837,170.2
task_obj_swap_rand_mask_417469,shading,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,0.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.01192,0.96916,25.675,0.81153,0.02318,0.02558,0.96682,25.8,0.68346,0.02043,0.21909,0.05203,0.98274,0.98462,False,0.837,170.1
