image,condition,region,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,usable,seconds
man_02,phase_rand,torso,identity,0.15924,0.06631,0.15924,0.06631,1.0,False,707.1
man_02,phase_rand,torso,blur1,0.21585,0.02677,0.15924,0.06631,1.35551,False,707.1
man_02,phase_rand,torso,noise0.05,0.20576,0.03621,0.15924,0.06631,1.29211,False,707.1
man_02,phase_rand,torso,quantize16,0.19958,0.04789,0.15924,0.06631,1.25332,False,707.1
man_02,phase_rand,torso,jpeg75,0.19287,0.04336,0.15924,0.06631,1.21115,False,707.1
man_02,phase_rand,torso,jpeg30,0.18489,0.02454,0.15924,0.06631,1.16104,False,707.1
man_02,phase_rand,torso,crop_resize0.1,0.26606,0.01489,0.15924,0.06631,1.67081,False,707.1
man_02,phase_rand,torso,jpeg_then_resize75,0.20826,0.0196,0.15924,0.06631,1.30783,False,707.1
man_02,phase_rand,torso,adverse_cleaner,0.18488,0.05793,0.15924,0.06631,1.16102,False,707.1
man_02,phase_rand,torso,impress,0.18512,0.03996,0.15924,0.06631,1.1625,False,707.1
man_02,apa_weak,torso,identity,0.1999,0.04655,0.1999,0.04655,1.0,True,702.3
man_02,apa_weak,torso,blur1,0.26049,0.02684,0.1999,0.04655,1.30312,True,702.3
man_02,apa_weak,torso,noise0.05,0.24571,0.02281,0.1999,0.04655,1.22914,True,702.3
man_02,apa_weak,torso,quantize16,0.22809,0.03807,0.1999,0.04655,1.14102,True,702.3
man_02,apa_weak,torso,jpeg75,0.2159,0.0447,0.1999,0.04655,1.08001,True,702.3
man_02,apa_weak,torso,jpeg30,0.23977,0.03035,0.1999,0.04655,1.19944,True,702.3
man_02,apa_weak,torso,crop_resize0.1,0.26781,0.01416,0.1999,0.04655,1.33972,True,702.3
man_02,apa_weak,torso,jpeg_then_resize75,0.26082,0.01923,0.1999,0.04655,1.30476,True,702.3
man_02,apa_weak,torso,adverse_cleaner,0.21276,0.03986,0.1999,0.04655,1.06434,True,702.3
man_02,apa_weak,torso,impress,0.20978,0.04929,0.1999,0.04655,1.0494,True,702.3
man_02,dia_r,torso,identity,0.11842,0.03131,0.11842,0.03131,1.0,True,709.1
man_02,dia_r,torso,blur1,0.20867,0.02636,0.11842,0.03131,1.76214,True,709.1
man_02,dia_r,torso,noise0.05,0.20036,0.03806,0.11842,0.03131,1.69194,True,709.1
man_02,dia_r,torso,quantize16,0.16784,0.04128,0.11842,0.03131,1.41737,True,709.1
man_02,dia_r,torso,jpeg75,0.16285,0.03449,0.11842,0.03131,1.37516,True,709.1
man_02,dia_r,torso,jpeg30,0.18064,0.03636,0.11842,0.03131,1.52542,True,709.1
man_02,dia_r,torso,crop_resize0.1,0.26596,0.01465,0.11842,0.03131,2.24591,True,709.1
man_02,dia_r,torso,jpeg_then_resize75,0.20758,0.02133,0.11842,0.03131,1.75293,True,709.1
man_02,dia_r,torso,adverse_cleaner,0.0972,0.02396,0.11842,0.03131,0.82084,True,709.1
man_02,dia_r,torso,impress,0.14497,0.03496,0.11842,0.03131,1.2242,True,709.1
