step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,999,0,64,0.012463306076824665,0.09747875481843948,0.3861845135688782
0,999,1,64,0.0758739784359932,0.33719906210899353,0.9980584383010864
0,999,2,32,0.004041549749672413,0.09323074668645859,0.31480932235717773
0,999,3,32,0.016792751848697662,0.08570079505443573,0.26719677448272705
0,999,4,16,0.014081903733313084,0.04238677769899368,0.37486234307289124
0,999,5,16,0.02189606800675392,0.1109694167971611,0.5452247858047485
0,999,6,8,0.016854092478752136,0.05566595867276192,0.9693478345870972
0,999,7,16,0.014767946675419807,0.11454799771308899,0.38368555903434753
0,999,8,16,0.019090652465820312,0.2099829465150833,0.13577055931091309
0,999,9,16,0.013815914280712605,0.20312343537807465,0.1877356320619583
0,999,10,32,0.0004190120380371809,0.009785817936062813,0.007828769274055958
0,999,11,32,0.0028446619398891926,0.025378286838531494,0.11973302811384201
0,999,12,32,0.007730535231530666,0.05734555050730705,0.2769365906715393
0,999,13,64,0.12382524460554123,0.2520601153373718,1.603893756866455
0,999,14,64,0.006752458866685629,0.050366781651973724,0.7600747346878052
0,999,15,64,0.010457796975970268,0.022386236116290092,0.5399719476699829
5,899,0,64,0.007603776641190052,0.10156575590372086,0.3326522707939148
5,899,1,64,0.0770055279135704,0.34161120653152466,0.9948416948318481
5,899,2,32,0.004269098863005638,0.08874644339084625,0.31619006395339966
5,899,3,32,0.02034372091293335,0.11509307473897934,0.29979974031448364
5,899,4,16,0.019766079261898994,0.08663585036993027,0.3788231909275055
5,899,5,16,0.02134859375655651,0.0987294539809227,0.49821898341178894
5,899,6,8,0.019940141588449478,0.0679471343755722,0.9971070289611816
5,899,7,16,0.012234566733241081,0.09965987503528595,0.31532302498817444
5,899,8,16,0.015455691143870354,0.23195558786392212,0.12221548706293106
5,899,9,16,0.009473143145442009,0.15006506443023682,0.16835570335388184
5,899,10,32,0.0004804676864296198,0.010129720903933048,0.009766642935574055
5,899,11,32,0.002563328482210636,0.023633923381567,0.11841433495283127
5,899,12,32,0.007541647180914879,0.031848009675741196,0.22722530364990234
5,899,13,64,0.14035853743553162,0.2907087802886963,1.6460134983062744
5,899,14,64,0.008299174718558788,0.0318395271897316,0.7212733030319214
5,899,15,64,0.010622607544064522,0.02281339280307293,0.5060992240905762
10,799,0,64,0.005592982284724712,0.09637568145990372,0.2963104248046875
10,799,1,64,0.07696585357189178,0.3342548608779907,0.9741312861442566
10,799,2,32,0.004734579008072615,0.07871603220701218,0.3203001022338867
10,799,3,32,0.025360504165291786,0.12403957545757294,0.34108883142471313
10,799,4,16,0.023114830255508423,0.1016194298863411,0.36758852005004883
10,799,5,16,0.021271787583827972,0.1118544414639473,0.4646795690059662
10,799,6,8,0.021098030731081963,0.08356697112321854,1.015075445175171
10,799,7,16,0.009518892504274845,0.0515146367251873,0.2773376405239105
10,799,8,16,0.007734930142760277,0.13999131321907043,0.08785886317491531
10,799,9,16,0.006738442927598953,0.12098819762468338,0.12785592675209045
10,799,10,32,0.000219253939576447,0.005152367055416107,0.005467977374792099
10,799,11,32,0.0019344345200806856,0.02102505788207054,0.08193239569664001
10,799,12,32,0.007038596551865339,0.04117485508322716,0.16775411367416382
10,799,13,64,0.160307377576828,0.2975756824016571,1.7149171829223633
10,799,14,64,0.01116529293358326,0.043419625610113144,0.7460142374038696
10,799,15,64,0.01130883488804102,0.02303566038608551,0.5219890475273132
15,699,0,64,0.004944991320371628,0.07680056244134903,0.26752156019210815
15,699,1,64,0.07561225444078445,0.3209172785282135,0.9511185884475708
15,699,2,32,0.005628369748592377,0.07147076725959778,0.32966023683547974
15,699,3,32,0.02724962867796421,0.12570512294769287,0.36381280422210693
15,699,4,16,0.021566692739725113,0.09930690377950668,0.3499022126197815
15,699,5,16,0.021834909915924072,0.11920983344316483,0.4362806975841522
15,699,6,8,0.021671684458851814,0.07622406631708145,1.028148889541626
15,699,7,16,0.008013170212507248,0.03852325677871704,0.2621750831604004
15,699,8,16,0.00531197153031826,0.06905131042003632,0.06826035678386688
15,699,9,16,0.004991946741938591,0.05715459585189819,0.09482598304748535
15,699,10,32,0.00016572681488469243,0.005209166090935469,0.0038643903099000454
15,699,11,32,0.001451870077289641,0.022488795220851898,0.05683907866477966
15,699,12,32,0.006183007266372442,0.04830732196569443,0.13270454108715057
15,699,13,64,0.16582204401493073,0.28945398330688477,1.7204937934875488
15,699,14,64,0.013796443119645119,0.07030217349529266,0.7719464302062988
15,699,15,64,0.012120356783270836,0.028246600180864334,0.5448493361473083
20,599,0,64,0.005067477002739906,0.04130261018872261,0.24141886830329895
20,599,1,64,0.0727337896823883,0.31207475066185,0.932962954044342
20,599,2,32,0.006852096877992153,0.06666461378335953,0.3451404273509979
20,599,3,32,0.025724077597260475,0.12488075345754623,0.3682677149772644
20,599,4,16,0.01979219913482666,0.09477445483207703,0.3412979245185852
20,599,5,16,0.0216106865555048,0.11677467077970505,0.41229087114334106
20,599,6,8,0.021112259477376938,0.060367289930582047,1.028037667274475
20,599,7,16,0.007368056569248438,0.04219042882323265,0.268059641122818
20,599,8,16,0.004580246284604073,0.06138760969042778,0.057426709681749344
20,599,9,16,0.004200001247227192,0.018117176368832588,0.07886338979005814
20,599,10,32,0.00017172418301925063,0.006529973819851875,0.003735116682946682
20,599,11,32,0.0012600573245435953,0.0203202273696661,0.04808981344103813
20,599,12,32,0.004903310444205999,0.040480971336364746,0.10818693041801453
20,599,13,64,0.16230079531669617,0.2813832759857178,1.6939783096313477
20,599,14,64,0.016008522361516953,0.08810364454984665,0.7840489745140076
20,599,15,64,0.012476813048124313,0.035739827901124954,0.5599968433380127
25,500,0,64,0.004940751940011978,0.040802013128995895,0.22259169816970825
25,500,1,64,0.06867901980876923,0.3074599504470825,0.9060797691345215
25,500,2,32,0.00783427432179451,0.062395792454481125,0.34872692823410034
25,500,3,32,0.02421911619603634,0.12454019486904144,0.3640725016593933
25,500,4,16,0.017389025539159775,0.0858999639749527,0.3297761082649231
25,500,5,16,0.02054358646273613,0.11534971743822098,0.4007989168167114
25,500,6,8,0.020537948235869408,0.04799067601561546,1.0366663932800293
25,500,7,16,0.007498851045966148,0.054532866925001144,0.284249871969223
25,500,8,16,0.004303376656025648,0.07995191961526871,0.05179426074028015
25,500,9,16,0.003951589576900005,0.01806926541030407,0.07235478609800339
25,500,10,32,0.0001834842551033944,0.007865549065172672,0.0038718217983841896
25,500,11,32,0.0010206099832430482,0.013108456507325172,0.0421593114733696
25,500,12,32,0.003666851669549942,0.02731938101351261,0.09173712879419327
25,500,13,64,0.15540622174739838,0.2721104621887207,1.6506237983703613
25,500,14,64,0.017614543437957764,0.09447550773620605,0.7929635047912598
25,500,15,64,0.012446488253772259,0.05870544910430908,0.5775208473205566
30,400,0,64,0.003814573399722576,0.05609989911317825,0.20891910791397095
30,400,1,64,0.06335766613483429,0.29354143142700195,0.861538290977478
30,400,2,32,0.008160416036844254,0.0567903034389019,0.3339259624481201
30,400,3,32,0.02198098599910736,0.1241411492228508,0.3536614179611206
30,400,4,16,0.014235110953450203,0.06829191744327545,0.3139393925666809
30,400,5,16,0.019051630049943924,0.11348020285367966,0.39683541655540466
30,400,6,8,0.02079002372920513,0.04576832801103592,1.0418378114700317
30,400,7,16,0.008247191086411476,0.0660877525806427,0.2935314178466797
30,400,8,16,0.004283720627427101,0.0881853923201561,0.05114002525806427
30,400,9,16,0.0039460500702261925,0.018028561025857925,0.07075226306915283
30,400,10,32,0.00018070454825647175,0.008693346753716469,0.0039803339168429375
30,400,11,32,0.0008434719638898969,0.008649121969938278,0.038234077394008636
30,400,12,32,0.0028868874069303274,0.02028830163180828,0.08162979781627655
30,400,13,64,0.14782844483852386,0.2681950330734253,1.5876150131225586
30,400,14,64,0.018452677875757217,0.09206168353557587,0.7920559644699097
30,400,15,64,0.012408368289470673,0.08501161634922028,0.6030638813972473
35,300,0,64,0.0027540428563952446,0.07526367902755737,0.20528224110603333
35,300,1,64,0.057279072701931,0.2719805836677551,0.8102402687072754
35,300,2,32,0.008005925454199314,0.05138719081878662,0.30782002210617065
35,300,3,32,0.01841147243976593,0.11908209323883057,0.33472222089767456
35,300,4,16,0.011069918051362038,0.045559290796518326,0.29509803652763367
35,300,5,16,0.017436442896723747,0.10677174478769302,0.3890077471733093
35,300,6,8,0.021118901669979095,0.049456674605607986,1.0196670293807983
35,300,7,16,0.009109732694923878,0.07055648416280746,0.28833162784576416
35,300,8,16,0.004408140666782856,0.08503404259681702,0.053150057792663574
35,300,9,16,0.003909409511834383,0.017257671803236008,0.06861922144889832
35,300,10,32,0.00017442996613681316,0.009185747243463993,0.004096798598766327
35,300,11,32,0.0007461882196366787,0.00613973755389452,0.036102451384067535
35,300,12,32,0.0025053455028682947,0.019814280793070793,0.07669351249933243
35,300,13,64,0.14003188908100128,0.2689530551433563,1.5110888481140137
