step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,999,0,64,0.015480263158679008,0.12264668941497803,0.43900617957115173
0,999,1,64,0.06722404807806015,0.28765198588371277,0.9696700572967529
0,999,2,32,0.002172859851270914,0.030077621340751648,0.2737322151660919
0,999,3,32,0.024791307747364044,0.12293089926242828,0.3346438407897949
0,999,4,16,0.026157844811677933,0.08811270445585251,0.44908788800239563
0,999,5,16,0.021431516855955124,0.1134302169084549,0.5065408945083618
0,999,6,8,0.019947269931435585,0.061177268624305725,0.9571547508239746
0,999,7,16,0.0122155100107193,0.06938140094280243,0.4240151345729828
0,999,8,16,0.009861200116574764,0.1341550052165985,0.10024241358041763
0,999,9,16,0.008638394065201283,0.11689997464418411,0.19570797681808472
0,999,10,32,0.00022465249639935791,0.0029806315433233976,0.004994634538888931
0,999,11,32,0.002966918284073472,0.021729303523898125,0.13645926117897034
0,999,12,32,0.010744670405983925,0.05448406934738159,0.27113279700279236
0,999,13,64,0.1154913455247879,0.2322371006011963,1.655613899230957
0,999,14,64,0.007075669709593058,0.022647438570857048,0.7720540165901184
0,999,15,64,0.010707368142902851,0.0181187205016613,0.588695764541626
5,899,0,64,0.009942063130438328,0.10660922527313232,0.4047621488571167
5,899,1,64,0.06436298787593842,0.28317126631736755,0.9175324440002441
5,899,2,32,0.0023350524716079235,0.02671263925731182,0.28773772716522217
5,899,3,32,0.02534758485853672,0.12566468119621277,0.3600643277168274
5,899,4,16,0.029264181852340698,0.10590334981679916,0.4071292281150818
5,899,5,16,0.018846653401851654,0.126242533326149,0.47492867708206177
5,899,6,8,0.022223014384508133,0.0656665489077568,1.028930425643921
5,899,7,16,0.009733582846820354,0.041010838001966476,0.37677502632141113
5,899,8,16,0.004241245333105326,0.04411114379763603,0.05648409575223923
5,899,9,16,0.005730474833399057,0.04173674061894417,0.1521877944469452
5,899,10,32,0.0001168958842754364,0.0022421928588300943,0.003326111938804388
5,899,11,32,0.002009328920394182,0.01997915469110012,0.09168123453855515
5,899,12,32,0.01062626950442791,0.0632941722869873,0.19294780492782593
5,899,13,64,0.1426754742860794,0.24512556195259094,1.7685809135437012
5,899,14,64,0.009124565869569778,0.0335172563791275,0.7253631353378296
5,899,15,64,0.011005952954292297,0.020281516015529633,0.557795524597168
10,799,0,64,0.007598677184432745,0.09334564208984375,0.3799979090690613
10,799,1,64,0.06478825211524963,0.2714022397994995,0.8967887163162231
10,799,2,32,0.0027687358669936657,0.026483016088604927,0.3024722635746002
10,799,3,32,0.028745070099830627,0.12626102566719055,0.402873694896698
10,799,4,16,0.02636648714542389,0.10163095593452454,0.37103331089019775
10,799,5,16,0.017057612538337708,0.12256424129009247,0.45213061571121216
10,799,6,8,0.022362185642123222,0.06260602921247482,0.9979536533355713
10,799,7,16,0.008507344871759415,0.03385245054960251,0.3343580663204193
10,799,8,16,0.0030721796210855246,0.016528336331248283,0.04809822887182236
10,799,9,16,0.004933131393045187,0.029698416590690613,0.11535468697547913
10,799,10,32,8.433658513240516e-05,0.002320719650015235,0.0023371977731585503
10,799,11,32,0.0012546294601634145,0.00813659280538559,0.05271172896027565
10,799,12,32,0.008521530777215958,0.05656183511018753,0.13984525203704834
10,799,13,64,0.16017210483551025,0.2627212405204773,1.7898554801940918
10,799,14,64,0.012006161734461784,0.048157949000597,0.7459545135498047
10,799,15,64,0.011838880367577076,0.02268490567803383,0.571587324142456
15,699,0,64,0.005072012543678284,0.07045216113328934,0.32565468549728394
15,699,1,64,0.0635002851486206,0.26118484139442444,0.8702751398086548
15,699,2,32,0.003332568798214197,0.028414789587259293,0.3148631453514099
15,699,3,32,0.030758479610085487,0.12515120208263397,0.4338749349117279
15,699,4,16,0.023264091461896896,0.09156736731529236,0.3487629294395447
15,699,5,16,0.01658274233341217,0.12480366975069046,0.43709903955459595
15,699,6,8,0.022340936586260796,0.060583844780921936,0.9568952322006226
15,699,7,16,0.007375694811344147,0.034556373953819275,0.3029384911060333
15,699,8,16,0.0028087138198316097,0.01669475808739662,0.0471956804394722
15,699,9,16,0.004698796197772026,0.02699928730726242,0.1028612032532692
15,699,10,32,9.170484554488212e-05,0.002270240569487214,0.0025054519064724445
15,699,11,32,0.0010528599377721548,0.005751082673668861,0.0421152263879776
15,699,12,32,0.007171567529439926,0.04968053475022316,0.11643718183040619
15,699,13,64,0.16497524082660675,0.27277621626853943,1.7701631784439087
15,699,14,64,0.015155152417719364,0.06115148216485977,0.7776591777801514
15,699,15,64,0.012301639653742313,0.02344409003853798,0.5886591672897339
20,599,0,64,0.0036801332607865334,0.05935215950012207,0.2731914222240448
20,599,1,64,0.0606771856546402,0.2588352859020233,0.8496494293212891
20,599,2,32,0.003944652620702982,0.03189335763454437,0.32734155654907227
20,599,3,32,0.030303124338388443,0.12345926463603973,0.430402934551239
20,599,4,16,0.020948559045791626,0.07992235571146011,0.3347533643245697
20,599,5,16,0.016644541174173355,0.12721140682697296,0.42584311962127686
20,599,6,8,0.021471768617630005,0.053594037890434265,0.9301919341087341
20,599,7,16,0.006608233787119389,0.03441961109638214,0.29380983114242554
20,599,8,16,0.0026683718897402287,0.01682555302977562,0.045940421521663666
20,599,9,16,0.0047243507578969,0.027127400040626526,0.09995229542255402
20,599,10,32,0.00010529688734095544,0.002360645681619644,0.0028301009442657232
20,599,11,32,0.0009912792593240738,0.0067796865478158,0.036482520401477814
20,599,12,32,0.006146461237221956,0.04237701743841171,0.09772902727127075
20,599,13,64,0.16404297947883606,0.2691522538661957,1.7489523887634277
20,599,14,64,0.018404439091682434,0.07166814804077148,0.8104561567306519
20,599,15,64,0.012740589678287506,0.027164220809936523,0.6139832735061646
25,500,0,64,0.0030491091310977936,0.08004456758499146,0.2511155605316162
25,500,1,64,0.05766148865222931,0.2511001229286194,0.8262614011764526
25,500,2,32,0.004261902999132872,0.035879701375961304,0.32516664266586304
25,500,3,32,0.027884449809789658,0.1217908263206482,0.40143442153930664
25,500,4,16,0.01840396784245968,0.06449200212955475,0.32347142696380615
25,500,5,16,0.017070064321160316,0.12526720762252808,0.41448795795440674
25,500,6,8,0.020366374403238297,0.04879297316074371,0.926117479801178
25,500,7,16,0.0063328128308057785,0.03285558894276619,0.31146663427352905
25,500,8,16,0.00260038860142231,0.01707426644861698,0.04516400024294853
25,500,9,16,0.00500495033338666,0.03119244985282421,0.09906977415084839
25,500,10,32,0.00012162466737208888,0.003473235061392188,0.0032487167045474052
25,500,11,32,0.0009352455963380635,0.0065699052065610886,0.03326723352074623
25,500,12,32,0.0052321720868349075,0.03575232997536659,0.08448532968759537
25,500,13,64,0.15852154791355133,0.26129889488220215,1.7159512042999268
25,500,14,64,0.021380353718996048,0.08516202867031097,0.8319241404533386
25,500,15,64,0.012825807556509972,0.035127390176057816,0.6388483047485352
30,400,0,64,0.0030427342280745506,0.1015550047159195,0.2536970376968384
30,400,1,64,0.05389484018087387,0.23306186497211456,0.7927814722061157
30,400,2,32,0.004136939533054829,0.04227116331458092,0.30464351177215576
30,400,3,32,0.023144781589508057,0.11709420382976532,0.3610866069793701
30,400,4,16,0.016230693086981773,0.052111946046352386,0.3172755837440491
30,400,5,16,0.017115622758865356,0.11693444848060608,0.4017772674560547
30,400,6,8,0.01943393424153328,0.04817836731672287,0.930495023727417
30,400,7,16,0.0063498192466795444,0.02835746482014656,0.3372792601585388
30,400,8,16,0.002650272101163864,0.01662611961364746,0.045051753520965576
30,400,9,16,0.004963367246091366,0.029371049255132675,0.09377284348011017
30,400,10,32,0.00011606165207922459,0.003630241844803095,0.003205540357157588
30,400,11,32,0.0008491928456351161,0.006651343312114477,0.029560420662164688
30,400,12,32,0.004280745983123779,0.027893399819731712,0.07443399727344513
30,400,13,64,0.1505342572927475,0.2542267143726349,1.6555945873260498
30,400,14,64,0.02363049052655697,0.09455031156539917,0.8431612253189087
30,400,15,64,0.012573961168527603,0.043055448681116104,0.6683027744293213
35,300,0,64,0.003714402671903372,0.12898670136928558,0.28127941489219666
35,300,1,64,0.04901181906461716,0.22441351413726807,0.7528725862503052
35,300,2,32,0.0036397986114025116,0.058422744274139404,0.2677140235900879
35,300,3,32,0.018041513860225677,0.10745687782764435,0.31933772563934326
35,300,4,16,0.01485408004373312,0.05221594497561455,0.3120145797729492
35,300,5,16,0.015882223844528198,0.10167057812213898,0.38151025772094727
35,300,6,8,0.01895170286297798,0.04853486642241478,0.930527925491333
35,300,7,16,0.006504897028207779,0.027040628716349602,0.3462696671485901
35,300,8,16,0.002738701645284891,0.02315514162182808,0.04470183700323105
35,300,9,16,0.0050484067760407925,0.02543054148554802,0.09170316159725189
35,300,10,32,0.00011235890269745141,0.0034015148412436247,0.0030173275154083967
35,300,11,32,0.0007955108303576708,0.006345498841255903,0.027636796236038208
35,300,12,32,0.0036197130102664232,0.02092438004910946,0.06946666538715363
35,300,13,64,0.13988173007965088,0.24852317571640015,1.5758585929870605
35,300,14,64,0.02504732646048069,0.10382711887359619,0.8496054410934448
35,300,15,64,0.012529734522104263,0.04807040095329285,0.7055883407592773
40,200,0,64,0.0047852275893092155,0.1521371603012085,0.32098865509033203
40,200,1,64,0.04319550842046738,0.22655494511127472,0.7077263593673706
40,200,2,32,0.0028724861331284046,0.07074761390686035,0.21741236746311188
40,200,3,32,0.013652613386511803,0.08796602487564087,0.2779541611671448
40,200,4,16,0.013859731145203114,0.05023474618792534,0.2983177900314331
40,200,5,16,0.013492997735738754,0.08177627623081207,0.3486834168434143
40,200,6,8,0.018638236448168755,0.04684117063879967,0.9154043197631836
40,200,7,16,0.006351773161441088,0.02551976591348648,0.32527709007263184
40,200,8,16,0.002674973104149103,0.02115238644182682,0.04284321516752243
40,200,9,16,0.0048853252083063126,0.023225298151373863,0.08674970269203186
40,200,10,32,0.00011448681470938027,0.0033320863731205463,0.0028980709612369537
40,200,11,32,0.0007744772592559457,0.006013847887516022,0.026401344686746597
40,200,12,32,0.0033814366906881332,0.019245021045207977,0.06790393590927124
40,200,13,64,0.13117817044258118,0.24587610363960266,1.50801420211792
40,200,14,64,0.025823920965194702,0.10841609537601471,0.8546909689903259
40,200,15,64,0.012661803513765335,0.04860052838921547,0.7485793828964233
45,100,0,64,0.005484024062752724,0.1589272916316986,0.35002416372299194
45,100,1,64,0.03604940325021744,0.2231353521347046,0.6429587006568909
45,100,2,32,0.0018972367979586124,0.0687413215637207,0.15318375825881958
45,100,3,32,0.008938472718000412,0.05423422157764435,0.2269374281167984
45,100,4,16,0.012577573768794537,0.044506702572107315,0.2699354290962219
45,100,5,16,0.010604583658277988,0.05987966060638428,0.3063628077507019
45,100,6,8,0.01793615147471428,0.040828727185726166,0.8672842383384705
45,100,7,16,0.005592265632003546,0.022913582623004913,0.2731568217277527
45,100,8,16,0.0025583310052752495,0.015393417328596115,0.04079790413379669
45,100,9,16,0.004491576924920082,0.018264492973685265,0.07937073707580566
45,100,10,32,0.00012270030856598169,0.0029380936175584793,0.002987729152664542
45,100,11,32,0.0007999330991879106,0.0055336859077215195,0.025360137224197388
45,100,12,32,0.0033674133010208607,0.019254498183727264,0.06726741045713425
45,100,13,64,0.12883108854293823,0.24715584516525269,1.470226526260376
45,100,14,64,0.02534922957420349,0.10371842980384827,0.8526906967163086
45,100,15,64,0.0125794792547822,0.04915067180991173,0.780858039855957
49,20,0,64,0.0054870424792170525,0.15209519863128662,0.36443623900413513
49,20,1,64,0.02829849161207676,0.22199831902980804,0.5157415866851807
49,20,2,32,0.0009235162287950516,0.0359414704144001,0.08435613662004471
49,20,3,32,0.004773874767124653,0.04552437737584114,0.16782696545124054
49,20,4,16,0.009702100418508053,0.03247428685426712,0.21835869550704956
49,20,5,16,0.0073400018736720085,0.04856383800506592,0.24753928184509277
49,20,6,8,0.01625050976872444,0.03695087507367134,0.7700105905532837
49,20,7,16,0.004473771434277296,0.01690923236310482,0.19668416678905487
49,20,8,16,0.0023987144231796265,0.015272371470928192,0.03926458582282066
49,20,9,16,0.004015566315501928,0.015874190255999565,0.071380615234375
49,20,10,32,0.00012732722098007798,0.0026994722429662943,0.003572280751541257
49,20,11,32,0.0008220870513468981,0.005118481814861298,0.0235893577337265
49,20,12,32,0.0036496196407824755,0.019430652260780334,0.07087128609418869
49,20,13,64,0.13970761001110077,0.25028619170188904,1.4718289375305176
49,20,14,64,0.022402722388505936,0.0845833271741867,0.8329527378082275
49,20,15,64,0.011830825358629227,0.06121707335114479,0.8174232840538025
