step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,999,0,64,0.021299568936228752,0.08849741518497467,0.48304224014282227
0,999,1,64,0.06906113028526306,0.30371955037117004,0.9626588821411133
0,999,2,32,0.004027031362056732,0.05721418932080269,0.3053129017353058
0,999,3,32,0.012067030183970928,0.1028524786233902,0.2287103533744812
0,999,4,16,0.013740116730332375,0.03685510531067848,0.3540416359901428
0,999,5,16,0.02231605537235737,0.177006796002388,0.5508724451065063
0,999,6,8,0.017632555216550827,0.046783167868852615,1.0143656730651855
0,999,7,16,0.022739659994840622,0.22464925050735474,0.41145089268684387
0,999,8,16,0.022656049579381943,0.21879586577415466,0.13460035622119904
0,999,9,16,0.012965609319508076,0.17247691750526428,0.1755959391593933
0,999,10,32,0.000365155196050182,0.005861047189682722,0.007495288737118244
0,999,11,32,0.002241874812170863,0.021010760217905045,0.09529247879981995
0,999,12,32,0.007300582714378834,0.042041584849357605,0.2810567319393158
0,999,13,64,0.121646448969841,0.23997217416763306,1.5730351209640503
0,999,14,64,0.0067445384338498116,0.08731735497713089,0.7438161373138428
0,999,15,64,0.009642433375120163,0.02032800018787384,0.5616353750228882
5,899,0,64,0.015571735799312592,0.07811033725738525,0.4166434407234192
5,899,1,64,0.07388937473297119,0.28874319791793823,1.026386022567749
5,899,2,32,0.004241481423377991,0.04900564253330231,0.3116905987262726
5,899,3,32,0.01529629621654749,0.12375160306692123,0.2588297724723816
5,899,4,16,0.014789815992116928,0.052923303097486496,0.34028732776641846
5,899,5,16,0.021671123802661896,0.12586453557014465,0.4855753779411316
5,899,6,8,0.02236170321702957,0.07510308176279068,1.0057305097579956
5,899,7,16,0.021610701456665993,0.22861158847808838,0.3749511241912842
5,899,8,16,0.023549843579530716,0.22523479163646698,0.13054415583610535
5,899,9,16,0.0089632673189044,0.12073072046041489,0.1307547241449356
5,899,10,32,0.000367112661479041,0.008676953613758087,0.007270502857863903
5,899,11,32,0.002194356406107545,0.026068609207868576,0.09822329133749008
5,899,12,32,0.006455098278820515,0.03151719272136688,0.23148682713508606
5,899,13,64,0.13779263198375702,0.2548193335533142,1.6247448921203613
5,899,14,64,0.008362099528312683,0.05519326776266098,0.7175037264823914
5,899,15,64,0.010187091305851936,0.021237889304757118,0.5180107355117798
10,799,0,64,0.011230045929551125,0.07478772103786469,0.3576015532016754
10,799,1,64,0.07542058825492859,0.2953553795814514,1.028472661972046
10,799,2,32,0.004217387177050114,0.04599754139780998,0.30210161209106445
10,799,3,32,0.017233680933713913,0.12363304197788239,0.2848280668258667
10,799,4,16,0.022929880768060684,0.09623139351606369,0.350678026676178
10,799,5,16,0.022354379296302795,0.1100684255361557,0.4435310363769531
10,799,6,8,0.023899497464299202,0.10245354473590851,0.9877703189849854
10,799,7,16,0.010976321063935757,0.06038873642683029,0.3217277526855469
10,799,8,16,0.007218067068606615,0.0810600072145462,0.08193613588809967
10,799,9,16,0.005190705880522728,0.06893956661224365,0.10144168138504028
10,799,10,32,0.00013947588740848005,0.003751708660274744,0.003773876465857029
10,799,11,32,0.001253357157111168,0.026393413543701172,0.0585080087184906
10,799,12,32,0.005517181009054184,0.03981528431177139,0.14813293516635895
10,799,13,64,0.16501174867153168,0.25977858901023865,1.7881064414978027
10,799,14,64,0.010198328644037247,0.03718661144375801,0.7514833211898804
10,799,15,64,0.010832216590642929,0.021119579672813416,0.528408408164978
15,699,0,64,0.008638301864266396,0.070590078830719,0.31530022621154785
15,699,1,64,0.07641340047121048,0.30069777369499207,1.014847993850708
