step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,999,0,64,0.01415975857526064,0.08995358645915985,0.4118329882621765
0,999,1,64,0.0705341324210167,0.2832641899585724,0.9449863433837891
0,999,2,32,0.0038615488447248936,0.09277721494436264,0.2751871347427368
0,999,3,32,0.0167306587100029,0.10389205813407898,0.2612454891204834
0,999,4,16,0.012942622415721416,0.045158907771110535,0.3436283469200134
0,999,5,16,0.02192981354892254,0.10240593552589417,0.5017719864845276
0,999,6,8,0.017712188884615898,0.09597112238407135,0.8609615564346313
0,999,7,16,0.02243402972817421,0.2695479989051819,0.4050644040107727
0,999,8,16,0.018739305436611176,0.19083580374717712,0.10282594710588455
0,999,9,16,0.013829446397721767,0.1653590202331543,0.15365566313266754
0,999,10,32,0.0003162611974403262,0.007309622131288052,0.006475210189819336
0,999,11,32,0.003311477368697524,0.031319256871938705,0.11748573929071426
0,999,12,32,0.009365364909172058,0.0402899794280529,0.3020739257335663
0,999,13,64,0.12326222658157349,0.26956459879875183,1.599086046218872
0,999,14,64,0.006706248037517071,0.07763637602329254,0.7583057284355164
0,999,15,64,0.010132194496691227,0.022416824474930763,0.5561855435371399
5,899,0,64,0.008831063285470009,0.08315384387969971,0.35027366876602173
5,899,1,64,0.07504501938819885,0.2840937077999115,0.985385000705719
5,899,2,32,0.003560194279998541,0.07510018348693848,0.27140331268310547
5,899,3,32,0.019084472209215164,0.12190905213356018,0.28937041759490967
5,899,4,16,0.014863552525639534,0.06280159950256348,0.33545854687690735
5,899,5,16,0.02306797169148922,0.09271269291639328,0.47769951820373535
5,899,6,8,0.01739242672920227,0.06807458400726318,0.8782869577407837
5,899,7,16,0.012561360374093056,0.07591800391674042,0.3516719937324524
5,899,8,16,0.014198043383657932,0.17094700038433075,0.12065812945365906
5,899,9,16,0.012123120948672295,0.16394145786762238,0.15613575279712677
5,899,10,32,0.00039347552228718996,0.006667807698249817,0.009042170830070972
5,899,11,32,0.0028874920681118965,0.030479243025183678,0.1303195059299469
5,899,12,32,0.00925083365291357,0.041940588504076004,0.24108271300792694
5,899,13,64,0.141727477312088,0.3049221634864807,1.6723377704620361
5,899,14,64,0.008223095908761024,0.03679181635379791,0.7237675786018372
5,899,15,64,0.010557219386100769,0.024222277104854584,0.5206460952758789
10,799,0,64,0.006121107377111912,0.07554824650287628,0.30445659160614014
10,799,1,64,0.0764276385307312,0.2847437262535095,0.978712260723114
10,799,2,32,0.0034354112576693296,0.07553473114967346,0.2662121057510376
10,799,3,32,0.021405475214123726,0.12172342091798782,0.3204649090766907
10,799,4,16,0.020235005766153336,0.09243567287921906,0.33755409717559814
10,799,5,16,0.021802451461553574,0.09356626123189926,0.44520804286003113
10,799,6,8,0.017741341143846512,0.04856395721435547,0.8996493816375732
10,799,7,16,0.00968603789806366,0.04981858283281326,0.2965860664844513
10,799,8,16,0.0057660480961203575,0.05325845256447792,0.06986461579799652
10,799,9,16,0.005709219723939896,0.05727143585681915,0.11131303012371063
10,799,10,32,0.000155457149958238,0.002341250889003277,0.00417642667889595
10,799,11,32,0.0016766841290518641,0.025569329038262367,0.07141001522541046
10,799,12,32,0.007936118170619011,0.0454118587076664,0.16558022797107697
10,799,13,64,0.16296115517616272,0.3273698389530182,1.7635324001312256
10,799,14,64,0.01088720466941595,0.045146409422159195,0.7528154253959656
10,799,15,64,0.011282878927886486,0.030864665284752846,0.5322718024253845
15,699,0,64,0.004901838954538107,0.0647939145565033,0.2693009078502655
15,699,1,64,0.07635284960269928,0.2758330702781677,0.9628013372421265
15,699,2,32,0.003583262674510479,0.07087306678295135,0.2678649425506592
15,699,3,32,0.022919829934835434,0.12376464158296585,0.34034523367881775
15,699,4,16,0.020630545914173126,0.09666667878627777,0.330064594745636
15,699,5,16,0.021348126232624054,0.08636532723903656,0.4275891184806824
15,699,6,8,0.017764722928404808,0.04088319092988968,0.8908467888832092
15,699,7,16,0.008712113834917545,0.0703207328915596,0.273409366607666
15,699,8,16,0.004941495135426521,0.09357938170433044,0.058692559599876404
15,699,9,16,0.004643786698579788,0.04706430435180664,0.08782424032688141
15,699,10,32,0.00013403163757175207,0.003590214531868696,0.0033172075636684895
15,699,11,32,0.001309660030528903,0.022591251879930496,0.0499519482254982
15,699,12,32,0.00710982084274292,0.047940801829099655,0.13499587774276733
15,699,13,64,0.16679587960243225,0.3322286009788513,1.7574480772018433
15,699,14,64,0.013655506074428558,0.06436173617839813,0.7851991653442383
15,699,15,64,0.011931782588362694,0.039840057492256165,0.5468547344207764
20,599,0,64,0.004529578611254692,0.04721637815237045,0.23910170793533325
20,599,1,64,0.07441817224025726,0.26188525557518005,0.9488304853439331
20,599,2,32,0.004098901525139809,0.06296904385089874,0.27872300148010254
20,599,3,32,0.022876160219311714,0.12392272800207138,0.3496537506580353
20,599,4,16,0.019187094643712044,0.09307637810707092,0.32413381338119507
20,599,5,16,0.021101290360093117,0.09200450032949448,0.41572707891464233
20,599,6,8,0.01650451496243477,0.030584625899791718,0.8528013229370117
20,599,7,16,0.00818193331360817,0.10152091085910797,0.2780759334564209
20,599,8,16,0.005345495417714119,0.16768214106559753,0.0573577806353569
20,599,9,16,0.004679514095187187,0.15240192413330078,0.07897401601076126
20,599,10,32,0.00015398838149849325,0.005663803778588772,0.003613934852182865
20,599,11,32,0.001179728889837861,0.015870314091444016,0.04343748092651367
20,599,12,32,0.005410246551036835,0.03577820584177971,0.10920700430870056
20,599,13,64,0.16303473711013794,0.3264429271221161,1.7165429592132568
20,599,14,64,0.016395308077335358,0.08043498545885086,0.8023128509521484
20,599,15,64,0.012156235054135323,0.05066443607211113,0.5543098449707031
25,500,0,64,0.004217450972646475,0.032047681510448456,0.2183069884777069
25,500,1,64,0.0709075927734375,0.2646785378456116,0.9238436222076416
25,500,2,32,0.004672865383327007,0.05802639573812485,0.28188198804855347
25,500,3,32,0.022726552560925484,0.12476781010627747,0.3503422141075134
25,500,4,16,0.016346698626875877,0.08172042667865753,0.3127952814102173
25,500,5,16,0.020056715235114098,0.09564994275569916,0.4094054102897644
25,500,6,8,0.016177572309970856,0.028568275272846222,0.8448335528373718
25,500,7,16,0.008529942482709885,0.1420045793056488,0.2906144857406616
25,500,8,16,0.005521973129361868,0.20284152030944824,0.055689968168735504
25,500,9,16,0.004525396972894669,0.15726962685585022,0.07628894597291946
25,500,10,32,0.00016347608470823616,0.0058113886043429375,0.0038790523540228605
25,500,11,32,0.000945402542129159,0.009544102475047112,0.03851601481437683
