step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,999,0,64,0.01411043293774128,0.08499383181333542,0.4044705629348755
0,999,1,64,0.07309673726558685,0.2980598211288452,0.9798135757446289
0,999,2,32,0.004960866644978523,0.1007067859172821,0.3183131814002991
0,999,3,32,0.015954043716192245,0.08470140397548676,0.2542150020599365
0,999,4,16,0.013067805208265781,0.037000689655542374,0.3522377014160156
0,999,5,16,0.02157563343644142,0.12285686284303665,0.5213816165924072
0,999,6,8,0.016785485669970512,0.0662335529923439,0.9954068660736084
0,999,7,16,0.015014208853244781,0.1060137152671814,0.41749128699302673
0,999,8,16,0.017818817868828773,0.19718818366527557,0.13195684552192688
0,999,9,16,0.014530123211443424,0.21870900690555573,0.18499431014060974
0,999,10,32,0.00039968869532458484,0.010250559076666832,0.007485175505280495
0,999,11,32,0.0028000748716294765,0.026275210082530975,0.11508895456790924
0,999,12,32,0.007597200106829405,0.05365924537181854,0.27645212411880493
0,999,13,64,0.12268570065498352,0.23885704576969147,1.5990307331085205
0,999,14,64,0.006700246594846249,0.05599815025925636,0.7549217939376831
0,999,15,64,0.010202249512076378,0.019658289849758148,0.5442901253700256
5,899,0,64,0.009017055854201317,0.07852150499820709,0.3475807309150696
5,899,1,64,0.07665273547172546,0.3116495609283447,1.005307674407959
5,899,2,32,0.005152455531060696,0.08293043076992035,0.320482462644577
5,899,3,32,0.019061489030718803,0.11882880330085754,0.2841656804084778
5,899,4,16,0.01572786644101143,0.06279835850000381,0.34702733159065247
5,899,5,16,0.019382737576961517,0.08019952476024628,0.4716586470603943
5,899,6,8,0.021036431193351746,0.07396581023931503,1.0894262790679932
5,899,7,16,0.012534230947494507,0.07019811868667603,0.36795133352279663
5,899,8,16,0.012474672868847847,0.16445815563201904,0.10891112685203552
5,899,9,16,0.00931684859097004,0.15951208770275116,0.16299057006835938
5,899,10,32,0.0004234625957906246,0.00934575218707323,0.009576481766998768
5,899,11,32,0.002309835981577635,0.030785204842686653,0.11217059195041656
5,899,12,32,0.0073983147740364075,0.03504621610045433,0.22006523609161377
5,899,13,64,0.13910898566246033,0.26493707299232483,1.653874397277832
5,899,14,64,0.008368954993784428,0.04193807765841484,0.7243613004684448
5,899,15,64,0.010503336787223816,0.020391270518302917,0.5075212717056274
10,799,0,64,0.006583931855857372,0.0733591616153717,0.30686694383621216
10,799,1,64,0.07794827222824097,0.31927937269210815,0.9935662746429443
10,799,2,32,0.005491899326443672,0.07445205748081207,0.32129937410354614
10,799,3,32,0.021951328963041306,0.12429013103246689,0.3160221576690674
10,799,4,16,0.02202114835381508,0.09711894392967224,0.3538177013397217
10,799,5,16,0.01978047378361225,0.08831749111413956,0.4394792914390564
10,799,6,8,0.021128904074430466,0.05848146975040436,1.0701899528503418
10,799,7,16,0.009752286598086357,0.043598517775535583,0.3129269480705261
10,799,8,16,0.005924596916884184,0.07973353564739227,0.06830070167779922
10,799,9,16,0.006049225106835365,0.1008111760020256,0.12571556866168976
10,799,10,32,0.00019446061924099922,0.006847542244940996,0.004795894026756287
10,799,11,32,0.0017512694466859102,0.029558902606368065,0.0759216696023941
10,799,12,32,0.007292208261787891,0.038360774517059326,0.16044756770133972
10,799,13,64,0.15963628888130188,0.28167691826820374,1.7416317462921143
10,799,14,64,0.011101296171545982,0.05018302798271179,0.7561066150665283
10,799,15,64,0.011118397116661072,0.023145053535699844,0.5170731544494629
15,699,0,64,0.0058228266425430775,0.06825578212738037,0.2815167307853699
15,699,1,64,0.078030064702034,0.31439071893692017,0.9749956130981445
15,699,2,32,0.006383595056831837,0.07592011988162994,0.33029887080192566
15,699,3,32,0.022806132212281227,0.1220955103635788,0.33273205161094666
15,699,4,16,0.022061076015233994,0.1006331592798233,0.34580492973327637
15,699,5,16,0.019742725417017937,0.08911450952291489,0.4132528007030487
15,699,6,8,0.021204432472586632,0.0543992705643177,1.0359461307525635
15,699,7,16,0.008438343182206154,0.03443879261612892,0.2824992537498474
15,699,8,16,0.0038805794902145863,0.07778356224298477,0.048771895468235016
15,699,9,16,0.0045884824357926846,0.039542920887470245,0.09305161237716675
15,699,10,32,0.00014420243678614497,0.003694108920171857,0.003258895594626665
15,699,11,32,0.001429845462553203,0.02742449939250946,0.053124554455280304
15,699,12,32,0.006371380761265755,0.04518425092101097,0.128169447183609
15,699,13,64,0.1666034311056137,0.28179872035980225,1.7568273544311523
15,699,14,64,0.01341713685542345,0.059075165539979935,0.7860323190689087
15,699,15,64,0.01195378415286541,0.02777220495045185,0.5376099348068237
20,599,0,64,0.00604177825152874,0.06652814894914627,0.26822829246520996
20,599,1,64,0.0765978991985321,0.3022443652153015,0.9600338339805603
20,599,2,32,0.008027210831642151,0.07391823083162308,0.3502759337425232
20,599,3,32,0.021310865879058838,0.12171955406665802,0.337534636259079
20,599,4,16,0.02026931755244732,0.0977267175912857,0.3417550027370453
20,599,5,16,0.019341789186000824,0.07967926561832428,0.39185234904289246
20,599,6,8,0.020152002573013306,0.04544553905725479,0.9989439845085144
20,599,7,16,0.007240436039865017,0.03298231214284897,0.2701447308063507
20,599,8,16,0.003344004973769188,0.06942735612392426,0.04397869110107422
20,599,9,16,0.0036792566534131765,0.019584352150559425,0.07417279481887817
20,599,10,32,0.0001541526144137606,0.004395175725221634,0.0032241151202470064
20,599,11,32,0.001237776828929782,0.01741820015013218,0.045041412115097046
20,599,12,32,0.00479448027908802,0.03440972417593002,0.10093332827091217
20,599,13,64,0.1646198183298111,0.2817210555076599,1.7311921119689941
20,599,14,64,0.01558857224881649,0.06792492419481277,0.8048046827316284
20,599,15,64,0.012484842911362648,0.040024980902671814,0.5517851114273071
25,500,0,64,0.006162547040730715,0.06398424506187439,0.258764386177063
25,500,1,64,0.07389715313911438,0.293000191450119,0.9376776814460754
25,500,2,32,0.010026810690760612,0.06647169589996338,0.3647828698158264
25,500,3,32,0.020206350833177567,0.12157333642244339,0.3395894169807434
25,500,4,16,0.017249926924705505,0.08713150769472122,0.33410724997520447
25,500,5,16,0.018681030720472336,0.0765041783452034,0.37903401255607605
25,500,6,8,0.01972312107682228,0.03789544105529785,0.9836191534996033
25,500,7,16,0.0066535514779388905,0.032710302621126175,0.2638669013977051
25,500,8,16,0.0029742885380983353,0.0606369823217392,0.04106679558753967
25,500,9,16,0.0033168047666549683,0.01930617168545723,0.06925995647907257
25,500,10,32,0.0001662737049628049,0.00440448010340333,0.0034346994943916798
25,500,11,32,0.0010708696208894253,0.014146757312119007,0.04143953695893288
25,500,12,32,0.0033803044352680445,0.025137221440672874,0.08018727600574493
25,500,13,64,0.15749657154083252,0.2839743494987488,1.6803783178329468
25,500,14,64,0.01757950708270073,0.07765363901853561,0.8262097239494324
25,500,15,64,0.012619943358004093,0.05966678634285927,0.5673089623451233
30,400,0,64,0.0052594831213355064,0.05894480645656586,0.24704237282276154
30,400,1,64,0.06966906785964966,0.29022544622421265,0.8995246291160583
30,400,2,32,0.011672856286168098,0.057679563760757446,0.3635863661766052
30,400,3,32,0.018342358991503716,0.11997886002063751,0.33368632197380066
30,400,4,16,0.013127148151397705,0.06537692993879318,0.31973499059677124
30,400,5,16,0.01708366721868515,0.06784025579690933,0.3668423295021057
