step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,999,0,64,0.015778593719005585,0.08263714611530304,0.42310187220573425
0,999,1,64,0.07403050363063812,0.28722575306892395,0.9968920350074768
0,999,2,32,0.0045931776985526085,0.07893963158130646,0.32678550481796265
0,999,3,32,0.013546551577746868,0.08617802709341049,0.24216198921203613
0,999,4,16,0.012454541400074959,0.03932296857237816,0.3537883162498474
0,999,5,16,0.02602512016892433,0.1114165261387825,0.55082106590271
0,999,6,8,0.020389048382639885,0.10334973782300949,0.9338369369506836
0,999,7,16,0.02770840749144554,0.3070193827152252,0.41529688239097595
0,999,8,16,0.015995148569345474,0.15938809514045715,0.09167845547199249
0,999,9,16,0.014995910227298737,0.16874399781227112,0.15433786809444427
0,999,10,32,0.0003338846145197749,0.006938131060451269,0.007120444439351559
0,999,11,32,0.0028364676982164383,0.025966396555304527,0.10864609479904175
0,999,12,32,0.007500017993152142,0.04168848693370819,0.2821604609489441
0,999,13,64,0.11842688173055649,0.2529299259185791,1.5859696865081787
0,999,14,64,0.006731326226145029,0.04759763553738594,0.7520607113838196
0,999,15,64,0.010038502514362335,0.021385155618190765,0.5394462943077087
5,899,0,64,0.010468585416674614,0.0762234628200531,0.3646814227104187
5,899,1,64,0.07907091826200485,0.30738726258277893,1.0355333089828491
5,899,2,32,0.005127793177962303,0.07299834489822388,0.33153849840164185
5,899,3,32,0.0158808883279562,0.1065385639667511,0.265445351600647
5,899,4,16,0.014731801114976406,0.05671298876404762,0.3480989634990692
5,899,5,16,0.020700130611658096,0.08823841065168381,0.48228174448013306
5,899,6,8,0.020258856937289238,0.0651259794831276,0.9879990220069885
5,899,7,16,0.013758540153503418,0.11803524941205978,0.3949902057647705
5,899,8,16,0.018669333308935165,0.22307556867599487,0.13825197517871857
5,899,9,16,0.011971686035394669,0.17431482672691345,0.19249817728996277
5,899,10,32,0.0005406785057857633,0.009432504884898663,0.010258189402520657
5,899,11,32,0.0026325415819883347,0.03194991871714592,0.12172958999872208
5,899,12,32,0.007953532971441746,0.04381175339221954,0.2370300590991974
5,899,13,64,0.13319596648216248,0.2805362939834595,1.6548376083374023
5,899,14,64,0.008326096460223198,0.03702940791845322,0.7187960743904114
5,899,15,64,0.010384483262896538,0.023235538974404335,0.5004317760467529
10,799,0,64,0.007626770995557308,0.07251133024692535,0.32109224796295166
10,799,1,64,0.08097461611032486,0.31090086698532104,1.027226209640503
10,799,2,32,0.005772661883383989,0.07477365434169769,0.3326622247695923
10,799,3,32,0.01883748173713684,0.11824079602956772,0.29323551058769226
10,799,4,16,0.021777279675006866,0.09397675096988678,0.3581361174583435
10,799,5,16,0.019918343052268028,0.07839062809944153,0.45946359634399414
10,799,6,8,0.02136206440627575,0.0884488970041275,0.9825792908668518
10,799,7,16,0.009385713376104832,0.04589567705988884,0.32727980613708496
10,799,8,16,0.0068426416255533695,0.08910428732633591,0.08406844735145569
10,799,9,16,0.006297159008681774,0.09808845818042755,0.13725775480270386
10,799,10,32,0.00022956091561354697,0.0025223607663065195,0.0058525241911411285
10,799,11,32,0.0016155949560925364,0.025579746812582016,0.07412181049585342
10,799,12,32,0.007128881290555,0.03628521412611008,0.15865206718444824
10,799,13,64,0.15537813305854797,0.29177483916282654,1.767155647277832
10,799,14,64,0.011088798753917217,0.046224094927310944,0.7524255514144897
10,799,15,64,0.01117092277854681,0.030498169362545013,0.5149067640304565
15,699,0,64,0.006414202973246574,0.06845355778932571,0.29362401366233826
15,699,1,64,0.08146382868289948,0.3079100251197815,1.0081614255905151
15,699,2,32,0.007008782122284174,0.07270213216543198,0.3416239023208618
15,699,3,32,0.02104540914297104,0.1198662668466568,0.31867358088493347
15,699,4,16,0.02345711551606655,0.10372645407915115,0.35333746671676636
15,699,5,16,0.020077411085367203,0.08090225607156754,0.4479479193687439
15,699,6,8,0.02187443897128105,0.08498489856719971,0.9651628732681274
15,699,7,16,0.008363213390111923,0.044191282242536545,0.2875477373600006
15,699,8,16,0.0045465207658708096,0.04719199240207672,0.06435300409793854
15,699,9,16,0.005082226358354092,0.04714643582701683,0.10174679011106491
15,699,10,32,0.0001644659205339849,0.0026217661798000336,0.003978285938501358
15,699,11,32,0.001250773435458541,0.021449295803904533,0.052600644528865814
15,699,12,32,0.006051909644156694,0.048684585839509964,0.1269085705280304
15,699,13,64,0.1614714413881302,0.2983707785606384,1.7800471782684326
15,699,14,64,0.013438780792057514,0.05415520444512367,0.7891477346420288
15,699,15,64,0.011982621625065804,0.040025487542152405,0.5377046465873718
20,599,0,64,0.006127898581326008,0.06270100176334381,0.27896201610565186
20,599,1,64,0.0802045539021492,0.3019670844078064,0.9908403754234314
20,599,2,32,0.008977129124104977,0.06671252101659775,0.3607906401157379
20,599,3,32,0.019943179562687874,0.12082517147064209,0.3275628685951233
20,599,4,16,0.021429255604743958,0.10120770335197449,0.34768930077552795
20,599,5,16,0.020161595195531845,0.07711487263441086,0.4322524070739746
20,599,6,8,0.021195251494646072,0.06372957676649094,0.9382590651512146
20,599,7,16,0.00778221944347024,0.06015666946768761,0.27611657977104187
20,599,8,16,0.0040740808472037315,0.0521615594625473,0.0567479245364666
20,599,9,16,0.004530039150267839,0.0222101341933012,0.08849268406629562
20,599,10,32,0.00017571772332303226,0.0022789945360273123,0.003948467783629894
20,599,11,32,0.0011794576421380043,0.02016623690724373,0.046759553253650665
20,599,12,32,0.004741606768220663,0.04268113151192665,0.10384958982467651
20,599,13,64,0.15935255587100983,0.2989751994609833,1.7470418214797974
