step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,999,0,64,0.013247661292552948,0.11645635962486267,0.3779065012931824
0,999,1,64,0.08010759949684143,0.27427026629447937,1.113806128501892
0,999,2,32,0.004112391732633114,0.02440219558775425,0.20579269528388977
0,999,3,32,0.011925904080271721,0.13257580995559692,0.23537802696228027
0,999,4,16,0.009713446721434593,0.03576451167464256,0.3698596954345703
0,999,5,16,0.008676133118569851,0.07482009381055832,0.28979629278182983
0,999,6,8,0.024098532274365425,0.09731630980968475,0.7127479314804077
0,999,7,16,0.00495967548340559,0.04083402082324028,0.16021579504013062
0,999,8,16,0.0023387910332530737,0.032260194420814514,0.04906134679913521
0,999,9,16,0.0038599232211709023,0.05123114958405495,0.09970104694366455
0,999,10,32,0.00019313590019010007,0.00398281030356884,0.004781392402946949
0,999,11,32,0.002634975127875805,0.026232749223709106,0.06079412251710892
0,999,12,32,0.0031519008334726095,0.025853119790554047,0.15559132397174835
0,999,13,64,0.13495178520679474,0.22628852725028992,1.6145951747894287
0,999,14,64,0.0075824204832315445,0.05707036703824997,0.7270365953445435
0,999,15,64,0.010631870478391647,0.021137716248631477,0.4958791732788086
5,899,0,64,0.010823448188602924,0.10034719109535217,0.3600291609764099
5,899,1,64,0.07317104935646057,0.2997894883155823,1.0208083391189575
5,899,2,32,0.00365474633872509,0.02487669326364994,0.16070334613323212
5,899,3,32,0.012896197848021984,0.1329403519630432,0.2571815252304077
5,899,4,16,0.009076831862330437,0.033348485827445984,0.29647159576416016
5,899,5,16,0.0076415347866714,0.07846812158823013,0.30049729347229004
5,899,6,8,0.022614330053329468,0.10131685435771942,0.7540126442909241
5,899,7,16,0.003044100245460868,0.036677733063697815,0.13587653636932373
5,899,8,16,0.0019820614252239466,0.022144446149468422,0.04208482801914215
5,899,9,16,0.0016551886219531298,0.005045562982559204,0.055270515382289886
5,899,10,32,0.00015350949252024293,0.0051325177773833275,0.003556593554094434
5,899,11,32,0.0021202852949500084,0.021275831386446953,0.048090387135744095
5,899,12,32,0.0023835068568587303,0.024179961532354355,0.09222783148288727
5,899,13,64,0.14987769722938538,0.23085367679595947,1.5879273414611816
5,899,14,64,0.010034248232841492,0.03169722482562065,0.7171568274497986
5,899,15,64,0.010981673374772072,0.02192315086722374,0.48002859950065613
10,799,0,64,0.010140225291252136,0.08835510909557343,0.352749228477478
10,799,1,64,0.07374253123998642,0.3076956272125244,1.008467435836792
10,799,2,32,0.003959157504141331,0.02593034878373146,0.15980085730552673
10,799,3,32,0.013930690474808216,0.12886114418506622,0.2725335359573364
10,799,4,16,0.008038338273763657,0.02814258635044098,0.26685330271720886
10,799,5,16,0.007026586681604385,0.0668434426188469,0.3045194149017334
10,799,6,8,0.023058950901031494,0.08907227218151093,0.7611461281776428
10,799,7,16,0.0028620371595025063,0.029800228774547577,0.13304685056209564
10,799,8,16,0.001976611092686653,0.010178061202168465,0.04386031627655029
10,799,9,16,0.0016320743598043919,0.005009720101952553,0.049317725002765656
10,799,10,32,0.000132406348711811,0.003141994122415781,0.0029956912621855736
10,799,11,32,0.0016447978559881449,0.010546376928687096,0.04157962650060654
10,799,12,32,0.002092988695949316,0.023178014904260635,0.0662510097026825
10,799,13,64,0.1587301790714264,0.2410348355770111,1.5680508613586426
10,799,14,64,0.015231195837259293,0.046331148594617844,0.7738668918609619
10,799,15,64,0.011196333914995193,0.027408676221966743,0.4577677249908447
