step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,999,0,64,0.015016661956906319,0.14022234082221985,0.4150836169719696
0,999,1,64,0.0772307813167572,0.25697705149650574,1.0203983783721924
0,999,2,32,0.010173480957746506,0.05231986194849014,0.3264281153678894
0,999,3,32,0.008741019293665886,0.12884801626205444,0.2412145733833313
0,999,4,16,0.010749483481049538,0.053904928267002106,0.38793179392814636
0,999,5,16,0.007707446347922087,0.07389628887176514,0.3475205898284912
0,999,6,8,0.0192496869713068,0.05710689723491669,0.8998785614967346
0,999,7,16,0.004697287455201149,0.03111613169312477,0.15156778693199158
0,999,8,16,0.002437757793813944,0.014636488631367683,0.0525415800511837
0,999,9,16,0.0034834984689950943,0.06932257860898972,0.09304406493902206
0,999,10,32,0.00036494788946583867,0.00493597611784935,0.0070912595838308334
0,999,11,32,0.002320235362276435,0.04781092703342438,0.048605918884277344
0,999,12,32,0.003148496150970459,0.025682998821139336,0.19207747280597687
0,999,13,64,0.1398429572582245,0.23209886252880096,1.5945055484771729
0,999,14,64,0.007185912691056728,0.10070949047803879,0.6682567596435547
0,999,15,64,0.009536059573292732,0.018410801887512207,0.4662734866142273
5,899,0,64,0.012916184961795807,0.13234011828899384,0.38683557510375977
5,899,1,64,0.07751864194869995,0.2550623416900635,1.0604826211929321
5,899,2,32,0.008459363132715225,0.0489346981048584,0.3078065514564514
5,899,3,32,0.00935025978833437,0.12920589745044708,0.25267210602760315
5,899,4,16,0.008967186324298382,0.05343903601169586,0.3052823543548584
5,899,5,16,0.007224921137094498,0.08958867192268372,0.3486902713775635
5,899,6,8,0.018465274944901466,0.061100952327251434,0.9075716733932495
5,899,7,16,0.003667091950774193,0.03957413509488106,0.11031532287597656
5,899,8,16,0.0021445744205266237,0.012111850082874298,0.0494719073176384
5,899,9,16,0.0019266369054093957,0.009138082154095173,0.0685194879770279
5,899,10,32,0.000245149276452139,0.00446704775094986,0.00511200912296772
5,899,11,32,0.001907808124087751,0.025563081726431847,0.042754389345645905
5,899,12,32,0.0025721490383148193,0.024756234139204025,0.12282650917768478
5,899,13,64,0.14850935339927673,0.24391113221645355,1.6082545518875122
5,899,14,64,0.009081412106752396,0.0804884135723114,0.6721222400665283
5,899,15,64,0.010466587729752064,0.022106565535068512,0.43796998262405396
10,799,0,64,0.010888813063502312,0.12250053137540817,0.3559897243976593
10,799,1,64,0.07757338881492615,0.24961251020431519,1.07700514793396
10,799,2,32,0.007540339138358831,0.043508075177669525,0.29400432109832764
10,799,3,32,0.009821242652833462,0.12267615646123886,0.2671451270580292
10,799,4,16,0.007414387539029121,0.04602761194109917,0.2631465792655945
10,799,5,16,0.0071030957624316216,0.10581082850694656,0.34108662605285645
10,799,6,8,0.019675442948937416,0.06602966785430908,0.8926687240600586
10,799,7,16,0.003403920214623213,0.02342134155333042,0.10885708034038544
10,799,8,16,0.0022968382108956575,0.012011980637907982,0.05265944078564644
10,799,9,16,0.001779321115463972,0.0061655230820178986,0.06093922257423401
10,799,10,32,0.00020730566757265478,0.003649089951068163,0.004429183434695005
10,799,11,32,0.0014300919137895107,0.017205532640218735,0.03755270317196846
10,799,12,32,0.0020494856871664524,0.02362191677093506,0.08316639065742493
10,799,13,64,0.15178076922893524,0.23603275418281555,1.5978208780288696
10,799,14,64,0.012865244410932064,0.06302227824926376,0.7250456809997559
10,799,15,64,0.010634361766278744,0.026972688734531403,0.41039562225341797
15,699,0,64,0.009125776588916779,0.11258543282747269,0.3273170590400696
15,699,1,64,0.07844263315200806,0.24241036176681519,1.0795050859451294
15,699,2,32,0.006488349288702011,0.03548020124435425,0.27777060866355896
15,699,3,32,0.010379881598055363,0.10178574919700623,0.28427010774612427
15,699,4,16,0.006435278337448835,0.039589010179042816,0.23956042528152466
15,699,5,16,0.0069062071852386,0.11130881309509277,0.33154362440109253
15,699,6,8,0.02073664963245392,0.06087588518857956,0.8706767559051514
15,699,7,16,0.0031483876518905163,0.02776935324072838,0.10559293627738953
15,699,8,16,0.0024134651757776737,0.013722717761993408,0.05481705442070961
15,699,9,16,0.0017035987693816423,0.005460048094391823,0.054947685450315475
15,699,10,32,0.00019552904996089637,0.0029891934245824814,0.004134530667215586
15,699,11,32,0.0011160641442984343,0.014066088944673538,0.0338931567966938
15,699,12,32,0.0016083437949419022,0.02255009487271309,0.060761500149965286
15,699,13,64,0.1521749496459961,0.24031676352024078,1.5746458768844604
15,699,14,64,0.018654003739356995,0.06675247848033905,0.8034937381744385
15,699,15,64,0.010784846730530262,0.030576137825846672,0.4015923738479614
20,599,0,64,0.00764969177544117,0.10347691923379898,0.30372947454452515
20,599,1,64,0.07893192023038864,0.24945172667503357,1.073622226715088
20,599,2,32,0.005502244457602501,0.030740952119231224,0.2568632960319519
20,599,3,32,0.011230727657675743,0.08564140647649765,0.30144739151000977
20,599,4,16,0.005877126939594746,0.03566910699009895,0.22447681427001953
20,599,5,16,0.006633643060922623,0.105292908847332,0.31832659244537354
20,599,6,8,0.02164936624467373,0.05336594581604004,0.8369314670562744
20,599,7,16,0.003002660349011421,0.02125171571969986,0.09958258271217346
20,599,8,16,0.002421220298856497,0.015166875906288624,0.05414567142724991
20,599,9,16,0.0016271518543362617,0.004437167197465897,0.05089832842350006
20,599,10,32,0.0001873083965620026,0.002408834407106042,0.004081281833350658
20,599,11,32,0.0008815950714051723,0.010589240118861198,0.030037857592105865
20,599,12,32,0.0014006808632984757,0.020997464656829834,0.049328893423080444
20,599,13,64,0.1509701907634735,0.24240535497665405,1.5505472421646118
20,599,14,64,0.025294046849012375,0.08014824986457825,0.8720473647117615
20,599,15,64,0.010836053639650345,0.04076754301786423,0.4078752100467682
25,500,0,64,0.006607345305383205,0.09252434968948364,0.28779053688049316
25,500,1,64,0.07884722948074341,0.2569386959075928,1.070056676864624
25,500,2,32,0.004793047904968262,0.02881748043000698,0.23115676641464233
25,500,3,32,0.01211528293788433,0.08236025273799896,0.31211376190185547
25,500,4,16,0.005488798953592777,0.033314649015665054,0.2099810093641281
25,500,5,16,0.006239771842956543,0.0952463150024414,0.3041873872280121
25,500,6,8,0.02255113609135151,0.049622491002082825,0.807455837726593
25,500,7,16,0.0029881400987505913,0.016954176127910614,0.0957433432340622
25,500,8,16,0.0023626391775906086,0.015355480834841728,0.05277934670448303
25,500,9,16,0.0015133768320083618,0.003679166780784726,0.04641364887356758
25,500,10,32,0.00018543809710536152,0.0020318347960710526,0.004073572810739279
25,500,11,32,0.0007748500211164355,0.013876846991479397,0.02777731791138649
25,500,12,32,0.001265742932446301,0.01915648579597473,0.042400505393743515
25,500,13,64,0.14951933920383453,0.25405994057655334,1.525780439376831
25,500,14,64,0.031796135008335114,0.10219742357730865,0.9246554374694824
25,500,15,64,0.01084853708744049,0.05210808292031288,0.4286958575248718
30,400,0,64,0.006059934385120869,0.07697056978940964,0.2788168489933014
30,400,1,64,0.07801376283168793,0.2562277317047119,1.0727975368499756
30,400,2,32,0.004221049603074789,0.027842963114380836,0.2069181352853775
30,400,3,32,0.012248875573277473,0.08296745270490646,0.31118911504745483
30,400,4,16,0.005200383253395557,0.03137323632836342,0.19716092944145203
30,400,5,16,0.005825341213494539,0.0848386287689209,0.29296237230300903
30,400,6,8,0.022997966036200523,0.049950189888477325,0.7819517850875854
30,400,7,16,0.003001541132107377,0.025327615439891815,0.09247760474681854
30,400,8,16,0.0022847577929496765,0.014738483354449272,0.05102404206991196
30,400,9,16,0.001352430321276188,0.003632902866229415,0.040057092905044556
30,400,10,32,0.00017578506958670914,0.00210913666523993,0.0038074771873652935
30,400,11,32,0.0007060429779812694,0.007764041889458895,0.025756701827049255
30,400,12,32,0.0011751842685043812,0.020131569355726242,0.037900518625974655
30,400,13,64,0.14846283197402954,0.25660234689712524,1.5111117362976074
30,400,14,64,0.037119731307029724,0.11618657410144806,0.9610255360603333
30,400,15,64,0.010968219488859177,0.05846099555492401,0.4589148759841919
35,300,0,64,0.005936107598245144,0.055149421095848083,0.2762020230293274
35,300,1,64,0.0760708898305893,0.2472555786371231,1.0694774389266968
35,300,2,32,0.003802558407187462,0.027937661856412888,0.18510612845420837
35,300,3,32,0.011021295562386513,0.07680043578147888,0.29365378618240356
35,300,4,16,0.0049664853140711784,0.028973985463380814,0.18662671744823456
35,300,5,16,0.005570209119468927,0.07636763155460358,0.28683069348335266
35,300,6,8,0.023081999272108078,0.052017029374837875,0.7573246955871582
35,300,7,16,0.0029529340099543333,0.03277341276407242,0.0872994065284729
35,300,8,16,0.002238532993942499,0.014045829884707928,0.049999434500932693
35,300,9,16,0.001329452614299953,0.003873635781928897,0.03969281166791916
35,300,10,32,0.0001645413867663592,0.0020697410218417645,0.003725795540958643
35,300,11,32,0.0006325809517875314,0.007242088206112385,0.02372710593044758
35,300,12,32,0.0011377930641174316,0.01965486630797386,0.03533227741718292
35,300,13,64,0.1472412645816803,0.25401055812835693,1.50961172580719
35,300,14,64,0.0405595488846302,0.12704849243164062,0.9792355895042419
35,300,15,64,0.011277166195213795,0.07649099826812744,0.49320363998413086
40,200,0,64,0.006083572283387184,0.035256411880254745,0.2817175090312958
40,200,1,64,0.07309937477111816,0.24442198872566223,1.0493524074554443
40,200,2,32,0.0034911520779132843,0.027978185564279556,0.16552287340164185
40,200,3,32,0.009141571819782257,0.06797225773334503,0.2627611756324768
40,200,4,16,0.004739551804959774,0.026240484789013863,0.17739057540893555
40,200,5,16,0.005472837947309017,0.0693819597363472,0.28436577320098877
40,200,6,8,0.02282625064253807,0.05319526791572571,0.7334505915641785
