step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,999,0,64,0.011599916964769363,0.13488024473190308,0.3493846654891968
0,999,1,64,0.09245386719703674,0.32079342007637024,1.1579821109771729
0,999,2,32,0.007172012235969305,0.05576058849692345,0.3311179280281067
0,999,3,32,0.01058521680533886,0.11955076456069946,0.22763538360595703
0,999,4,16,0.010666972026228905,0.042539700865745544,0.4176507890224457
0,999,5,16,0.008577060885727406,0.056802891194820404,0.3026488423347473
0,999,6,8,0.026421982795000076,0.11087426543235779,1.0001994371414185
0,999,7,16,0.006678273901343346,0.04982827231287956,0.16505837440490723
0,999,8,16,0.004952216986566782,0.07824480533599854,0.08915257453918457
0,999,9,16,0.003972893580794334,0.030840642750263214,0.08682035654783249
0,999,10,32,0.0001953316677827388,0.0032675096299499273,0.004526855424046516
0,999,11,32,0.0020675621926784515,0.021831519901752472,0.051694974303245544
0,999,12,32,0.003904638346284628,0.025772936642169952,0.19359996914863586
0,999,13,64,0.1376809924840927,0.23545032739639282,1.5771641731262207
0,999,14,64,0.007543949875980616,0.03371499851346016,0.7079967260360718
0,999,15,64,0.010223167948424816,0.018549717962741852,0.4628255069255829
5,899,0,64,0.009979543276131153,0.1307731717824936,0.33386796712875366
5,899,1,64,0.08990264683961868,0.3049696087837219,1.1043856143951416
5,899,2,32,0.007083822041749954,0.062315601855516434,0.2756909430027008
5,899,3,32,0.011599190533161163,0.12645323574543,0.2524968683719635
5,899,4,16,0.00945550762116909,0.03515855595469475,0.35696732997894287
5,899,5,16,0.007926932536065578,0.06505618989467621,0.31830641627311707
5,899,6,8,0.02313055284321308,0.1174173653125763,1.0216063261032104
5,899,7,16,0.0034327590838074684,0.025764107704162598,0.12090979516506195
5,899,8,16,0.0026190406642854214,0.031350843608379364,0.05632920563220978
5,899,9,16,0.002241042908281088,0.015638204291462898,0.07260940223932266
5,899,10,32,0.00018207152606919408,0.003085833042860031,0.004301244392991066
5,899,11,32,0.0017897388897836208,0.014565332792699337,0.04849116504192352
5,899,12,32,0.00295520038343966,0.024839000776410103,0.11981495469808578
5,899,13,64,0.15809257328510284,0.24255011975765228,1.5799264907836914
5,899,14,64,0.010569246485829353,0.06434106826782227,0.7291899919509888
5,899,15,64,0.011006987653672695,0.020157869905233383,0.45329606533050537
10,799,0,64,0.009557649493217468,0.12822917103767395,0.32843703031539917
10,799,1,64,0.09001375734806061,0.2847908139228821,1.0931048393249512
10,799,2,32,0.007254431955516338,0.06606146693229675,0.2755051255226135
10,799,3,32,0.01371239684522152,0.126382976770401,0.27063965797424316
10,799,4,16,0.008074779063463211,0.033736735582351685,0.3133869767189026
10,799,5,16,0.007912715896964073,0.0709524005651474,0.34053653478622437
10,799,6,8,0.025373391807079315,0.1277935802936554,1.0439934730529785
10,799,7,16,0.003177620004862547,0.02431364357471466,0.11187951266765594
10,799,8,16,0.002455091569572687,0.017735974863171577,0.05453895032405853
10,799,9,16,0.002006334951147437,0.011666699312627316,0.06189456209540367
10,799,10,32,0.00016282746219076216,0.002978532575070858,0.0036324085667729378
10,799,11,32,0.001380565925501287,0.011278612539172173,0.04114413633942604
10,799,12,32,0.002733057364821434,0.02396216057240963,0.08602796494960785
10,799,13,64,0.16687536239624023,0.24588750302791595,1.5866409540176392
10,799,14,64,0.015541804023087025,0.06677322089672089,0.7875773906707764
10,799,15,64,0.01143110916018486,0.02644464001059532,0.4414995312690735
15,699,0,64,0.009474936872720718,0.12412077188491821,0.3270035982131958
15,699,1,64,0.09090521931648254,0.2783719301223755,1.0844916105270386
15,699,2,32,0.007311996538192034,0.0689162015914917,0.2820128798484802
15,699,3,32,0.014863783493638039,0.12467417865991592,0.2860080301761627
