step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,999,0,64,0.011493546888232231,0.13576708734035492,0.3532067537307739
0,999,1,64,0.08943033218383789,0.2992708683013916,1.1309137344360352
0,999,2,32,0.008120661601424217,0.06377293169498444,0.2973974049091339
0,999,3,32,0.010586061514914036,0.13053004443645477,0.24819064140319824
0,999,4,16,0.01213650219142437,0.03986981511116028,0.5158634781837463
0,999,5,16,0.010065386071801186,0.06416986137628555,0.31089651584625244
0,999,6,8,0.03255029022693634,0.10466889292001724,0.783988356590271
0,999,7,16,0.0178302600979805,0.13988085091114044,0.21772633492946625
0,999,8,16,0.006588940508663654,0.08511150628328323,0.12787553668022156
0,999,9,16,0.003910479135811329,0.034446533769369125,0.07310988008975983
0,999,10,32,0.0003835971001535654,0.0315665528178215,0.004629774950444698
0,999,11,32,0.0034223655238747597,0.09401735663414001,0.0696682408452034
0,999,12,32,0.005108758807182312,0.026258103549480438,0.2167896330356598
0,999,13,64,0.12755215167999268,0.23372513055801392,1.5292150974273682
0,999,14,64,0.00737333670258522,0.05621395260095596,0.7103869318962097
0,999,15,64,0.009904790669679642,0.021344734355807304,0.44554153084754944
5,899,0,64,0.009938832372426987,0.12744170427322388,0.33382081985473633
5,899,1,64,0.08772215247154236,0.30783241987228394,1.096691608428955
5,899,2,32,0.009070414118468761,0.09774960577487946,0.26315969228744507
5,899,3,32,0.011397425085306168,0.12629584968090057,0.2672083377838135
5,899,4,16,0.011000504717230797,0.037445105612277985,0.4646119177341461
5,899,5,16,0.01117338053882122,0.07594257593154907,0.3279470205307007
5,899,6,8,0.03555917739868164,0.12555888295173645,0.7617138624191284
5,899,7,16,0.01991877518594265,0.15612193942070007,0.1977037638425827
5,899,8,16,0.005757957696914673,0.06455358117818832,0.10349588841199875
5,899,9,16,0.003211982548236847,0.02820313163101673,0.0621381551027298
5,899,10,32,0.0006853819359093904,0.048463355749845505,0.006270634941756725
5,899,11,32,0.004162382334470749,0.10110260546207428,0.08076169341802597
5,899,12,32,0.005100721959024668,0.04249587282538414,0.1852344572544098
5,899,13,64,0.13917246460914612,0.24017320573329926,1.4881701469421387
5,899,14,64,0.010451295413076878,0.06797584146261215,0.7122840285301208
5,899,15,64,0.010547474026679993,0.02452251687645912,0.4332658648490906
10,799,0,64,0.009232398122549057,0.11924545466899872,0.31829696893692017
10,799,1,64,0.08838637173175812,0.2995973527431488,1.0909969806671143
10,799,2,32,0.009190915152430534,0.09946781396865845,0.27002185583114624
10,799,3,32,0.012813456356525421,0.12322662025690079,0.2743738889694214
10,799,4,16,0.010282660834491253,0.032491352409124374,0.42963528633117676
10,799,5,16,0.012259341776371002,0.07097060233354568,0.32456105947494507
10,799,6,8,0.0367804653942585,0.13273359835147858,0.7457024455070496
10,799,7,16,0.018227171152830124,0.14483654499053955,0.17225494980812073
10,799,8,16,0.00638544000685215,0.07327130436897278,0.09646333754062653
10,799,9,16,0.003472636453807354,0.031999602913856506,0.056275807321071625
10,799,10,32,0.000640126527287066,0.046229444444179535,0.006070542149245739
10,799,11,32,0.004353939555585384,0.10713844001293182,0.0860302597284317
10,799,12,32,0.0048123616725206375,0.05309151113033295,0.1590607762336731
10,799,13,64,0.14598050713539124,0.24335861206054688,1.4843169450759888
10,799,14,64,0.015582265332341194,0.07203143835067749,0.7615522146224976
10,799,15,64,0.011003347113728523,0.028032386675477028,0.43844807147979736
15,699,0,64,0.008679762482643127,0.11063364893198013,0.3036596179008484
15,699,1,64,0.08878912776708603,0.28479456901550293,1.0803488492965698
15,699,2,32,0.009330200962722301,0.09645244479179382,0.2813197374343872
15,699,3,32,0.013566331937909126,0.12282390892505646,0.2852482497692108
15,699,4,16,0.010705890133976936,0.03202930465340614,0.42170536518096924
15,699,5,16,0.011836674995720387,0.07277121394872665,0.2876410484313965
15,699,6,8,0.03448719531297684,0.13255074620246887,0.7040809988975525
15,699,7,16,0.011911816895008087,0.11858759820461273,0.13073477149009705
15,699,8,16,0.007394949905574322,0.09998180717229843,0.09164287149906158
15,699,9,16,0.004308872856199741,0.05282417684793472,0.056063324213027954
15,699,10,32,0.0005535823293030262,0.033970318734645844,0.005185335874557495
15,699,11,32,0.004993080161511898,0.12559419870376587,0.08568648993968964
15,699,12,32,0.004157885909080505,0.0492670014500618,0.13023632764816284
15,699,13,64,0.14869573712348938,0.25193727016448975,1.4960256814956665
15,699,14,64,0.02244352549314499,0.07326465845108032,0.8330718874931335
15,699,15,64,0.011554880067706108,0.027363747358322144,0.4462195634841919
20,599,0,64,0.008269738405942917,0.10597343742847443,0.29203420877456665
20,599,1,64,0.08865492045879364,0.27267831563949585,1.0727298259735107
20,599,2,32,0.008935948833823204,0.09277629107236862,0.28608667850494385
20,599,3,32,0.013297844678163528,0.12028524279594421,0.2925705015659332
20,599,4,16,0.01064964197576046,0.031189071014523506,0.41008758544921875
20,599,5,16,0.011395543813705444,0.06953715533018112,0.26876968145370483
20,599,6,8,0.029901858419179916,0.1113026887178421,0.6507580876350403
20,599,7,16,0.008853722363710403,0.07785339653491974,0.10876049101352692
20,599,8,16,0.008306227624416351,0.11933864653110504,0.09112228453159332
20,599,9,16,0.0038578256499022245,0.08295652270317078,0.05245232582092285
20,599,10,32,0.0007948121055960655,0.11959951370954514,0.006064374931156635
20,599,11,32,0.004766650963574648,0.12968000769615173,0.0764322578907013
20,599,12,32,0.0034445030614733696,0.03878527879714966,0.10600932687520981
20,599,13,64,0.14819777011871338,0.2537631392478943,1.5053071975708008
20,599,14,64,0.029412975534796715,0.10047288239002228,0.8967989683151245
20,599,15,64,0.012456374242901802,0.03628864884376526,0.48125988245010376
25,500,0,64,0.00816536694765091,0.10346526652574539,0.28592056035995483
25,500,1,64,0.08804315328598022,0.27537432312965393,1.060032844543457
25,500,2,32,0.008533366024494171,0.08918918669223785,0.28097259998321533
25,500,3,32,0.012363556772470474,0.11415046453475952,0.29285919666290283
25,500,4,16,0.01080240122973919,0.031118588522076607,0.4082472026348114
25,500,5,16,0.010846899822354317,0.06440584361553192,0.2479434758424759
25,500,6,8,0.02537047117948532,0.08390995860099792,0.5991315841674805
25,500,7,16,0.007612655870616436,0.06322263181209564,0.09755892306566238
25,500,8,16,0.009691070765256882,0.12390697747468948,0.09271469712257385
25,500,9,16,0.004020402207970619,0.07350094616413116,0.049411993473768234
25,500,10,32,0.0007628349703736603,0.1244836375117302,0.005822468549013138
25,500,11,32,0.006529430393129587,0.18148596584796906,0.08878985047340393
25,500,12,32,0.0038406644016504288,0.06005743145942688,0.09691093862056732
25,500,13,64,0.14765149354934692,0.2590014338493347,1.4958369731903076
25,500,14,64,0.03540428355336189,0.11983903497457504,0.9366273880004883
25,500,15,64,0.013073624111711979,0.04937300831079483,0.5059933662414551
30,400,0,64,0.008301951922476292,0.10213948786258698,0.28537172079086304
30,400,1,64,0.08638657629489899,0.2773948907852173,1.042373538017273
30,400,2,32,0.008106861263513565,0.08334480971097946,0.2672402262687683
30,400,3,32,0.011221757158637047,0.1080719530582428,0.28654587268829346
30,400,4,16,0.011036856099963188,0.031545642763376236,0.40615278482437134
30,400,5,16,0.00995929166674614,0.05660908296704292,0.23543429374694824
30,400,6,8,0.023071778938174248,0.07085973024368286,0.5619707107543945
30,400,7,16,0.007328647654503584,0.06189844757318497,0.09134744852781296
30,400,8,16,0.009733851999044418,0.11600358784198761,0.08996949344873428
30,400,9,16,0.003931592218577862,0.07650543004274368,0.0452035553753376
30,400,10,32,0.000709182524587959,0.12453678250312805,0.005551853682845831
30,400,11,32,0.007469117641448975,0.2393556535243988,0.09376437962055206
30,400,12,32,0.0038443482480943203,0.06857404112815857,0.08680270612239838
30,400,13,64,0.14728882908821106,0.2628002464771271,1.4920144081115723
30,400,14,64,0.0401771105825901,0.13853022456169128,0.9589933156967163
30,400,15,64,0.013550600968301296,0.06216230243444443,0.5270497798919678
35,300,0,64,0.008475954644382,0.09888079762458801,0.2869853973388672
35,300,1,64,0.08344051986932755,0.27925562858581543,1.0227290391921997
35,300,2,32,0.007643447257578373,0.07693399488925934,0.25053203105926514
35,300,3,32,0.010029466822743416,0.1027057096362114,0.27582573890686035
35,300,4,16,0.010881882160902023,0.03222747892141342,0.39834338426589966
35,300,5,16,0.009231298230588436,0.0535036139190197,0.23000526428222656
35,300,6,8,0.02200871706008911,0.06592519581317902,0.5377209782600403
35,300,7,16,0.0072401585057377815,0.06851883977651596,0.08757522702217102
35,300,8,16,0.009138260968029499,0.11820919811725616,0.08644384145736694
35,300,9,16,0.0036098547279834747,0.07196453213691711,0.04248461499810219
35,300,10,32,0.0006917340797372162,0.12441301345825195,0.005332987755537033
35,300,11,32,0.007131422869861126,0.2596885561943054,0.0887376219034195
35,300,12,32,0.003594612702727318,0.07187994569540024,0.07736429572105408
