step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,999,0,64,0.01049101259559393,0.1414874792098999,0.35285431146621704
0,999,1,64,0.09053666144609451,0.29372918605804443,1.1310003995895386
0,999,2,32,0.009402241557836533,0.06953272968530655,0.3479169011116028
0,999,3,32,0.009431745857000351,0.10335752367973328,0.26190638542175293
0,999,4,16,0.011758824810385704,0.050408635288476944,0.4627038836479187
0,999,5,16,0.010060593485832214,0.10167142748832703,0.32117554545402527
0,999,6,8,0.03771165758371353,0.14320498704910278,0.7621880769729614
0,999,7,16,0.013834470883011818,0.10882497578859329,0.17816513776779175
0,999,8,16,0.011871382594108582,0.15036964416503906,0.15929445624351501
0,999,9,16,0.004365299828350544,0.047672759741544724,0.06600838899612427
0,999,10,32,0.00041842047357931733,0.018547676503658295,0.004717489704489708
0,999,11,32,0.0029889577999711037,0.0945972204208374,0.06956188380718231
0,999,12,32,0.005508561618626118,0.02722242847084999,0.21144035458564758
0,999,13,64,0.12498541176319122,0.22907884418964386,1.5054564476013184
0,999,14,64,0.007403919473290443,0.033587731420993805,0.7079522609710693
0,999,15,64,0.010206956416368484,0.01849481835961342,0.45081251859664917
5,899,0,64,0.008984042331576347,0.1323014795780182,0.3380700349807739
5,899,1,64,0.08794517070055008,0.29367905855178833,1.0841925144195557
5,899,2,32,0.009709801524877548,0.0906393751502037,0.29356682300567627
5,899,3,32,0.0098774628713727,0.10962940007448196,0.28353965282440186
5,899,4,16,0.010972478426992893,0.04386819899082184,0.41397058963775635
5,899,5,16,0.010350724682211876,0.08869952708482742,0.3439905643463135
5,899,6,8,0.033619679510593414,0.12581665813922882,0.7498669624328613
5,899,7,16,0.01559942401945591,0.12715305387973785,0.18116338551044464
5,899,8,16,0.009462648071348667,0.12481119483709335,0.14687716960906982
5,899,9,16,0.004238669760525227,0.04860255867242813,0.07369893044233322
5,899,10,32,0.0004840825276914984,0.02745971456170082,0.005571243353188038
5,899,11,32,0.002986855572089553,0.08750248700380325,0.07109726220369339
5,899,12,32,0.00498343538492918,0.027269044890999794,0.17468412220478058
5,899,13,64,0.1388208568096161,0.24733370542526245,1.4594776630401611
5,899,14,64,0.010318571701645851,0.040106162428855896,0.7130746841430664
5,899,15,64,0.010632666759192944,0.020076684653759003,0.43630486726760864
10,799,0,64,0.008444583043456078,0.12444246560335159,0.3277696967124939
10,799,1,64,0.08825111389160156,0.27550557255744934,1.067864179611206
10,799,2,32,0.010023878887295723,0.09499692916870117,0.29106611013412476
10,799,3,32,0.010733503848314285,0.10090609639883041,0.2939636707305908
10,799,4,16,0.010460546240210533,0.04084642976522446,0.3862570524215698
10,799,5,16,0.011056002229452133,0.08000994473695755,0.3511488437652588
10,799,6,8,0.033575527369976044,0.12237276881933212,0.726442813873291
10,799,7,16,0.015109228901565075,0.12952515482902527,0.17128023505210876
10,799,8,16,0.009174071252346039,0.11519879847764969,0.13635963201522827
10,799,9,16,0.004182546399533749,0.045096464455127716,0.07319844514131546
10,799,10,32,0.0006485271733254194,0.0608116015791893,0.005924948491156101
10,799,11,32,0.0031293423380702734,0.0902852863073349,0.07306273281574249
10,799,12,32,0.005283511709421873,0.03359581530094147,0.15996941924095154
10,799,13,64,0.14625120162963867,0.25814104080200195,1.452406883239746
10,799,14,64,0.014925322495400906,0.05852069705724716,0.7552642226219177
10,799,15,64,0.01133737899363041,0.022411134093999863,0.44107288122177124
15,699,0,64,0.008259178139269352,0.11241670697927475,0.32188981771469116
15,699,1,64,0.08949866890907288,0.2816571593284607,1.0559980869293213
15,699,2,32,0.010377295315265656,0.09661022573709488,0.29972007870674133
15,699,3,32,0.011538296937942505,0.08872769773006439,0.3019924759864807
15,699,4,16,0.010782754980027676,0.04340976104140282,0.386902779340744
15,699,5,16,0.011964097619056702,0.06823594123125076,0.317696750164032
15,699,6,8,0.03295902907848358,0.12502558529376984,0.673382043838501
15,699,7,16,0.013074712827801704,0.11847234517335892,0.15160992741584778
15,699,8,16,0.011033384129405022,0.1216493472456932,0.12114778161048889
15,699,9,16,0.004374206997454166,0.04539385065436363,0.06976024806499481
15,699,10,32,0.0008297646418213844,0.10138630867004395,0.006164723541587591
15,699,11,32,0.004174754489213228,0.12162086367607117,0.08492421358823776
15,699,12,32,0.006118815392255783,0.057512346655130386,0.14930075407028198
15,699,13,64,0.1490219384431839,0.26268184185028076,1.465564250946045
15,699,14,64,0.0205270703881979,0.07566586881875992,0.8078155517578125
15,699,15,64,0.012186845764517784,0.029138628393411636,0.46048253774642944
20,599,0,64,0.008397629484534264,0.10297086089849472,0.3221958875656128
20,599,1,64,0.09059606492519379,0.2850481867790222,1.0505552291870117
20,599,2,32,0.011130962520837784,0.0952225774526596,0.3125368356704712
20,599,3,32,0.0115360077470541,0.08809138089418411,0.30509039759635925
20,599,4,16,0.010917697101831436,0.03846363723278046,0.3901813328266144
20,599,5,16,0.013176829554140568,0.07894676923751831,0.30012187361717224
20,599,6,8,0.029744289815425873,0.11733023077249527,0.6205873489379883
20,599,7,16,0.011602537706494331,0.10267132520675659,0.12369981408119202
20,599,8,16,0.012623834423720837,0.1297568827867508,0.10873474180698395
20,599,9,16,0.0055891359224915504,0.10388299077749252,0.06734758615493774
20,599,10,32,0.0007290621870197356,0.11902710050344467,0.005747831426560879
20,599,11,32,0.00709264911711216,0.2640531361103058,0.10584543645381927
20,599,12,32,0.007407945115119219,0.09837832301855087,0.14200374484062195
20,599,13,64,0.1510418951511383,0.26610705256462097,1.4820692539215088
20,599,14,64,0.026828113943338394,0.09880094230175018,0.8748183846473694
20,599,15,64,0.013518894091248512,0.059025056660175323,0.49425646662712097
25,500,0,64,0.008543909527361393,0.09674754738807678,0.32386258244514465
25,500,1,64,0.09102287888526917,0.28734344244003296,1.040794849395752
25,500,2,32,0.012315749190747738,0.09126210957765579,0.32705920934677124
25,500,3,32,0.010876953601837158,0.10064347833395004,0.3037327527999878
25,500,4,16,0.010950393974781036,0.03337322920560837,0.39148277044296265
25,500,5,16,0.013761596754193306,0.09041596949100494,0.28077512979507446
25,500,6,8,0.02652469463646412,0.10123248398303986,0.5797898173332214
25,500,7,16,0.011037221178412437,0.0939289852976799,0.11064706742763519
25,500,8,16,0.011255905032157898,0.1177372932434082,0.0935271680355072
25,500,9,16,0.005746792536228895,0.10515577346086502,0.06272624433040619
25,500,10,32,0.0006608597468584776,0.12479142844676971,0.0057336799800395966
25,500,11,32,0.00876730214804411,0.26902318000793457,0.11187204718589783
25,500,12,32,0.007763729430735111,0.12570753693580627,0.1283511221408844
25,500,13,64,0.15174302458763123,0.27097445726394653,1.4913406372070312
25,500,14,64,0.03211026266217232,0.1164611428976059,0.9095337390899658
25,500,15,64,0.013617335818707943,0.05934157967567444,0.5111203193664551
30,400,0,64,0.008653393015265465,0.09238751977682114,0.3285696506500244
30,400,1,64,0.09007596969604492,0.28676173090934753,1.0220708847045898
30,400,2,32,0.013604327104985714,0.08294826745986938,0.33426007628440857
30,400,3,32,0.010051400400698185,0.1102924570441246,0.2984354496002197
30,400,4,16,0.010904617607593536,0.03554772585630417,0.38939541578292847
30,400,5,16,0.012809894979000092,0.08871056139469147,0.2549264132976532
30,400,6,8,0.024562552571296692,0.07751628756523132,0.5346367359161377
