step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,999,0,64,0.011225933209061623,0.1579514443874359,0.34022802114486694
0,999,1,64,0.09293995797634125,0.2813720703125,1.1420589685440063
0,999,2,32,0.007051078137010336,0.03867824375629425,0.3095611035823822
0,999,3,32,0.01025901548564434,0.12236183136701584,0.2527276575565338
0,999,4,16,0.010615892708301544,0.04411691054701805,0.4402742385864258
0,999,5,16,0.009348687715828419,0.06724826991558075,0.3277706801891327
0,999,6,8,0.031145716086030006,0.11528297513723373,0.7816488742828369
0,999,7,16,0.01798279955983162,0.1373562067747116,0.22337353229522705
0,999,8,16,0.0056809838861227036,0.10118994116783142,0.12043523788452148
0,999,9,16,0.003582922276109457,0.0283314511179924,0.0724114179611206
0,999,10,32,0.0003761436673812568,0.029554031789302826,0.0047753178514540195
0,999,11,32,0.0029223402962088585,0.07683555036783218,0.06308594346046448
0,999,12,32,0.004696965217590332,0.024688657373189926,0.20969869196414948
0,999,13,64,0.13022243976593018,0.23439233005046844,1.5200366973876953
0,999,14,64,0.00746389664709568,0.057330794632434845,0.7178093791007996
0,999,15,64,0.009895112365484238,0.020900966599583626,0.45182493329048157
5,899,0,64,0.009616807103157043,0.15221340954303741,0.31936386227607727
5,899,1,64,0.09023603051900864,0.28570556640625,1.093139410018921
5,899,2,32,0.007246762979775667,0.048714883625507355,0.26641255617141724
5,899,3,32,0.010666260495781898,0.12374752014875412,0.27177315950393677
5,899,4,16,0.00990620069205761,0.04007353261113167,0.40242084860801697
5,899,5,16,0.010294990614056587,0.06676481664180756,0.3363988697528839
5,899,6,8,0.031831204891204834,0.12490599602460861,0.7554289102554321
5,899,7,16,0.019378891214728355,0.15507563948631287,0.20358605682849884
5,899,8,16,0.005226447246968746,0.08774511516094208,0.10073037445545197
5,899,9,16,0.0034021283499896526,0.03264682739973068,0.06529334932565689
5,899,10,32,0.0006326016737148166,0.0339123010635376,0.006550353951752186
5,899,11,32,0.0036063618026673794,0.09217556565999985,0.0731833279132843
5,899,12,32,0.004417680203914642,0.033848900347948074,0.17667901515960693
5,899,13,64,0.14302867650985718,0.2408725917339325,1.4613103866577148
5,899,14,64,0.010626105591654778,0.07469923049211502,0.7249882221221924
5,899,15,64,0.01055615022778511,0.02516162395477295,0.44685298204421997
10,799,0,64,0.00890304334461689,0.14342589676380157,0.30283838510513306
10,799,1,64,0.09056288003921509,0.2889922261238098,1.083682656288147
10,799,2,32,0.007318360731005669,0.0475422702729702,0.27296850085258484
10,799,3,32,0.011923120357096195,0.12292375415563583,0.28201794624328613
10,799,4,16,0.009737939573824406,0.039120905101299286,0.3790743947029114
10,799,5,16,0.011374449357390404,0.08122645318508148,0.31183987855911255
10,799,6,8,0.03296559303998947,0.12875787913799286,0.7251753211021423
10,799,7,16,0.017972856760025024,0.14727407693862915,0.18420901894569397
10,799,8,16,0.0057021575048565865,0.09549321979284286,0.08949442207813263
10,799,9,16,0.004033944569528103,0.05600538104772568,0.06097867339849472
10,799,10,32,0.0007730117067694664,0.05815516412258148,0.006822496652603149
10,799,11,32,0.0034527364186942577,0.09594809263944626,0.07417035102844238
10,799,12,32,0.00401864480227232,0.03728260099887848,0.15087857842445374
10,799,13,64,0.15016509592533112,0.2473168671131134,1.4610577821731567
10,799,14,64,0.015538731589913368,0.06877594441175461,0.774613618850708
10,799,15,64,0.01122334972023964,0.031297169625759125,0.4591550827026367
15,699,0,64,0.008452306501567364,0.134121835231781,0.2886536717414856
15,699,1,64,0.09063770622015,0.2805912494659424,1.0739773511886597
15,699,2,32,0.007039753720164299,0.044885218143463135,0.27635735273361206
15,699,3,32,0.012859390117228031,0.1179104745388031,0.2917380928993225
15,699,4,16,0.009944353252649307,0.03616500645875931,0.37752994894981384
15,699,5,16,0.010753955692052841,0.06218143180012703,0.27852293848991394
15,699,6,8,0.02985677495598793,0.11774634569883347,0.6804878115653992
15,699,7,16,0.015666533261537552,0.12627306580543518,0.15928009152412415
15,699,8,16,0.007024774327874184,0.10101324319839478,0.08793866634368896
15,699,9,16,0.004658198915421963,0.06534922868013382,0.06286397576332092
15,699,10,32,0.0009030321380123496,0.10691862553358078,0.006762874312698841
15,699,11,32,0.0037417099811136723,0.09801659733057022,0.07563348114490509
15,699,12,32,0.003505145199596882,0.031633589416742325,0.12621286511421204
15,699,13,64,0.15338608622550964,0.25509095191955566,1.4748204946517944
15,699,14,64,0.02195233851671219,0.07838207483291626,0.8451980352401733
15,699,15,64,0.01201610453426838,0.038522869348526,0.4808657169342041
20,599,0,64,0.00815772358328104,0.12761342525482178,0.2768341302871704
20,599,1,64,0.08987731486558914,0.2727017402648926,1.0665249824523926
20,599,2,32,0.006638884078711271,0.04480428248643875,0.2811122536659241
20,599,3,32,0.0122868362814188,0.11698098480701447,0.29478830099105835
20,599,4,16,0.01038232073187828,0.03351343795657158,0.3843667507171631
20,599,5,16,0.008663969114422798,0.04400874301791191,0.24152693152427673
20,599,6,8,0.027382932603359222,0.10998568683862686,0.6284696459770203
20,599,7,16,0.013726556673645973,0.10490565747022629,0.13857769966125488
20,599,8,16,0.009154214523732662,0.11312796920537949,0.09967678785324097
20,599,9,16,0.0040856110863387585,0.053927917033433914,0.05971307307481766
20,599,10,32,0.00087071891175583,0.11210132390260696,0.00608387915417552
20,599,11,32,0.0039028062019497156,0.11663920432329178,0.07209816575050354
20,599,12,32,0.0030178362503647804,0.025189358741044998,0.10330738127231598
20,599,13,64,0.15352517366409302,0.260122150182724,1.482210636138916
20,599,14,64,0.02871858887374401,0.10194805264472961,0.9050961136817932
20,599,15,64,0.01274997740983963,0.049191176891326904,0.5077178478240967
25,500,0,64,0.008222505450248718,0.12362739443778992,0.2736847996711731
25,500,1,64,0.08836902678012848,0.27400845289230347,1.053882360458374
25,500,2,32,0.006371071562170982,0.04625283181667328,0.2750098705291748
25,500,3,32,0.011356590315699577,0.12158623337745667,0.29296132922172546
25,500,4,16,0.010751972906291485,0.041591037064790726,0.38590696454048157
25,500,5,16,0.00787290558218956,0.04093027859926224,0.22145995497703552
25,500,6,8,0.023677263408899307,0.09099174290895462,0.5850123167037964
25,500,7,16,0.01026513148099184,0.09985174238681793,0.11348920315504074
25,500,8,16,0.010229721665382385,0.1272265911102295,0.09868735074996948
25,500,9,16,0.0030861166305840015,0.038869041949510574,0.05113750696182251
25,500,10,32,0.0008064687135629356,0.11860580742359161,0.00582456961274147
25,500,11,32,0.004356598947197199,0.13380175828933716,0.06953726708889008
25,500,12,32,0.002884936984628439,0.0425211638212204,0.08749126642942429
25,500,13,64,0.15138466656208038,0.2667640149593353,1.4801864624023438
25,500,14,64,0.03446029871702194,0.11917490512132645,0.9466323256492615
25,500,15,64,0.013400972820818424,0.07323619723320007,0.5304160118103027
30,400,0,64,0.008501492440700531,0.12104710191488266,0.27676862478256226
30,400,1,64,0.0857013612985611,0.2721421718597412,1.0328137874603271
30,400,2,32,0.006177453324198723,0.055405549705028534,0.2617781162261963
30,400,3,32,0.010396583937108517,0.12295341491699219,0.28621137142181396
30,400,4,16,0.011075581423938274,0.041967522352933884,0.38841909170150757
30,400,5,16,0.007690110709518194,0.05019627884030342,0.21022361516952515
30,400,6,8,0.020664164796471596,0.06453751027584076,0.5558614730834961
30,400,7,16,0.007732197176665068,0.07547494769096375,0.09602424502372742
30,400,8,16,0.01061222143471241,0.1196279302239418,0.09626568853855133
30,400,9,16,0.0028286082670092583,0.052006423473358154,0.046647049486637115
30,400,10,32,0.0007150433957576752,0.12291231006383896,0.0054990388453006744
30,400,11,32,0.005196529906243086,0.17000870406627655,0.07456103712320328
30,400,12,32,0.002989506581798196,0.053375016897916794,0.08044007420539856
30,400,13,64,0.14929816126823425,0.2711748480796814,1.4728200435638428
30,400,14,64,0.038716837763786316,0.1297428011894226,0.9664157629013062
30,400,15,64,0.013824744150042534,0.09394665062427521,0.5482884645462036
35,300,0,64,0.008764686062932014,0.11825012415647507,0.28166279196739197
35,300,1,64,0.08163706213235855,0.26574867963790894,1.0056939125061035
35,300,2,32,0.0059764450415968895,0.0487179234623909,0.24373793601989746
35,300,3,32,0.009348963387310505,0.10799557715654373,0.2754669487476349
35,300,4,16,0.01099324319511652,0.037958744913339615,0.388677716255188
35,300,5,16,0.007692360319197178,0.04753345996141434,0.21143390238285065
35,300,6,8,0.019508495926856995,0.04404832422733307,0.5345019102096558
35,300,7,16,0.006978816352784634,0.052575234323740005,0.08998562395572662
35,300,8,16,0.010357093065977097,0.10164637118577957,0.0960172712802887
35,300,9,16,0.0027755312621593475,0.05830959603190422,0.04559912532567978
35,300,10,32,0.0006581590860150754,0.12277489900588989,0.005144145339727402
35,300,11,32,0.00527205178514123,0.1629168689250946,0.07526791840791702
35,300,12,32,0.003061830997467041,0.061407867819070816,0.07513852417469025
35,300,13,64,0.14870642125606537,0.27267715334892273,1.4649412631988525
35,300,14,64,0.04149869829416275,0.1387665569782257,0.9747785329818726
35,300,15,64,0.014333240687847137,0.09903358668088913,0.5688692331314087
40,200,0,64,0.008672046475112438,0.11447787284851074,0.28431472182273865
40,200,1,64,0.07593803107738495,0.25036880373954773,0.9666604995727539
40,200,2,32,0.005553397815674543,0.044422466307878494,0.22152185440063477
40,200,3,32,0.008378547616302967,0.06004907935857773,0.2605535089969635
40,200,4,16,0.010623942129313946,0.03371458873152733,0.387012243270874
40,200,5,16,0.007381105795502663,0.04322585463523865,0.21336877346038818
40,200,6,8,0.01913902536034584,0.041166625916957855,0.5140392780303955
40,200,7,16,0.006804611999541521,0.04783742502331734,0.08932767808437347
40,200,8,16,0.009485732764005661,0.09467040002346039,0.09335366636514664
40,200,9,16,0.0028541311621665955,0.06547396630048752,0.04632675275206566
40,200,10,32,0.0005866822903044522,0.12280629575252533,0.004641947336494923
40,200,11,32,0.0051147062331438065,0.1355879008769989,0.07532285153865814
40,200,12,32,0.003096825908869505,0.062135711312294006,0.07223197817802429
40,200,13,64,0.14886875450611115,0.2714536786079407,1.455940842628479
40,200,14,64,0.04225025326013565,0.14809028804302216,0.9744250178337097
40,200,15,64,0.014829054474830627,0.11631538718938828,0.5896540880203247
45,100,0,64,0.007970554754137993,0.10915978997945786,0.28421738743782043
45,100,1,64,0.06729913502931595,0.22374537587165833,0.8982760906219482
45,100,2,32,0.004802396986633539,0.038725391030311584,0.1931125819683075
45,100,3,32,0.007576160132884979,0.05084545910358429,0.2359299659729004
45,100,4,16,0.010154111310839653,0.03194420412182808,0.37737908959388733
45,100,5,16,0.006613441742956638,0.0485074557363987,0.21246257424354553
45,100,6,8,0.01894373819231987,0.04570873826742172,0.5007978677749634
45,100,7,16,0.00648374343290925,0.04040856286883354,0.08927268534898758
45,100,8,16,0.008285959251224995,0.09494327008724213,0.08694867789745331
45,100,9,16,0.002731362357735634,0.057499565184116364,0.04792148992419243
45,100,10,32,0.0005053869099356234,0.1210683062672615,0.004160764627158642
45,100,11,32,0.004495061468333006,0.1102609932422638,0.07141180336475372
45,100,12,32,0.0030106031335890293,0.053833089768886566,0.06922393292188644
45,100,13,64,0.15124669671058655,0.2697107791900635,1.4474186897277832
45,100,14,64,0.040613919496536255,0.14977839589118958,0.9624539017677307
45,100,15,64,0.014991289004683495,0.14288021624088287,0.6050291061401367
49,20,0,64,0.006702907849103212,0.10528533160686493,0.2808231711387634
49,20,1,64,0.052572496235370636,0.24891412258148193,0.7241754531860352
49,20,2,32,0.0037564290687441826,0.033269330859184265,0.158308744430542
49,20,3,32,0.00655770767480135,0.04610155150294304,0.19934196770191193
49,20,4,16,0.009262599050998688,0.0357375293970108,0.3443070650100708
49,20,5,16,0.006021816283464432,0.04161737114191055,0.21095506846904755
49,20,6,8,0.018779577687382698,0.04352893680334091,0.4959670901298523
49,20,7,16,0.0056493342854082584,0.037683237344026566,0.08159928023815155
49,20,8,16,0.006622662302106619,0.08797942847013474,0.07776753604412079
49,20,9,16,0.0024081163574010134,0.050505854189395905,0.04976306110620499
49,20,10,32,0.00038717457209713757,0.11596709489822388,0.00378170027397573
49,20,11,32,0.003291042987257242,0.09227794408798218,0.06130216270685196
49,20,12,32,0.0027546945493668318,0.0404849536716938,0.06459639966487885
49,20,13,64,0.1603989452123642,0.27153539657592773,1.435916543006897
49,20,14,64,0.035200539976358414,0.13626205921173096,0.9228838682174683
49,20,15,64,0.014166448265314102,0.14326906204223633,0.6043224334716797
