step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,999,0,64,0.01259114220738411,0.12796561419963837,0.365977019071579
0,999,1,64,0.08594207465648651,0.2772971987724304,1.1492817401885986
0,999,2,32,0.005315486807376146,0.03603509068489075,0.2505238950252533
0,999,3,32,0.011862985789775848,0.12621022760868073,0.2467217892408371
0,999,4,16,0.0114496611058712,0.037096332758665085,0.4169154763221741
0,999,5,16,0.007875188253819942,0.052322227507829666,0.29840803146362305
0,999,6,8,0.026715783402323723,0.09527439624071121,0.835547685623169
0,999,7,16,0.007825850509107113,0.07683922350406647,0.1974349319934845
0,999,8,16,0.004164176993072033,0.06513305008411407,0.09138648957014084
0,999,9,16,0.004073143005371094,0.032542143017053604,0.09853046387434006
0,999,10,32,0.0002654457639437169,0.005145803559571505,0.005317219998687506
0,999,11,32,0.002631366951391101,0.09587754309177399,0.061735525727272034
0,999,12,32,0.003420443506911397,0.0245467908680439,0.1669009029865265
0,999,13,64,0.1355435848236084,0.23719915747642517,1.5923268795013428
0,999,14,64,0.00757274916395545,0.06975173950195312,0.723760187625885
0,999,15,64,0.010519290342926979,0.019689586013555527,0.481253445148468
5,899,0,64,0.01054426096379757,0.11435659229755402,0.34977099299430847
5,899,1,64,0.07978350669145584,0.29516202211380005,1.074376106262207
5,899,2,32,0.004961478523910046,0.04784645885229111,0.19536049664020538
5,899,3,32,0.0130216795951128,0.131760835647583,0.2688037157058716
5,899,4,16,0.010855677537620068,0.03450963273644447,0.34503018856048584
5,899,5,16,0.0073249018751084805,0.09427162259817123,0.31899070739746094
5,899,6,8,0.0237421877682209,0.09493467956781387,0.8812023401260376
5,899,7,16,0.003246685955673456,0.018934082239866257,0.13607314229011536
5,899,8,16,0.00228678691200912,0.016270143911242485,0.0506567545235157
5,899,9,16,0.001771833747625351,0.011326447129249573,0.06610239297151566
5,899,10,32,0.00018894443928729743,0.0030290461145341396,0.004516386426985264
5,899,11,32,0.002054144162684679,0.02770385891199112,0.04962489753961563
5,899,12,32,0.0025107800029218197,0.023239044472575188,0.09774000942707062
5,899,13,64,0.1537196934223175,0.24136234819889069,1.5836093425750732
5,899,14,64,0.010350018739700317,0.0299165528267622,0.7268927097320557
5,899,15,64,0.010841166600584984,0.01977863721549511,0.4656054973602295
10,799,0,64,0.010070535354316235,0.10312683880329132,0.34499111771583557
10,799,1,64,0.07987643033266068,0.2908012866973877,1.0632691383361816
10,799,2,32,0.005112499464303255,0.04508122429251671,0.1893993616104126
