step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,999,0,64,0.012960159219801426,0.10420495271682739,0.4298461675643921
0,999,1,64,0.08129354566335678,0.2967950105667114,1.200869083404541
0,999,2,32,0.0054329559206962585,0.023944340646266937,0.3748955726623535
0,999,3,32,0.008238302543759346,0.09084155410528183,0.22550998628139496
0,999,4,16,0.009042639285326004,0.03461349755525589,0.40972399711608887
0,999,5,16,0.015469937585294247,0.08469666540622711,0.4026908278465271
0,999,6,8,0.019841400906443596,0.07677581161260605,1.0436252355575562
0,999,7,16,0.03222170099616051,0.1783580631017685,0.45801684260368347
0,999,8,16,0.016146253794431686,0.12531742453575134,0.21280869841575623
0,999,9,16,0.0222514346241951,0.23902559280395508,0.22759410738945007
0,999,10,32,0.00048394317855127156,0.02623455785214901,0.01150740496814251
0,999,11,32,0.0013092497829347849,0.012622086331248283,0.08845588564872742
0,999,12,32,0.0049757761880755424,0.031371042132377625,0.24348567426204681
0,999,13,64,0.1299363076686859,0.23087571561336517,1.5392512083053589
0,999,14,64,0.004970802925527096,0.027947377413511276,0.6998234987258911
0,999,15,64,0.0075667789205908775,0.017865628004074097,0.5292468667030334
5,899,0,64,0.008858668617904186,0.09706006944179535,0.38945847749710083
5,899,1,64,0.08397471159696579,0.3079237639904022,1.2321970462799072
5,899,2,32,0.0061906673945486546,0.027593256905674934,0.3794594705104828
5,899,3,32,0.009469479322433472,0.10959716886281967,0.23527993261814117
5,899,4,16,0.011691795662045479,0.06054822728037834,0.41950297355651855
5,899,5,16,0.014738666824996471,0.07042787224054337,0.3790413737297058
5,899,6,8,0.017460379749536514,0.08479472994804382,1.0200692415237427
5,899,7,16,0.028897371143102646,0.19085273146629333,0.44520437717437744
5,899,8,16,0.008353052660822868,0.06681176275014877,0.1448051929473877
5,899,9,16,0.017533566802740097,0.22010616958141327,0.21396465599536896
5,899,10,32,0.000716299400664866,0.021621622145175934,0.017832748591899872
5,899,11,32,0.0011261972831562161,0.007304874714463949,0.09677933156490326
5,899,12,32,0.005063585005700588,0.029757026582956314,0.2016933262348175
5,899,13,64,0.1443101167678833,0.2579866945743561,1.6120867729187012
5,899,14,64,0.0070584737695753574,0.029735907912254333,0.7368042469024658
5,899,15,64,0.007892722263932228,0.027573291212320328,0.471500426530838
10,799,0,64,0.007206379435956478,0.09320040047168732,0.36134427785873413
10,799,1,64,0.08370320498943329,0.30929580330848694,1.225520372390747
10,799,2,32,0.006708880886435509,0.029897434636950493,0.3840646743774414
10,799,3,32,0.011472398415207863,0.116605743765831,0.2549326419830322
10,799,4,16,0.014263411983847618,0.08515285700559616,0.4110235869884491
10,799,5,16,0.012393062934279442,0.062454089522361755,0.35782891511917114
10,799,6,8,0.017703281715512276,0.06636185199022293,1.0661094188690186
10,799,7,16,0.024847568944096565,0.15784084796905518,0.431898832321167
10,799,8,16,0.005967368371784687,0.05705074220895767,0.1196308583021164
10,799,9,16,0.014352189376950264,0.1448487639427185,0.18137894570827484
10,799,10,32,0.00034808466443791986,0.009125466458499432,0.010563826188445091
10,799,11,32,0.0008707630913704634,0.005323978140950203,0.07737568765878677
10,799,12,32,0.004364532418549061,0.028464071452617645,0.16119761765003204
10,799,13,64,0.1547175794839859,0.28320935368537903,1.7196424007415771
10,799,14,64,0.010338004678487778,0.061861395835876465,0.830330491065979
10,799,15,64,0.008112600073218346,0.031757257878780365,0.46253955364227295
15,699,0,64,0.006412226241081953,0.08826480060815811,0.3420850932598114
15,699,1,64,0.08252598345279694,0.31062182784080505,1.2033300399780273
15,699,2,32,0.007153170183300972,0.03193405270576477,0.39272722601890564
15,699,3,32,0.01482880674302578,0.1156010627746582,0.2873724400997162
15,699,4,16,0.013876811601221561,0.08620066940784454,0.38791364431381226
15,699,5,16,0.011003516614437103,0.05681953951716423,0.3485695421695709
15,699,6,8,0.018394598737359047,0.051798686385154724,1.1328411102294922
15,699,7,16,0.020204365253448486,0.11116469651460648,0.4082350730895996
15,699,8,16,0.004800665192306042,0.04105701670050621,0.1088138222694397
15,699,9,16,0.011653199791908264,0.11933345347642899,0.14371687173843384
15,699,10,32,0.0001989839511225,0.009172593243420124,0.00622070487588644
15,699,11,32,0.0006852112710475922,0.005308513529598713,0.06085547059774399
15,699,12,32,0.0038681281730532646,0.027260348200798035,0.13157053291797638
15,699,13,64,0.1571868360042572,0.29611557722091675,1.7408419847488403
15,699,14,64,0.014459894970059395,0.08479742705821991,0.9203338623046875
