step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,999,0,64,0.010513659566640854,0.12770846486091614,0.38708221912384033
0,999,1,64,0.09105131030082703,0.32901516556739807,1.253859043121338
0,999,2,32,0.008058128878474236,0.028531134128570557,0.38701337575912476
0,999,3,32,0.010645955801010132,0.11955338716506958,0.25883543491363525
0,999,4,16,0.011595361866056919,0.05807929486036301,0.42669472098350525
0,999,5,16,0.010955149307847023,0.04523090645670891,0.40027403831481934
0,999,6,8,0.016650056466460228,0.07501107454299927,1.0072166919708252
0,999,7,16,0.024338312447071075,0.16185058653354645,0.46338528394699097
0,999,8,16,0.008310714736580849,0.08250316977500916,0.14569395780563354
0,999,9,16,0.012557566165924072,0.13382476568222046,0.20777952671051025
0,999,10,32,0.0013250436168164015,0.02672465145587921,0.02790280431509018
0,999,11,32,0.001366139273159206,0.012042282149195671,0.09569954872131348
0,999,12,32,0.004715276882052422,0.030600562691688538,0.2078036367893219
0,999,13,64,0.13519012928009033,0.2450830191373825,1.5282620191574097
0,999,14,64,0.005094906315207481,0.02967042662203312,0.7211626768112183
0,999,15,64,0.007900936529040337,0.017371654510498047,0.5259442329406738
5,899,0,64,0.006837489083409309,0.11565043777227402,0.3536263108253479
5,899,1,64,0.09017107635736465,0.33036336302757263,1.2443227767944336
5,899,2,32,0.008570130914449692,0.035216592252254486,0.36786139011383057
5,899,3,32,0.012087536044418812,0.12155171483755112,0.27214163541793823
5,899,4,16,0.0139530710875988,0.08348145335912704,0.418537437915802
5,899,5,16,0.01097252406179905,0.051041845232248306,0.3733423948287964
5,899,6,8,0.017303962260484695,0.059418801218271255,0.9851176738739014
5,899,7,16,0.01977703720331192,0.13382989168167114,0.40323907136917114
5,899,8,16,0.006026187911629677,0.06397008895874023,0.128152996301651
5,899,9,16,0.007341655902564526,0.05644642934203148,0.17502333223819733
5,899,10,32,0.0010899488115683198,0.024785125628113747,0.0257030688226223
5,899,11,32,0.0010871875565499067,0.008291278965771198,0.08145365118980408
5,899,12,32,0.004015508573502302,0.028938286006450653,0.1537233591079712
5,899,13,64,0.14809036254882812,0.26535919308662415,1.5958361625671387
5,899,14,64,0.007018598727881908,0.033820535987615585,0.7444452047348022
5,899,15,64,0.007512482814490795,0.015811506658792496,0.4556845426559448
