step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,999,0,64,0.010053696110844612,0.10714692622423172,0.40357398986816406
0,999,1,64,0.07405570149421692,0.2622102200984955,1.2421616315841675
0,999,2,32,0.0040876613929867744,0.02418927475810051,0.29584455490112305
0,999,3,32,0.014188331551849842,0.11355151236057281,0.28485390543937683
0,999,4,16,0.01272759772837162,0.060220811516046524,0.42097800970077515
0,999,5,16,0.012467097491025925,0.08508191257715225,0.3811550736427307
0,999,6,8,0.017947793006896973,0.061038702726364136,1.0724129676818848
0,999,7,16,0.031029177829623222,0.19258058071136475,0.43501222133636475
0,999,8,16,0.009168915450572968,0.1041846051812172,0.13241927325725555
0,999,9,16,0.025303896516561508,0.29640722274780273,0.1978883296251297
0,999,10,32,0.0002311360149178654,0.007817157544195652,0.006241895258426666
0,999,11,32,0.001664443640038371,0.01747889816761017,0.09512749314308167
0,999,12,32,0.005639886483550072,0.031049083918333054,0.2065446972846985
0,999,13,64,0.12908409535884857,0.23031282424926758,1.5966219902038574
0,999,14,64,0.005321899428963661,0.023843076080083847,0.7339657545089722
0,999,15,64,0.008337202481925488,0.01590603217482567,0.5713034272193909
5,899,0,64,0.005958519876003265,0.09335052222013474,0.36861124634742737
5,899,1,64,0.07112250477075577,0.2570067346096039,1.2002793550491333
5,899,2,32,0.004282033070921898,0.023388758301734924,0.2619056701660156
5,899,3,32,0.01684945821762085,0.11630052328109741,0.29695993661880493
5,899,4,16,0.012356461957097054,0.06755606085062027,0.3751896023750305
5,899,5,16,0.010899818502366543,0.06586866825819016,0.3633899688720703
5,899,6,8,0.017564281821250916,0.0626070648431778,1.0657591819763184
5,899,7,16,0.023842083290219307,0.15361592173576355,0.4132654070854187
5,899,8,16,0.0048861075192689896,0.03231120482087135,0.10321706533432007
5,899,9,16,0.012784544378519058,0.14568263292312622,0.16433528065681458
5,899,10,32,0.00031236710492521524,0.008187660947442055,0.009618524461984634
5,899,11,32,0.0012448565103113651,0.009084723889827728,0.07892809808254242
5,899,12,32,0.004724620841443539,0.02884695865213871,0.15477034449577332
5,899,13,64,0.14331263303756714,0.23305341601371765,1.6376919746398926
5,899,14,64,0.007389983162283897,0.02855534665286541,0.7256126999855042
5,899,15,64,0.007821125909686089,0.023150399327278137,0.5057710409164429
10,799,0,64,0.0049537429586052895,0.08624567091464996,0.3576793968677521
10,799,1,64,0.07043364644050598,0.26116031408309937,1.1819552183151245
10,799,2,32,0.0048955343663692474,0.02075279876589775,0.26629510521888733
10,799,3,32,0.019481897354125977,0.11721445620059967,0.3186950087547302
10,799,4,16,0.011271916329860687,0.06917589902877808,0.34380197525024414
10,799,5,16,0.009524649940431118,0.05491188168525696,0.3352711498737335
10,799,6,8,0.017563646659255028,0.05737460404634476,1.0474822521209717
10,799,7,16,0.017494551837444305,0.11362524330615997,0.35738062858581543
10,799,8,16,0.0035834917798638344,0.01738753169775009,0.08926995098590851
10,799,9,16,0.008270412683486938,0.07357994467020035,0.11873595416545868
10,799,10,32,0.00018011228530667722,0.008088667877018452,0.00526919960975647
10,799,11,32,0.000882811495102942,0.0057096583768725395,0.05784904211759567
10,799,12,32,0.004471851512789726,0.027562972158193588,0.12019296735525131
10,799,13,64,0.15575307607650757,0.23899278044700623,1.6612135171890259
10,799,14,64,0.010764280334115028,0.04418899863958359,0.7827428579330444
10,799,15,64,0.0081675685942173,0.03824098780751228,0.4873940348625183
15,699,0,64,0.0044545503333210945,0.08044538646936417,0.347342312335968
15,699,1,64,0.06849871575832367,0.2661254405975342,1.159886360168457
15,699,2,32,0.0057535599917173386,0.02399434894323349,0.2771853804588318
15,699,3,32,0.020127709954977036,0.1154971718788147,0.3342929184436798
15,699,4,16,0.010118048638105392,0.0628405436873436,0.3254941701889038
