step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,999,0,64,0.015901079401373863,0.12296468019485474,0.46867355704307556
0,999,1,64,0.07740723341703415,0.32146191596984863,1.172940731048584
0,999,2,32,0.0040269885212183,0.017751427367329597,0.3626552224159241
0,999,3,32,0.008016666397452354,0.12000849843025208,0.21139059960842133
0,999,4,16,0.006548801437020302,0.023208830505609512,0.34536129236221313
0,999,5,16,0.013669159263372421,0.07012991607189178,0.4086931347846985
0,999,6,8,0.016920872032642365,0.06034241244196892,1.1165249347686768
0,999,7,16,0.029059674590826035,0.18193256855010986,0.47872239351272583
0,999,8,16,0.00930597260594368,0.06938639283180237,0.16219119727611542
0,999,9,16,0.014800572767853737,0.17528744041919708,0.19652290642261505
0,999,10,32,0.0006158919422887266,0.012264320626854897,0.015888776630163193
0,999,11,32,0.0011029618326574564,0.009936289861798286,0.08501763641834259
0,999,12,32,0.004328213632106781,0.031952865421772,0.24495378136634827
0,999,13,64,0.12711846828460693,0.23496966063976288,1.5344884395599365
0,999,14,64,0.004886498674750328,0.04015033692121506,0.694750189781189
0,999,15,64,0.007245264016091824,0.017547767609357834,0.5474563241004944
5,899,0,64,0.011783506721258163,0.11942143738269806,0.42470020055770874
5,899,1,64,0.08057239651679993,0.31314748525619507,1.2275195121765137
5,899,2,32,0.0046584270894527435,0.019848424941301346,0.37584388256073
5,899,3,32,0.009730157442390919,0.12514297664165497,0.22633439302444458
5,899,4,16,0.008712493814527988,0.0499497689306736,0.35559648275375366
5,899,5,16,0.013085361570119858,0.06349790096282959,0.3790056109428406
5,899,6,8,0.01596638932824135,0.03815223276615143,1.054718255996704
5,899,7,16,0.026811450719833374,0.18898063898086548,0.46479177474975586
5,899,8,16,0.006761400960385799,0.05693485587835312,0.13310657441616058
5,899,9,16,0.014963101595640182,0.16799408197402954,0.20176684856414795
5,899,10,32,0.001389388693496585,0.03410768136382103,0.02987937442958355
5,899,11,32,0.0010985322296619415,0.032310329377651215,0.09817537665367126
5,899,12,32,0.004414928145706654,0.03201751783490181,0.21003395318984985
5,899,13,64,0.138698548078537,0.244753897190094,1.586402416229248
5,899,14,64,0.006608899682760239,0.0428340807557106,0.7068787217140198
5,899,15,64,0.007358278147876263,0.016174200922250748,0.47419407963752747
10,799,0,64,0.009929739870131016,0.11680911481380463,0.39344465732574463
10,799,1,64,0.08023974299430847,0.2984846234321594,1.2305309772491455
10,799,2,32,0.00502399168908596,0.01889701373875141,0.3797896206378937
10,799,3,32,0.011727340519428253,0.12540389597415924,0.24427616596221924
10,799,4,16,0.012433256953954697,0.08438651263713837,0.36226341128349304
10,799,5,16,0.012262887321412563,0.05056306719779968,0.35212600231170654
10,799,6,8,0.017406418919563293,0.048905082046985626,1.0661571025848389
10,799,7,16,0.025175340473651886,0.16178034245967865,0.431942343711853
10,799,8,16,0.004974670242518187,0.057191409170627594,0.11014208942651749
10,799,9,16,0.012968314811587334,0.12344829738140106,0.1649799644947052
10,799,10,32,0.0007083418895490468,0.019215784966945648,0.017664790153503418
10,799,11,32,0.0009317426010966301,0.005594995338469744,0.08651314675807953
10,799,12,32,0.0038859976921230555,0.03060014732182026,0.16225861012935638
10,799,13,64,0.1466587334871292,0.2503877282142639,1.693272590637207
10,799,14,64,0.009794562123715878,0.06130795180797577,0.8026096224784851
10,799,15,64,0.007614760659635067,0.021213822066783905,0.44240760803222656
15,699,0,64,0.00894196704030037,0.11432237178087234,0.3707306385040283
15,699,1,64,0.079270139336586,0.28413575887680054,1.2122859954833984
15,699,2,32,0.005397842265665531,0.02214346081018448,0.38581162691116333
15,699,3,32,0.014750625006854534,0.12482380121946335,0.272032231092453
15,699,4,16,0.01316881738603115,0.08620375394821167,0.34781235456466675
15,699,5,16,0.011586791835725307,0.05472635477781296,0.3376268446445465
15,699,6,8,0.018861567601561546,0.05667126551270485,1.0979173183441162
15,699,7,16,0.022991230711340904,0.11793920397758484,0.4031967520713806
15,699,8,16,0.004197165369987488,0.05913287028670311,0.09974599629640579
15,699,9,16,0.010086125694215298,0.09711020439863205,0.12548914551734924
15,699,10,32,0.000240293302340433,0.008222909644246101,0.006899882573634386
15,699,11,32,0.0006992664420977235,0.005708849523216486,0.06651023030281067
15,699,12,32,0.0037471523974090815,0.029272761195898056,0.13518570363521576
15,699,13,64,0.15224170684814453,0.25286000967025757,1.7589646577835083
15,699,14,64,0.014170153066515923,0.07489540427923203,0.9114704132080078
15,699,15,64,0.00847882404923439,0.036009281873703,0.4634115695953369
20,599,0,64,0.008468660525977612,0.11159180104732513,0.3558062016963959
20,599,1,64,0.0775260478258133,0.2704262137413025,1.185673713684082
20,599,2,32,0.005609973333775997,0.02349713072180748,0.3899609446525574
20,599,3,32,0.015296652913093567,0.12249959260225296,0.2932027578353882
20,599,4,16,0.011173809878528118,0.07816769182682037,0.3336215913295746
20,599,5,16,0.011561893858015537,0.05652415379881859,0.32441431283950806
20,599,6,8,0.019343722611665726,0.06026039645075798,1.1059374809265137
20,599,7,16,0.02046433836221695,0.11438386142253876,0.37624508142471313
20,599,8,16,0.003619125112891197,0.05382556468248367,0.09265958517789841
20,599,9,16,0.0061195287853479385,0.07364635914564133,0.0954689234495163
20,599,10,32,0.00020386948017403483,0.007816760800778866,0.006087533198297024
20,599,11,32,0.0006016340339556336,0.005698822438716888,0.05942464992403984
20,599,12,32,0.0026596516836434603,0.028168730437755585,0.10617095977067947
20,599,13,64,0.15099842846393585,0.26333296298980713,1.7376880645751953
20,599,14,64,0.019285164773464203,0.08975107967853546,0.965107798576355
20,599,15,64,0.00938509963452816,0.051673416048288345,0.47494345903396606
25,500,0,64,0.008211655542254448,0.107652947306633,0.346820205450058
25,500,1,64,0.07502110302448273,0.2627548575401306,1.1454732418060303
25,500,2,32,0.005702540278434753,0.02667214535176754,0.3825562000274658
25,500,3,32,0.013261699117720127,0.11478017270565033,0.2990899980068207
25,500,4,16,0.00865321047604084,0.0620233453810215,0.32018786668777466
25,500,5,16,0.011456936597824097,0.06017901003360748,0.30777883529663086
25,500,6,8,0.01888332888484001,0.05927788466215134,1.0714068412780762
25,500,7,16,0.0169209036976099,0.11280237883329391,0.34394970536231995
25,500,8,16,0.003121979534626007,0.044917549937963486,0.08514809608459473
25,500,9,16,0.0036497986875474453,0.03437236696481705,0.07837764173746109
25,500,10,32,0.0002025291760219261,0.007331953849643469,0.006299844477325678
25,500,11,32,0.0005720311310142279,0.005593917798250914,0.057450518012046814
25,500,12,32,0.0016137135680764914,0.026834309101104736,0.07423676550388336
25,500,13,64,0.14446589350700378,0.269464373588562,1.6736878156661987
25,500,14,64,0.025255227461457253,0.10682911425828934,0.9974488019943237
25,500,15,64,0.009980103000998497,0.05689817667007446,0.4842376708984375
30,400,0,64,0.008140858262777328,0.10106396675109863,0.3451940417289734
30,400,1,64,0.07133856415748596,0.2530965507030487,1.100675344467163
30,400,2,32,0.005690302699804306,0.029524069279432297,0.3582664728164673
30,400,3,32,0.011271855793893337,0.10157525539398193,0.2897143065929413
30,400,4,16,0.006908750627189875,0.042016614228487015,0.3052141070365906
30,400,5,16,0.010781867429614067,0.059214334934949875,0.2908208668231964
30,400,6,8,0.01817486062645912,0.05898669734597206,1.0254406929016113
30,400,7,16,0.013116680085659027,0.1006685346364975,0.3078204393386841
30,400,8,16,0.0027539189904928207,0.04159989207983017,0.07927020639181137
30,400,9,16,0.0032758903689682484,0.02591012790799141,0.07830072939395905
30,400,10,32,0.00021178796305321157,0.006300899665802717,0.0066802846267819405
30,400,11,32,0.000546485825907439,0.004902444779872894,0.0565137080848217
30,400,12,32,0.0012066210620105267,0.02555827423930168,0.05813786759972572
30,400,13,64,0.13925254344940186,0.2724664509296417,1.6216728687286377
30,400,14,64,0.030576571822166443,0.12480954825878143,1.0211423635482788
30,400,15,64,0.010648560710251331,0.07733502984046936,0.5146454572677612
35,300,0,64,0.008066719397902489,0.0886303037405014,0.3479030728340149
35,300,1,64,0.06709618121385574,0.23963461816310883,1.067463994026184
35,300,2,32,0.005322864279150963,0.029803086072206497,0.3259052634239197
35,300,3,32,0.010065430775284767,0.08630850911140442,0.27347272634506226
35,300,4,16,0.00601249560713768,0.028775746002793312,0.29320937395095825
35,300,5,16,0.00947202742099762,0.04856050759553909,0.27529168128967285
35,300,6,8,0.017659159377217293,0.061201948672533035,0.9926215410232544
35,300,7,16,0.009832678362727165,0.08903232216835022,0.26850491762161255
35,300,8,16,0.0026101027615368366,0.04264314845204353,0.07648670673370361
