step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,999,0,64,0.011023144237697124,0.08956651389598846,0.4101082980632782
0,999,1,64,0.08095359802246094,0.3170984387397766,1.2168538570404053
0,999,2,32,0.006200759205967188,0.027944190427660942,0.37201136350631714
0,999,3,32,0.007968174293637276,0.09294173121452332,0.2216169536113739
0,999,4,16,0.007396970875561237,0.028713613748550415,0.39030390977859497
0,999,5,16,0.015099824406206608,0.09523031115531921,0.42577046155929565
0,999,6,8,0.025745736435055733,0.09392591565847397,1.0934860706329346
0,999,7,16,0.03914567828178406,0.1883668303489685,0.4253949522972107
0,999,8,16,0.02815314009785652,0.21711264550685883,0.2356564998626709
0,999,9,16,0.03332477807998657,0.33788248896598816,0.20139652490615845
0,999,10,32,0.00026090480969287455,0.006897641811519861,0.006576104089617729
0,999,11,32,0.0010863245697692037,0.0104579608887434,0.07589330524206161
0,999,12,32,0.00527790654450655,0.032235607504844666,0.23973599076271057
0,999,13,64,0.1269703507423401,0.22605685889720917,1.5263428688049316
0,999,14,64,0.0049528395757079124,0.026759622618556023,0.7018733620643616
0,999,15,64,0.007825491949915886,0.01865117996931076,0.5303378701210022
5,899,0,64,0.007102369796484709,0.08327214419841766,0.37204504013061523
5,899,1,64,0.08294586092233658,0.3073899745941162,1.2295863628387451
5,899,2,32,0.006287997588515282,0.03133460506796837,0.3535763621330261
5,899,3,32,0.00902596116065979,0.10151676833629608,0.23334720730781555
5,899,4,16,0.010695789009332657,0.059660837054252625,0.39508959650993347
5,899,5,16,0.01581663265824318,0.08315641433000565,0.4027596712112427
5,899,6,8,0.01900927722454071,0.06957434862852097,1.0377399921417236
5,899,7,16,0.026425495743751526,0.20660465955734253,0.4863143563270569
5,899,8,16,0.009333811700344086,0.10150599479675293,0.14099693298339844
5,899,9,16,0.027226392179727554,0.29730015993118286,0.210955411195755
5,899,10,32,0.0003285006678197533,0.008033491671085358,0.00926029123365879
5,899,11,32,0.0010426039807498455,0.005914621986448765,0.09577420353889465
5,899,12,32,0.006782864220440388,0.042437657713890076,0.22763876616954803
5,899,13,64,0.1409825086593628,0.25523123145103455,1.6213659048080444
5,899,14,64,0.006843538489192724,0.03117021545767784,0.7305573225021362
5,899,15,64,0.0075985947623848915,0.01620824635028839,0.46593180298805237
10,799,0,64,0.005709623917937279,0.07802830636501312,0.34682053327560425
10,799,1,64,0.08252234756946564,0.2944210171699524,1.2194890975952148
10,799,2,32,0.006434964016079903,0.035012196749448776,0.35041165351867676
10,799,3,32,0.011074700392782688,0.10164860635995865,0.25097185373306274
10,799,4,16,0.014614725485444069,0.0915520042181015,0.38584375381469727
10,799,5,16,0.01435810700058937,0.0745745524764061,0.3805553615093231
10,799,6,8,0.01801847293972969,0.05214502662420273,1.0324580669403076
10,799,7,16,0.02349482849240303,0.17204664647579193,0.46295294165611267
10,799,8,16,0.004684831481426954,0.04165960103273392,0.10366970300674438
10,799,9,16,0.01717422902584076,0.15724100172519684,0.19988606870174408
10,799,10,32,0.0003189380222465843,0.00813252478837967,0.01013089343905449
10,799,11,32,0.0007991754100658,0.00610891729593277,0.07619436085224152
10,799,12,32,0.005473189055919647,0.033864472061395645,0.17236542701721191
10,799,13,64,0.15215227007865906,0.2737795114517212,1.7299480438232422
10,799,14,64,0.010096080601215363,0.04285227507352829,0.8194564580917358
10,799,15,64,0.0081325089558959,0.02215523086488247,0.46781808137893677
15,699,0,64,0.0052253007888793945,0.07679100334644318,0.3325703740119934
15,699,1,64,0.08076146245002747,0.28710871934890747,1.1965415477752686
15,699,2,32,0.006718591786921024,0.03861771151423454,0.3542584478855133
15,699,3,32,0.01412393432110548,0.10496434569358826,0.27813807129859924
15,699,4,16,0.01500670611858368,0.10524319112300873,0.36564505100250244
15,699,5,16,0.0137537382543087,0.07177232205867767,0.37149685621261597
15,699,6,8,0.018536090850830078,0.0491422563791275,1.0615992546081543
15,699,7,16,0.021294018253684044,0.13304725289344788,0.43149542808532715
15,699,8,16,0.0038009225390851498,0.0449545755982399,0.09643726050853729
15,699,9,16,0.012469254434108734,0.12782379984855652,0.15645252168178558
15,699,10,32,0.0001984581904252991,0.007190081290900707,0.00629635201767087
15,699,11,32,0.0005738523323088884,0.006164413411170244,0.05576077848672867
15,699,12,32,0.0044954316690564156,0.02874108776450157,0.1361277550458908
15,699,13,64,0.1555406153202057,0.27974408864974976,1.7547788619995117
15,699,14,64,0.01426556333899498,0.06976520270109177,0.9099092483520508
15,699,15,64,0.008967006579041481,0.03571245074272156,0.4891450107097626
20,599,0,64,0.005108999088406563,0.07516451179981232,0.32596027851104736
20,599,1,64,0.07805705815553665,0.2889307141304016,1.1734342575073242
20,599,2,32,0.007024497725069523,0.040780507028102875,0.36096665263175964
20,599,3,32,0.015994176268577576,0.09783657640218735,0.3013157248497009
20,599,4,16,0.01294802501797676,0.0975615456700325,0.3497682213783264
20,599,5,16,0.01398357842117548,0.07513751089572906,0.3639969229698181
20,599,6,8,0.018654581159353256,0.043867360800504684,1.0610182285308838
20,599,7,16,0.01833302527666092,0.103144071996212,0.4073452353477478
20,599,8,16,0.0032939226366579533,0.04272417724132538,0.09227707982063293
20,599,9,16,0.007842368446290493,0.09190911799669266,0.12482351064682007
20,599,10,32,0.00018888046906795353,0.007300979923456907,0.005749576259404421
20,599,11,32,0.0004676190437749028,0.004252206068485975,0.0489090234041214
20,599,12,32,0.003095090389251709,0.0258222296833992,0.10964228212833405
20,599,13,64,0.15467378497123718,0.28573158383369446,1.7440564632415771
20,599,14,64,0.01858944073319435,0.08269716799259186,0.9571467638015747
20,599,15,64,0.009805314242839813,0.06392654776573181,0.5015685558319092
25,500,0,64,0.005039960145950317,0.07161228358745575,0.32413554191589355
25,500,1,64,0.07503961026668549,0.28921806812286377,1.1400474309921265
25,500,2,32,0.007237962447106838,0.04120209440588951,0.35805362462997437
25,500,3,32,0.015008987858891487,0.1027974933385849,0.30970293283462524
25,500,4,16,0.01033444982022047,0.07940877974033356,0.33537495136260986
25,500,5,16,0.014701813459396362,0.08993352204561234,0.3533167541027069
25,500,6,8,0.01802060380578041,0.04196343570947647,0.9906875491142273
25,500,7,16,0.015420438721776009,0.093967005610466,0.3831697702407837
25,500,8,16,0.0029453064780682325,0.03232819214463234,0.08847180008888245
25,500,9,16,0.004709480330348015,0.055725738406181335,0.10120043158531189
25,500,10,32,0.0001806603540899232,0.00680427486076951,0.005517902784049511
25,500,11,32,0.0004264733288437128,0.005708536598831415,0.045977137982845306
25,500,12,32,0.002016741316765547,0.024947578087449074,0.08361738920211792
25,500,13,64,0.15016800165176392,0.28903716802597046,1.7039830684661865
25,500,14,64,0.023618068546056747,0.09527626633644104,0.989914059638977
25,500,15,64,0.010599799454212189,0.09472020715475082,0.5142374038696289
30,400,0,64,0.0048455409705638885,0.06539349257946014,0.3256855309009552
30,400,1,64,0.0709383562207222,0.2839619815349579,1.091271996498108
30,400,2,32,0.007376961410045624,0.039705242961645126,0.3381463289260864
30,400,3,32,0.01191256009042263,0.09021855890750885,0.3012498617172241
30,400,4,16,0.008412065915763378,0.059571824967861176,0.31955257058143616
30,400,5,16,0.01455439068377018,0.08668207377195358,0.33635926246643066
30,400,6,8,0.017235610634088516,0.0435134693980217,0.9064674377441406
30,400,7,16,0.012728291563689709,0.08987747877836227,0.3482290506362915
30,400,8,16,0.00263620400801301,0.028667336329817772,0.08131949603557587
30,400,9,16,0.0031930385157465935,0.02897016517817974,0.08176293969154358
30,400,10,32,0.00016516243340447545,0.006594877690076828,0.005066855810582638
30,400,11,32,0.00040055596036836505,0.005668686702847481,0.043772801756858826
30,400,12,32,0.0014437545323744416,0.023854216560721397,0.06355533003807068
30,400,13,64,0.14136247336864471,0.2933594584465027,1.6294775009155273
30,400,14,64,0.02868426963686943,0.11204499006271362,1.0098600387573242
30,400,15,64,0.011401955969631672,0.1086876168847084,0.5424304008483887
35,300,0,64,0.004484957084059715,0.05565956234931946,0.32813602685928345
35,300,1,64,0.0658206045627594,0.2694566249847412,1.042955994606018
35,300,2,32,0.007058635354042053,0.03461168333888054,0.3072075843811035
35,300,3,32,0.009358067065477371,0.06403009593486786,0.28427374362945557
35,300,4,16,0.007345914375036955,0.04153347760438919,0.3072894811630249
35,300,5,16,0.013663157820701599,0.07991448044776917,0.31968140602111816
35,300,6,8,0.016922060400247574,0.04813817888498306,0.8522748947143555
35,300,7,16,0.010278364643454552,0.08634784072637558,0.3043944239616394
35,300,8,16,0.0024493709206581116,0.03354494273662567,0.0754702240228653
35,300,9,16,0.002729814499616623,0.031903862953186035,0.07107356190681458
35,300,10,32,0.00015824474394321442,0.00652635283768177,0.004862558096647263
35,300,11,32,0.0003660800284706056,0.005470724776387215,0.04168233275413513
35,300,12,32,0.0012166728265583515,0.023171287029981613,0.054669030010700226
35,300,13,64,0.13677699863910675,0.29729604721069336,1.6059142351150513
35,300,14,64,0.03282558545470238,0.12564891576766968,1.0230586528778076
35,300,15,64,0.012432378716766834,0.12637397646903992,0.5864579677581787
40,200,0,64,0.004020529333502054,0.043516866862773895,0.33011314272880554
40,200,1,64,0.06044492870569229,0.2428409606218338,1.000453233718872
