step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,999,0,64,0.009738391265273094,0.12731215357780457,0.38070693612098694
0,999,1,64,0.087357297539711,0.328342080116272,1.2538161277770996
0,999,2,32,0.007381319534033537,0.029448458924889565,0.35682785511016846
0,999,3,32,0.010302947834134102,0.09118629992008209,0.23510193824768066
0,999,4,16,0.010326724499464035,0.052786726504564285,0.40484291315078735
0,999,5,16,0.011923741549253464,0.053246982395648956,0.39393216371536255
0,999,6,8,0.01529882661998272,0.062065914273262024,1.0005056858062744
0,999,7,16,0.022266007959842682,0.17209237813949585,0.5233988761901855
0,999,8,16,0.008050569333136082,0.0843220129609108,0.14041239023208618
0,999,9,16,0.024293992668390274,0.2680682837963104,0.20807039737701416
0,999,10,32,0.0003455108671914786,0.00800107978284359,0.008666081354022026
0,999,11,32,0.0011994957458227873,0.008553924970328808,0.09230218082666397
0,999,12,32,0.006236344575881958,0.03478990122675896,0.2307053804397583
0,999,13,64,0.13392090797424316,0.23360629379749298,1.5640077590942383
0,999,14,64,0.005168454255908728,0.02855805493891239,0.7347738742828369
0,999,15,64,0.008033319376409054,0.016925321891903877,0.5342289209365845
5,899,0,64,0.00604863278567791,0.11548329889774323,0.34656354784965515
5,899,1,64,0.085816890001297,0.31608831882476807,1.2383235692977905
5,899,2,32,0.007381846662610769,0.03052734024822712,0.32509613037109375
5,899,3,32,0.012176903896033764,0.09661288559436798,0.25050652027130127
5,899,4,16,0.013021975755691528,0.07559259980916977,0.39410164952278137
5,899,5,16,0.011608689092099667,0.06483747810125351,0.36921942234039307
5,899,6,8,0.014773080125451088,0.03337686136364937,0.9642962217330933
5,899,7,16,0.020133081823587418,0.14913862943649292,0.4755653440952301
5,899,8,16,0.004766544327139854,0.03809511289000511,0.10778504610061646
5,899,9,16,0.013419958762824535,0.13211849331855774,0.18748553097248077
5,899,10,32,0.0004920938517898321,0.010526490397751331,0.012911975383758545
5,899,11,32,0.00098046800121665,0.005180891137570143,0.08410121500492096
5,899,12,32,0.0053354850970208645,0.033027298748493195,0.1740957796573639
5,899,13,64,0.14780259132385254,0.24143856763839722,1.670041799545288
5,899,14,64,0.007087023928761482,0.04778522998094559,0.7471648454666138
5,899,15,64,0.007656967267394066,0.01550341211259365,0.476249098777771
10,799,0,64,0.004967082291841507,0.10976257920265198,0.3318057358264923
10,799,1,64,0.08327125012874603,0.3019642233848572,1.2186784744262695
10,799,2,32,0.00756891118362546,0.03248259797692299,0.32313716411590576
10,799,3,32,0.015499788336455822,0.10889469087123871,0.28105372190475464
10,799,4,16,0.014177549630403519,0.09693518280982971,0.37351182103157043
10,799,5,16,0.010043466463685036,0.05340022221207619,0.34196650981903076
10,799,6,8,0.015995606780052185,0.03315884992480278,1.0112258195877075
10,799,7,16,0.016168026253581047,0.10273148864507675,0.4129786491394043
10,799,8,16,0.0035534859634935856,0.03600475192070007,0.09626496583223343
10,799,9,16,0.011122992262244225,0.11452666670084,0.16160441935062408
10,799,10,32,0.000255983613897115,0.0076391370967030525,0.007145297713577747
10,799,11,32,0.0007675103843212128,0.005607744213193655,0.06565132737159729
10,799,12,32,0.005446666851639748,0.03462911769747734,0.13418926298618317
10,799,13,64,0.15714018046855927,0.25397318601608276,1.7099905014038086
10,799,14,64,0.010242432355880737,0.06238803267478943,0.8228706121444702
10,799,15,64,0.008331621065735817,0.022030815482139587,0.48357850313186646
15,699,0,64,0.004579153843224049,0.1052204817533493,0.32398805022239685
15,699,1,64,0.07933951914310455,0.28658372163772583,1.192072868347168
15,699,2,32,0.008074305020272732,0.038631193339824677,0.33332574367523193
15,699,3,32,0.018803538754582405,0.10705811530351639,0.31202659010887146
15,699,4,16,0.012438904494047165,0.09287580102682114,0.3513970375061035
15,699,5,16,0.009377842769026756,0.045580826699733734,0.3238782286643982
15,699,6,8,0.01654847525060177,0.03420337662100792,1.039463996887207
15,699,7,16,0.01342666707932949,0.07279391586780548,0.3760014772415161
15,699,8,16,0.0028035719878971577,0.025892820209264755,0.0865548774600029
15,699,9,16,0.007211052812635899,0.07258151471614838,0.10226796567440033
15,699,10,32,0.00017115380614995956,0.008054041303694248,0.005030185449868441
15,699,11,32,0.0005485243164002895,0.005526226945221424,0.04965030401945114
15,699,12,32,0.004206775687634945,0.02714257314801216,0.1100408136844635
15,699,13,64,0.16221651434898376,0.25932419300079346,1.7003262042999268
15,699,14,64,0.013873766176402569,0.06706821918487549,0.8953642845153809
15,699,15,64,0.00899806059896946,0.0382302850484848,0.48358380794525146
20,599,0,64,0.004420128185302019,0.10077539831399918,0.3196104168891907
20,599,1,64,0.07517921179533005,0.2727625072002411,1.1666460037231445
20,599,2,32,0.0086322370916605,0.04374955967068672,0.3436926007270813
20,599,3,32,0.019824568182229996,0.10833381861448288,0.33284127712249756
20,599,4,16,0.010377394035458565,0.07479678094387054,0.3377839922904968
20,599,5,16,0.009670170955359936,0.04565592110157013,0.31534498929977417
20,599,6,8,0.01610538549721241,0.033648572862148285,1.0102883577346802
20,599,7,16,0.011276810429990292,0.057312093675136566,0.3430505692958832
20,599,8,16,0.0023992229253053665,0.020574256777763367,0.07870956510305405
20,599,9,16,0.004466072656214237,0.036688078194856644,0.07846716046333313
20,599,10,32,0.00016955865430645645,0.00790224876254797,0.005015862639993429
20,599,11,32,0.0004709581844508648,0.005516292992979288,0.04459032416343689
20,599,12,32,0.0027961982414126396,0.026199394837021828,0.0903930813074112
20,599,13,64,0.1608855426311493,0.2683587074279785,1.6750768423080444
20,599,14,64,0.017781438305974007,0.07027402520179749,0.9502509832382202
20,599,15,64,0.00976870208978653,0.06235284358263016,0.49036943912506104
25,500,0,64,0.004307309165596962,0.09492727369070053,0.31892502307891846
25,500,1,64,0.0713234543800354,0.2616848945617676,1.1318275928497314
25,500,2,32,0.008829781785607338,0.04520516097545624,0.33735328912734985
