step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,999,0,64,0.010967510752379894,0.06592594087123871,0.42350465059280396
0,999,1,64,0.0791252851486206,0.2926476001739502,1.2133145332336426
0,999,2,32,0.008029873482882977,0.031839411705732346,0.4028667211532593
0,999,3,32,0.0077950963750481606,0.06361086666584015,0.23997265100479126
0,999,4,16,0.0067184800282120705,0.023672571405768394,0.4008125066757202
0,999,5,16,0.018792487680912018,0.09274204075336456,0.501914381980896
0,999,6,8,0.04664253070950508,0.13681121170520782,1.0645866394042969
0,999,7,16,0.04926895722746849,0.20348726212978363,0.35840868949890137
0,999,8,16,0.05014245957136154,0.25657108426094055,0.2602458596229553
0,999,9,16,0.03462718054652214,0.32935211062431335,0.15793269872665405
0,999,10,32,0.00019468643586151302,0.0069345696829259396,0.005747467279434204
0,999,11,32,0.0013575993943959475,0.015598474070429802,0.08258865028619766
0,999,12,32,0.005195872392505407,0.03135265037417412,0.27961963415145874
0,999,13,64,0.12251152098178864,0.23154723644256592,1.5071287155151367
0,999,14,64,0.004904475063085556,0.025767065584659576,0.7089962959289551
0,999,15,64,0.007831047289073467,0.017502762377262115,0.520502507686615
5,899,0,64,0.0071070147678256035,0.06111067160964012,0.38619405031204224
5,899,1,64,0.08145665377378464,0.2919592261314392,1.2289042472839355
5,899,2,32,0.007853581570088863,0.0327327661216259,0.383567214012146
5,899,3,32,0.007910417392849922,0.08359728008508682,0.24740365147590637
5,899,4,16,0.00907440297305584,0.04540931433439255,0.4094308018684387
5,899,5,16,0.01900763250887394,0.08628562837839127,0.4715724587440491
5,899,6,8,0.0423489585518837,0.11975044012069702,1.024548888206482
5,899,7,16,0.04925105720758438,0.2162455916404724,0.34360119700431824
5,899,8,16,0.04872313141822815,0.24436508119106293,0.25317567586898804
5,899,9,16,0.03369472920894623,0.325898140668869,0.15584124624729156
5,899,10,32,0.00020849148859269917,0.007201059255748987,0.006088490132242441
5,899,11,32,0.0012449915520846844,0.015350856818258762,0.08273084461688995
5,899,12,32,0.004666670225560665,0.03475620597600937,0.24578365683555603
5,899,13,64,0.131812185049057,0.26471614837646484,1.5146068334579468
5,899,14,64,0.0064836726523935795,0.030396969988942146,0.6972082257270813
5,899,15,64,0.0076017533428967,0.016866100952029228,0.4689562916755676
10,799,0,64,0.005782936234027147,0.057891521602869034,0.3603707551956177
10,799,1,64,0.08140908181667328,0.28528499603271484,1.210951328277588
10,799,2,32,0.007817292585968971,0.03413189947605133,0.38166990876197815
10,799,3,32,0.008043467998504639,0.0784430056810379,0.2511328458786011
10,799,4,16,0.010661397129297256,0.06340362876653671,0.4110364317893982
10,799,5,16,0.01957574672996998,0.07777393609285355,0.459298312664032
10,799,6,8,0.04008299857378006,0.11964701116085052,0.9776182174682617
10,799,7,16,0.04731472209095955,0.21103613078594208,0.33029621839523315
10,799,8,16,0.045255668461322784,0.2500976324081421,0.24381127953529358
10,799,9,16,0.029749728739261627,0.28495943546295166,0.14345717430114746
10,799,10,32,0.00020295052672736347,0.00770465936511755,0.0060589308850467205
10,799,11,32,0.0011210187803953886,0.014981991611421108,0.08423163741827011
10,799,12,32,0.0038238861598074436,0.02865830808877945,0.21049518883228302
10,799,13,64,0.13654890656471252,0.28312188386917114,1.5380351543426514
10,799,14,64,0.009212924167513847,0.03968356177210808,0.755943238735199
10,799,15,64,0.007948337122797966,0.024084195494651794,0.4547658860683441
15,699,0,64,0.005256292410194874,0.05562163144350052,0.34126704931259155
15,699,1,64,0.08079849183559418,0.2832551896572113,1.1891945600509644
15,699,2,32,0.008300628513097763,0.03687591105699539,0.3878049850463867
15,699,3,32,0.009436680004000664,0.08075468242168427,0.2626824378967285
15,699,4,16,0.012209964916110039,0.0741167739033699,0.40782982110977173
15,699,5,16,0.020204801112413406,0.10372625291347504,0.45253878831863403
15,699,6,8,0.03653986006975174,0.12086647748947144,0.9365499019622803
15,699,7,16,0.044273555278778076,0.20845927298069,0.31635329127311707
15,699,8,16,0.04372419789433479,0.27083179354667664,0.2409488558769226
15,699,9,16,0.02600119262933731,0.23960214853286743,0.13334950804710388
15,699,10,32,0.00019678552052937448,0.007592492736876011,0.005930478684604168
15,699,11,32,0.0010258122347295284,0.02010449580848217,0.08359725773334503
15,699,12,32,0.0029754294082522392,0.027913544327020645,0.17790324985980988
15,699,13,64,0.1388564109802246,0.28981760144233704,1.5763022899627686
15,699,14,64,0.012853631749749184,0.054951753467321396,0.8364821672439575
15,699,15,64,0.00869753211736679,0.03333457186818123,0.46258196234703064
20,599,0,64,0.005083633121103048,0.057329509407281876,0.3292894661426544
20,599,1,64,0.07907605916261673,0.2807113826274872,1.174269437789917
20,599,2,32,0.008975496515631676,0.0444759838283062,0.39958930015563965
20,599,3,32,0.011071350425481796,0.08375934511423111,0.27711331844329834
20,599,4,16,0.01178446039557457,0.07256144285202026,0.4017275273799896
20,599,5,16,0.021340010687708855,0.1507979780435562,0.45138460397720337
20,599,6,8,0.03572797775268555,0.1274082511663437,0.8978980779647827
20,599,7,16,0.04094301164150238,0.21444281935691833,0.303854376077652
20,599,8,16,0.04425820708274841,0.2873034179210663,0.24088138341903687
20,599,9,16,0.023358000442385674,0.23483780026435852,0.1269015073776245
20,599,10,32,0.00019361346494406462,0.005412478465586901,0.005566587671637535
20,599,11,32,0.0010241460986435413,0.02724793367087841,0.08249962329864502
20,599,12,32,0.002469712868332863,0.02713879756629467,0.15269999206066132
20,599,13,64,0.13945583999156952,0.2880932688713074,1.613981008529663
20,599,14,64,0.016606368124485016,0.0755162239074707,0.8986004590988159
20,599,15,64,0.009764858521521091,0.037523798644542694,0.49363744258880615
25,500,0,64,0.004529180005192757,0.058376193046569824,0.3136686682701111
25,500,1,64,0.07661385834217072,0.2767406105995178,1.1537096500396729
25,500,2,32,0.009273901581764221,0.056024059653282166,0.41275808215141296
25,500,3,32,0.010457226075232029,0.0765136256814003,0.28130292892456055
25,500,4,16,0.012455173768103123,0.0753573328256607,0.4177054762840271
25,500,5,16,0.025866124778985977,0.18973928689956665,0.44562575221061707
25,500,6,8,0.0330401286482811,0.12231247872114182,0.8440680503845215
