step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,999,0,64,0.01522129401564598,0.08125535398721695,0.4717727303504944
0,999,1,64,0.07307833433151245,0.26904600858688354,1.1261136531829834
0,999,2,32,0.003930020146071911,0.01893373392522335,0.35195404291152954
0,999,3,32,0.008009376935660839,0.10684394836425781,0.2046447992324829
0,999,4,16,0.006025404669344425,0.026130087673664093,0.31647467613220215
0,999,5,16,0.01482485793530941,0.0805981308221817,0.4126155376434326
0,999,6,8,0.01802457869052887,0.08778988569974899,1.1023375988006592
0,999,7,16,0.02076522260904312,0.13727164268493652,0.4721134901046753
0,999,8,16,0.006134084425866604,0.040514737367630005,0.12699489295482635
0,999,9,16,0.011914816685020924,0.15021389722824097,0.2035382091999054
0,999,10,32,0.0010711239883676171,0.019916975870728493,0.023895133286714554
0,999,11,32,0.0012731546303257346,0.02003636583685875,0.0864018127322197
0,999,12,32,0.0045618824660778046,0.032427530735731125,0.23810186982154846
0,999,13,64,0.12816250324249268,0.2290034145116806,1.5322604179382324
0,999,14,64,0.0048743076622486115,0.03721919655799866,0.701198935508728
0,999,15,64,0.006933078169822693,0.019428765401244164,0.5570921897888184
5,899,0,64,0.011318106204271317,0.07852065563201904,0.42317089438438416
5,899,1,64,0.07650325447320938,0.27029865980148315,1.1936204433441162
5,899,2,32,0.004672398325055838,0.021662471815943718,0.3691127896308899
5,899,3,32,0.009579754434525967,0.11927973479032516,0.2240285575389862
5,899,4,16,0.0070202345959842205,0.0379810556769371,0.3098021149635315
5,899,5,16,0.014553881250321865,0.06993338465690613,0.39628666639328003
5,899,6,8,0.01755327358841896,0.07363547384738922,1.0454943180084229
5,899,7,16,0.020067397505044937,0.15508538484573364,0.45714232325553894
5,899,8,16,0.005389869213104248,0.03912334144115448,0.11373656988143921
5,899,9,16,0.010719931684434414,0.1372203677892685,0.19488823413848877
5,899,10,32,0.001925155520439148,0.05415438115596771,0.036869537085294724
5,899,11,32,0.0010896469466388226,0.009483957663178444,0.08685320615768433
5,899,12,32,0.0040524001233279705,0.031113523989915848,0.19754937291145325
5,899,13,64,0.1403542459011078,0.2599968910217285,1.5682075023651123
5,899,14,64,0.006225391291081905,0.04317312687635422,0.7012213468551636
5,899,15,64,0.007072723936289549,0.018282873556017876,0.4759150743484497
10,799,0,64,0.009189734235405922,0.076901376247406,0.3849618434906006
10,799,1,64,0.07600405812263489,0.27446603775024414,1.1994829177856445
10,799,2,32,0.00507199764251709,0.02771230787038803,0.3717307448387146
10,799,3,32,0.010613644495606422,0.11762900650501251,0.2439574897289276
10,799,4,16,0.008713442832231522,0.05576370283961296,0.30980339646339417
10,799,5,16,0.014049064368009567,0.07201506942510605,0.3739130198955536
10,799,6,8,0.01851450279355049,0.05537194758653641,1.0601475238800049
10,799,7,16,0.020801369100809097,0.14773553609848022,0.43404555320739746
10,799,8,16,0.004461721517145634,0.030523695051670074,0.1026705801486969
10,799,9,16,0.009904591366648674,0.11477400362491608,0.16447044909000397
10,799,10,32,0.0009604220977053046,0.034927867352962494,0.023591622710227966
10,799,11,32,0.000947722583077848,0.007135320454835892,0.08082592487335205
10,799,12,32,0.003202940570190549,0.02989596128463745,0.1553330421447754
10,799,13,64,0.14937609434127808,0.27805227041244507,1.6405407190322876
10,799,14,64,0.008983759209513664,0.053864896297454834,0.7751599550247192
10,799,15,64,0.00734650157392025,0.02421443723142147,0.4405427873134613
15,699,0,64,0.00796724297106266,0.07627630233764648,0.3559834957122803
15,699,1,64,0.07554851472377777,0.27917736768722534,1.1881365776062012
15,699,2,32,0.005416383035480976,0.033807817846536636,0.37534499168395996
15,699,3,32,0.012308251112699509,0.10810614377260208,0.2698514759540558
15,699,4,16,0.009101791307330132,0.06986581534147263,0.29757964611053467
15,699,5,16,0.013375003822147846,0.06890565156936646,0.35599207878112793
15,699,6,8,0.019789762794971466,0.048345111310482025,1.0986270904541016
15,699,7,16,0.01899091526865959,0.11193004250526428,0.4000200629234314
15,699,8,16,0.0034312314819544554,0.026031557470560074,0.09458892047405243
15,699,9,16,0.007929323241114616,0.07988418638706207,0.12195474654436111
15,699,10,32,0.0002603874891065061,0.008020003326237202,0.008195326663553715
15,699,11,32,0.0007216320955194533,0.005508266389369965,0.06280668079853058
15,699,12,32,0.002564156660810113,0.028563205152750015,0.12148930877447128
15,699,13,64,0.15468129515647888,0.28793588280677795,1.7124468088150024
15,699,14,64,0.01301705464720726,0.06837356090545654,0.8656731843948364
15,699,15,64,0.008109454065561295,0.03713243827223778,0.4537181854248047
20,599,0,64,0.007288418710231781,0.07578806579113007,0.3362601101398468
20,599,1,64,0.07466684281826019,0.28104931116104126,1.1687794923782349
20,599,2,32,0.005489661358296871,0.035513900220394135,0.3758588433265686
20,599,3,32,0.012971421703696251,0.09765325486660004,0.29042521119117737
20,599,4,16,0.008166017010807991,0.0662427544593811,0.2859863340854645
20,599,5,16,0.013444796204566956,0.07313183695077896,0.34578949213027954
20,599,6,8,0.020187079906463623,0.05037418752908707,1.1013599634170532
20,599,7,16,0.01625313051044941,0.0860678032040596,0.36391013860702515
20,599,8,16,0.0027950983494520187,0.023388395085930824,0.08843638002872467
20,599,9,16,0.005058879032731056,0.05329900234937668,0.09200789034366608
20,599,10,32,0.00019876626902259886,0.008111276663839817,0.006459588650614023
20,599,11,32,0.0005772449658252299,0.005461488850414753,0.05271989107131958
20,599,12,32,0.0018963261973112822,0.027228904888033867,0.09308667480945587
20,599,13,64,0.15152135491371155,0.2940683662891388,1.6979594230651855
20,599,14,64,0.017433665692806244,0.08570355176925659,0.9278937578201294
20,599,15,64,0.009039265103638172,0.05817439407110214,0.4734649062156677
25,500,0,64,0.006848878227174282,0.07359126210212708,0.32448267936706543
25,500,1,64,0.072925865650177,0.2781541645526886,1.1352952718734741
25,500,2,32,0.005379072856158018,0.03385905921459198,0.36374330520629883
25,500,3,32,0.01150798611342907,0.08972114324569702,0.29443931579589844
25,500,4,16,0.007054613437503576,0.05313406139612198,0.27639925479888916
25,500,5,16,0.01381459180265665,0.079922616481781,0.33536413311958313
25,500,6,8,0.020561110228300095,0.061986759305000305,1.0588756799697876
25,500,7,16,0.01336382981389761,0.07654576748609543,0.32441598176956177
25,500,8,16,0.0024597076699137688,0.02408960834145546,0.08381779491901398
25,500,9,16,0.0032419306226074696,0.025682639330625534,0.07858910411596298
25,500,10,32,0.00019413555855862796,0.008285107091069221,0.006737773772329092
