step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,999,0,64,0.009984418749809265,0.14872053265571594,0.3831581175327301
0,999,1,64,0.08804932981729507,0.3179868459701538,1.2613039016723633
0,999,2,32,0.007400209084153175,0.02708926796913147,0.3742521405220032
0,999,3,32,0.01019500382244587,0.10267616808414459,0.23994837701320648
0,999,4,16,0.009191939607262611,0.04815125837922096,0.3843498229980469
0,999,5,16,0.010941855609416962,0.05501404404640198,0.4173166751861572
0,999,6,8,0.01499459333717823,0.053739313036203384,1.0676758289337158
0,999,7,16,0.020144818350672722,0.1338934600353241,0.4994771480560303
0,999,8,16,0.007681380957365036,0.06683777272701263,0.1540348082780838
0,999,9,16,0.019466571509838104,0.23719839751720428,0.1915251612663269
0,999,10,32,0.0003695049963425845,0.008410348556935787,0.008519627153873444
0,999,11,32,0.00113763939589262,0.012369607575237751,0.0938616693019867
0,999,12,32,0.005455957725644112,0.032375775277614594,0.24451777338981628
0,999,13,64,0.133926123380661,0.22319266200065613,1.572178602218628
0,999,14,64,0.00501159206032753,0.036745835095644,0.7272015810012817
0,999,15,64,0.007959548383951187,0.01822786219418049,0.5294501185417175
5,899,0,64,0.006310915574431419,0.13806232810020447,0.34877073764801025
5,899,1,64,0.08700200915336609,0.3086378574371338,1.2499862909317017
5,899,2,32,0.007580109406262636,0.029829174280166626,0.34419387578964233
5,899,3,32,0.011881878599524498,0.11225081980228424,0.2549992501735687
5,899,4,16,0.013337836600840092,0.07922361046075821,0.38244161009788513
5,899,5,16,0.010164149105548859,0.05025191977620125,0.3747290372848511
5,899,6,8,0.014006780460476875,0.03401711583137512,1.018000841140747
5,899,7,16,0.016803797334432602,0.10065264254808426,0.44230949878692627
5,899,8,16,0.004603270441293716,0.025699082762002945,0.11456499993801117
5,899,9,16,0.013432379812002182,0.1139204129576683,0.1726379692554474
5,899,10,32,0.00026987516321241856,0.009089212864637375,0.006677958648651838
5,899,11,32,0.0008540543494746089,0.009187383577227592,0.0765121802687645
5,899,12,32,0.006139629054814577,0.03401836380362511,0.18409551680088043
5,899,13,64,0.14987236261367798,0.25261348485946655,1.7177174091339111
5,899,14,64,0.007142648100852966,0.03198227286338806,0.7621467113494873
5,899,15,64,0.0076879169791936874,0.018105458468198776,0.48593199253082275
