image,condition,prompt_index,prompt,block,r_min,quantile,target_image,budget_target,budget_mode,budget_reached,unreachable,radius,total_seconds,fid_lpips,fid_ssim,fid_dists,fid_psnr,fid_clip_img,fid_nima,fid_cnniqa,edit_lpips,edit_clip_orig,edit_clip_def,edit_clip_drop,edit_siglip_orig,edit_siglip_def,edit_siglip_drop,amp_dev,active_fraction
bird_00,phase,0,a butterfly,32,0.12,0.5,data/targets/gray.png,human,human,0.00927,False,1.3,52.4,0.049,0.9894,0.0093,36.5165,0.9975,5.5705,0.7184,0.3724,0.2715,0.282,-0.0104,0.106,0.0985,0.0075,0.00423,0.3902
bird_01,phase,0,a butterfly,32,0.12,0.5,data/targets/gray.png,human,human,0.01872,False,1.3,29.5,0.0849,0.9781,0.0187,33.5689,0.9968,5.0126,0.7162,0.3101,0.2765,0.2914,-0.0149,0.1118,0.1086,0.0032,0.00621,0.5692
bird_02,phase,0,a butterfly,32,0.12,0.5,data/targets/gray.png,human,human,0.00651,False,1.3,29.6,0.1088,0.9826,0.0065,37.4038,0.9992,4.4318,0.6132,0.3362,0.2817,0.2954,-0.0138,0.109,0.1059,0.0031,0.005,0.6916
bird_03,phase,0,a butterfly,32,0.12,0.5,data/targets/gray.png,human,human,0.00503,False,1.3,29.8,0.0509,0.9893,0.005,39.3099,0.9992,5.6091,0.7223,0.2429,0.2725,0.2698,0.0027,0.1038,0.1062,-0.0023,0.00312,0.4617
cat_00,phase,0,a dog,32,0.12,0.5,data/targets/gray.png,human,human,0.01115,False,1.3,29.7,0.0734,0.9664,0.0112,26.8213,0.9956,4.9198,0.731,0.4432,0.2452,0.2592,-0.014,0.0621,0.0776,-0.0154,0.01276,0.5538
cat_01,phase,0,a dog,32,0.12,0.5,data/targets/gray.png,human,human,0.00823,False,1.3,29.9,0.039,0.9911,0.0082,38.1494,0.9977,5.434,0.7047,0.1463,0.2601,0.2566,0.0036,0.0917,0.0895,0.0022,0.00324,0.4877
cat_02,phase,0,a dog,32,0.12,0.5,data/targets/gray.png,human,human,0.01132,False,1.3,29.7,0.0893,0.984,0.0113,35.5053,0.9987,4.5401,0.6484,0.3264,0.2521,0.2499,0.0022,0.0912,0.0848,0.0064,0.00546,0.5549
cat_03,phase,0,a dog,32,0.12,0.5,data/targets/gray.png,human,human,0.01436,False,1.3,29.7,0.0787,0.9639,0.0144,27.1721,0.9971,5.1813,0.6775,0.3075,0.2622,0.2605,0.0017,0.0853,0.08,0.0053,0.01481,0.6238
dog_00,phase,0,a cat,32,0.12,0.5,data/targets/gray.png,human,human,0.00634,False,1.3,29.8,0.0701,0.9825,0.0063,36.1583,0.9967,4.7082,0.6931,0.253,0.2675,0.2613,0.0062,0.0695,0.0674,0.0021,0.00479,0.5002
dog_01,phase,0,a cat,32,0.12,0.5,data/targets/gray.png,human,human,0.00509,False,1.3,29.8,0.0393,0.9894,0.0051,38.7813,0.9969,5.6324,0.6481,0.0591,0.2742,0.2749,-0.0007,0.0908,0.0902,0.0005,0.00401,0.4066
