image,condition,prompt_index,prompt,block,r_min,quantile,target_image,budget_target,budget_mode,budget_reached,unreachable,radius,total_seconds,fid_lpips,fid_ssim,fid_dists,fid_psnr,fid_clip_img,fid_nima,fid_cnniqa,edit_lpips,edit_clip_orig,edit_clip_def,edit_clip_drop,edit_siglip_orig,edit_siglip_def,edit_siglip_drop,amp_dev,active_fraction
bird_00,phase,0,a butterfly,32,0.25,0.5,data/targets/gray.png,human,human,0.05282,False,2.6,42.5,0.202,0.9676,0.0528,31.9331,0.9958,5.0523,0.7209,0.6068,0.2715,0.3037,-0.0321,0.106,0.0912,0.0148,0.0211,0.3902
bird_01,phase,0,a butterfly,32,0.25,0.5,data/targets/gray.png,human,human,0.07307,False,2.6,25.2,0.3519,0.9282,0.0731,28.5972,0.975,4.7823,0.7222,0.6037,0.2765,0.2913,-0.0148,0.1118,0.0858,0.026,0.03254,0.5692
bird_02,phase,0,a butterfly,32,0.25,0.5,data/targets/gray.png,human,human,0.04901,False,2.6,25.4,0.4695,0.9388,0.049,32.4606,0.9959,4.2484,0.5541,0.6533,0.2817,0.2703,0.0114,0.109,0.0777,0.0314,0.02491,0.6916
bird_03,phase,0,a butterfly,32,0.25,0.5,data/targets/gray.png,human,human,0.03113,False,2.6,25.6,0.216,0.9727,0.0311,34.6599,0.9974,5.3317,0.7162,0.5812,0.2725,0.2885,-0.016,0.1038,0.0979,0.006,0.01594,0.4617
cat_00,phase,0,a dog,32,0.25,0.5,data/targets/gray.png,human,human,0.06419,False,2.6,25.6,0.3657,0.8462,0.0642,20.8734,0.9891,5.141,0.7308,0.6003,0.2452,0.2605,-0.0154,0.0621,0.0787,-0.0166,0.0851,0.5538
cat_01,phase,0,a dog,32,0.25,0.5,data/targets/gray.png,human,human,0.02743,False,2.6,25.8,0.1731,0.9847,0.0274,35.0823,0.9779,5.2478,0.7256,0.5034,0.2601,0.2738,-0.0136,0.0917,0.0882,0.0034,0.01332,0.4877
cat_02,phase,0,a dog,32,0.25,0.5,data/targets/gray.png,human,human,0.04462,False,2.6,25.7,0.4318,0.933,0.0446,29.669,0.9941,4.2564,0.6314,0.6653,0.2521,0.2717,-0.0196,0.0912,0.085,0.0062,0.03168,0.5549
cat_03,phase,0,a dog,32,0.25,0.5,data/targets/gray.png,human,human,0.0745,False,2.6,25.7,0.4104,0.8451,0.0745,21.3599,0.9588,5.0743,0.7122,0.6054,0.2622,0.2717,-0.0095,0.0853,0.0771,0.0082,0.09262,0.6238
dog_00,phase,0,a cat,32,0.25,0.5,data/targets/gray.png,human,human,0.04434,False,2.6,25.8,0.3616,0.9445,0.0443,31.4906,0.9964,4.3646,0.6989,0.5626,0.2675,0.2963,-0.0289,0.0695,0.0926,-0.023,0.02546,0.5002
dog_01,phase,0,a cat,32,0.25,0.5,data/targets/gray.png,human,human,0.02762,False,2.6,25.8,0.2623,0.9685,0.0276,34.5631,0.9973,5.2147,0.6112,0.553,0.2742,0.2847,-0.0105,0.0908,0.1021,-0.0113,0.02038,0.4066
