step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.01216964516788721,0.09976723045110703,0.6628164649009705
0,400,1,64,0.03259427472949028,0.12846636772155762,1.0750434398651123
0,400,2,32,0.013679837808012962,0.09105036407709122,0.5612707734107971
0,400,3,32,0.01848621293902397,0.12991249561309814,0.43851375579833984
0,400,4,16,0.03449011594057083,0.1389525681734085,0.5703098773956299
0,400,5,16,0.03727584332227707,0.16939909756183624,0.5645308494567871
0,400,6,8,0.0464043952524662,0.1348220556974411,1.1456810235977173
0,400,7,16,0.03617408871650696,0.22494599223136902,0.4033283591270447
0,400,8,16,0.026531537994742393,0.21621155738830566,0.19000138342380524
0,400,9,16,0.019337300211191177,0.21216818690299988,0.20097246766090393
0,400,10,32,0.0005131552461534739,0.023480065166950226,0.011018937453627586
0,400,11,32,0.003081813920289278,0.05582299083471298,0.1610332876443863
0,400,12,32,0.010157929733395576,0.16765433549880981,0.2413901388645172
0,400,13,64,0.07640687376260757,0.22914761304855347,1.4337785243988037
0,400,14,64,0.014601372182369232,0.1559213101863861,0.44329923391342163
0,400,15,64,0.010875873267650604,0.06626085937023163,0.5803259611129761
5,360,0,64,0.012895438820123672,0.10544297099113464,0.6319131255149841
5,360,1,64,0.03288634121417999,0.1425369828939438,1.0452525615692139
5,360,2,32,0.012343681417405605,0.08404947817325592,0.5068944096565247
5,360,3,32,0.0177810899913311,0.12334650754928589,0.42099571228027344
5,360,4,16,0.033655788749456406,0.15000276267528534,0.5471230745315552
5,360,5,16,0.03545351326465607,0.1566135287284851,0.5320417881011963
5,360,6,8,0.04564070329070091,0.139184832572937,1.0924854278564453
5,360,7,16,0.033899202942848206,0.23286974430084229,0.35057076811790466
5,360,8,16,0.028677048161625862,0.2807466387748718,0.1771390438079834
5,360,9,16,0.019029680639505386,0.24663123488426208,0.17577001452445984
5,360,10,32,0.0005585877224802971,0.029021402820944786,0.012078316882252693
5,360,11,32,0.003100009635090828,0.06714417785406113,0.15356110036373138
5,360,12,32,0.010152343660593033,0.16296018660068512,0.22478610277175903
5,360,13,64,0.0813528299331665,0.24286291003227234,1.4267985820770264
5,360,14,64,0.01441836915910244,0.14461664855480194,0.4424055218696594
5,360,15,64,0.010280273854732513,0.06193457543849945,0.5580723285675049
10,320,0,64,0.013408644124865532,0.11007148027420044,0.5974888205528259
10,320,1,64,0.033886998891830444,0.17173126339912415,1.025315284729004
10,320,2,32,0.010454438626766205,0.07262127846479416,0.4427296817302704
10,320,3,32,0.0167592391371727,0.1256021410226822,0.40760141611099243
10,320,4,16,0.03389645367860794,0.1647411286830902,0.527441143989563
10,320,5,16,0.03293269872665405,0.1533183753490448,0.49405351281166077
10,320,6,8,0.04307274520397186,0.13355591893196106,1.0140230655670166
10,320,7,16,0.03294792398810387,0.2329930067062378,0.30255991220474243
10,320,8,16,0.030546942725777626,0.2709956765174866,0.16843993961811066
10,320,9,16,0.018919900059700012,0.3320561647415161,0.1584457904100418
10,320,10,32,0.0006116785807535052,0.0522124320268631,0.012361500412225723
10,320,11,32,0.003141365945339203,0.06949927657842636,0.14224480092525482
10,320,12,32,0.01039016991853714,0.1460011750459671,0.21478721499443054
10,320,13,64,0.08687324821949005,0.243227019906044,1.428734540939331
10,320,14,64,0.01407476793974638,0.1741870641708374,0.44832032918930054
10,320,15,64,0.009815230034291744,0.10128682106733322,0.5389178991317749
15,280,0,64,0.01371360756456852,0.11357230693101883,0.5653166770935059
15,280,1,64,0.03469006344676018,0.19415637850761414,0.9979528188705444
15,280,2,32,0.008729558438062668,0.0687418282032013,0.38682347536087036
15,280,3,32,0.015541333705186844,0.125777930021286,0.3789684474468231
15,280,4,16,0.03301879018545151,0.17740997672080994,0.49653470516204834
15,280,5,16,0.029575899243354797,0.14326654374599457,0.4485477805137634
15,280,6,8,0.03947347402572632,0.1355060636997223,0.9419658184051514
15,280,7,16,0.03146815672516823,0.23290781676769257,0.26971274614334106
15,280,8,16,0.02784695476293564,0.2703731954097748,0.15311211347579956
15,280,9,16,0.018339302390813828,0.3006785809993744,0.1464117169380188
15,280,10,32,0.0006274037295952439,0.044693782925605774,0.011468463577330112
15,280,11,32,0.003259222721680999,0.08400719612836838,0.1335485279560089
15,280,12,32,0.01032422948628664,0.15412607789039612,0.20183539390563965
15,280,13,64,0.09095075726509094,0.26334571838378906,1.4217462539672852
15,280,14,64,0.01306435838341713,0.1807631105184555,0.4475981593132019
15,280,15,64,0.009378980845212936,0.06754329055547714,0.5203174352645874
20,240,0,64,0.013812778517603874,0.1154349148273468,0.5327934622764587
20,240,1,64,0.034718386828899384,0.2005612552165985,0.9571771025657654
20,240,2,32,0.00767500139772892,0.06627066433429718,0.3417876660823822
20,240,3,32,0.014030750840902328,0.12351315468549728,0.34724605083465576
20,240,4,16,0.031400494277477264,0.1749173104763031,0.46349266171455383
20,240,5,16,0.02651021257042885,0.12532992660999298,0.4127918481826782
20,240,6,8,0.036692582070827484,0.1391087770462036,0.8855859041213989
20,240,7,16,0.029719263315200806,0.22191916406154633,0.24662461876869202
20,240,8,16,0.02610514685511589,0.2696170508861542,0.14273200929164886
20,240,9,16,0.017168816179037094,0.2792181074619293,0.1339229941368103
20,240,10,32,0.0006190120475366712,0.03774744272232056,0.010837440378963947
20,240,11,32,0.003165546804666519,0.08977878093719482,0.12540456652641296
20,240,12,32,0.009920433163642883,0.15508988499641418,0.18966956436634064
20,240,13,64,0.095845527946949,0.3003343343734741,1.4159040451049805
20,240,14,64,0.01200748048722744,0.17011980712413788,0.4437437057495117
20,240,15,64,0.009227924980223179,0.07088007032871246,0.5049940347671509
25,200,0,64,0.013671906664967537,0.11538217961788177,0.5013427138328552
25,200,1,64,0.0338931530714035,0.19352808594703674,0.9008488059043884
25,200,2,32,0.006906752474606037,0.06452684104442596,0.3037121891975403
25,200,3,32,0.012548658065497875,0.11971631646156311,0.3171387016773224
25,200,4,16,0.029015854001045227,0.1663583219051361,0.42918604612350464
25,200,5,16,0.024126477539539337,0.1270158737897873,0.38579005002975464
25,200,6,8,0.03495343029499054,0.14125943183898926,0.8437363505363464
25,200,7,16,0.027571871876716614,0.21489717066287994,0.22649067640304565
25,200,8,16,0.02466062270104885,0.2635353207588196,0.13558736443519592
25,200,9,16,0.016078593209385872,0.2644776999950409,0.12502506375312805
