step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.012769767083227634,0.09883420914411545,0.6613202095031738
0,400,1,64,0.03537330403923988,0.12969063222408295,1.0699288845062256
0,400,2,32,0.018720664083957672,0.09002918750047684,0.5240042209625244
0,400,3,32,0.020959842950105667,0.1130651980638504,0.4524427056312561
0,400,4,16,0.0331118106842041,0.15507473051548004,0.5329399108886719
0,400,5,16,0.04927362501621246,0.22913599014282227,0.5858124494552612
0,400,6,8,0.0418877899646759,0.12822198867797852,1.0060698986053467
0,400,7,16,0.03627101704478264,0.2008729875087738,0.39301371574401855
0,400,8,16,0.02901502326130867,0.29291415214538574,0.19509747624397278
0,400,9,16,0.02616272121667862,0.21984563767910004,0.19441790878772736
0,400,10,32,0.0007875547744333744,0.02910752035677433,0.017173992469906807
0,400,11,32,0.004278448410332203,0.0811757817864418,0.20027822256088257
0,400,12,32,0.011096125468611717,0.13311979174613953,0.23148605227470398
0,400,13,64,0.10242240875959396,0.23290583491325378,1.4585037231445312
0,400,14,64,0.01797250472009182,0.14437976479530334,0.45656105875968933
0,400,15,64,0.011057812720537186,0.07690415531396866,0.5902191400527954
5,360,0,64,0.013240674510598183,0.08788665384054184,0.635877251625061
5,360,1,64,0.03557799383997917,0.1455335021018982,1.0385143756866455
5,360,2,32,0.01750008761882782,0.08398362249135971,0.4800037145614624
5,360,3,32,0.0206355769187212,0.12842430174350739,0.43883010745048523
5,360,4,16,0.033414192497730255,0.15888403356075287,0.5171171426773071
5,360,5,16,0.0481872484087944,0.24521513283252716,0.5392321348190308
5,360,6,8,0.0441032350063324,0.1323610097169876,0.9696440100669861
5,360,7,16,0.034723736345767975,0.20101910829544067,0.36350494623184204
5,360,8,16,0.03092513605952263,0.26282915472984314,0.18561872839927673
5,360,9,16,0.027345597743988037,0.24546189606189728,0.18032309412956238
5,360,10,32,0.0007013559225015342,0.03653455898165703,0.01670849323272705
5,360,11,32,0.00433392496779561,0.11608421057462692,0.19218730926513672
5,360,12,32,0.012002252973616123,0.14063364267349243,0.22842924296855927
5,360,13,64,0.1077137291431427,0.2419070154428482,1.4546579122543335
5,360,14,64,0.0161508210003376,0.11989002674818039,0.44469577074050903
5,360,15,64,0.010387512855231762,0.07851947844028473,0.5712763667106628
10,320,0,64,0.013482553884387016,0.08046062290668488,0.6122622489929199
10,320,1,64,0.03574325144290924,0.14808174967765808,1.0068950653076172
10,320,2,32,0.016370166093111038,0.08025163412094116,0.44058769941329956
10,320,3,32,0.020475566387176514,0.1353544145822525,0.4278802275657654
10,320,4,16,0.0332789346575737,0.1539853811264038,0.4998587369918823
10,320,5,16,0.04695172235369682,0.2398279458284378,0.5065524578094482
10,320,6,8,0.04254961758852005,0.1333594173192978,0.920250415802002
10,320,7,16,0.0342610701918602,0.1964746117591858,0.34692299365997314
10,320,8,16,0.029923824593424797,0.2298768013715744,0.17761115729808807
10,320,9,16,0.026499245315790176,0.2610350251197815,0.16745662689208984
10,320,10,32,0.0006072141695767641,0.01719747483730316,0.014856637455523014
10,320,11,32,0.004261767491698265,0.128035768866539,0.17463275790214539
10,320,12,32,0.012467440217733383,0.14466354250907898,0.22329412400722504
10,320,13,64,0.11198389530181885,0.24135899543762207,1.4500048160552979
10,320,14,64,0.014767013490200043,0.11652161180973053,0.44133293628692627
10,320,15,64,0.009990740567445755,0.08186978101730347,0.5570752620697021
15,280,0,64,0.013501513749361038,0.08487680554389954,0.5899258852005005
15,280,1,64,0.035785842686891556,0.14777305722236633,0.9743146896362305
15,280,2,32,0.015482979826629162,0.08033871650695801,0.4052578806877136
15,280,3,32,0.020103994756937027,0.14819340407848358,0.41830161213874817
15,280,4,16,0.03222767263650894,0.14606134593486786,0.47838354110717773
15,280,5,16,0.044651471078395844,0.24308201670646667,0.4690166115760803
15,280,6,8,0.039352722465991974,0.13173526525497437,0.8446259498596191
15,280,7,16,0.03265635296702385,0.19682766497135162,0.31760403513908386
15,280,8,16,0.028740160167217255,0.22439417243003845,0.171329066157341
15,280,9,16,0.02440016344189644,0.2743057906627655,0.15168049931526184
15,280,10,32,0.0005597466952167451,0.013192174956202507,0.014030531980097294
15,280,11,32,0.0042221276089549065,0.12280462682247162,0.1641668975353241
15,280,12,32,0.013266785070300102,0.14381928741931915,0.2176830768585205
15,280,13,64,0.11726529896259308,0.26429134607315063,1.4514354467391968
15,280,14,64,0.013610996305942535,0.1232035681605339,0.4489781856536865
15,280,15,64,0.009783336892724037,0.07337171584367752,0.5448021292686462
20,240,0,64,0.013358037918806076,0.08858742564916611,0.5658940076828003
20,240,1,64,0.03552643954753876,0.14913567900657654,0.9359922409057617
20,240,2,32,0.01474255695939064,0.08464448153972626,0.374809592962265
20,240,3,32,0.019174952059984207,0.14036479592323303,0.40261465311050415
20,240,4,16,0.030880359932780266,0.14318017661571503,0.45243892073631287
20,240,5,16,0.040564704686403275,0.2028793841600418,0.4337185025215149
20,240,6,8,0.03831819072365761,0.1285160630941391,0.7697840929031372
20,240,7,16,0.03172912821173668,0.2071714699268341,0.28496110439300537
20,240,8,16,0.02891063317656517,0.2013377696275711,0.16693755984306335
20,240,9,16,0.02279765158891678,0.2626427710056305,0.13916411995887756
20,240,10,32,0.0005556863616220653,0.018243249505758286,0.013123872689902782
20,240,11,32,0.004458099137991667,0.11948945373296738,0.1551341861486435
20,240,12,32,0.01363726332783699,0.14379914104938507,0.21302926540374756
20,240,13,64,0.12316696345806122,0.28860411047935486,1.4569162130355835
20,240,14,64,0.01253720186650753,0.14239297807216644,0.4594854712486267
20,240,15,64,0.009671851061284542,0.08257956802845001,0.5332130193710327
25,200,0,64,0.013071088120341301,0.09076600521802902,0.539937436580658
25,200,1,64,0.03469591215252876,0.14690378308296204,0.8867644667625427
25,200,2,32,0.013668916188180447,0.07894278317689896,0.345581591129303
25,200,3,32,0.0177476666867733,0.11773129552602768,0.3811298608779907
