step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.009127188473939896,0.05364565551280975,0.6657015681266785
0,400,1,64,0.034587763249874115,0.08795122802257538,1.0447174310684204
0,400,2,32,0.01061633788049221,0.10437318682670593,0.43128645420074463
0,400,3,32,0.011828513815999031,0.10376022011041641,0.35463082790374756
0,400,4,16,0.011371917091310024,0.0657377690076828,0.46664971113204956
0,400,5,16,0.009308980777859688,0.06637158244848251,0.3010972738265991
0,400,6,8,0.03843040391802788,0.11818491667509079,1.0843815803527832
0,400,7,16,0.016838721930980682,0.10823453962802887,0.2847282886505127
0,400,8,16,0.01105832401663065,0.09724003821611404,0.17401179671287537
0,400,9,16,0.0056894379667937756,0.0850289836525917,0.12668479979038239
0,400,10,32,0.0006231159204617143,0.11861127614974976,0.006762972101569176
0,400,11,32,0.011760066263377666,0.2614724338054657,0.16421887278556824
0,400,12,32,0.00789608620107174,0.1511254906654358,0.18549130856990814
0,400,13,64,0.07047787308692932,0.2076759934425354,1.4849605560302734
0,400,14,64,0.025891171768307686,0.18960651755332947,0.5748124122619629
0,400,15,64,0.013977747410535812,0.09343645721673965,0.6368459463119507
5,360,0,64,0.009060908108949661,0.0556134432554245,0.6281131505966187
5,360,1,64,0.03423608839511871,0.0982728973031044,1.0057101249694824
5,360,2,32,0.010990794748067856,0.10748196393251419,0.4093093276023865
5,360,3,32,0.011819727718830109,0.10764086246490479,0.33892208337783813
5,360,4,16,0.011366801336407661,0.06402817368507385,0.4334888756275177
5,360,5,16,0.008729866705834866,0.058448608964681625,0.28587606549263
5,360,6,8,0.037034496665000916,0.11540810763835907,1.0442733764648438
5,360,7,16,0.016797702759504318,0.12768471240997314,0.2648036479949951
5,360,8,16,0.010097880847752094,0.08040765672922134,0.14784583449363708
5,360,9,16,0.004910941701382399,0.06984423846006393,0.12128615379333496
5,360,10,32,0.0006929329829290509,0.11931721121072769,0.006928632501512766
5,360,11,32,0.012129856273531914,0.302488774061203,0.1579163372516632
5,360,12,32,0.0074432604014873505,0.1283470243215561,0.17385004460811615
5,360,13,64,0.0751999169588089,0.28220415115356445,1.4863026142120361
5,360,14,64,0.02586311474442482,0.1818576157093048,0.575206458568573
5,360,15,64,0.013649706728756428,0.13181129097938538,0.6047577857971191
10,320,0,64,0.009061142802238464,0.05787084251642227,0.5949254631996155
10,320,1,64,0.033845700323581696,0.09593982994556427,0.9644540548324585
10,320,2,32,0.01147240586578846,0.1117202416062355,0.38829782605171204
10,320,3,32,0.01174477580934763,0.10682767629623413,0.3237125873565674
10,320,4,16,0.01148191001266241,0.07085748761892319,0.40461233258247375
10,320,5,16,0.008339335210621357,0.06672964990139008,0.2668032944202423
10,320,6,8,0.03511093929409981,0.11247602105140686,0.9834731817245483
10,320,7,16,0.015721583738923073,0.12579597532749176,0.2329033464193344
10,320,8,16,0.00877431035041809,0.07348739355802536,0.1263386309146881
10,320,9,16,0.004564328584820032,0.047128982841968536,0.1170838326215744
10,320,10,32,0.0006850615609437227,0.1174444928765297,0.00699557363986969
10,320,11,32,0.01260720007121563,0.3001529276371002,0.1551501601934433
10,320,12,32,0.006990877911448479,0.12758556008338928,0.16459906101226807
10,320,13,64,0.08052986860275269,0.2672955095767975,1.4890012741088867
10,320,14,64,0.024502640590071678,0.18301311135292053,0.5707950592041016
10,320,15,64,0.012945497408509254,0.08633004873991013,0.564639687538147
15,280,0,64,0.00910005159676075,0.06079966574907303,0.5683820843696594
15,280,1,64,0.033161457628011703,0.08732891082763672,0.9179633855819702
15,280,2,32,0.0120921041816473,0.11600553244352341,0.3674558997154236
15,280,3,32,0.011679725721478462,0.10431456565856934,0.30937460064888
15,280,4,16,0.011498220264911652,0.08439278602600098,0.3780488967895508
15,280,5,16,0.008129075169563293,0.08137927949428558,0.25400078296661377
15,280,6,8,0.033176571130752563,0.10628806799650192,0.9230162501335144
15,280,7,16,0.014218139462172985,0.11505449563264847,0.20423723757266998
15,280,8,16,0.007653336971998215,0.07355406135320663,0.11153432726860046
15,280,9,16,0.004212731029838324,0.04670417308807373,0.11066015064716339
15,280,10,32,0.0006958622252568603,0.10766442865133286,0.007299385964870453
15,280,11,32,0.012939117848873138,0.3241535425186157,0.1539936065673828
15,280,12,32,0.006506012286990881,0.12496021389961243,0.15394327044487
15,280,13,64,0.08713238686323166,0.25151538848876953,1.4939842224121094
15,280,14,64,0.02196214161813259,0.18022459745407104,0.5612664222717285
15,280,15,64,0.012193500995635986,0.0889841690659523,0.526968777179718
20,240,0,64,0.009024618193507195,0.06402601301670074,0.5433012247085571
20,240,1,64,0.032035864889621735,0.09060188382863998,0.865419864654541
20,240,2,32,0.012582549825310707,0.11899617314338684,0.3449082374572754
20,240,3,32,0.01156657189130783,0.10494749993085861,0.2964378297328949
20,240,4,16,0.011386832222342491,0.09279513359069824,0.354468435049057
20,240,5,16,0.00809112936258316,0.09777785837650299,0.2484791874885559
20,240,6,8,0.03124624490737915,0.10875841975212097,0.8694238662719727
20,240,7,16,0.012824739329516888,0.10437561571598053,0.18553727865219116
20,240,8,16,0.007223496213555336,0.07239282131195068,0.1041146069765091
20,240,9,16,0.0038183480501174927,0.03913121670484543,0.10373672097921371
20,240,10,32,0.0007063887314870954,0.11136464029550552,0.007594590540975332
20,240,11,32,0.012908153235912323,0.3408515751361847,0.1505812704563141
20,240,12,32,0.005886065773665905,0.12167510390281677,0.14145582914352417
