step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.011108478531241417,0.07848809659481049,0.7694597244262695
0,400,1,64,0.033058490604162216,0.08867928385734558,1.0983717441558838
0,400,2,32,0.019853565841913223,0.1080002561211586,0.6881576776504517
0,400,3,32,0.015230147168040276,0.11337477713823318,0.4584735333919525
0,400,4,16,0.03157922625541687,0.10296545922756195,0.556606650352478
0,400,5,16,0.03174392879009247,0.10971954464912415,0.5084086656570435
0,400,6,8,0.033818017691373825,0.12959851324558258,0.8708524107933044
0,400,7,16,0.029362592846155167,0.1775960475206375,0.29014647006988525
0,400,8,16,0.02068064548075199,0.12138929963111877,0.1614818274974823
0,400,9,16,0.005595863796770573,0.04986477270722389,0.12496684491634369
0,400,10,32,0.0011078070383518934,0.1250675916671753,0.012134265154600143
0,400,11,32,0.014422062784433365,0.20046061277389526,0.251837819814682
0,400,12,32,0.018003638833761215,0.16501283645629883,0.26890283823013306
0,400,13,64,0.07931213080883026,0.22502164542675018,1.6275625228881836
0,400,14,64,0.024149740114808083,0.1563532054424286,0.6146523356437683
0,400,15,64,0.012782793492078781,0.1284896582365036,0.6123124361038208
5,360,0,64,0.011095507070422173,0.08147002756595612,0.744492769241333
5,360,1,64,0.03211716189980507,0.09030281752347946,1.0511847734451294
5,360,2,32,0.021866995841264725,0.11290252208709717,0.6522707939147949
5,360,3,32,0.0156372282654047,0.11816105246543884,0.4533817768096924
5,360,4,16,0.031915076076984406,0.11232151091098785,0.5301406383514404
5,360,5,16,0.029735799878835678,0.10247848182916641,0.4808775782585144
5,360,6,8,0.033698007464408875,0.13086991012096405,0.8133388757705688
5,360,7,16,0.030452482402324677,0.17370331287384033,0.27737459540367126
5,360,8,16,0.019957877695560455,0.12130051851272583,0.15557286143302917
5,360,9,16,0.0059904493391513824,0.07895980030298233,0.11559121310710907
5,360,10,32,0.0010087843984365463,0.1244613453745842,0.011499772779643536
5,360,11,32,0.01658467948436737,0.21583981812000275,0.2608366012573242
5,360,12,32,0.019977115094661713,0.16152788698673248,0.25416073203086853
5,360,13,64,0.08349093794822693,0.21106642484664917,1.61456298828125
5,360,14,64,0.022070521488785744,0.16715797781944275,0.600666880607605
5,360,15,64,0.011808812618255615,0.07489211112260818,0.5857269763946533
