step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.012249988503754139,0.08610033988952637,0.7385293245315552
0,400,1,64,0.03384416550397873,0.1450537145137787,1.0796887874603271
0,400,2,32,0.021140068769454956,0.11156229674816132,0.5270718336105347
0,400,3,32,0.012409867718815804,0.08656270802021027,0.43255752325057983
0,400,4,16,0.025387004017829895,0.08495728671550751,0.5533155202865601
0,400,5,16,0.027539502829313278,0.11866100132465363,0.5060802102088928
0,400,6,8,0.029148072004318237,0.12203524261713028,0.8629055023193359
0,400,7,16,0.026223832741379738,0.11987366527318954,0.31145596504211426
0,400,8,16,0.019215956330299377,0.12966586649417877,0.18554654717445374
0,400,9,16,0.004367115907371044,0.02104095369577408,0.13390479981899261
0,400,10,32,0.0014247873332351446,0.1255064457654953,0.01412043534219265
0,400,11,32,0.01662297360599041,0.20610204339027405,0.30591046810150146
0,400,12,32,0.02106374502182007,0.19291183352470398,0.2326349914073944
0,400,13,64,0.08380600064992905,0.24508479237556458,1.6183360815048218
0,400,14,64,0.018340686336159706,0.14549145102500916,0.5274094343185425
0,400,15,64,0.014175847172737122,0.15018412470817566,0.6196889877319336
5,360,0,64,0.01190151646733284,0.08681941032409668,0.7144088745117188
5,360,1,64,0.034003324806690216,0.14636683464050293,1.0499495267868042
5,360,2,32,0.02092302218079567,0.1138937771320343,0.4802699685096741
5,360,3,32,0.012759365141391754,0.09021764993667603,0.4314064383506775
5,360,4,16,0.022708173841238022,0.06466491520404816,0.5031796097755432
5,360,5,16,0.026514064520597458,0.12489718943834305,0.4918765127658844
5,360,6,8,0.02738070860505104,0.12146327644586563,0.8323332071304321
5,360,7,16,0.022630566731095314,0.12140576541423798,0.2961137890815735
5,360,8,16,0.0185103639960289,0.13006854057312012,0.18034479022026062
5,360,9,16,0.004704302176833153,0.02909361571073532,0.13995403051376343
5,360,10,32,0.0013517686165869236,0.1254134625196457,0.013482172042131424
5,360,11,32,0.016332130879163742,0.22489754855632782,0.2951163053512573
5,360,12,32,0.018660299479961395,0.18788045644760132,0.20949506759643555
5,360,13,64,0.08562256395816803,0.2583211362361908,1.6150881052017212
5,360,14,64,0.017029311507940292,0.12252949178218842,0.5180911421775818
5,360,15,64,0.013240138068795204,0.08954130858182907,0.6027853488922119
10,320,0,64,0.011539353989064693,0.08772093057632446,0.6909881830215454
10,320,1,64,0.03422139212489128,0.15147258341312408,1.0188822746276855
10,320,2,32,0.021182645112276077,0.11488761752843857,0.4388831853866577
10,320,3,32,0.012928236275911331,0.09747958183288574,0.4240723252296448
10,320,4,16,0.02091352641582489,0.06849022209644318,0.46338051557540894
10,320,5,16,0.024468813091516495,0.11524397879838943,0.45932692289352417
10,320,6,8,0.025607798248529434,0.11922602355480194,0.8066343665122986
10,320,7,16,0.022454306483268738,0.1262451857328415,0.28204673528671265
10,320,8,16,0.017145870253443718,0.12924189865589142,0.16557402908802032
10,320,9,16,0.004591396078467369,0.03974810242652893,0.1308630406856537
10,320,10,32,0.0012938774889335036,0.1254262924194336,0.01351690199226141
10,320,11,32,0.016706787049770355,0.23893305659294128,0.2903328537940979
10,320,12,32,0.018000006675720215,0.17478932440280914,0.1982012838125229
10,320,13,64,0.08884726464748383,0.26900532841682434,1.615795373916626
10,320,14,64,0.015361227095127106,0.13110198080539703,0.5070577263832092
10,320,15,64,0.012553121894598007,0.08089250326156616,0.5845272541046143
15,280,0,64,0.011174154467880726,0.0886499211192131,0.6681408882141113
15,280,1,64,0.034462422132492065,0.15510961413383484,0.9870622158050537
15,280,2,32,0.02170916646718979,0.11483404785394669,0.40473484992980957
15,280,3,32,0.012765971943736076,0.10333090275526047,0.4116159677505493
15,280,4,16,0.019518114626407623,0.0751023069024086,0.43151748180389404
15,280,5,16,0.021515531465411186,0.0965350940823555,0.42298129200935364
15,280,6,8,0.024548208341002464,0.11801727861166,0.7897330522537231
15,280,7,16,0.021959498524665833,0.12291562557220459,0.2810857594013214
15,280,8,16,0.015604350715875626,0.12597259879112244,0.15337811410427094
15,280,9,16,0.004387294873595238,0.04086384177207947,0.12407999485731125
15,280,10,32,0.0012804880971089005,0.12569062411785126,0.013594137504696846
15,280,11,32,0.015080089680850506,0.23844341933727264,0.2656420171260834
15,280,12,32,0.016481641680002213,0.16068708896636963,0.18618658185005188
15,280,13,64,0.09225086867809296,0.27124255895614624,1.6249268054962158
15,280,14,64,0.01375126838684082,0.1263369619846344,0.503081738948822
15,280,15,64,0.012034948915243149,0.08709389716386795,0.5666343569755554
20,240,0,64,0.010778945870697498,0.08938805013895035,0.6409382820129395
20,240,1,64,0.034431230276823044,0.1541232168674469,0.9495015740394592
20,240,2,32,0.02214786596596241,0.11338210850954056,0.37814825773239136
20,240,3,32,0.012185396626591682,0.10746898502111435,0.3937475085258484
20,240,4,16,0.018191754817962646,0.06972962617874146,0.40260595083236694
20,240,5,16,0.019300013780593872,0.09046241641044617,0.3965723514556885
20,240,6,8,0.024117887020111084,0.11627131700515747,0.7794070839881897
20,240,7,16,0.020649299025535583,0.11259773373603821,0.28307774662971497
20,240,8,16,0.014285153709352016,0.12176312506198883,0.14417299628257751
20,240,9,16,0.004164372570812702,0.048129595816135406,0.11659964919090271
20,240,10,32,0.0012766126310452819,0.1262645721435547,0.013062683865427971
20,240,11,32,0.013005108572542667,0.22951045632362366,0.2364198863506317
20,240,12,32,0.014711828902363777,0.15842674672603607,0.16943085193634033
20,240,13,64,0.09574735164642334,0.28820669651031494,1.6279981136322021
20,240,14,64,0.01229206845164299,0.12476184964179993,0.49593618512153625
20,240,15,64,0.01159206498414278,0.08682423830032349,0.5503583550453186
25,200,0,64,0.010398566722869873,0.09024757891893387,0.6127196550369263
25,200,1,64,0.03375757485628128,0.14868831634521484,0.8997229933738708
25,200,2,32,0.02262873947620392,0.11797307431697845,0.3599284291267395
25,200,3,32,0.011300705373287201,0.10946113616228104,0.37116891145706177
25,200,4,16,0.01715516299009323,0.06535361707210541,0.37893563508987427
25,200,5,16,0.017706338316202164,0.08659827709197998,0.3740803301334381
25,200,6,8,0.023878246545791626,0.1139681413769722,0.7746896743774414
25,200,7,16,0.01976189576089382,0.10743418335914612,0.2808225452899933
25,200,8,16,0.013334949500858784,0.11881717294454575,0.13680365681648254
25,200,9,16,0.003946774639189243,0.04970262572169304,0.11098428815603256
25,200,10,32,0.001263562822714448,0.12647025287151337,0.012489678338170052
25,200,11,32,0.011813247576355934,0.2164311558008194,0.217369943857193
25,200,12,32,0.013508802279829979,0.16208559274673462,0.1568954735994339
25,200,13,64,0.10019944608211517,0.3306659162044525,1.6225416660308838
25,200,14,64,0.010853325948119164,0.09970740228891373,0.4811079502105713
25,200,15,64,0.011249758303165436,0.07910923659801483,0.5360264778137207
30,160,0,64,0.010071041993796825,0.09138841927051544,0.5841986536979675
30,160,1,64,0.03231142461299896,0.14738106727600098,0.8381043672561646
30,160,2,32,0.023108061403036118,0.12304326146841049,0.3468335270881653
30,160,3,32,0.010296806693077087,0.10966132581233978,0.3457067012786865
30,160,4,16,0.01612778753042221,0.0661785826086998,0.35694077610969543
30,160,5,16,0.016236789524555206,0.07788985222578049,0.35085102915763855
30,160,6,8,0.023452140390872955,0.11092177778482437,0.7721803188323975
30,160,7,16,0.01910647191107273,0.10441911220550537,0.27585217356681824
30,160,8,16,0.01243346743285656,0.11598946899175644,0.12895338237285614
30,160,9,16,0.0037050286773592234,0.04860653355717659,0.10581836849451065
30,160,10,32,0.0012502276804298162,0.12641771137714386,0.012084590271115303
30,160,11,32,0.010939975269138813,0.20265361666679382,0.2023734599351883
30,160,12,32,0.012550784274935722,0.16236209869384766,0.14687037467956543
30,160,13,64,0.10545249283313751,0.35084813833236694,1.6134223937988281
30,160,14,64,0.009505009278655052,0.0810900330543518,0.46513086557388306
30,160,15,64,0.011134723201394081,0.08292767405509949,0.5250178575515747
35,120,0,64,0.009650785475969315,0.09322413802146912,0.5507599711418152
35,120,1,64,0.029486482962965965,0.1456805318593979,0.7557432651519775
35,120,2,32,0.023376744240522385,0.12502875924110413,0.33608976006507874
35,120,3,32,0.009239448234438896,0.10851556062698364,0.3186383843421936
35,120,4,16,0.01488921232521534,0.06559428572654724,0.33361172676086426
35,120,5,16,0.014864967204630375,0.06569413095712662,0.32772016525268555
35,120,6,8,0.022816354408860207,0.10735790431499481,0.769217848777771
35,120,7,16,0.018315203487873077,0.09819511324167252,0.26709362864494324
35,120,8,16,0.01161239854991436,0.11105283349752426,0.12112106382846832
35,120,9,16,0.0034931721165776253,0.048517122864723206,0.10206743329763412
35,120,10,32,0.0012488291831687093,0.12623988091945648,0.01201394759118557
35,120,11,32,0.009995436295866966,0.18877114355564117,0.18770816922187805
35,120,12,32,0.011403772979974747,0.1609937846660614,0.13665467500686646
35,120,13,64,0.1117929071187973,0.3538205623626709,1.6006371974945068
35,120,14,64,0.008307692594826221,0.07442711293697357,0.45015424489974976
35,120,15,64,0.011279072612524033,0.09631681442260742,0.5178017020225525
40,80,0,64,0.009115304797887802,0.09667322039604187,0.5087248086929321
40,80,1,64,0.024571102112531662,0.13846759498119354,0.6406458616256714
40,80,2,32,0.02312316559255123,0.12216318398714066,0.32475876808166504
40,80,3,32,0.0082052918151021,0.10883205384016037,0.29162588715553284
40,80,4,16,0.013507205992937088,0.06220686808228493,0.3087621033191681
40,80,5,16,0.0135946124792099,0.062407780438661575,0.3053955137729645
40,80,6,8,0.022090353071689606,0.10401703417301178,0.763426661491394
40,80,7,16,0.01727631501853466,0.09500700235366821,0.2557746171951294
40,80,8,16,0.010783448815345764,0.10276306420564651,0.11337915807962418
40,80,9,16,0.0032704919576644897,0.0484749972820282,0.09792990982532501
40,80,10,32,0.0012168798130005598,0.12595267593860626,0.011743040755391121
40,80,11,32,0.008806092664599419,0.17030319571495056,0.17067432403564453
40,80,12,32,0.010062388144433498,0.15689755976200104,0.1259116232395172
40,80,13,64,0.11997866630554199,0.3331919312477112,1.5806949138641357
40,80,14,64,0.007453625090420246,0.0760810375213623,0.4368993937969208
40,80,15,64,0.01179739274084568,0.10398979485034943,0.516386866569519
45,40,0,64,0.008519012480974197,0.10322587192058563,0.45266756415367126
45,40,1,64,0.01695028692483902,0.13079491257667542,0.4797038435935974
45,40,2,32,0.021389421075582504,0.12216044962406158,0.30555006861686707
45,40,3,32,0.00708555243909359,0.11237422376871109,0.262676477432251
45,40,4,16,0.011922904290258884,0.05653787776827812,0.28163573145866394
45,40,5,16,0.012333705089986324,0.05533437803387642,0.28221815824508667
45,40,6,8,0.02134355530142784,0.10119318217039108,0.7521239519119263
45,40,7,16,0.015814151614904404,0.09437182545661926,0.24123331904411316
45,40,8,16,0.009734829887747765,0.09700866043567657,0.10484267771244049
45,40,9,16,0.0030072107911109924,0.04715902358293533,0.09163303673267365
45,40,10,32,0.0011426410637795925,0.1251639425754547,0.011029203422367573
45,40,11,32,0.007247648201882839,0.1394636183977127,0.14943543076515198
45,40,12,32,0.008392109535634518,0.14468495547771454,0.11289481818675995
45,40,13,64,0.13153403997421265,0.2916024923324585,1.5479600429534912
45,40,14,64,0.007325231097638607,0.08523630350828171,0.4301519989967346
45,40,15,64,0.013010607101023197,0.10887682437896729,0.5331450700759888
49,8,0,64,0.008367117494344711,0.11360514909029007,0.38085293769836426
49,8,1,64,0.008341696113348007,0.15746547281742096,0.29936373233795166
49,8,2,32,0.016392327845096588,0.11353902518749237,0.2657198905944824
49,8,3,32,0.005927482154220343,0.11077050119638443,0.23259252309799194
49,8,4,16,0.010257348418235779,0.05407428368926048,0.25369352102279663
49,8,5,16,0.01135077141225338,0.04992697387933731,0.26182544231414795
49,8,6,8,0.020623838528990746,0.10013091564178467,0.736889123916626
49,8,7,16,0.0139547660946846,0.0924953743815422,0.22244727611541748
49,8,8,16,0.008394187316298485,0.08775480091571808,0.09661870449781418
49,8,9,16,0.0027338203508406878,0.044112127274274826,0.08288038522005081
49,8,10,32,0.0009995733853429556,0.11998256295919418,0.009827272035181522
49,8,11,32,0.005399312824010849,0.1320274919271469,0.12475046515464783
