step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.010596118867397308,0.0494488924741745,0.6201698184013367
0,400,1,64,0.03942226991057396,0.1304268091917038,1.2034008502960205
0,400,2,32,0.014232241548597813,0.07128036767244339,0.6032901406288147
0,400,3,32,0.017300758510828018,0.12855683267116547,0.43335992097854614
0,400,4,16,0.030133988708257675,0.13762040436267853,0.5775361061096191
0,400,5,16,0.034306835383176804,0.15754874050617218,0.5975278615951538
0,400,6,8,0.05945232883095741,0.1459766924381256,1.2361626625061035
0,400,7,16,0.03024207428097725,0.20626769959926605,0.3279873728752136
0,400,8,16,0.021119970828294754,0.20139166712760925,0.14443886280059814
0,400,9,16,0.01471454557031393,0.18702371418476105,0.16517212986946106
0,400,10,32,0.0006191206630319357,0.019789164885878563,0.014884321950376034
0,400,11,32,0.0018076113192364573,0.0588856004178524,0.11951039731502533
0,400,12,32,0.003906214376911521,0.08141427487134933,0.16402366757392883
0,400,13,64,0.05096196383237839,0.16285920143127441,1.4541212320327759
0,400,14,64,0.014392554759979248,0.13592271506786346,0.5273914337158203
0,400,15,64,0.01267189159989357,0.0543120875954628,0.6219075918197632
5,360,0,64,0.01096409559249878,0.051731545478105545,0.5868898630142212
5,360,1,64,0.04120612144470215,0.13649439811706543,1.1997597217559814
5,360,2,32,0.014304108917713165,0.07054967433214188,0.567558228969574
5,360,3,32,0.016942044720053673,0.13328588008880615,0.41299760341644287
5,360,4,16,0.028071679174900055,0.13048626482486725,0.5420228838920593
5,360,5,16,0.03098680078983307,0.15776972472667694,0.5637977123260498
5,360,6,8,0.05568218231201172,0.1466449350118637,1.1730353832244873
5,360,7,16,0.02873971499502659,0.23028983175754547,0.2928306460380554
5,360,8,16,0.021478094160556793,0.22712354362010956,0.14095324277877808
5,360,9,16,0.013278970494866371,0.19738121330738068,0.14986947178840637
5,360,10,32,0.0006311323959380388,0.02779822051525116,0.014907194301486015
5,360,11,32,0.0016584096010774374,0.03982878848910332,0.1105579137802124
