step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.009300585836172104,0.03468281775712967,0.6014955043792725
0,400,1,64,0.0471980907022953,0.11117628961801529,1.3351428508758545
0,400,2,32,0.00436536967754364,0.04503566026687622,0.4398549795150757
0,400,3,32,0.00961337424814701,0.08781257271766663,0.3178344964981079
0,400,4,16,0.006668250076472759,0.04132288694381714,0.43175405263900757
0,400,5,16,0.01072174496948719,0.06703934073448181,0.44279175996780396
0,400,6,8,0.056415677070617676,0.15466473996639252,1.1261379718780518
0,400,7,16,0.01794908009469509,0.131271094083786,0.2941892743110657
0,400,8,16,0.01191500574350357,0.1251385360956192,0.13891640305519104
0,400,9,16,0.004541502799838781,0.052978891879320145,0.1482519805431366
0,400,10,32,0.0007224750588648021,0.1213204637169838,0.00811336375772953
0,400,11,32,0.0012904128525406122,0.06125981733202934,0.06808775663375854
0,400,12,32,0.003300819545984268,0.01792191155254841,0.11805270612239838
0,400,13,64,0.05189846456050873,0.11373592168092728,1.5319278240203857
0,400,14,64,0.021704550832509995,0.1070452332496643,0.6318413019180298
0,400,15,64,0.01408570259809494,0.061217524111270905,0.6050832271575928
5,360,0,64,0.009442485868930817,0.03726163133978844,0.5671201944351196
5,360,1,64,0.04877334460616112,0.11215583235025406,1.3370970487594604
5,360,2,32,0.004075132310390472,0.03570028394460678,0.41862621903419495
5,360,3,32,0.009247986599802971,0.09464551508426666,0.29672712087631226
5,360,4,16,0.0066722361370921135,0.04098813235759735,0.40487468242645264
5,360,5,16,0.011084485799074173,0.08996270596981049,0.42800843715667725
5,360,6,8,0.05580207705497742,0.14822402596473694,1.0345990657806396
5,360,7,16,0.01839359477162361,0.12117722630500793,0.25689268112182617
5,360,8,16,0.00833684392273426,0.08724746108055115,0.10850928723812103
5,360,9,16,0.004347306676208973,0.06191553920507431,0.12215086072683334
5,360,10,32,0.0007970092119649053,0.12073775380849838,0.007780871354043484
5,360,11,32,0.002217949368059635,0.10381857305765152,0.07900367677211761
5,360,12,32,0.0031586545519530773,0.022971386089920998,0.10228754580020905
5,360,13,64,0.054449234157800674,0.13278499245643616,1.5260708332061768
5,360,14,64,0.022168274968862534,0.1767614483833313,0.6366316080093384
5,360,15,64,0.014493446797132492,0.08318108320236206,0.594563901424408
10,320,0,64,0.009724422357976437,0.040785737335681915,0.5374569296836853
10,320,1,64,0.049642037600278854,0.12711769342422485,1.322642207145691
10,320,2,32,0.003872851375490427,0.030955497175455093,0.3928694725036621
10,320,3,32,0.00877482257783413,0.09821916371583939,0.2743682563304901
10,320,4,16,0.006618659943342209,0.05076982080936432,0.37947458028793335
10,320,5,16,0.011149764060974121,0.11180040240287781,0.4170628786087036
10,320,6,8,0.05493324249982834,0.1508672833442688,1.001276969909668
10,320,7,16,0.01861380785703659,0.13009881973266602,0.25251060724258423
10,320,8,16,0.00791805051267147,0.07432836294174194,0.1001071184873581
10,320,9,16,0.00443356204777956,0.07918225228786469,0.110524982213974
10,320,10,32,0.000517736654728651,0.12236258387565613,0.0056645129807293415
10,320,11,32,0.002856325823813677,0.12519323825836182,0.08307763934135437
10,320,12,32,0.00323879299685359,0.0321195051074028,0.09736218303442001
10,320,13,64,0.05775971710681915,0.15135763585567474,1.5185672044754028
10,320,14,64,0.020679600536823273,0.1881631314754486,0.622582197189331
10,320,15,64,0.014486996456980705,0.07363077998161316,0.5711483955383301
15,280,0,64,0.010136387310922146,0.04441331326961517,0.5161240100860596
15,280,1,64,0.0496026910841465,0.13824036717414856,1.2902727127075195
15,280,2,32,0.003727029776200652,0.024266837164759636,0.3646811246871948
15,280,3,32,0.008427135646343231,0.10192820429801941,0.255329966545105
15,280,4,16,0.006710186135023832,0.06924326717853546,0.3573359251022339
15,280,5,16,0.010811707004904747,0.11273828148841858,0.390913188457489
15,280,6,8,0.0513526052236557,0.13225007057189941,0.9622235298156738
15,280,7,16,0.01767759770154953,0.11824662238359451,0.24125437438488007
15,280,8,16,0.007857504300773144,0.060322489589452744,0.0986730307340622
15,280,9,16,0.0039192084223032,0.0552159808576107,0.10023122280836105
15,280,10,32,0.0005245040520094335,0.12300613522529602,0.005614385474473238
15,280,11,32,0.003004400059580803,0.1490163654088974,0.08247698843479156
15,280,12,32,0.003183905966579914,0.03127151355147362,0.09462426602840424
15,280,13,64,0.061838679015636444,0.14306609332561493,1.5179669857025146
15,280,14,64,0.01916903629899025,0.14504829049110413,0.6107175946235657
15,280,15,64,0.01424381323158741,0.0739741325378418,0.544023871421814
20,240,0,64,0.010512668639421463,0.0469726137816906,0.49928537011146545
20,240,1,64,0.04819239675998688,0.14043286442756653,1.2323064804077148
20,240,2,32,0.0036197868175804615,0.027985969558358192,0.3336384892463684
20,240,3,32,0.008079074323177338,0.10120601952075958,0.23897969722747803
20,240,4,16,0.006667828653007746,0.07648105174303055,0.33847856521606445
20,240,5,16,0.010390590876340866,0.09701801091432571,0.36650121212005615
20,240,6,8,0.048106417059898376,0.12033666670322418,0.9378414750099182
20,240,7,16,0.016880609095096588,0.11712867021560669,0.22598527371883392
20,240,8,16,0.007418065797537565,0.0626063197851181,0.0955527052283287
20,240,9,16,0.0033008763566613197,0.03329949826002121,0.09137606620788574
20,240,10,32,0.0005343975499272346,0.12271774560213089,0.005612176842987537
20,240,11,32,0.0028087785467505455,0.16708870232105255,0.07897207140922546
20,240,12,32,0.003059421433135867,0.02754346653819084,0.09219373762607574
20,240,13,64,0.0661061555147171,0.15825293958187103,1.5130113363265991
