step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.011609075590968132,0.08609387278556824,0.672026515007019
0,400,1,64,0.039542097598314285,0.11437991261482239,1.2048184871673584
0,400,2,32,0.012642131187021732,0.06359968334436417,0.6864351034164429
0,400,3,32,0.016803905367851257,0.08414454013109207,0.4677661657333374
0,400,4,16,0.023486219346523285,0.09234734624624252,0.551002025604248
0,400,5,16,0.024117115885019302,0.11138089001178741,0.4409182667732239
0,400,6,8,0.04687323048710823,0.13515940308570862,0.9290109872817993
0,400,7,16,0.026747893542051315,0.11948078125715256,0.23573333024978638
0,400,8,16,0.025495391339063644,0.12428459525108337,0.17464224994182587
0,400,9,16,0.003531359601765871,0.024213647469878197,0.13090559840202332
0,400,10,32,0.0010101661318913102,0.12509393692016602,0.011808923445641994
0,400,11,32,0.0048896558582782745,0.1457926332950592,0.11888621747493744
0,400,12,32,0.00669198390096426,0.12262275815010071,0.14493192732334137
0,400,13,64,0.0629550889134407,0.1445300281047821,1.7102363109588623
0,400,14,64,0.023562394082546234,0.14276039600372314,0.6731473803520203
0,400,15,64,0.012725789099931717,0.0656629353761673,0.6125443577766418
5,360,0,64,0.012105460278689861,0.09483976662158966,0.6540254950523376
5,360,1,64,0.04057847708463669,0.12166108191013336,1.1980031728744507
5,360,2,32,0.013428771868348122,0.07159566879272461,0.6530026197433472
5,360,3,32,0.017279889434576035,0.10735370218753815,0.45592644810676575
5,360,4,16,0.02308695577085018,0.08864401280879974,0.533018946647644
5,360,5,16,0.024039335548877716,0.1159893125295639,0.41997453570365906
5,360,6,8,0.04036952927708626,0.12186415493488312,0.8054323792457581
5,360,7,16,0.028015650808811188,0.12483173608779907,0.22222796082496643
5,360,8,16,0.027605431154370308,0.12425185739994049,0.170750230550766
5,360,9,16,0.0035358245950192213,0.03812902793288231,0.09904003143310547
5,360,10,32,0.0009850889910012484,0.12478647381067276,0.011284401640295982
5,360,11,32,0.005892274901270866,0.1431327611207962,0.13258136808872223
5,360,12,32,0.0072485217824578285,0.13908147811889648,0.14510011672973633
5,360,13,64,0.06486921012401581,0.18193137645721436,1.7046071290969849
5,360,14,64,0.023155421018600464,0.13897141814231873,0.6931186318397522
5,360,15,64,0.012324790470302105,0.05804872140288353,0.595871090888977
10,320,0,64,0.012536274269223213,0.10101911425590515,0.6336110830307007
10,320,1,64,0.041806891560554504,0.13201528787612915,1.1906487941741943
