step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.01053648255765438,0.0608246885240078,0.6024548411369324
0,400,1,64,0.03179478645324707,0.10946296155452728,1.1239805221557617
0,400,2,32,0.009859642945230007,0.06920845061540604,0.5739434957504272
0,400,3,32,0.013918598182499409,0.10649235546588898,0.3779918849468231
0,400,4,16,0.03026217222213745,0.1303979754447937,0.607052206993103
0,400,5,16,0.03454837575554848,0.15582706034183502,0.6177091598510742
0,400,6,8,0.05279859900474548,0.1426452249288559,1.309648871421814
0,400,7,16,0.030345238745212555,0.21375294029712677,0.33773842453956604
0,400,8,16,0.020532218739390373,0.22747652232646942,0.15046018362045288
0,400,9,16,0.010789873078465462,0.11329731345176697,0.15708793699741364
0,400,10,32,0.00025918055325746536,0.015330547466874123,0.008039667271077633
0,400,11,32,0.0010628900490701199,0.05084851011633873,0.09998828172683716
0,400,12,32,0.014303344301879406,0.08903530240058899,0.22131918370723724
0,400,13,64,0.05024941265583038,0.15482822060585022,1.424669861793518
0,400,14,64,0.015477772802114487,0.09631501138210297,0.46822410821914673
0,400,15,64,0.012398360297083855,0.057806916534900665,0.5652643442153931
5,360,0,64,0.010550636798143387,0.06265518814325333,0.5698271989822388
5,360,1,64,0.032632894814014435,0.1362524926662445,1.1103088855743408
5,360,2,32,0.010016107000410557,0.06962156295776367,0.538374125957489
5,360,3,32,0.013184835202991962,0.10307630896568298,0.355882465839386
5,360,4,16,0.028540855273604393,0.14473703503608704,0.5765650272369385
5,360,5,16,0.03058280237019062,0.14322100579738617,0.5831184983253479
5,360,6,8,0.049389343708753586,0.1440902203321457,1.2867873907089233
5,360,7,16,0.02405579388141632,0.20182238519191742,0.2858521342277527
5,360,8,16,0.018603943288326263,0.22735998034477234,0.13841861486434937
5,360,9,16,0.008537091314792633,0.11336252093315125,0.142208531498909
5,360,10,32,0.00039586605271324515,0.0189670380204916,0.010438075289130211
5,360,11,32,0.0011520875850692391,0.05480082333087921,0.09644128382205963
5,360,12,32,0.0072024231776595116,0.058024246245622635,0.16053083539009094
5,360,13,64,0.05594363063573837,0.15537337958812714,1.4272980690002441
5,360,14,64,0.015060288831591606,0.08262674510478973,0.4597824811935425
5,360,15,64,0.011895650997757912,0.05691840499639511,0.5550515651702881
10,320,0,64,0.010477431118488312,0.06650208681821823,0.535934329032898
10,320,1,64,0.03376910090446472,0.16569727659225464,1.0955963134765625
10,320,2,32,0.009613354690372944,0.06438196450471878,0.4955288767814636
10,320,3,32,0.012673608958721161,0.09453792124986649,0.34090638160705566
10,320,4,16,0.02614564821124077,0.15095154941082,0.5401383638381958
10,320,5,16,0.026966944336891174,0.12938952445983887,0.5562993884086609
10,320,6,8,0.04647218436002731,0.14469750225543976,1.26548433303833
10,320,7,16,0.018708471208810806,0.17891670763492584,0.2523605227470398
10,320,8,16,0.016169629991054535,0.21554794907569885,0.12557165324687958
10,320,9,16,0.006893905811011791,0.10014212876558304,0.12402394413948059
10,320,10,32,0.0007643300923518836,0.047394584864377975,0.012954490259289742
10,320,11,32,0.0012951423414051533,0.05738300085067749,0.0926169827580452
10,320,12,32,0.004470126703381538,0.053353410214185715,0.12358499318361282
10,320,13,64,0.06313223391771317,0.17703361809253693,1.442525863647461
10,320,14,64,0.01596430316567421,0.09809359908103943,0.4705262780189514
10,320,15,64,0.011763989925384521,0.05535232648253441,0.5494621992111206
15,280,0,64,0.010453056544065475,0.07168470323085785,0.5044361352920532
15,280,1,64,0.0348067544400692,0.18145105242729187,1.0732243061065674
15,280,2,32,0.008851991035044193,0.06550949811935425,0.4510963559150696
15,280,3,32,0.01218746043741703,0.1146143451333046,0.3269239664077759
15,280,4,16,0.023479267954826355,0.15010860562324524,0.49932289123535156
15,280,5,16,0.025050535798072815,0.1446353793144226,0.5327433347702026
15,280,6,8,0.04400523751974106,0.14348259568214417,1.2280011177062988
15,280,7,16,0.015955891460180283,0.15898624062538147,0.23504047095775604
15,280,8,16,0.014716444537043571,0.1907137930393219,0.11694598197937012
15,280,9,16,0.006372311618179083,0.10351570695638657,0.10854921489953995
15,280,10,32,0.001200895756483078,0.11258275806903839,0.01416079979389906
15,280,11,32,0.0013540377840399742,0.057595185935497284,0.08612065017223358
15,280,12,32,0.0035177115350961685,0.057534631341695786,0.1034557893872261
15,280,13,64,0.06939776241779327,0.20128171145915985,1.4506261348724365
15,280,14,64,0.01644401252269745,0.10834082216024399,0.48246532678604126
15,280,15,64,0.011673982255160809,0.04848676919937134,0.5468168258666992
20,240,0,64,0.010351547040045261,0.07768389582633972,0.4734935164451599
20,240,1,64,0.03564465418457985,0.19939139485359192,1.0441179275512695
20,240,2,32,0.00787911657243967,0.06766322255134583,0.4075464606285095
20,240,3,32,0.01163635402917862,0.13744691014289856,0.3122876286506653
20,240,4,16,0.020855188369750977,0.1463439017534256,0.45727860927581787
20,240,5,16,0.023360600695014,0.14691218733787537,0.5052388310432434
20,240,6,8,0.042008742690086365,0.1442549079656601,1.1821343898773193
20,240,7,16,0.0142520098015666,0.15149392187595367,0.2205834984779358
20,240,8,16,0.014056550338864326,0.18763980269432068,0.11183059215545654
20,240,9,16,0.0060500833205878735,0.11501806229352951,0.09728235751390457
20,240,10,32,0.0015004497254267335,0.14390338957309723,0.014611005783081055
20,240,11,32,0.0013712423387914896,0.05577149614691734,0.07895851880311966
20,240,12,32,0.002872804645448923,0.051794975996017456,0.08828245103359222
20,240,13,64,0.07478542625904083,0.222228541970253,1.4532570838928223
20,240,14,64,0.01623142510652542,0.11142773181200027,0.4894201159477234
20,240,15,64,0.011570524424314499,0.04191005975008011,0.5460025072097778
25,200,0,64,0.010117186233401299,0.08430696278810501,0.44369661808013916
25,200,1,64,0.03619159758090973,0.21533045172691345,1.006066083908081
25,200,2,32,0.006901607383042574,0.06832103431224823,0.36750906705856323
25,200,3,32,0.010965563356876373,0.14835119247436523,0.297244131565094
25,200,4,16,0.01858494244515896,0.14357347786426544,0.41691839694976807
25,200,5,16,0.0214246679097414,0.1431323140859604,0.47085338830947876
25,200,6,8,0.04001006484031677,0.1460220068693161,1.1373710632324219
25,200,7,16,0.013042815029621124,0.15120649337768555,0.206030935049057
25,200,8,16,0.013715308159589767,0.21238923072814941,0.10835720598697662
25,200,9,16,0.005844303406774998,0.12473887205123901,0.08944754302501678
25,200,10,32,0.0015894181560724974,0.17126886546611786,0.01460192259401083
25,200,11,32,0.0013934108428657055,0.10689876973628998,0.07344603538513184
25,200,12,32,0.0024115396663546562,0.04050438106060028,0.0769626647233963
25,200,13,64,0.08056405186653137,0.24506345391273499,1.4524946212768555
25,200,14,64,0.01563294418156147,0.1019861027598381,0.49328404664993286
25,200,15,64,0.011476301588118076,0.04133163392543793,0.5440390706062317
30,160,0,64,0.009742925874888897,0.09246265888214111,0.41588133573532104
30,160,1,64,0.03635435923933983,0.21816258132457733,0.9595600366592407
30,160,2,32,0.006135192699730396,0.0656583234667778,0.3322311043739319
30,160,3,32,0.01030016876757145,0.15034577250480652,0.2816120684146881
30,160,4,16,0.01660018414258957,0.14058633148670197,0.37847745418548584
30,160,5,16,0.019814729690551758,0.13886435329914093,0.4354938268661499
30,160,6,8,0.03713906556367874,0.14510606229305267,1.0847253799438477
30,160,7,16,0.011825550347566605,0.1648486703634262,0.18869370222091675
30,160,8,16,0.012947767972946167,0.22292140126228333,0.10352161526679993
30,160,9,16,0.0056922282092273235,0.12326591461896896,0.08306150883436203
30,160,10,32,0.0016035293228924274,0.19797444343566895,0.014548944309353828
30,160,11,32,0.0014469774905592203,0.1571594774723053,0.06824221462011337
30,160,12,32,0.0020663714967668056,0.03549446910619736,0.06794027239084244
30,160,13,64,0.08695422112941742,0.2532855272293091,1.4493108987808228
30,160,14,64,0.015081624500453472,0.11338101327419281,0.4984399676322937
30,160,15,64,0.011351601220667362,0.05189121514558792,0.5387982130050659
