step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.017078425735235214,0.07261823862791061,0.7746443748474121
0,400,1,64,0.03726595267653465,0.10399555414915085,1.2562183141708374
0,400,2,32,0.01806536689400673,0.07857859134674072,0.8224546909332275
0,400,3,32,0.014402369037270546,0.06674066931009293,0.4091167747974396
0,400,4,16,0.0262807235121727,0.0878375917673111,0.6262129545211792
0,400,5,16,0.03424415364861488,0.1484631448984146,0.6291894912719727
0,400,6,8,0.06412765383720398,0.13432177901268005,1.1007335186004639
0,400,7,16,0.031499188393354416,0.14468339085578918,0.29611068964004517
0,400,8,16,0.031055346131324768,0.12979641556739807,0.18533289432525635
0,400,9,16,0.0036141735035926104,0.020943164825439453,0.09074888378381729
0,400,10,32,0.0004896760219708085,0.06100672855973244,0.0065001510083675385
0,400,11,32,0.002157861366868019,0.1250988245010376,0.0780014917254448
0,400,12,32,0.009516829624772072,0.053562816232442856,0.16362464427947998
0,400,13,64,0.05461149290204048,0.12294451892375946,1.7390941381454468
0,400,14,64,0.02612956054508686,0.09945991635322571,0.7464022636413574
0,400,15,64,0.015019658952951431,0.04689204692840576,0.6761304140090942
5,360,0,64,0.01789354905486107,0.08052924275398254,0.7657115459442139
5,360,1,64,0.03875403106212616,0.10868708789348602,1.2612254619598389
5,360,2,32,0.019689112901687622,0.08335617929697037,0.7954922914505005
5,360,3,32,0.013563983142375946,0.07809995859861374,0.3741929233074188
5,360,4,16,0.025821011513471603,0.09729588776826859,0.5952080488204956
5,360,5,16,0.0326453372836113,0.15109558403491974,0.5963737964630127
5,360,6,8,0.07079336047172546,0.14843900501728058,0.9882537722587585
5,360,7,16,0.029191194102168083,0.15713343024253845,0.24996770918369293
5,360,8,16,0.03242163732647896,0.12382052838802338,0.18958216905593872
5,360,9,16,0.003978929482400417,0.02932092547416687,0.07477061450481415
5,360,10,32,0.0006141609628684819,0.09543973207473755,0.006033881567418575
5,360,11,32,0.0031105605885386467,0.13573810458183289,0.08552590757608414
5,360,12,32,0.01003915537148714,0.06082587689161301,0.16035687923431396
5,360,13,64,0.05096771940588951,0.14345473051071167,1.7405375242233276
5,360,14,64,0.026617392897605896,0.13630983233451843,0.7477343678474426
5,360,15,64,0.015762045979499817,0.049308892339468,0.6913915276527405
