step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.016346581280231476,0.06040370464324951,0.6362402439117432
0,400,1,64,0.04394637793302536,0.10498973727226257,1.3747259378433228
0,400,2,32,0.00819696206599474,0.08715276420116425,0.39955881237983704
0,400,3,32,0.011477822437882423,0.09566428512334824,0.3132428228855133
0,400,4,16,0.011502960696816444,0.059579379856586456,0.4975188970565796
0,400,5,16,0.011583252809941769,0.0963934138417244,0.4272429049015045
0,400,6,8,0.03693555295467377,0.08431903272867203,1.1489579677581787
0,400,7,16,0.02324901893734932,0.13346926867961884,0.40236565470695496
0,400,8,16,0.009267677552998066,0.13299749791622162,0.14964458346366882
0,400,9,16,0.005896219052374363,0.06754322350025177,0.1465563178062439
0,400,10,32,0.0006709445151500404,0.11637646704912186,0.008327188901603222
0,400,11,32,0.002561394590884447,0.13031266629695892,0.07128515839576721
0,400,12,32,0.011502361856400967,0.08279351890087128,0.2104019820690155
0,400,13,64,0.07653945684432983,0.21003612875938416,1.4468389749526978
0,400,14,64,0.017623035237193108,0.08815094828605652,0.54690021276474
0,400,15,64,0.012417268007993698,0.03130432218313217,0.5901068449020386
5,360,0,64,0.016300655901432037,0.06283474713563919,0.6097660064697266
5,360,1,64,0.04424554854631424,0.10567048192024231,1.3365281820297241
5,360,2,32,0.00788058154284954,0.07151350378990173,0.38433656096458435
5,360,3,32,0.010943946428596973,0.09160123020410538,0.2941840887069702
5,360,4,16,0.010287366807460785,0.05252202972769737,0.4473692774772644
5,360,5,16,0.01232229731976986,0.10778142511844635,0.43472373485565186
5,360,6,8,0.036103155463933945,0.11710526049137115,1.1261948347091675
5,360,7,16,0.02043171226978302,0.14131392538547516,0.3380243480205536
5,360,8,16,0.008361274376511574,0.07885648310184479,0.12180773913860321
5,360,9,16,0.005008229520171881,0.0800326019525528,0.12112843990325928
5,360,10,32,0.0006264708936214447,0.11999340355396271,0.00637332908809185
5,360,11,32,0.004178937524557114,0.29451099038124084,0.07874664664268494
5,360,12,32,0.011741319671273232,0.05102710425853729,0.18411943316459656
5,360,13,64,0.0791613906621933,0.18726997077465057,1.4412014484405518
5,360,14,64,0.016861626878380775,0.11061742901802063,0.521551251411438
5,360,15,64,0.012116125784814358,0.04803483560681343,0.5620735883712769
10,320,0,64,0.0164992343634367,0.06819068640470505,0.5870340466499329
10,320,1,64,0.04447869211435318,0.1043335422873497,1.2944121360778809
10,320,2,32,0.006838059518486261,0.05880066007375717,0.3531677722930908
10,320,3,32,0.010518193244934082,0.08789613097906113,0.2759663164615631
10,320,4,16,0.009098779410123825,0.05106296017765999,0.3983215093612671
10,320,5,16,0.013282988220453262,0.10502787679433823,0.45349574089050293
10,320,6,8,0.03399690240621567,0.12894746661186218,1.0970255136489868
10,320,7,16,0.01785103604197502,0.14255374670028687,0.2926710247993469
10,320,8,16,0.007863955572247505,0.07712569087743759,0.10918067395687103
10,320,9,16,0.0042734029702842236,0.061499372124671936,0.10477647185325623
10,320,10,32,0.0006374982185661793,0.11661005765199661,0.0067736003547906876
10,320,11,32,0.003235993906855583,0.23560787737369537,0.06767355650663376
10,320,12,32,0.011730552650988102,0.05520709604024887,0.16754838824272156
10,320,13,64,0.08205792307853699,0.23002570867538452,1.4371984004974365
10,320,14,64,0.015986870974302292,0.09118244051933289,0.500343918800354
10,320,15,64,0.011321700178086758,0.04782453551888466,0.5217621922492981
15,280,0,64,0.016647623851895332,0.07409532368183136,0.5668158531188965
15,280,1,64,0.04403379559516907,0.09945441037416458,1.2381954193115234
15,280,2,32,0.005983914248645306,0.06492578238248825,0.31792014837265015
15,280,3,32,0.010474513284862041,0.10385701805353165,0.26541006565093994
15,280,4,16,0.008351362310349941,0.05951317027211189,0.3585946559906006
15,280,5,16,0.01276564970612526,0.0976049154996872,0.44354841113090515
15,280,6,8,0.032949186861515045,0.134763702750206,1.0611000061035156
15,280,7,16,0.016629355028271675,0.13564948737621307,0.25485318899154663
15,280,8,16,0.0074816131964325905,0.07636502385139465,0.09976569563150406
15,280,9,16,0.003916611894965172,0.05355609208345413,0.0961507111787796
15,280,10,32,0.0006816305685788393,0.11830303072929382,0.0077269417233765125
15,280,11,32,0.0031064804643392563,0.21409735083580017,0.06781184673309326
15,280,12,32,0.011184846982359886,0.06128239631652832,0.15585197508335114
15,280,13,64,0.08595103025436401,0.180822491645813,1.441948413848877
15,280,14,64,0.015888787806034088,0.11772796511650085,0.4904910922050476
15,280,15,64,0.010799361392855644,0.04772216081619263,0.49005335569381714
20,240,0,64,0.01661067269742489,0.07942340523004532,0.5458260774612427
20,240,1,64,0.042651813477277756,0.10539975762367249,1.1655958890914917
20,240,2,32,0.005520619451999664,0.0628875195980072,0.2848195731639862
20,240,3,32,0.010567677207291126,0.11722711473703384,0.25911223888397217
20,240,4,16,0.007990159094333649,0.07385340332984924,0.3302272856235504
20,240,5,16,0.011700274422764778,0.09026826173067093,0.4111018180847168
20,240,6,8,0.03147641569375992,0.1287713497877121,1.02638840675354
20,240,7,16,0.01538817584514618,0.11615251004695892,0.22559422254562378
20,240,8,16,0.006923734210431576,0.07305306941270828,0.09040859341621399
20,240,9,16,0.0038250437937676907,0.044296689331531525,0.08910900354385376
20,240,10,32,0.0007213328499346972,0.12046066671609879,0.008734779432415962
20,240,11,32,0.003112973878160119,0.2153722196817398,0.06837521493434906
