step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.014067587442696095,0.06445743143558502,0.7948898077011108
0,400,1,64,0.049592506140470505,0.12007611989974976,1.4616551399230957
0,400,2,32,0.007986122742295265,0.03447258844971657,0.49995896220207214
0,400,3,32,0.012839218601584435,0.09045857191085815,0.3395015597343445
0,400,4,16,0.0089949332177639,0.04070773720741272,0.4892980456352234
0,400,5,16,0.009748664684593678,0.04157095402479172,0.629089891910553
0,400,6,8,0.05959245190024376,0.19523878395557404,1.1391832828521729
0,400,7,16,0.018394600600004196,0.13322056829929352,0.4054948687553406
0,400,8,16,0.011154172010719776,0.11763837933540344,0.1534140408039093
0,400,9,16,0.004277742933481932,0.030002599582076073,0.16124892234802246
0,400,10,32,0.00045423180563375354,0.02591526322066784,0.008655918762087822
0,400,11,32,0.0006973777199164033,0.007787193171679974,0.06284435838460922
0,400,12,32,0.0037578754127025604,0.013418428599834442,0.13292208313941956
0,400,13,64,0.06476122885942459,0.1458282172679901,1.683257818222046
0,400,14,64,0.02477433532476425,0.11387617886066437,0.7598391175270081
0,400,15,64,0.016531042754650116,0.03095282055437565,0.7195274829864502
5,360,0,64,0.01432761363685131,0.055154819041490555,0.7706624865531921
5,360,1,64,0.05176916718482971,0.1262858510017395,1.4752243757247925
5,360,2,32,0.006940348073840141,0.029836080968379974,0.43629130721092224
5,360,3,32,0.013305002823472023,0.13874433934688568,0.3239186406135559
5,360,4,16,0.007329658139497042,0.03411649540066719,0.40332573652267456
5,360,5,16,0.00904764048755169,0.05924530327320099,0.630893349647522
5,360,6,8,0.05784817785024643,0.2096518576145172,1.1374095678329468
5,360,7,16,0.015471557155251503,0.1346343755722046,0.2682810127735138
5,360,8,16,0.009033141657710075,0.14313454926013947,0.1210707500576973
5,360,9,16,0.002801245544105768,0.026252051815390587,0.11694245040416718
5,360,10,32,0.0003582530771382153,0.05175607278943062,0.007351201958954334
5,360,11,32,0.0007367539219558239,0.03637652099132538,0.049512557685375214
