step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.01014749612659216,0.04751637950539589,0.6539580821990967
0,400,1,64,0.042372047901153564,0.10729093849658966,1.2835001945495605
0,400,2,32,0.0054471418261528015,0.029368601739406586,0.48023465275764465
0,400,3,32,0.012686401605606079,0.11695133149623871,0.36439889669418335
0,400,4,16,0.008503487333655357,0.055288296192884445,0.4860546588897705
0,400,5,16,0.011739716865122318,0.04224375635385513,0.6422585248947144
0,400,6,8,0.05865179002285004,0.19158266484737396,1.2081315517425537
0,400,7,16,0.021513814106583595,0.11590354144573212,0.45114147663116455
0,400,8,16,0.01032205019146204,0.12035851925611496,0.1554981768131256
0,400,9,16,0.004198996815830469,0.030369333922863007,0.16215452551841736
0,400,10,32,0.00037370590143837035,0.024432282894849777,0.007480929140001535
0,400,11,32,0.0007487275288440287,0.009507461450994015,0.06318782269954681
0,400,12,32,0.0039360434748232365,0.016060836613178253,0.12840862572193146
0,400,13,64,0.057389602065086365,0.19050845503807068,1.6674470901489258
0,400,14,64,0.02526448480784893,0.11099444329738617,0.7234076261520386
0,400,15,64,0.016458090394735336,0.049895018339157104,0.7182074785232544
5,360,0,64,0.010186973959207535,0.04995744302868843,0.6187405586242676
5,360,1,64,0.04416274651885033,0.1115749180316925,1.285140037536621
5,360,2,32,0.004874512553215027,0.024108029901981354,0.44430702924728394
5,360,3,32,0.012265941128134727,0.11299894005060196,0.3462052345275879
5,360,4,16,0.00735873356461525,0.0486188679933548,0.4326151907444
5,360,5,16,0.00926763191819191,0.03547292947769165,0.5909046530723572
5,360,6,8,0.05532258003950119,0.1902584433555603,1.191611647605896
5,360,7,16,0.01995326764881611,0.1282237321138382,0.39134931564331055
5,360,8,16,0.010145001113414764,0.12785623967647552,0.14925351738929749
5,360,9,16,0.0038592442870140076,0.05381157994270325,0.13446921110153198
5,360,10,32,0.0005672738188877702,0.08386831730604172,0.007898470386862755
5,360,11,32,0.0006735592614859343,0.009317472577095032,0.053648415952920914
5,360,12,32,0.004413852002471685,0.016982851549983025,0.12592709064483643
5,360,13,64,0.05901671573519707,0.18152034282684326,1.679481029510498
5,360,14,64,0.023635074496269226,0.12037600576877594,0.6904531717300415
5,360,15,64,0.01607561483979225,0.07395386695861816,0.6942563056945801
10,320,0,64,0.01028753537684679,0.05305381119251251,0.5853140354156494
10,320,1,64,0.04542677104473114,0.11397985368967056,1.274491786956787
10,320,2,32,0.004351385403424501,0.020827213302254677,0.40254712104797363
10,320,3,32,0.012067904695868492,0.09545519948005676,0.3340781033039093
10,320,4,16,0.006651418749243021,0.040826331824064255,0.39467763900756836
10,320,5,16,0.008484149351716042,0.034703049808740616,0.5409740805625916
10,320,6,8,0.05245441570878029,0.19913671910762787,1.1295242309570312
10,320,7,16,0.018078358843922615,0.13436542451381683,0.33744245767593384
10,320,8,16,0.009515376761555672,0.122989222407341,0.14158976078033447
10,320,9,16,0.0035784151405096054,0.04108289256691933,0.12191474437713623
10,320,10,32,0.0005856994539499283,0.10935172438621521,0.008072130382061005
10,320,11,32,0.0006918021244928241,0.02622128650546074,0.052042026072740555
10,320,12,32,0.004551228601485491,0.018452046439051628,0.12425142526626587
10,320,13,64,0.06387750804424286,0.18204183876514435,1.6855108737945557
10,320,14,64,0.02205616608262062,0.13652303814888,0.6602815389633179
10,320,15,64,0.015699654817581177,0.08290620148181915,0.6570261716842651
15,280,0,64,0.010562639683485031,0.05579186603426933,0.5585522651672363
15,280,1,64,0.046192701905965805,0.12479627132415771,1.2527637481689453
15,280,2,32,0.0038779829628765583,0.017584040760993958,0.35896313190460205
15,280,3,32,0.011600801721215248,0.11026418954133987,0.31855595111846924
15,280,4,16,0.0060898782685399055,0.033866506069898605,0.36181727051734924
15,280,5,16,0.008399629965424538,0.03652359917759895,0.5013141632080078
15,280,6,8,0.0505855493247509,0.19405576586723328,1.0790722370147705
15,280,7,16,0.016503311693668365,0.12449687719345093,0.29029589891433716
15,280,8,16,0.009330885484814644,0.1369965821504593,0.13598449528217316
15,280,9,16,0.0031723417341709137,0.03423531726002693,0.10406582057476044
15,280,10,32,0.0005926694138906896,0.11988557875156403,0.00815192237496376
15,280,11,32,0.0008053438505157828,0.03682476282119751,0.05179264396429062
15,280,12,32,0.004441344179213047,0.018854673951864243,0.11976881325244904
15,280,13,64,0.06994486600160599,0.17235031723976135,1.693766713142395
15,280,14,64,0.020438075065612793,0.1321597844362259,0.6327815055847168
15,280,15,64,0.015248581767082214,0.05918949097394943,0.6138443350791931
20,240,0,64,0.010867493227124214,0.06145443767309189,0.5359655022621155
20,240,1,64,0.046374231576919556,0.12981927394866943,1.217547059059143
20,240,2,32,0.003401654539629817,0.014278914779424667,0.3136364817619324
20,240,3,32,0.010444331914186478,0.10910187661647797,0.29248249530792236
20,240,4,16,0.005658457987010479,0.029163245111703873,0.3307803273200989
20,240,5,16,0.008595241233706474,0.040623415261507034,0.46785855293273926
20,240,6,8,0.04759354516863823,0.16990764439105988,1.0374820232391357
20,240,7,16,0.015362929552793503,0.12816643714904785,0.24698606133460999
20,240,8,16,0.009648522362112999,0.1509997397661209,0.13125978410243988
20,240,9,16,0.0029002393130213022,0.040565263479948044,0.08986256271600723
20,240,10,32,0.0005808814894407988,0.12267710268497467,0.007960750721395016
20,240,11,32,0.0008732479764148593,0.048851530998945236,0.04952610284090042
20,240,12,32,0.004005568102002144,0.013233417645096779,0.11415234208106995
20,240,13,64,0.07526969909667969,0.17812126874923706,1.6886491775512695
20,240,14,64,0.017871327698230743,0.10212889313697815,0.5966607332229614
20,240,15,64,0.014517202042043209,0.046172305941581726,0.5668669939041138
25,200,0,64,0.011172533966600895,0.06258220970630646,0.5174099206924438
25,200,1,64,0.045611798763275146,0.1311933398246765,1.162786841392517
25,200,2,32,0.0029189586639404297,0.011969257146120071,0.27024316787719727
25,200,3,32,0.008810631930828094,0.0903695598244667,0.2588273584842682
25,200,4,16,0.005386176519095898,0.026970170438289642,0.30682802200317383
25,200,5,16,0.00884915329515934,0.06681624054908752,0.4377102851867676
25,200,6,8,0.0440685972571373,0.1453409492969513,1.0007518529891968
25,200,7,16,0.013701587915420532,0.13273443281650543,0.2107946276664734
25,200,8,16,0.009170863777399063,0.16361349821090698,0.1220078095793724
25,200,9,16,0.0026732231490314007,0.03973204270005226,0.08044037222862244
25,200,10,32,0.0004900157218798995,0.11979323625564575,0.00755495298653841
25,200,11,32,0.0009241097723133862,0.07911265641450882,0.04691890627145767
25,200,12,32,0.0034665497951209545,0.011979503557085991,0.10391432046890259
25,200,13,64,0.08045274019241333,0.18376484513282776,1.6746571063995361
25,200,14,64,0.015599257312715054,0.118903249502182,0.5656076669692993
25,200,15,64,0.01384972408413887,0.04590431973338127,0.5243688821792603
30,160,0,64,0.011443791911005974,0.056806717067956924,0.5024924278259277
30,160,1,64,0.043690674006938934,0.13199932873249054,1.0867037773132324
30,160,2,32,0.002540381858125329,0.010363033972680569,0.23284469544887543
30,160,3,32,0.007440286222845316,0.08119271695613861,0.22493545711040497
30,160,4,16,0.005112512968480587,0.02549753338098526,0.28699102997779846
30,160,5,16,0.009174101054668427,0.08460924029350281,0.408067524433136
30,160,6,8,0.04130525141954422,0.13063651323318481,0.969688892364502
30,160,7,16,0.011953326873481274,0.11151140183210373,0.18822777271270752
30,160,8,16,0.007705600932240486,0.13512766361236572,0.1075228899717331
30,160,9,16,0.0023756930604577065,0.025902168825268745,0.07138678431510925
30,160,10,32,0.000441445445176214,0.11043599992990494,0.007628047838807106
30,160,11,32,0.0007963934913277626,0.05287497118115425,0.042609311640262604
30,160,12,32,0.0030667707324028015,0.011962606571614742,0.09318971633911133
30,160,13,64,0.08599772304296494,0.19671913981437683,1.6593201160430908
30,160,14,64,0.0135043915361166,0.13133063912391663,0.5427672863006592
30,160,15,64,0.013394618406891823,0.05238627269864082,0.4873773157596588
35,120,0,64,0.011394744738936424,0.05110640078783035,0.48550546169281006
35,120,1,64,0.03986784815788269,0.13280561566352844,0.9809672832489014
35,120,2,32,0.0022798527497798204,0.009767650626599789,0.2012733370065689
35,120,3,32,0.006288378965109587,0.07523918151855469,0.19401000440120697
35,120,4,16,0.004779655020684004,0.025264864787459373,0.26953285932540894
35,120,5,16,0.009464791975915432,0.08543741703033447,0.37604522705078125
35,120,6,8,0.03946755453944206,0.12116792798042297,0.9462459087371826
35,120,7,16,0.010416587814688683,0.08230052143335342,0.17240525782108307
35,120,8,16,0.006425980944186449,0.10251228511333466,0.09598572552204132
35,120,9,16,0.002094179391860962,0.01440674439072609,0.06316003203392029
35,120,10,32,0.0003966085205320269,0.10246241092681885,0.00781496986746788
35,120,11,32,0.0006916479906067252,0.03807210549712181,0.0378880500793457
35,120,12,32,0.0029066242277622223,0.01288379356265068,0.0850360095500946
35,120,13,64,0.09221156686544418,0.2120596468448639,1.639638066291809
35,120,14,64,0.011660667136311531,0.13052484393119812,0.5251294374465942
35,120,15,64,0.013361398130655289,0.06045055389404297,0.4575310945510864
40,80,0,64,0.010744797065854073,0.04879256710410118,0.4653661549091339
40,80,1,64,0.03268380090594292,0.12773165106773376,0.829179048538208
40,80,2,32,0.0021316600032150745,0.009020485915243626,0.17385223507881165
40,80,3,32,0.005264741834253073,0.06398199498653412,0.16635188460350037
40,80,4,16,0.0044193146750330925,0.022292334586381912,0.25521552562713623
40,80,5,16,0.009374725632369518,0.09339888393878937,0.34858137369155884
40,80,6,8,0.03786700591444969,0.11629252135753632,0.9223532676696777
40,80,7,16,0.009289508685469627,0.0847388431429863,0.15901365876197815
40,80,8,16,0.005766997113823891,0.08066501468420029,0.09029842913150787
40,80,9,16,0.0018934092950075865,0.010698380880057812,0.05776715278625488
40,80,10,32,0.00040883675683289766,0.10289561003446579,0.007792919408529997
40,80,11,32,0.0006326963193714619,0.02110116556286812,0.03323184326291084
40,80,12,32,0.0028433366678655148,0.012366163544356823,0.07780536264181137
40,80,13,64,0.10036240518093109,0.23097863793373108,1.612339973449707
40,80,14,64,0.01036212220788002,0.12022172659635544,0.5088416934013367
40,80,15,64,0.013782922178506851,0.075481116771698,0.4390130639076233
45,40,0,64,0.009078938513994217,0.053107939660549164,0.4316719174385071
45,40,1,64,0.020756572484970093,0.11995480209589005,0.608953595161438
45,40,2,32,0.002115383744239807,0.009448572993278503,0.15194042026996613
45,40,3,32,0.004335056059062481,0.059895869344472885,0.14413347840309143
45,40,4,16,0.004048224538564682,0.01941775716841221,0.24572262167930603
45,40,5,16,0.00867098942399025,0.08795272558927536,0.31462615728378296
45,40,6,8,0.035157375037670135,0.11215175688266754,0.8737818002700806
45,40,7,16,0.008305095136165619,0.0761185735464096,0.14588093757629395
45,40,8,16,0.005323388613760471,0.0684724748134613,0.0857030600309372
