step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.02355094626545906,0.10857222974300385,0.8565970063209534
0,400,1,64,0.041264019906520844,0.1284993290901184,1.3281419277191162
0,400,2,32,0.029067322611808777,0.11841940879821777,0.8464318513870239
0,400,3,32,0.016028430312871933,0.07684847712516785,0.4051804542541504
0,400,4,16,0.03273949772119522,0.08577274531126022,0.6489989757537842
0,400,5,16,0.023577068001031876,0.08412810415029526,0.3960668444633484
0,400,6,8,0.03795696794986725,0.11853045225143433,0.9830024838447571
0,400,7,16,0.02736116386950016,0.11625262349843979,0.2639561891555786
0,400,8,16,0.026319576427340508,0.13421355187892914,0.19595199823379517
0,400,9,16,0.00398952467367053,0.06511802971363068,0.07692565768957138
0,400,10,32,0.0006871683290228248,0.12357889860868454,0.007434044033288956
0,400,11,32,0.003714577993378043,0.09470345079898834,0.10276836156845093
0,400,12,32,0.01645474135875702,0.08389987051486969,0.22335347533226013
0,400,13,64,0.05675096809864044,0.16417036950588226,1.6341829299926758
0,400,14,64,0.016891762614250183,0.08828368037939072,0.684043288230896
0,400,15,64,0.015130072832107544,0.05178743600845337,0.6659741401672363
5,360,0,64,0.024428386241197586,0.11064848303794861,0.8409074544906616
5,360,1,64,0.04429970309138298,0.14026327431201935,1.3644688129425049
5,360,2,32,0.02835669368505478,0.11841464787721634,0.8169384598731995
5,360,3,32,0.015910601243376732,0.07824882864952087,0.3868860602378845
5,360,4,16,0.028960643336176872,0.0806189551949501,0.600660502910614
5,360,5,16,0.02419593743979931,0.09056393802165985,0.3966369032859802
5,360,6,8,0.04788913577795029,0.11884204298257828,0.9982201457023621
5,360,7,16,0.024554379284381866,0.11897382885217667,0.22440622746944427
5,360,8,16,0.026320068165659904,0.11921727657318115,0.1733326017856598
5,360,9,16,0.0038911611773073673,0.10305355489253998,0.05961480364203453
5,360,10,32,0.0004838335735257715,0.12166636437177658,0.005475166253745556
5,360,11,32,0.0015891888178884983,0.035915616899728775,0.058598630130290985
5,360,12,32,0.009985025972127914,0.03474338725209236,0.148541659116745
5,360,13,64,0.056198038160800934,0.13971298933029175,1.675746202468872
5,360,14,64,0.023426100611686707,0.13543617725372314,0.7521048784255981
5,360,15,64,0.015382413752377033,0.040995094925165176,0.667639970779419
10,320,0,64,0.02520066127181053,0.11155559122562408,0.827345609664917
10,320,1,64,0.046654265373945236,0.14613546431064606,1.3817565441131592
10,320,2,32,0.029498886317014694,0.11581549793481827,0.7926011085510254
10,320,3,32,0.015792682766914368,0.0838455855846405,0.37035009264945984
10,320,4,16,0.025866486132144928,0.07332221418619156,0.5469037890434265
10,320,5,16,0.02600618451833725,0.10354695469141006,0.41146689653396606
10,320,6,8,0.0548737570643425,0.13615365326404572,0.97837895154953
10,320,7,16,0.02307084947824478,0.11335879564285278,0.20846271514892578
10,320,8,16,0.0273779034614563,0.12276428192853928,0.17228582501411438
10,320,9,16,0.004176161251962185,0.11439403146505356,0.056923553347587585
10,320,10,32,0.00021664839005097747,0.018411070108413696,0.004480250179767609
10,320,11,32,0.0012969579547643661,0.05646028369665146,0.05112049728631973
10,320,12,32,0.009735261090099812,0.033526305109262466,0.13463914394378662
10,320,13,64,0.05986242741346359,0.14801302552223206,1.6797300577163696
10,320,14,64,0.023704614490270615,0.15571202337741852,0.7703480124473572
10,320,15,64,0.014430415816605091,0.03741845861077309,0.6450567245483398
15,280,0,64,0.02583492174744606,0.10907995700836182,0.8143203258514404
15,280,1,64,0.04840020835399628,0.14606226980686188,1.382694959640503
15,280,2,32,0.03100482001900673,0.1130327433347702,0.7662928700447083
15,280,3,32,0.015644069761037827,0.09478404372930527,0.35460424423217773
15,280,4,16,0.0232362262904644,0.06648468226194382,0.4930378496646881
15,280,5,16,0.02737833559513092,0.11103518307209015,0.42216992378234863
15,280,6,8,0.05692930519580841,0.14181751012802124,0.9513068199157715
15,280,7,16,0.022582542151212692,0.12510064244270325,0.19620254635810852
15,280,8,16,0.027726907283067703,0.12434828281402588,0.16807599365711212
15,280,9,16,0.004362472333014011,0.11505354940891266,0.051946450024843216
15,280,10,32,0.0003195852623321116,0.028468064963817596,0.005331296008080244
15,280,11,32,0.0018519291188567877,0.11728046089410782,0.05520322546362877
15,280,12,32,0.011477939784526825,0.10106357932090759,0.13459374010562897
15,280,13,64,0.06366374343633652,0.14976663887500763,1.648634433746338
15,280,14,64,0.023424867540597916,0.1721770018339157,0.7838714122772217
15,280,15,64,0.013634840026497841,0.04402753710746765,0.6188687086105347
20,240,0,64,0.0263355802744627,0.10443802922964096,0.7974146008491516
20,240,1,64,0.049572620540857315,0.14563654363155365,1.3670375347137451
20,240,2,32,0.031829461455345154,0.10847421735525131,0.7312651872634888
20,240,3,32,0.01488407514989376,0.10402213782072067,0.3343351483345032
20,240,4,16,0.021157965064048767,0.07195708900690079,0.44219303131103516
20,240,5,16,0.027702514082193375,0.13064171373844147,0.41783076524734497
20,240,6,8,0.051642440259456635,0.12468595802783966,0.8890585899353027
20,240,7,16,0.022528883069753647,0.1286582499742508,0.180079847574234
20,240,8,16,0.0275106281042099,0.12324385344982147,0.16270437836647034
20,240,9,16,0.0046026562340557575,0.11433570832014084,0.047990113496780396
20,240,10,32,0.0007814273703843355,0.12496398389339447,0.006406605243682861
20,240,11,32,0.0034601963125169277,0.15255722403526306,0.07303707301616669
20,240,12,32,0.01444240566343069,0.1577882468700409,0.145463764667511
20,240,13,64,0.06805643439292908,0.18354389071464539,1.6186115741729736
20,240,14,64,0.023223381489515305,0.16799414157867432,0.7931499481201172
20,240,15,64,0.013251434080302715,0.05462196096777916,0.5993649959564209
25,200,0,64,0.026894666254520416,0.0981314480304718,0.7824201583862305
25,200,1,64,0.04947579279541969,0.148308664560318,1.3233141899108887
25,200,2,32,0.03164864331483841,0.10134954005479813,0.6950147747993469
25,200,3,32,0.013173661194741726,0.09381034225225449,0.3027879595756531
25,200,4,16,0.018926037475466728,0.08889234811067581,0.39521002769470215
25,200,5,16,0.028571460396051407,0.13756684958934784,0.40650755167007446
25,200,6,8,0.04394720494747162,0.11049580574035645,0.8349339962005615
25,200,7,16,0.021453771740198135,0.12285728007555008,0.16857896745204926
25,200,8,16,0.026809945702552795,0.1197010949254036,0.15635669231414795
25,200,9,16,0.0049352156929671764,0.10941870510578156,0.047480762004852295
25,200,10,32,0.0007985627744346857,0.12491995841264725,0.006651995703577995
25,200,11,32,0.004266755655407906,0.15714362263679504,0.08189697563648224
25,200,12,32,0.015262185595929623,0.14650505781173706,0.14767205715179443
25,200,13,64,0.07256551086902618,0.19600088894367218,1.5890963077545166
25,200,14,64,0.021270686760544777,0.16939899325370789,0.7619486451148987
25,200,15,64,0.01255810260772705,0.05679703503847122,0.5652257204055786
30,160,0,64,0.027619611471891403,0.09712064266204834,0.772217869758606
30,160,1,64,0.0478123277425766,0.1370842605829239,1.2477037906646729
30,160,2,32,0.030371133238077164,0.09644293785095215,0.6538246273994446
30,160,3,32,0.01111183874309063,0.10017476975917816,0.26706627011299133
30,160,4,16,0.01728449948132038,0.14485889673233032,0.35630863904953003
30,160,5,16,0.029002465307712555,0.12649136781692505,0.38729140162467957
30,160,6,8,0.03566369041800499,0.10018184781074524,0.779094934463501
30,160,7,16,0.019923701882362366,0.13219135999679565,0.16068889200687408
30,160,8,16,0.025224922224879265,0.11184930056333542,0.14667119085788727
30,160,9,16,0.00518998084589839,0.10652340203523636,0.047258153557777405
30,160,10,32,0.0008235783316195011,0.12490275502204895,0.006847378797829151
30,160,11,32,0.005185510031878948,0.16380636394023895,0.09180081635713577
30,160,12,32,0.013800106942653656,0.13643303513526917,0.13740159571170807
30,160,13,64,0.07948090136051178,0.17272169888019562,1.5650389194488525
30,160,14,64,0.01904117502272129,0.1464715600013733,0.7139861583709717
30,160,15,64,0.011941857635974884,0.05750567093491554,0.5301972031593323
