step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.022191759198904037,0.08435652405023575,0.8650534152984619
0,400,1,64,0.042325373739004135,0.13111767172813416,1.3513251543045044
0,400,2,32,0.02767336554825306,0.11389871686697006,0.8689941763877869
0,400,3,32,0.016686737537384033,0.0833992138504982,0.41528943181037903
0,400,4,16,0.03278670832514763,0.08925516158342361,0.6684623956680298
0,400,5,16,0.02459222823381424,0.09475729614496231,0.4042178988456726
0,400,6,8,0.03881483152508736,0.11988261342048645,0.9881065487861633
0,400,7,16,0.026520708575844765,0.11165930330753326,0.2585892081260681
0,400,8,16,0.02603451907634735,0.12118580937385559,0.19446349143981934
0,400,9,16,0.003988678101450205,0.056487515568733215,0.07558479905128479
0,400,10,32,0.0006493960390798748,0.12181390821933746,0.006929279770702124
0,400,11,32,0.0026808613911271095,0.07512056827545166,0.08352577686309814
0,400,12,32,0.012821206822991371,0.04716626927256584,0.20265503227710724
0,400,13,64,0.054920244961977005,0.11834189295768738,1.6394070386886597
0,400,14,64,0.01611568219959736,0.05969628319144249,0.6562902927398682
0,400,15,64,0.014330465346574783,0.04050535708665848,0.6479742527008057
5,360,0,64,0.02269088476896286,0.08847455680370331,0.8434464931488037
5,360,1,64,0.044203393161296844,0.13605843484401703,1.3653137683868408
5,360,2,32,0.026683993637561798,0.11373835057020187,0.8492519855499268
5,360,3,32,0.015837017446756363,0.07511647045612335,0.3918645977973938
5,360,4,16,0.029530884698033333,0.08107157051563263,0.6323143839836121
5,360,5,16,0.02449280582368374,0.09696665406227112,0.40067827701568604
5,360,6,8,0.048244938254356384,0.122591033577919,0.9956973791122437
5,360,7,16,0.025386828929185867,0.12098635733127594,0.2193574160337448
5,360,8,16,0.025824297219514847,0.11480826884508133,0.17414188385009766
5,360,9,16,0.004661865998059511,0.06900381296873093,0.06621130555868149
5,360,10,32,0.00039150723023340106,0.12081129103899002,0.004759218543767929
5,360,11,32,0.0011567071778699756,0.04146750643849373,0.0516093410551548
5,360,12,32,0.008281351067125797,0.025898747146129608,0.14027069509029388
5,360,13,64,0.05470876395702362,0.1310262382030487,1.686474084854126
5,360,14,64,0.022094350308179855,0.11585180461406708,0.7106335163116455
5,360,15,64,0.01448226161301136,0.03552285581827164,0.6477817296981812
10,320,0,64,0.02273627743124962,0.09047210216522217,0.8170303106307983
10,320,1,64,0.04479815065860748,0.13297468423843384,1.352753758430481
10,320,2,32,0.027733944356441498,0.11416622996330261,0.834354043006897
10,320,3,32,0.014928222633898258,0.0744636207818985,0.3685314655303955
10,320,4,16,0.0264155101031065,0.07093775272369385,0.5910083055496216
10,320,5,16,0.025561802089214325,0.10393252223730087,0.4090091586112976
10,320,6,8,0.05506477132439613,0.1470113843679428,0.9652074575424194
10,320,7,16,0.025083592161536217,0.162431001663208,0.20572246611118317
10,320,8,16,0.026368290185928345,0.1194390058517456,0.17928756773471832
10,320,9,16,0.005058580078184605,0.07446412742137909,0.06369513273239136
10,320,10,32,0.0004378561570774764,0.07705525308847427,0.005671454593539238
10,320,11,32,0.0011694713030010462,0.02945486083626747,0.05283372849225998
10,320,12,32,0.009263889864087105,0.028983021154999733,0.14241212606430054
10,320,13,64,0.05767059326171875,0.13660670816898346,1.665685772895813
10,320,14,64,0.02222963236272335,0.12726503610610962,0.7196609973907471
10,320,15,64,0.013579823076725006,0.040328457951545715,0.6218565106391907
15,280,0,64,0.022429855540394783,0.08870185911655426,0.7822486162185669
15,280,1,64,0.04470941051840782,0.1308547407388687,1.324621558189392
15,280,2,32,0.027997350320219994,0.11411570012569427,0.8105891346931458
15,280,3,32,0.013529906049370766,0.06870059669017792,0.33660629391670227
15,280,4,16,0.023973071947693825,0.07390813529491425,0.54265296459198
15,280,5,16,0.026033785194158554,0.10149244219064713,0.40531033277511597
15,280,6,8,0.0538339838385582,0.16087336838245392,0.9165920615196228
15,280,7,16,0.023565880954265594,0.15277612209320068,0.18985003232955933
15,280,8,16,0.029052043333649635,0.1251380890607834,0.1805127114057541
15,280,9,16,0.00514938635751605,0.09501831978559494,0.05449207127094269
15,280,10,32,0.0005945974844507873,0.12299951165914536,0.004597069229930639
15,280,11,32,0.0020972401835024357,0.11351572722196579,0.06449597328901291
15,280,12,32,0.012110309675335884,0.05647272989153862,0.1594487875699997
15,280,13,64,0.05808405950665474,0.13258293271064758,1.604499101638794
15,280,14,64,0.021547220647335052,0.1325511783361435,0.7070702910423279
15,280,15,64,0.013260703533887863,0.03870107978582382,0.5973501205444336
20,240,0,64,0.022140521556138992,0.08352414518594742,0.7489763498306274
20,240,1,64,0.04481964558362961,0.1352967917919159,1.2932252883911133
20,240,2,32,0.027247825637459755,0.11377391219139099,0.7696064710617065
20,240,3,32,0.011840349063277245,0.06044413149356842,0.2991369962692261
20,240,4,16,0.02231132797896862,0.08418555557727814,0.5032333731651306
20,240,5,16,0.02727903053164482,0.10956061631441116,0.3953068256378174
20,240,6,8,0.04178445413708687,0.1442805677652359,0.8486964702606201
20,240,7,16,0.02319292351603508,0.1107640191912651,0.17950454354286194
20,240,8,16,0.02970595844089985,0.1222183033823967,0.17292898893356323
20,240,9,16,0.005703750066459179,0.10033711045980453,0.05107152462005615
20,240,10,32,0.000623459811322391,0.1251043677330017,0.004693445283919573
20,240,11,32,0.004687071777880192,0.1971345692873001,0.09436873346567154
20,240,12,32,0.014176581054925919,0.15395517647266388,0.16910727322101593
20,240,13,64,0.06148206442594528,0.15044055879116058,1.5797443389892578
20,240,14,64,0.020286541432142258,0.13671085238456726,0.6890631914138794
20,240,15,64,0.013037005439400673,0.050333235412836075,0.5775065422058105
25,200,0,64,0.021932724863290787,0.07661144435405731,0.7201845049858093
25,200,1,64,0.04436637461185455,0.13572722673416138,1.242571473121643
25,200,2,32,0.025888249278068542,0.10989643633365631,0.7241172790527344
25,200,3,32,0.010231348685920238,0.055130209773778915,0.26564255356788635
25,200,4,16,0.020603753626346588,0.08830486983060837,0.46726566553115845
25,200,5,16,0.029050657525658607,0.11687621474266052,0.3842979669570923
25,200,6,8,0.033280905336141586,0.11499450355768204,0.7907512187957764
25,200,7,16,0.022065559402108192,0.10230185091495514,0.17120935022830963
25,200,8,16,0.027756527066230774,0.12645183503627777,0.15945762395858765
25,200,9,16,0.0058508808724582195,0.1041753813624382,0.049844179302453995
25,200,10,32,0.0006881418521516025,0.12478508055210114,0.00528507586568594
25,200,11,32,0.005883344449102879,0.2110164612531662,0.10660354793071747
25,200,12,32,0.014022590592503548,0.16679786145687103,0.16778646409511566
25,200,13,64,0.06740263104438782,0.1501098871231079,1.5694823265075684
25,200,14,64,0.017940998077392578,0.12891554832458496,0.6535071134567261
25,200,15,64,0.012301763519644737,0.05410940945148468,0.5492247939109802
30,160,0,64,0.02198193222284317,0.07705457508563995,0.6974049210548401
30,160,1,64,0.043192461133003235,0.13036096096038818,1.1717963218688965
30,160,2,32,0.023743489757180214,0.10022055357694626,0.6708446741104126
30,160,3,32,0.00881127454340458,0.054555293172597885,0.23640023171901703
30,160,4,16,0.019016718491911888,0.08918285369873047,0.4328291714191437
30,160,5,16,0.03150557726621628,0.12004728615283966,0.3768150210380554
30,160,6,8,0.026221279054880142,0.08324301242828369,0.7309833765029907
30,160,7,16,0.020073937252163887,0.09040245413780212,0.16090264916419983
30,160,8,16,0.02611483819782734,0.12440777570009232,0.14794591069221497
30,160,9,16,0.005791372619569302,0.10632017254829407,0.048949722200632095
30,160,10,32,0.0007515015313401818,0.12477532029151917,0.005762934684753418
30,160,11,32,0.006295038387179375,0.21153557300567627,0.11020679026842117
30,160,12,32,0.013218901120126247,0.1565379649400711,0.15925201773643494
30,160,13,64,0.07457704842090607,0.16527840495109558,1.5601398944854736
30,160,14,64,0.016083434224128723,0.1295103132724762,0.6257736086845398
30,160,15,64,0.011728847399353981,0.05803191289305687,0.52077317237854
35,120,0,64,0.022003937512636185,0.08827460557222366,0.6771607398986816
35,120,1,64,0.0402500294148922,0.14650720357894897,1.066476583480835
35,120,2,32,0.021048642694950104,0.08319014310836792,0.6109238266944885
35,120,3,32,0.007383587770164013,0.05495690926909447,0.2097674161195755
35,120,4,16,0.017374049872159958,0.08718246966600418,0.39272359013557434
35,120,5,16,0.033819764852523804,0.12509380280971527,0.3685753047466278
35,120,6,8,0.02105555683374405,0.06713429093360901,0.6776217222213745
35,120,7,16,0.018568839877843857,0.08809682726860046,0.15393026173114777
35,120,8,16,0.02433951012790203,0.12210216373205185,0.13752353191375732
35,120,9,16,0.005680006928741932,0.10646811127662659,0.0484025739133358
35,120,10,32,0.0007942536612972617,0.12436096370220184,0.006170482374727726
35,120,11,32,0.006133058108389378,0.20100940763950348,0.10611172020435333
35,120,12,32,0.01227583922445774,0.15227408707141876,0.14725904166698456
35,120,13,64,0.084430031478405,0.16478964686393738,1.5527125597000122
35,120,14,64,0.01468886062502861,0.13557913899421692,0.6051989197731018
35,120,15,64,0.011523040011525154,0.08490775525569916,0.49371737241744995
40,80,0,64,0.021694226190447807,0.09185446798801422,0.6557519435882568
40,80,1,64,0.034019481390714645,0.16970179975032806,0.9032646417617798
40,80,2,32,0.017477568238973618,0.07208813726902008,0.5394821763038635
40,80,3,32,0.005868245847523212,0.04050515964627266,0.1853070855140686
40,80,4,16,0.015820318832993507,0.08491829037666321,0.3507283329963684
40,80,5,16,0.03437810391187668,0.1256929188966751,0.3507534861564636
40,80,6,8,0.017637522891163826,0.05871625989675522,0.6337589025497437
40,80,7,16,0.017388373613357544,0.08254702389240265,0.14871424436569214
40,80,8,16,0.022489404305815697,0.12192778289318085,0.12778900563716888
40,80,9,16,0.005481204949319363,0.10758522897958755,0.04736633971333504
40,80,10,32,0.0007959083886817098,0.12298639863729477,0.006253437139093876
40,80,11,32,0.005388096906244755,0.18511636555194855,0.09448107331991196
40,80,12,32,0.011159783229231834,0.1396598517894745,0.13282126188278198
40,80,13,64,0.09876494109630585,0.2194705307483673,1.547858476638794
40,80,14,64,0.013798130676150322,0.2020573765039444,0.5890812873840332
40,80,15,64,0.01197580061852932,0.09420698881149292,0.47763365507125854
45,40,0,64,0.02022583782672882,0.1013367772102356,0.6181564331054688
45,40,1,64,0.022817987948656082,0.1875637322664261,0.6500742435455322
45,40,2,32,0.01261008158326149,0.06791435927152634,0.44763195514678955
45,40,3,32,0.004117539152503014,0.035114627331495285,0.16204571723937988
45,40,4,16,0.014074474573135376,0.08234386891126633,0.3081092834472656
45,40,5,16,0.032613351941108704,0.12189438939094543,0.32295989990234375
45,40,6,8,0.01576564460992813,0.052896201610565186,0.6090166568756104
45,40,7,16,0.01621714048087597,0.07353557646274567,0.14245101809501648
45,40,8,16,0.02051244117319584,0.12219034880399704,0.1192476898431778
45,40,9,16,0.005205738358199596,0.10977740585803986,0.04605245590209961
45,40,10,32,0.0007559870136901736,0.12412261962890625,0.005936827510595322
45,40,11,32,0.004282216541469097,0.16343246400356293,0.07878279685974121
45,40,12,32,0.010218575596809387,0.11325424909591675,0.12041943520307541
45,40,13,64,0.11884031444787979,0.2518143653869629,1.5372605323791504
45,40,14,64,0.014034553430974483,0.2208375781774521,0.5779863595962524
45,40,15,64,0.013510243035852909,0.111289381980896,0.4950363039970398
49,8,0,64,0.017126984894275665,0.10663313418626785,0.5413683652877808
49,8,1,64,0.01073842216283083,0.14465078711509705,0.3637564182281494
49,8,2,32,0.007127814460545778,0.054749198257923126,0.32327544689178467
49,8,3,32,0.0026331613771617413,0.025748886168003082,0.14574016630649567
49,8,4,16,0.011558303609490395,0.07926499098539352,0.26626625657081604
49,8,5,16,0.03030419535934925,0.13177156448364258,0.30176472663879395
49,8,6,8,0.015139833092689514,0.054157011210918427,0.6105953454971313
49,8,7,16,0.01456738542765379,0.06712568551301956,0.13442657887935638
49,8,8,16,0.018015608191490173,0.12015823274850845,0.1095079779624939
49,8,9,16,0.004975607618689537,0.10508770495653152,0.04640895128250122
49,8,10,32,0.0007099052309058607,0.12436608970165253,0.005609506741166115
49,8,11,32,0.002912246622145176,0.13212409615516663,0.06086815148591995
49,8,12,32,0.008308352902531624,0.07337910681962967,0.10558532178401947
49,8,13,64,0.14359597861766815,0.30914488434791565,1.5041987895965576
49,8,14,64,0.017384443432092667,0.13948260247707367,0.579281210899353
49,8,15,64,0.015134320594370365,0.12721405923366547,0.6201362013816833
