step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.004126516170799732,0.03219522163271904,0.5251678228378296
0,400,1,64,0.03585532680153847,0.1618092954158783,1.2681000232696533
0,400,2,32,0.006159287877380848,0.03989535570144653,0.40457552671432495
0,400,3,32,0.006090810056775808,0.05805990844964981,0.300912469625473
0,400,4,16,0.01298525370657444,0.06488623470067978,0.5882764458656311
0,400,5,16,0.05265640467405319,0.2034885287284851,0.6838929653167725
0,400,6,8,0.02497052401304245,0.11172038316726685,0.8503715991973877
0,400,7,16,0.02952123060822487,0.1715077906847,0.27424561977386475
0,400,8,16,0.055600397288799286,0.33592864871025085,0.22086453437805176
0,400,9,16,0.025104966014623642,0.2022145688533783,0.14856761693954468
0,400,10,32,0.00023071756004355848,0.023524414747953415,0.006018601357936859
0,400,11,32,0.0010246456367895007,0.041994333267211914,0.13788928091526031
0,400,12,32,0.005094115622341633,0.03419400751590729,0.1087772473692894
0,400,13,64,0.06358350813388824,0.18369369208812714,1.4783234596252441
0,400,14,64,0.012998337857425213,0.11290520429611206,0.5492416620254517
0,400,15,64,0.009981839917600155,0.049275532364845276,0.6863018274307251
5,360,0,64,0.003984360024333,0.035079244524240494,0.5013574361801147
5,360,1,64,0.03628841042518616,0.16713687777519226,1.244787335395813
5,360,2,32,0.005984636023640633,0.04417462646961212,0.3724294900894165
5,360,3,32,0.0058438824489712715,0.04877512902021408,0.30316436290740967
5,360,4,16,0.011841793544590473,0.062100961804389954,0.5616876482963562
5,360,5,16,0.048526667058467865,0.1938689798116684,0.6690438985824585
5,360,6,8,0.024417348206043243,0.11311502009630203,0.8067881464958191
5,360,7,16,0.028431586921215057,0.17270322144031525,0.25758057832717896
5,360,8,16,0.0548725426197052,0.3216014802455902,0.22254297137260437
5,360,9,16,0.023621009662747383,0.20536932349205017,0.1403031349182129
5,360,10,32,0.00021866449969820678,0.024716267362236977,0.005458444356918335
5,360,11,32,0.0009843317093327641,0.039570678025484085,0.1347895860671997
5,360,12,32,0.005953003186732531,0.04144061356782913,0.10773186385631561
5,360,13,64,0.06703279912471771,0.1842842400074005,1.4554038047790527
5,360,14,64,0.01341055054217577,0.11263556778430939,0.5500397086143494
5,360,15,64,0.00983402319252491,0.05247177556157112,0.6891672611236572
10,320,0,64,0.0038982995320111513,0.03842705115675926,0.4799848198890686
10,320,1,64,0.036497846245765686,0.16900503635406494,1.2144231796264648
10,320,2,32,0.005947020370513201,0.04938380420207977,0.34465643763542175
10,320,3,32,0.00561697781085968,0.03556172549724579,0.3058176040649414
10,320,4,16,0.011161472648382187,0.05850597843527794,0.5346523523330688
10,320,5,16,0.04500701650977135,0.17561185359954834,0.6511906981468201
10,320,6,8,0.02453751675784588,0.11453042179346085,0.7654856443405151
10,320,7,16,0.027501627802848816,0.17256447672843933,0.24388360977172852
10,320,8,16,0.0538497269153595,0.3067591190338135,0.2213631123304367
10,320,9,16,0.02233019471168518,0.2037895768880844,0.1327233910560608
10,320,10,32,0.0002094671654049307,0.027440831065177917,0.005042476113885641
10,320,11,32,0.0009492355166003108,0.03773096576333046,0.13094887137413025
10,320,12,32,0.006891819182783365,0.04826789349317551,0.10907389223575592
10,320,13,64,0.07105851173400879,0.1855091154575348,1.438354253768921
10,320,14,64,0.013297186233103275,0.12366733700037003,0.5440155267715454
10,320,15,64,0.009554924443364143,0.053120627999305725,0.6845327019691467
15,280,0,64,0.0038571651093661785,0.04240214824676514,0.46023762226104736
15,280,1,64,0.03641239553689957,0.1663326919078827,1.1761481761932373
15,280,2,32,0.006092811934649944,0.0578840970993042,0.3209444582462311
15,280,3,32,0.005507242865860462,0.04105778783559799,0.310014933347702
15,280,4,16,0.01096578873693943,0.05490221083164215,0.5083393454551697
15,280,5,16,0.04191559925675392,0.1565365195274353,0.6287543773651123
15,280,6,8,0.025076553225517273,0.11441032588481903,0.7290420532226562
15,280,7,16,0.02735580876469612,0.17228293418884277,0.23456886410713196
15,280,8,16,0.053281981498003006,0.29518923163414,0.21857838332653046
15,280,9,16,0.021441113203763962,0.20115111768245697,0.1260794699192047
15,280,10,32,0.0002035914221778512,0.03134980797767639,0.004729853942990303
15,280,11,32,0.0009103160118684173,0.03512556105852127,0.1266983598470688
15,280,12,32,0.007390687707811594,0.052168287336826324,0.10890334099531174
15,280,13,64,0.07530932128429413,0.18645986914634705,1.4294323921203613
15,280,14,64,0.012669320218265057,0.10684098303318024,0.537878155708313
15,280,15,64,0.009208369068801403,0.052104271948337555,0.6736065149307251
20,240,0,64,0.0038189513143152,0.04716639593243599,0.4406665861606598
20,240,1,64,0.03604571148753166,0.157496839761734,1.1308796405792236
20,240,2,32,0.006356297992169857,0.06630175560712814,0.29892808198928833
20,240,3,32,0.005569050554186106,0.05254293605685234,0.3140137195587158
20,240,4,16,0.011173747479915619,0.05889057740569115,0.483023464679718
20,240,5,16,0.040162596851587296,0.16728484630584717,0.6045383214950562
