step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.009148895740509033,0.056310903280973434,0.5329228043556213
0,400,1,64,0.03739623725414276,0.12979087233543396,1.1608936786651611
0,400,2,32,0.004386442247778177,0.04877446964383125,0.29395967721939087
0,400,3,32,0.012021824717521667,0.10848110914230347,0.36712267994880676
0,400,4,16,0.00559347914531827,0.03506267070770264,0.3727673888206482
0,400,5,16,0.006093079689890146,0.029833275824785233,0.37955108284950256
0,400,6,8,0.028165582567453384,0.13514265418052673,0.7270644903182983
0,400,7,16,0.004858453758060932,0.02368917316198349,0.25178420543670654
0,400,8,16,0.0013278797268867493,0.014705879613757133,0.09003381431102753
0,400,9,16,0.0014805298997089267,0.004427057225257158,0.10354022681713104
0,400,10,32,0.0001764658372849226,0.003757297759875655,0.005358076188713312
0,400,11,32,0.0010629184544086456,0.015758300200104713,0.07410958409309387
0,400,12,32,0.0028967554681003094,0.040139950811862946,0.0891302227973938
0,400,13,64,0.044392406940460205,0.25677230954170227,1.5416574478149414
0,400,14,64,0.01617369055747986,0.21114513278007507,0.5834716558456421
0,400,15,64,0.01171797700226307,0.1321357786655426,0.5540628433227539
5,360,0,64,0.008974033407866955,0.05772917717695236,0.5136464834213257
5,360,1,64,0.03830567002296448,0.1317475438117981,1.1301994323730469
5,360,2,32,0.003967551048845053,0.062404923141002655,0.258092999458313
5,360,3,32,0.011276694014668465,0.10518322139978409,0.3434597849845886
5,360,4,16,0.0052204495295882225,0.03357858583331108,0.3538183569908142
5,360,5,16,0.005592994391918182,0.025008942931890488,0.3671697676181793
5,360,6,8,0.025957660749554634,0.1308249831199646,0.7093079090118408
5,360,7,16,0.00451580248773098,0.02041476033627987,0.23971682786941528
5,360,8,16,0.0013317679986357689,0.013819491490721703,0.0925503671169281
5,360,9,16,0.0014867028221488,0.004579876083880663,0.09845364093780518
5,360,10,32,0.00016415442223660648,0.0029604360461235046,0.005394383333623409
5,360,11,32,0.0010128632420673966,0.013981016352772713,0.07194356620311737
5,360,12,32,0.0027942811138927937,0.032526176422834396,0.08426991105079651
5,360,13,64,0.04611475393176079,0.2682941257953644,1.532900333404541
5,360,14,64,0.01497423555701971,0.21437789499759674,0.5718648433685303
5,360,15,64,0.01088583841919899,0.0984664261341095,0.5436310768127441
10,320,0,64,0.008765344507992268,0.0561402291059494,0.49343061447143555
10,320,1,64,0.039264604449272156,0.13006436824798584,1.0973358154296875
10,320,2,32,0.003556023584678769,0.0686362087726593,0.22651147842407227
