step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.004334082826972008,0.08373861759901047,0.611290693283081
0,400,1,64,0.02373022958636284,0.1445489525794983,1.1227750778198242
0,400,2,32,0.00371865788474679,0.04197663813829422,0.5527714490890503
0,400,3,32,0.00926067866384983,0.07941554486751556,0.4572547972202301
0,400,4,16,0.009852713905274868,0.09818480908870697,0.5734009742736816
0,400,5,16,0.03882748261094093,0.19733436405658722,0.6119405627250671
0,400,6,8,0.028589069843292236,0.11426747590303421,0.9789231419563293
0,400,7,16,0.0232369527220726,0.15555036067962646,0.2947339117527008
0,400,8,16,0.06435027718544006,0.34077560901641846,0.29974815249443054
0,400,9,16,0.04025178775191307,0.3344027101993561,0.24620848894119263
0,400,10,32,0.0006166655221022666,0.06625038385391235,0.01610434055328369
0,400,11,32,0.0030927048064768314,0.07752590626478195,0.2543163001537323
0,400,12,32,0.009851822629570961,0.13221880793571472,0.1882781833410263
0,400,13,64,0.06518808752298355,0.215416818857193,1.6171926259994507
0,400,14,64,0.013947967439889908,0.15582594275474548,0.5592871308326721
0,400,15,64,0.011884070932865143,0.12647557258605957,0.6345651745796204
5,360,0,64,0.0042331647127866745,0.08803771436214447,0.579177737236023
5,360,1,64,0.0241754911839962,0.13744893670082092,1.0938456058502197
5,360,2,32,0.003988190088421106,0.08302353322505951,0.5183212757110596
5,360,3,32,0.009094905108213425,0.07486286014318466,0.4585046172142029
5,360,4,16,0.011348193511366844,0.1390877664089203,0.5463945865631104
5,360,5,16,0.039674464613199234,0.2727747857570648,0.5886151790618896
5,360,6,8,0.02888304740190506,0.1134599968791008,0.9344098567962646
5,360,7,16,0.023938428610563278,0.16610482335090637,0.2795749306678772
5,360,8,16,0.06497162580490112,0.3512704074382782,0.28766316175460815
5,360,9,16,0.03906463831663132,0.36322635412216187,0.23448774218559265
5,360,10,32,0.0006561430636793375,0.06545007973909378,0.017181599512696266
5,360,11,32,0.003587862476706505,0.09222887456417084,0.2714774012565613
5,360,12,32,0.012464175000786781,0.14216667413711548,0.18620161712169647
5,360,13,64,0.06640294194221497,0.23306676745414734,1.605938196182251
5,360,14,64,0.012825662270188332,0.14129190146923065,0.548468291759491
5,360,15,64,0.010894040577113628,0.11397948861122131,0.6191900968551636
10,320,0,64,0.004179514944553375,0.0878412052989006,0.5481048822402954
10,320,1,64,0.024785775691270828,0.13507014513015747,1.0622351169586182
10,320,2,32,0.0054155257530510426,0.1377079337835312,0.48826926946640015
10,320,3,32,0.008738897740840912,0.07369773089885712,0.4503031373023987
10,320,4,16,0.014112326316535473,0.15880395472049713,0.5375171899795532
10,320,5,16,0.04107312113046646,0.2982557713985443,0.5692698955535889
10,320,6,8,0.032102346420288086,0.12063492834568024,0.9042181968688965
10,320,7,16,0.025718271732330322,0.1749461144208908,0.2655487656593323
10,320,8,16,0.06870194524526596,0.35297948122024536,0.2750995457172394
10,320,9,16,0.04173938184976578,0.3624318242073059,0.22786901891231537
10,320,10,32,0.0006638949271291494,0.06894698739051819,0.01741066202521324
10,320,11,32,0.003942563198506832,0.09353575110435486,0.2726536989212036
10,320,12,32,0.014981508255004883,0.13929565250873566,0.1841113567352295
10,320,13,64,0.06994607299566269,0.2512691020965576,1.5997036695480347
10,320,14,64,0.012179499492049217,0.17062292993068695,0.544535756111145
10,320,15,64,0.00993313081562519,0.08989781141281128,0.6024723649024963
15,280,0,64,0.004210421349853277,0.08441048860549927,0.5242711901664734
15,280,1,64,0.025158684700727463,0.14037790894508362,1.0224460363388062
15,280,2,32,0.006793497130274773,0.14742916822433472,0.4598658084869385
15,280,3,32,0.008097020909190178,0.07855890691280365,0.43219584226608276
15,280,4,16,0.017379669472575188,0.16643323004245758,0.5354223251342773
15,280,5,16,0.042500630021095276,0.2745615243911743,0.5521186590194702
15,280,6,8,0.032079197466373444,0.11978702992200851,0.8592751622200012
15,280,7,16,0.026213854551315308,0.17967836558818817,0.2534247636795044
15,280,8,16,0.0706639364361763,0.3539348542690277,0.26548266410827637
15,280,9,16,0.04635775461792946,0.35850954055786133,0.22743269801139832
15,280,10,32,0.0006446570041589439,0.06599180400371552,0.016992200165987015
15,280,11,32,0.003951238468289375,0.09215943515300751,0.2658775746822357
15,280,12,32,0.017157915979623795,0.1354922354221344,0.18295171856880188
15,280,13,64,0.07392576336860657,0.2555698752403259,1.5968836545944214
15,280,14,64,0.011465346440672874,0.21953395009040833,0.5410948991775513
15,280,15,64,0.009133843705058098,0.08906503021717072,0.5809934139251709
20,240,0,64,0.004289849661290646,0.07903199642896652,0.5034595727920532
20,240,1,64,0.025121809914708138,0.13870365917682648,0.9699312448501587
20,240,2,32,0.007840621285140514,0.15280219912528992,0.43533021211624146
20,240,3,32,0.0073765115812420845,0.08688699454069138,0.4065195620059967
20,240,4,16,0.02007615566253662,0.17480947077274323,0.5191978216171265
20,240,5,16,0.04317740350961685,0.2533363401889801,0.5355793833732605
20,240,6,8,0.031197737902402878,0.11704046279191971,0.8240039348602295
20,240,7,16,0.026578497141599655,0.19121186435222626,0.24993830919265747
20,240,8,16,0.07048071920871735,0.34716716408729553,0.25767940282821655
20,240,9,16,0.04578961804509163,0.3833172619342804,0.2196313440799713
20,240,10,32,0.0005974546656943858,0.05801878124475479,0.015975525602698326
20,240,11,32,0.004006592091172934,0.08569805324077606,0.26463478803634644
20,240,12,32,0.017412368208169937,0.13403451442718506,0.1793845295906067
20,240,13,64,0.07887372374534607,0.24066424369812012,1.5919361114501953
20,240,14,64,0.010176541283726692,0.23928527534008026,0.5314541459083557
20,240,15,64,0.008465449325740337,0.07310579717159271,0.5581121444702148
25,200,0,64,0.004394506104290485,0.07296846061944962,0.4841877222061157
25,200,1,64,0.024523017928004265,0.1349622905254364,0.9020962715148926
25,200,2,32,0.008310923352837563,0.1524408459663391,0.40911608934402466
25,200,3,32,0.006720293313264847,0.09336388111114502,0.3775871694087982
25,200,4,16,0.021387366577982903,0.182828888297081,0.49490809440612793
25,200,5,16,0.041655879467725754,0.2259030044078827,0.5147112607955933
25,200,6,8,0.03094838559627533,0.11939671635627747,0.7999482154846191
25,200,7,16,0.02682216838002205,0.19662483036518097,0.2443414330482483
25,200,8,16,0.06914874166250229,0.3294562101364136,0.25060778856277466
25,200,9,16,0.04430409520864487,0.3903535306453705,0.21162226796150208
25,200,10,32,0.0005446670111268759,0.05219373106956482,0.014958890154957771
25,200,11,32,0.004038949031382799,0.08510855585336685,0.25987258553504944
25,200,12,32,0.016905564814805984,0.1335025578737259,0.1736295521259308
25,200,13,64,0.08505391329526901,0.2595648765563965,1.586351990699768
25,200,14,64,0.00881141796708107,0.21602389216423035,0.521190881729126
25,200,15,64,0.008062568493187428,0.08666209876537323,0.5369341969490051
30,160,0,64,0.004466366954147816,0.06714548915624619,0.4655687212944031
30,160,1,64,0.02336486428976059,0.1360751986503601,0.8222807049751282
30,160,2,32,0.008581395260989666,0.14735166728496552,0.3844642639160156
30,160,3,32,0.006049813702702522,0.09479262679815292,0.3473498225212097
30,160,4,16,0.021640703082084656,0.1845761239528656,0.47024005651474
30,160,5,16,0.03854280710220337,0.20519450306892395,0.49092164635658264
30,160,6,8,0.03122047521173954,0.12246444821357727,0.7748254537582397
30,160,7,16,0.02704409509897232,0.19548030197620392,0.23781895637512207
30,160,8,16,0.06671670824289322,0.3340541124343872,0.2446131557226181
30,160,9,16,0.04248841851949692,0.39174413681030273,0.2028004229068756
30,160,10,32,0.00050270592328161,0.04943530634045601,0.014372918754816055
30,160,11,32,0.004001551307737827,0.08577154576778412,0.2539663314819336
30,160,12,32,0.016103923320770264,0.13412879407405853,0.16732452809810638
30,160,13,64,0.09234199672937393,0.28378430008888245,1.5793724060058594
30,160,14,64,0.00745013915002346,0.1279410719871521,0.507649838924408
30,160,15,64,0.00793399102985859,0.06641615927219391,0.5210927128791809
35,120,0,64,0.004407254979014397,0.06206285580992699,0.4428866505622864
35,120,1,64,0.021303221583366394,0.1341402232646942,0.7261465787887573
35,120,2,32,0.008642861619591713,0.13935597240924835,0.3609549105167389
35,120,3,32,0.005250819958746433,0.08867833763360977,0.31449928879737854
35,120,4,16,0.021279137581586838,0.1781284660100937,0.4462004005908966
35,120,5,16,0.035221584141254425,0.1903189867734909,0.46771004796028137
35,120,6,8,0.031444303691387177,0.12379603087902069,0.7506232857704163
35,120,7,16,0.026691582053899765,0.19304987788200378,0.23106852173805237
35,120,8,16,0.06378147006034851,0.3193994462490082,0.2402247041463852
35,120,9,16,0.04021499305963516,0.3863879144191742,0.1932394653558731
35,120,10,32,0.0004749980289489031,0.04672088101506233,0.014124801382422447
35,120,11,32,0.003897356102243066,0.0832168459892273,0.2469436377286911
35,120,12,32,0.015158514492213726,0.13366663455963135,0.160910502076149
35,120,13,64,0.1009296178817749,0.29702621698379517,1.5699374675750732
35,120,14,64,0.00623678881675005,0.08965693414211273,0.4925408363342285
35,120,15,64,0.008112710900604725,0.07127928733825684,0.5104200839996338
40,80,0,64,0.004193045198917389,0.06782577931880951,0.4132767915725708
40,80,1,64,0.017748912796378136,0.13233493268489838,0.6057381629943848
40,80,2,32,0.008296603336930275,0.12895406782627106,0.3354620933532715
40,80,3,32,0.004452805034816265,0.09349504113197327,0.27976447343826294
40,80,4,16,0.0204208642244339,0.16637247800827026,0.4199967384338379
40,80,5,16,0.032314229756593704,0.17208456993103027,0.44568365812301636
40,80,6,8,0.03129849210381508,0.12323776632547379,0.7270395755767822
40,80,7,16,0.025726579129695892,0.18451520800590515,0.22270169854164124
40,80,8,16,0.060076579451560974,0.3095727562904358,0.2350880205631256
40,80,9,16,0.037101082503795624,0.37520620226860046,0.181783527135849
40,80,10,32,0.0004476554458960891,0.04551885277032852,0.013828798197209835
40,80,11,32,0.0036920197308063507,0.07799069583415985,0.2370069921016693
40,80,12,32,0.013851666823029518,0.13089029490947723,0.15339654684066772
40,80,13,64,0.1112314760684967,0.3156856596469879,1.5554277896881104
40,80,14,64,0.005375591106712818,0.09287271648645401,0.47707462310791016
40,80,15,64,0.008659161627292633,0.07534739375114441,0.5079693794250488
45,40,0,64,0.0039032907225191593,0.06774590164422989,0.37289878726005554
45,40,1,64,0.01222920697182417,0.15019330382347107,0.453298956155777
45,40,2,32,0.007371202111244202,0.11464725434780121,0.30366432666778564
45,40,3,32,0.003730553900822997,0.09335800260305405,0.24046505987644196
45,40,4,16,0.01889777183532715,0.14970088005065918,0.3869735598564148
45,40,5,16,0.02910313941538334,0.16026759147644043,0.4207020401954651
45,40,6,8,0.030680347234010696,0.12145747244358063,0.702328085899353
45,40,7,16,0.02417800948023796,0.17147189378738403,0.2128528654575348
45,40,8,16,0.05420231074094772,0.292776882648468,0.22795799374580383
45,40,9,16,0.03244583681225777,0.35664016008377075,0.1671958565711975
45,40,10,32,0.0004116921336390078,0.04761442169547081,0.013042313978075981
45,40,11,32,0.003354916349053383,0.06684675812721252,0.22118887305259705
45,40,12,32,0.011861216276884079,0.12856625020503998,0.14339450001716614
45,40,13,64,0.12466520071029663,0.29948681592941284,1.531562089920044
45,40,14,64,0.00521074840798974,0.08033008873462677,0.46605807542800903
45,40,15,64,0.009771505370736122,0.08186986297369003,0.5273001194000244
49,8,0,64,0.003956424072384834,0.06581781059503555,0.32396039366722107
49,8,1,64,0.006289019249379635,0.1677221804857254,0.3000815212726593
49,8,2,32,0.005646121688187122,0.09442098438739777,0.25390493869781494
49,8,3,32,0.00317011377774179,0.07316385209560394,0.19699424505233765
49,8,4,16,0.016557136550545692,0.13511371612548828,0.348202109336853
49,8,5,16,0.02590169757604599,0.14220382273197174,0.3942977786064148
49,8,6,8,0.02902294136583805,0.11813011765480042,0.6793807148933411
49,8,7,16,0.021534480154514313,0.15389303863048553,0.20216232538223267
49,8,8,16,0.044403623789548874,0.26630422472953796,0.2152954638004303
49,8,9,16,0.026011116802692413,0.3226865828037262,0.1485150158405304
49,8,10,32,0.00035754701821133494,0.04459258168935776,0.011291895061731339
49,8,11,32,0.0027418751269578934,0.05230768769979477,0.19300009310245514
49,8,12,32,0.008705083280801773,0.11922324448823929,0.12863776087760925
49,8,13,64,0.14139676094055176,0.28086158633232117,1.48565673828125
49,8,14,64,0.00702291214838624,0.10194185376167297,0.47062981128692627
49,8,15,64,0.011225404217839241,0.11577409505844116,0.6464756727218628
