step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.010116314515471458,0.051062144339084625,0.5260113477706909
0,400,1,64,0.040576912462711334,0.13691093027591705,1.1645643711090088
0,400,2,32,0.0037126888055354357,0.08114591985940933,0.2343040406703949
0,400,3,32,0.010262088850140572,0.09656132012605667,0.3140257000923157
0,400,4,16,0.008814837783575058,0.06596215814352036,0.3974466323852539
0,400,5,16,0.006261379923671484,0.038449231535196304,0.3516494035720825
0,400,6,8,0.03683551400899887,0.18342845141887665,0.9114681482315063
0,400,7,16,0.004479073453694582,0.02442745491862297,0.23638740181922913
0,400,8,16,0.0014619184657931328,0.016418511047959328,0.10059146583080292
0,400,9,16,0.001336605753749609,0.0036096901167184114,0.08573959767818451
0,400,10,32,0.0001635098597034812,0.005303389858454466,0.005783822853118181
0,400,11,32,0.0008997838012874126,0.010429831221699715,0.0684610903263092
0,400,12,32,0.0021910271607339382,0.03961296007037163,0.0804048627614975
0,400,13,64,0.043539538979530334,0.23056067526340485,1.447796106338501
0,400,14,64,0.014959392137825489,0.16376343369483948,0.5565568804740906
0,400,15,64,0.012708752416074276,0.12044527381658554,0.5631674528121948
5,360,0,64,0.0095774345099926,0.05365578830242157,0.5047522187232971
5,360,1,64,0.04168624430894852,0.14414465427398682,1.1462538242340088
5,360,2,32,0.0037863487377762794,0.08717385679483414,0.21807846426963806
5,360,3,32,0.009660284966230392,0.10363005101680756,0.2955542802810669
5,360,4,16,0.008364029228687286,0.0649067759513855,0.3731224834918976
5,360,5,16,0.005721307825297117,0.03272736445069313,0.332189679145813
5,360,6,8,0.03301164507865906,0.1770690530538559,0.8673959970474243
5,360,7,16,0.004257857333868742,0.0213678739964962,0.2351289987564087
5,360,8,16,0.0014676186256110668,0.014517187140882015,0.1055632084608078
5,360,9,16,0.001285794423893094,0.0033920644782483578,0.08226492255926132
5,360,10,32,0.00013349036453291774,0.00379443122074008,0.004824165254831314
5,360,11,32,0.0008586638723500073,0.015058846212923527,0.07016796618700027
5,360,12,32,0.0019661025144159794,0.032455116510391235,0.07144679129123688
5,360,13,64,0.04527208209037781,0.2554613947868347,1.4443864822387695
5,360,14,64,0.014083895832300186,0.21281009912490845,0.5518051385879517
5,360,15,64,0.01211714930832386,0.08024702966213226,0.567671537399292
10,320,0,64,0.00901699811220169,0.05194871500134468,0.4834969639778137
10,320,1,64,0.042448364198207855,0.14939706027507782,1.120286464691162
10,320,2,32,0.003998003900051117,0.09220980852842331,0.20221586525440216
10,320,3,32,0.008937121368944645,0.10694386810064316,0.276253879070282
10,320,4,16,0.007886138744652271,0.06272272765636444,0.3489488959312439
10,320,5,16,0.0051726787351071835,0.029017239809036255,0.3091655373573303
10,320,6,8,0.028727412223815918,0.1677856743335724,0.8253955841064453
10,320,7,16,0.0038771023973822594,0.018517307937145233,0.2287352830171585
10,320,8,16,0.0013930564746260643,0.012292301282286644,0.09453658014535904
10,320,9,16,0.0012257418129593134,0.003410964971408248,0.07635974884033203
10,320,10,32,0.00011506593000376597,0.0027665565721690655,0.0041946410201489925
10,320,11,32,0.0008135847165249288,0.018427502363920212,0.0702742487192154
10,320,12,32,0.0017609017668291926,0.025116384029388428,0.0630340501666069
10,320,13,64,0.046739839017391205,0.2606426477432251,1.4378015995025635
10,320,14,64,0.012963589280843735,0.1971786916255951,0.5441826581954956
10,320,15,64,0.011811701580882072,0.09565454721450806,0.5728875994682312
15,280,0,64,0.008433358743786812,0.055747900158166885,0.461887925863266
15,280,1,64,0.042689915746450424,0.1516045331954956,1.0863202810287476
15,280,2,32,0.004148912616074085,0.10090258717536926,0.18725290894508362
15,280,3,32,0.008350487798452377,0.10840082168579102,0.2584627866744995
15,280,4,16,0.007409329060465097,0.05861325562000275,0.3270599842071533
15,280,5,16,0.004723694175481796,0.026769619435071945,0.2882630228996277
15,280,6,8,0.02585701271891594,0.15939663350582123,0.7828559875488281
15,280,7,16,0.003632493317127228,0.017610669136047363,0.21644797921180725
15,280,8,16,0.0012979485327377915,0.01094902865588665,0.08468745648860931
15,280,9,16,0.0011821924708783627,0.003541830461472273,0.07084968686103821
15,280,10,32,0.00010659392137313262,0.002314832294359803,0.003961623180657625
15,280,11,32,0.0007859518518671393,0.02239048108458519,0.06945787370204926
15,280,12,32,0.0016668617026880383,0.020872171968221664,0.05829072371125221
15,280,13,64,0.04895917326211929,0.26135292649269104,1.4315855503082275
15,280,14,64,0.012094366364181042,0.16806748509407043,0.5394191741943359
15,280,15,64,0.01153648179024458,0.08252818137407303,0.5754662752151489
20,240,0,64,0.007867421954870224,0.06197721138596535,0.4397551119327545
20,240,1,64,0.04223966598510742,0.15031468868255615,1.0432615280151367
20,240,2,32,0.004219783470034599,0.10942936688661575,0.17314067482948303
20,240,3,32,0.007794494740664959,0.10138440132141113,0.24160394072532654
20,240,4,16,0.00697774812579155,0.053726159036159515,0.3069796860218048
20,240,5,16,0.004344115033745766,0.025718217715620995,0.2666867971420288
20,240,6,8,0.02397543005645275,0.15297730267047882,0.7490533590316772
20,240,7,16,0.0034804583992809057,0.01706826500594616,0.20081835985183716
20,240,8,16,0.001236612442880869,0.009930082596838474,0.07779882848262787
20,240,9,16,0.0011409230064600706,0.003426483366638422,0.06577391922473907
20,240,10,32,9.968099038815126e-05,0.0019296844257041812,0.003773781005293131
20,240,11,32,0.0007710368954576552,0.026735031977295876,0.06870858371257782
20,240,12,32,0.0015695288311690092,0.020013242959976196,0.0538024976849556
20,240,13,64,0.05210103839635849,0.26312321424484253,1.4247386455535889
20,240,14,64,0.01133633404970169,0.14413176476955414,0.5375537872314453
20,240,15,64,0.011339188553392887,0.08550113439559937,0.5769026875495911
25,200,0,64,0.0073512764647603035,0.06256615370512009,0.4174277186393738
25,200,1,64,0.04099073261022568,0.14620374143123627,0.987450122833252
25,200,2,32,0.004252034239470959,0.11451766639947891,0.161136656999588
25,200,3,32,0.007287058979272842,0.09278816729784012,0.2260057032108307
25,200,4,16,0.006535994354635477,0.048034194856882095,0.28653186559677124
25,200,5,16,0.003998769447207451,0.02482752688229084,0.2445679008960724
25,200,6,8,0.022799145430326462,0.14817877113819122,0.7237094640731812
25,200,7,16,0.0033646151423454285,0.016034003347158432,0.18521878123283386
25,200,8,16,0.001190987299196422,0.008945697918534279,0.07231377065181732
25,200,9,16,0.001115141436457634,0.00303694442845881,0.062246352434158325
25,200,10,32,9.275427873944864e-05,0.0020662611350417137,0.0035530542954802513
25,200,11,32,0.000751811545342207,0.030439816415309906,0.06777174025774002
25,200,12,32,0.0014569693012163043,0.02493984065949917,0.04899943992495537
25,200,13,64,0.05639827251434326,0.26608309149742126,1.4182924032211304
25,200,14,64,0.010703331790864468,0.12168559432029724,0.5372523069381714
25,200,15,64,0.011217096820473671,0.09061833471059799,0.577307939529419
30,160,0,64,0.006906457711011171,0.05915537104010582,0.39550530910491943
30,160,1,64,0.03905138745903969,0.13988925516605377,0.9210212230682373
30,160,2,32,0.004398971796035767,0.1173427477478981,0.1521761268377304
30,160,3,32,0.006762916222214699,0.09116648137569427,0.21084162592887878
30,160,4,16,0.006037326529622078,0.041149791330099106,0.26444923877716064
30,160,5,16,0.0036513335071504116,0.022583914920687675,0.22130006551742554
30,160,6,8,0.02237660437822342,0.14390702545642853,0.7071837186813354
30,160,7,16,0.0032424090895801783,0.014166462235152721,0.1704515814781189
30,160,8,16,0.0011433805339038372,0.007917632348835468,0.06784085184335709
30,160,9,16,0.0011023969855159521,0.0030926798935979605,0.05928434431552887
30,160,10,32,8.528888429282233e-05,0.0021788349840790033,0.0032865465618669987
30,160,11,32,0.0007191805634647608,0.03235030919313431,0.06631755828857422
30,160,12,32,0.0013325834879651666,0.024845458567142487,0.04391131550073624
30,160,13,64,0.06188569962978363,0.2695789933204651,1.4191734790802002
30,160,14,64,0.01032668724656105,0.09766886383295059,0.5385671854019165
30,160,15,64,0.011220984160900116,0.09201699495315552,0.5770843029022217
35,120,0,64,0.006486326456069946,0.0633302703499794,0.3722477853298187
35,120,1,64,0.03602881357073784,0.13577748835086823,0.837507963180542
35,120,2,32,0.004751552827656269,0.11948290467262268,0.1461632251739502
35,120,3,32,0.006271517835557461,0.08742722868919373,0.19579699635505676
35,120,4,16,0.005495712626725435,0.03246749937534332,0.24093660712242126
35,120,5,16,0.0033064833842217922,0.01908215321600437,0.19758716225624084
35,120,6,8,0.022829150781035423,0.13954949378967285,0.6937124133110046
35,120,7,16,0.0031110020354390144,0.012186928652226925,0.1568276733160019
35,120,8,16,0.0010783503530547023,0.006921770982444286,0.06380955874919891
35,120,9,16,0.001075086765922606,0.003325394354760647,0.05589492619037628
35,120,10,32,7.88240649853833e-05,0.0023952326737344265,0.0030435961671173573
35,120,11,32,0.0006808940088376403,0.031755805015563965,0.0646803230047226
35,120,12,32,0.0012096366845071316,0.020725145936012268,0.03923247009515762
35,120,13,64,0.0690796747803688,0.2712518572807312,1.4214227199554443
35,120,14,64,0.010044927708804607,0.07864624261856079,0.5413442254066467
35,120,15,64,0.011343535035848618,0.09588116407394409,0.5789670944213867
40,80,0,64,0.006186752580106258,0.07035738229751587,0.34859853982925415
40,80,1,64,0.030827155336737633,0.12755995988845825,0.7199613451957703
40,80,2,32,0.005161020439118147,0.12304802983999252,0.14116373658180237
40,80,3,32,0.00586822209879756,0.08420051634311676,0.1818571239709854
40,80,4,16,0.004916123114526272,0.022324930876493454,0.21466749906539917
40,80,5,16,0.003010533284395933,0.01577754132449627,0.17458286881446838
40,80,6,8,0.024401962757110596,0.13514649868011475,0.6762498617172241
40,80,7,16,0.0030041588470339775,0.012014921754598618,0.14432775974273682
40,80,8,16,0.0010008966783061624,0.0062002213671803474,0.05934537574648857
40,80,9,16,0.00100168667268008,0.003621579147875309,0.05068109184503555
