step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.00939910113811493,0.05171367898583412,0.4969256520271301
0,400,1,64,0.03739459812641144,0.12557998299598694,1.1020746231079102
0,400,2,32,0.004677066579461098,0.07651431113481522,0.27371829748153687
0,400,3,32,0.01063592080026865,0.08901302516460419,0.3296552896499634
0,400,4,16,0.008536544628441334,0.06758716702461243,0.3766830563545227
0,400,5,16,0.005987430922687054,0.03719015046954155,0.35512059926986694
0,400,6,8,0.028786908835172653,0.16356176137924194,0.8893896341323853
0,400,7,16,0.004652776289731264,0.021827375516295433,0.283783882856369
0,400,8,16,0.001467268681153655,0.014730106107890606,0.10170164704322815
0,400,9,16,0.0012274900218471885,0.002918287878856063,0.09030212461948395
0,400,10,32,0.00014008798461873084,0.0030726573895663023,0.004719200544059277
0,400,11,32,0.0008780040079727769,0.014065206050872803,0.07227776944637299
0,400,12,32,0.002047814428806305,0.04338124394416809,0.072471484541893
0,400,13,64,0.0500626415014267,0.2313438206911087,1.4517827033996582
0,400,14,64,0.013940713368356228,0.1776035726070404,0.5425413846969604
0,400,15,64,0.012454953044652939,0.11224228888750076,0.5818620920181274
5,360,0,64,0.008911672979593277,0.05253208801150322,0.47853413224220276
5,360,1,64,0.03783709183335304,0.12887194752693176,1.0742378234863281
5,360,2,32,0.005125465802848339,0.08442477881908417,0.2578123211860657
5,360,3,32,0.010028544813394547,0.09992232918739319,0.3091646432876587
5,360,4,16,0.008152130991220474,0.06591938436031342,0.35504692792892456
5,360,5,16,0.005665050353854895,0.03185385838150978,0.34323614835739136
5,360,6,8,0.02533632516860962,0.15297235548496246,0.8383257389068604
5,360,7,16,0.004406888969242573,0.019045939669013023,0.27866506576538086
5,360,8,16,0.0014271697727963328,0.013572813011705875,0.0975147932767868
5,360,9,16,0.0011859573423862457,0.0028358977288007736,0.08372339606285095
5,360,10,32,0.00012604866060428321,0.002722687553614378,0.004541253205388784
5,360,11,32,0.0008481970871798694,0.014730599708855152,0.07196716964244843
5,360,12,32,0.0019134290050715208,0.032993920147418976,0.06619870662689209
5,360,13,64,0.05063103884458542,0.2461368441581726,1.4401359558105469
5,360,14,64,0.01294689066708088,0.191364124417305,0.5265612602233887
5,360,15,64,0.011855822056531906,0.08613291382789612,0.5836210250854492
10,320,0,64,0.008456025272607803,0.05154955014586449,0.46031123399734497
10,320,1,64,0.038163505494594574,0.13225236535072327,1.0421974658966064
10,320,2,32,0.005209173541516066,0.09017316997051239,0.23851147294044495
10,320,3,32,0.009379774332046509,0.10491756349802017,0.28814423084259033
