step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.009683634154498577,0.06217388063669205,0.49337220191955566
0,400,1,64,0.039367735385894775,0.13382264971733093,1.1249499320983887
0,400,2,32,0.005730902776122093,0.07840248942375183,0.275577187538147
0,400,3,32,0.010322194546461105,0.08966825902462006,0.31415802240371704
0,400,4,16,0.00853395089507103,0.06978407502174377,0.3510115146636963
0,400,5,16,0.00568305142223835,0.040578920394182205,0.3382342457771301
0,400,6,8,0.029209302738308907,0.1632913202047348,0.9316328167915344
0,400,7,16,0.004415227100253105,0.021422747522592545,0.2749629318714142
0,400,8,16,0.001548514235764742,0.01414500456303358,0.10746295750141144
0,400,9,16,0.0011038174852728844,0.002544654067605734,0.0836135596036911
0,400,10,32,0.00012514428817667067,0.002805513795465231,0.004165121354162693
0,400,11,32,0.0008980199927464128,0.015948794782161713,0.07151170074939728
0,400,12,32,0.0020078427623957396,0.04789486899971962,0.06927838921546936
0,400,13,64,0.049987003207206726,0.22292560338974,1.4358277320861816
0,400,14,64,0.014130542986094952,0.14679281413555145,0.5481680631637573
0,400,15,64,0.012612627819180489,0.13563477993011475,0.5846625566482544
5,360,0,64,0.009199051186442375,0.06195208057761192,0.4757117033004761
5,360,1,64,0.04001186415553093,0.1393192559480667,1.0996489524841309
5,360,2,32,0.006286459043622017,0.0892130434513092,0.26054662466049194
5,360,3,32,0.00969595368951559,0.09752750396728516,0.2951517105102539
5,360,4,16,0.008174114860594273,0.06890378147363663,0.32997387647628784
5,360,5,16,0.0054299901239573956,0.03635954484343529,0.3259885907173157
5,360,6,8,0.025962043553590775,0.15459021925926208,0.8750715255737305
5,360,7,16,0.004238066263496876,0.019717205315828323,0.26743990182876587
5,360,8,16,0.0014725482324138284,0.012942957691848278,0.09967122972011566
5,360,9,16,0.0010759218130260706,0.002509653102606535,0.0788503885269165
5,360,10,32,0.00011322136560920626,0.0030525727197527885,0.0041008987464010715
5,360,11,32,0.0008884028065949678,0.01711002178490162,0.07217831164598465
5,360,12,32,0.0019166519632562995,0.03738570958375931,0.06379798799753189
