step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.010520401410758495,0.05676310509443283,0.5104023814201355
0,400,1,64,0.03594673424959183,0.14037302136421204,1.1308908462524414
0,400,2,32,0.013876788318157196,0.0625668466091156,0.508266806602478
0,400,3,32,0.015808720141649246,0.13897788524627686,0.44320860505104065
0,400,4,16,0.006991599220782518,0.06495965272188187,0.45614492893218994
0,400,5,16,0.008918548002839088,0.06618121266365051,0.39481550455093384
0,400,6,8,0.06770405918359756,0.18972758948802948,1.0550135374069214
0,400,7,16,0.007180537562817335,0.037073519080877304,0.31015461683273315
0,400,8,16,0.002148392843082547,0.020804762840270996,0.17725488543510437
0,400,9,16,0.002203199081122875,0.006651546806097031,0.13397623598575592
0,400,10,32,0.0002540105488151312,0.007321385201066732,0.007996111176908016
0,400,11,32,0.001022261450998485,0.01662329211831093,0.08576992154121399
0,400,12,32,0.0032786091323941946,0.032725989818573,0.1245829239487648
0,400,13,64,0.05159469693899155,0.23627807199954987,1.5231378078460693
0,400,14,64,0.014882747083902359,0.21732698380947113,0.5940200686454773
0,400,15,64,0.013054645620286465,0.10479778051376343,0.6293106079101562
5,360,0,64,0.010372178629040718,0.061797529458999634,0.4836028516292572
5,360,1,64,0.036163587123155594,0.13641229271888733,1.0940823554992676
5,360,2,32,0.013050124980509281,0.0614609494805336,0.47128546237945557
5,360,3,32,0.014600314199924469,0.13823284208774567,0.4138075113296509
5,360,4,16,0.006787491962313652,0.0654674619436264,0.4436456859111786
5,360,5,16,0.008454933762550354,0.06668606400489807,0.39417123794555664
5,360,6,8,0.06348355859518051,0.18531765043735504,1.0266361236572266
5,360,7,16,0.0068632145412266254,0.026870254427194595,0.3174988627433777
5,360,8,16,0.0026098699308931828,0.020171500742435455,0.15828236937522888
5,360,9,16,0.0023658769205212593,0.008417843841016293,0.15050694346427917
5,360,10,32,0.0002203221374657005,0.00576169416308403,0.006928266026079655
5,360,11,32,0.0008195358095690608,0.017567245289683342,0.07451461255550385
5,360,12,32,0.0027883087750524282,0.020280396565794945,0.1191558837890625
5,360,13,64,0.052459921687841415,0.21981146931648254,1.4924883842468262
5,360,14,64,0.012709692120552063,0.187393456697464,0.568659245967865
5,360,15,64,0.011636429466307163,0.08190261572599411,0.5877624750137329
10,320,0,64,0.010341820307075977,0.0640852227807045,0.4598436951637268
10,320,1,64,0.03622015565633774,0.12764206528663635,1.0536396503448486
10,320,2,32,0.012592343613505363,0.062456633895635605,0.44467693567276
10,320,3,32,0.013421800918877125,0.12255093455314636,0.38247573375701904
10,320,4,16,0.006273305043578148,0.06073736026883125,0.42372339963912964
