step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.012919653207063675,0.06762543320655823,0.6656498908996582
0,400,1,64,0.043003447353839874,0.13189047574996948,1.3646154403686523
0,400,2,32,0.017659902572631836,0.07203719019889832,0.7000100612640381
0,400,3,32,0.01546833198517561,0.09959669411182404,0.4467684030532837
0,400,4,16,0.0070423344150185585,0.03842027112841606,0.4014135003089905
0,400,5,16,0.010327624157071114,0.034520622342824936,0.47269105911254883
0,400,6,8,0.07926382124423981,0.2162644863128662,1.135319709777832
0,400,7,16,0.007538206875324249,0.04458588361740112,0.31620004773139954
0,400,8,16,0.003575462382286787,0.025040974840521812,0.2752920985221863
0,400,9,16,0.0021369904279708862,0.006270846351981163,0.15073348581790924
0,400,10,32,0.000441097654402256,0.03681548312306404,0.01120151299983263
0,400,11,32,0.0008073112112469971,0.03317122906446457,0.08327876776456833
0,400,12,32,0.00326728168874979,0.03684314712882042,0.10583718121051788
0,400,13,64,0.05277125537395477,0.16332021355628967,1.5144466161727905
0,400,14,64,0.01674780249595642,0.16343769431114197,0.6345643997192383
0,400,15,64,0.011545300483703613,0.11434672772884369,0.5626419186592102
5,360,0,64,0.012721720151603222,0.0790112167596817,0.6336438655853271
5,360,1,64,0.04302944242954254,0.13413631916046143,1.3323813676834106
5,360,2,32,0.01668354868888855,0.06872359663248062,0.66372150182724
5,360,3,32,0.014558491297066212,0.08880336582660675,0.42520225048065186
5,360,4,16,0.006604311056435108,0.03458549082279205,0.37804219126701355
5,360,5,16,0.009897598065435886,0.03326823562383652,0.4504772126674652
5,360,6,8,0.06899295747280121,0.20290705561637878,1.0404553413391113
5,360,7,16,0.006745261140167713,0.031035464257001877,0.2703736424446106
5,360,8,16,0.003573952242732048,0.021151453256607056,0.2446047067642212
5,360,9,16,0.0019442554330453277,0.005008426960557699,0.12717068195343018
5,360,10,32,0.0004051158030051738,0.039277538657188416,0.009511313401162624
5,360,11,32,0.0006027062190696597,0.016252705827355385,0.07212531566619873
5,360,12,32,0.003481288906186819,0.040615569800138474,0.09789536148309708
5,360,13,64,0.056155674159526825,0.16288095712661743,1.515655517578125
5,360,14,64,0.016814373433589935,0.12928149104118347,0.6330639123916626
5,360,15,64,0.010693961754441261,0.0591045543551445,0.5419410467147827
10,320,0,64,0.012471048161387444,0.09005111455917358,0.6021665930747986
10,320,1,64,0.043205972760915756,0.1321200430393219,1.297051191329956
10,320,2,32,0.016384858638048172,0.06565286964178085,0.6292167901992798
10,320,3,32,0.013884305022656918,0.09972954541444778,0.4048656225204468
10,320,4,16,0.0061493320390582085,0.03009294532239437,0.35047799348831177
10,320,5,16,0.00915684923529625,0.031741268932819366,0.4169566035270691
10,320,6,8,0.05752863362431526,0.18720591068267822,0.9274174571037292
10,320,7,16,0.006121285259723663,0.028377104550600052,0.23717552423477173
10,320,8,16,0.003516639582812786,0.018477313220500946,0.2212454229593277
10,320,9,16,0.0017965903971344233,0.004966133274137974,0.1119907796382904
10,320,10,32,0.0003522837068885565,0.026708321645855904,0.008320676162838936
10,320,11,32,0.0005269222892820835,0.010353602468967438,0.06689275801181793
10,320,12,32,0.0035437382757663727,0.05909000337123871,0.09163022041320801
10,320,13,64,0.05973552167415619,0.1795647144317627,1.5057872533798218
10,320,14,64,0.017167985439300537,0.12431375682353973,0.6276627779006958
10,320,15,64,0.01033088844269514,0.05376436561346054,0.5265045166015625
15,280,0,64,0.012213519774377346,0.0983160138130188,0.5712286233901978
15,280,1,64,0.04291287064552307,0.12707501649856567,1.250518560409546
15,280,2,32,0.016097411513328552,0.06510375440120697,0.599324107170105
15,280,3,32,0.013285242952406406,0.10698170214891434,0.3828642964363098
15,280,4,16,0.005671976134181023,0.025969883427023888,0.32174617052078247
15,280,5,16,0.008401436731219292,0.030163154006004333,0.38486090302467346
15,280,6,8,0.048214737325906754,0.1710534393787384,0.8323624134063721
15,280,7,16,0.0056507280096411705,0.027343925088644028,0.20507360994815826
15,280,8,16,0.0034507904201745987,0.01654069870710373,0.20124852657318115
15,280,9,16,0.0016509322449564934,0.004274195060133934,0.09992373734712601
15,280,10,32,0.00029489712323993444,0.014541945420205593,0.007267927750945091
15,280,11,32,0.0004941322258673608,0.01157691702246666,0.06401371955871582
15,280,12,32,0.0035148209426552057,0.06351284682750702,0.08672668039798737
15,280,13,64,0.0634031891822815,0.19289731979370117,1.4941110610961914
15,280,14,64,0.01704152673482895,0.12270903587341309,0.6200221180915833
15,280,15,64,0.009948446415364742,0.05064158886671066,0.5114473104476929
20,240,0,64,0.011974688619375229,0.10479237139225006,0.5396811962127686
20,240,1,64,0.04213092103600502,0.11942721158266068,1.1939138174057007
