step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.012578553520143032,0.104424849152565,0.7340999841690063
0,400,1,64,0.03311476856470108,0.1513153612613678,1.3725823163986206
0,400,2,32,0.003953864332288504,0.028220443055033684,0.6067713499069214
0,400,3,32,0.008245622739195824,0.08290895819664001,0.3259427547454834
0,400,4,16,0.01852654479444027,0.08006615936756134,0.6292199492454529
0,400,5,16,0.04528065770864487,0.19179081916809082,0.6662370562553406
0,400,6,8,0.03639985993504524,0.1322021186351776,1.2706449031829834
0,400,7,16,0.02405441924929619,0.17311549186706543,0.34399688243865967
0,400,8,16,0.06302260607481003,0.39414912462234497,0.2757415175437927
0,400,9,16,0.0428699254989624,0.4329700767993927,0.2427276074886322
0,400,10,32,0.00039155734702944756,0.05608082190155983,0.008873146027326584
0,400,11,32,0.0021670563146471977,0.06474332511425018,0.17972278594970703
0,400,12,32,0.012156954035162926,0.12329615652561188,0.20703276991844177
0,400,13,64,0.06544344127178192,0.26875147223472595,1.6788272857666016
0,400,14,64,0.022430667653679848,0.22458457946777344,0.7394681572914124
0,400,15,64,0.012562675401568413,0.09996311366558075,0.7091429233551025
5,360,0,64,0.012090013362467289,0.11606326699256897,0.6961854100227356
5,360,1,64,0.03495095670223236,0.15957903861999512,1.3708958625793457
5,360,2,32,0.005488257855176926,0.06875625997781754,0.5575218796730042
5,360,3,32,0.009631742723286152,0.10933443903923035,0.3466109037399292
5,360,4,16,0.024975575506687164,0.12394417822360992,0.6202868819236755
5,360,5,16,0.04870269075036049,0.2475985884666443,0.6095622181892395
5,360,6,8,0.03345309942960739,0.12326701730489731,1.0447359085083008
5,360,7,16,0.026614408940076828,0.179423525929451,0.291193425655365
5,360,8,16,0.06699341535568237,0.3439628481864929,0.26975733041763306
5,360,9,16,0.048825591802597046,0.42561057209968567,0.2516734004020691
5,360,10,32,0.0004329170915298164,0.06247567757964134,0.010623253881931305
5,360,11,32,0.0035245809704065323,0.07147891074419022,0.23592594265937805
5,360,12,32,0.016690805554389954,0.13505931198596954,0.20757025480270386
5,360,13,64,0.06321693956851959,0.25226104259490967,1.6661250591278076
5,360,14,64,0.022283218801021576,0.20800480246543884,0.7215321063995361
5,360,15,64,0.012697845697402954,0.10620489716529846,0.7045649290084839
10,320,0,64,0.01117696426808834,0.11547797918319702,0.6470461487770081
10,320,1,64,0.03684111684560776,0.16812410950660706,1.3616034984588623
10,320,2,32,0.008135785348713398,0.1215970441699028,0.5126745700836182
10,320,3,32,0.010879220440983772,0.11298821121454239,0.3682047724723816
10,320,4,16,0.030414776876568794,0.15393193066120148,0.5937967300415039
10,320,5,16,0.04679356515407562,0.27729812264442444,0.5666472911834717
10,320,6,8,0.028782207518815994,0.11458540707826614,0.8936972618103027
10,320,7,16,0.02398553490638733,0.18069717288017273,0.2516891658306122
10,320,8,16,0.06732858717441559,0.35079261660575867,0.2588055729866028
10,320,9,16,0.05349831283092499,0.43448135256767273,0.2528550624847412
10,320,10,32,0.000420916301663965,0.06058433651924133,0.010988475754857063
10,320,11,32,0.004025516100227833,0.07463962584733963,0.2307712286710739
10,320,12,32,0.018676400184631348,0.13674400746822357,0.20490416884422302
10,320,13,64,0.06456194072961807,0.2355765402317047,1.6704291105270386
10,320,14,64,0.022295674309134483,0.19021598994731903,0.7286549806594849
10,320,15,64,0.011978843249380589,0.09757718443870544,0.6863518953323364
15,280,0,64,0.01094044465571642,0.11491955816745758,0.6101014018058777
15,280,1,64,0.03821142762899399,0.17893236875534058,1.3353729248046875
15,280,2,32,0.008529014885425568,0.11220084130764008,0.4777831435203552
15,280,3,32,0.010698497295379639,0.09464693069458008,0.3699091374874115
15,280,4,16,0.03243933245539665,0.16090568900108337,0.5704074501991272
15,280,5,16,0.04320715367794037,0.26465481519699097,0.537916898727417
15,280,6,8,0.02788863331079483,0.11503193527460098,0.8220391273498535
15,280,7,16,0.023762181401252747,0.18254071474075317,0.23596440255641937
15,280,8,16,0.0666295737028122,0.34406381845474243,0.24830761551856995
15,280,9,16,0.05279100686311722,0.43839138746261597,0.23205968737602234
15,280,10,32,0.0004198990354780108,0.05787671357393265,0.010316923260688782
15,280,11,32,0.004119645804166794,0.08005036413669586,0.22397533059120178
15,280,12,32,0.018649397417902946,0.1370193362236023,0.19992591440677643
15,280,13,64,0.06539687514305115,0.2164197564125061,1.6742873191833496
15,280,14,64,0.01920217275619507,0.1926792562007904,0.730506181716919
15,280,15,64,0.011343359015882015,0.08930143713951111,0.6625834107398987
20,240,0,64,0.01147250272333622,0.11127069592475891,0.5827988386154175
20,240,1,64,0.039346106350421906,0.18223795294761658,1.2982803583145142
20,240,2,32,0.008794714696705341,0.10445350408554077,0.45136547088623047
20,240,3,32,0.009597282856702805,0.08354213833808899,0.35805052518844604
20,240,4,16,0.03215080499649048,0.16388234496116638,0.5399677753448486
20,240,5,16,0.039195869117975235,0.25701892375946045,0.5087211728096008
20,240,6,8,0.02793477103114128,0.11677300184965134,0.781559944152832
20,240,7,16,0.023728935047984123,0.18006162345409393,0.2258525788784027
20,240,8,16,0.06373488157987595,0.3424888849258423,0.2356472909450531
20,240,9,16,0.050474099814891815,0.44390398263931274,0.21093492209911346
20,240,10,32,0.0004218531248625368,0.05724601820111275,0.01021143514662981
20,240,11,32,0.004186018370091915,0.08292105793952942,0.22580376267433167
20,240,12,32,0.017762932926416397,0.13585461676120758,0.18557386100292206
20,240,13,64,0.06954784691333771,0.24573391675949097,1.7347577810287476
20,240,14,64,0.015622120350599289,0.18385180830955505,0.7453201413154602
20,240,15,64,0.01051165722310543,0.0912352129817009,0.652766227722168
25,200,0,64,0.01253868080675602,0.1059771403670311,0.5614110231399536
25,200,1,64,0.03977522253990173,0.1857208013534546,1.241642713546753
25,200,2,32,0.008759170770645142,0.1086277887225151,0.4306436777114868
25,200,3,32,0.00830843672156334,0.08576422929763794,0.33981379866600037
25,200,4,16,0.030350087210536003,0.16933618485927582,0.5033856630325317
25,200,5,16,0.034494444727897644,0.24331055581569672,0.47912198305130005
25,200,6,8,0.028329046443104744,0.11825838685035706,0.7685345411300659
25,200,7,16,0.023859791457653046,0.1796649992465973,0.21933288872241974
25,200,8,16,0.059165120124816895,0.3395950496196747,0.22399455308914185
25,200,9,16,0.04800115525722504,0.43358880281448364,0.19695399701595306
25,200,10,32,0.000423297518864274,0.054395876824855804,0.01078600250184536
25,200,11,32,0.004261861555278301,0.07748168706893921,0.22978520393371582
25,200,12,32,0.01728884130716324,0.13503985106945038,0.175416499376297
25,200,13,64,0.07435166835784912,0.2624315619468689,1.770110011100769
25,200,14,64,0.013122789561748505,0.1736326813697815,0.7383885383605957
25,200,15,64,0.00989598874002695,0.09040440618991852,0.6408264636993408
30,160,0,64,0.014231452718377113,0.09928473830223083,0.5463145971298218
30,160,1,64,0.03933964669704437,0.20416992902755737,1.1653130054473877
30,160,2,32,0.008404901251196861,0.10263939946889877,0.410206139087677
30,160,3,32,0.007084639742970467,0.08235940337181091,0.3175619840621948
30,160,4,16,0.028276219964027405,0.1685987114906311,0.4692575931549072
30,160,5,16,0.030258623883128166,0.22749534249305725,0.45189011096954346
30,160,6,8,0.029172338545322418,0.11835681647062302,0.7648507356643677
30,160,7,16,0.023566067218780518,0.17225804924964905,0.21329712867736816
30,160,8,16,0.05398055166006088,0.33288633823394775,0.2128681242465973
30,160,9,16,0.044726576656103134,0.4117162823677063,0.18501272797584534
30,160,10,32,0.0004185251600574702,0.05282922089099884,0.01151388231664896
30,160,11,32,0.004310518503189087,0.07111096382141113,0.23212939500808716
30,160,12,32,0.016819041222333908,0.13433222472667694,0.16793614625930786
30,160,13,64,0.08060159534215927,0.25671839714050293,1.7906403541564941
30,160,14,64,0.01141013577580452,0.15910746157169342,0.7202599048614502
30,160,15,64,0.009581917896866798,0.08913213759660721,0.6215017437934875
35,120,0,64,0.01614963822066784,0.10426387190818787,0.5314763188362122
35,120,1,64,0.03723964840173721,0.21562540531158447,1.0583994388580322
35,120,2,32,0.007768068462610245,0.09046197682619095,0.38611024618148804
35,120,3,32,0.005825948901474476,0.07324638962745667,0.2910093665122986
35,120,4,16,0.025971626862883568,0.16714900732040405,0.43451064825057983
35,120,5,16,0.027369141578674316,0.21300514042377472,0.4275437295436859
35,120,6,8,0.029312312602996826,0.11692279577255249,0.7595987319946289
35,120,7,16,0.023113101720809937,0.16201312839984894,0.21030184626579285
35,120,8,16,0.04941350594162941,0.32187947630882263,0.20289677381515503
35,120,9,16,0.04135308414697647,0.38222578167915344,0.17563126981258392
35,120,10,32,0.00040252017788589,0.05603242293000221,0.011832717806100845
35,120,11,32,0.004334582015872002,0.06846239417791367,0.2332426905632019
35,120,12,32,0.01609186641871929,0.13244496285915375,0.16119104623794556
35,120,13,64,0.08933337032794952,0.2524694502353668,1.800983190536499
35,120,14,64,0.009896287694573402,0.1437687873840332,0.7029938101768494
35,120,15,64,0.009578408673405647,0.09686427563428879,0.5968120694160461
40,80,0,64,0.017603062093257904,0.11222747713327408,0.5145286321640015
40,80,1,64,0.03215233236551285,0.21611423790454865,0.9018946290016174
40,80,2,32,0.0066482569091022015,0.07223612815141678,0.35190334916114807
40,80,3,32,0.004652733448892832,0.06541825830936432,0.261238157749176
40,80,4,16,0.023774269968271255,0.16459530591964722,0.4022402763366699
40,80,5,16,0.025269046425819397,0.19554659724235535,0.4025915861129761
40,80,6,8,0.02874762937426567,0.11503038555383682,0.7460076808929443
40,80,7,16,0.022133857011795044,0.15337999165058136,0.20889538526535034
40,80,8,16,0.04462166875600815,0.29862505197525024,0.1937538981437683
40,80,9,16,0.037424374371767044,0.37374502420425415,0.16761869192123413
40,80,10,32,0.000387927342671901,0.0642799660563469,0.011610234156250954
40,80,11,32,0.00416990090161562,0.0667014941573143,0.22827498614788055
40,80,12,32,0.01480814814567566,0.12858454883098602,0.1540558636188507
40,80,13,64,0.1013532429933548,0.2545815110206604,1.785974144935608
40,80,14,64,0.008509126491844654,0.10557067394256592,0.6754895448684692
40,80,15,64,0.009960299357771873,0.10590362548828125,0.5701510906219482
45,40,0,64,0.01721109077334404,0.11186552047729492,0.4897018373012543
45,40,1,64,0.022449327632784843,0.19674745202064514,0.6668174266815186
45,40,2,32,0.004993128590285778,0.052617721259593964,0.30154287815093994
45,40,3,32,0.00349979056045413,0.060418449342250824,0.22630605101585388
45,40,4,16,0.021645160391926765,0.15834732353687286,0.36919403076171875
45,40,5,16,0.023446526378393173,0.17437656223773956,0.3768625557422638
45,40,6,8,0.02719898149371147,0.11283169686794281,0.719196081161499
45,40,7,16,0.020488282665610313,0.14391890168190002,0.2037668377161026
45,40,8,16,0.03922835737466812,0.26608940958976746,0.18404482305049896
45,40,9,16,0.03217410668730736,0.3642605245113373,0.15648923814296722
45,40,10,32,0.00035859365016222,0.06204979494214058,0.011020669713616371
45,40,11,32,0.003741045016795397,0.06675528734922409,0.21331781148910522
45,40,12,32,0.012708492577075958,0.12387698888778687,0.14514973759651184
45,40,13,64,0.11771182715892792,0.28169965744018555,1.7357614040374756
45,40,14,64,0.00769694522023201,0.1134008839726448,0.63714599609375
45,40,15,64,0.011037729680538177,0.10240961611270905,0.5510059595108032
49,8,0,64,0.013529805466532707,0.10089234262704849,0.4489605724811554
49,8,1,64,0.010830825194716454,0.13320237398147583,0.3979761302471161
49,8,2,32,0.0030097169801592827,0.04177004098892212,0.22367441654205322
49,8,3,32,0.002562776207923889,0.06872819364070892,0.17465859651565552
49,8,4,16,0.018397260457277298,0.14736130833625793,0.3240102529525757
49,8,5,16,0.02241012454032898,0.15109650790691376,0.3617897033691406
49,8,6,8,0.026436056941747665,0.11290587484836578,0.6857805252075195
49,8,7,16,0.018613584339618683,0.1372261643409729,0.19446125626564026
49,8,8,16,0.03245188295841217,0.22716151177883148,0.1705101877450943
49,8,9,16,0.02471935749053955,0.34266191720962524,0.13854780793190002
49,8,10,32,0.0003123958013020456,0.046264197677373886,0.010270729660987854
49,8,11,32,0.002888641320168972,0.07538924366235733,0.1824679672718048
49,8,12,32,0.009090288542211056,0.1073126271367073,0.1325763612985611
49,8,13,64,0.13845816254615784,0.3042958676815033,1.6473112106323242
49,8,14,64,0.00903703086078167,0.12771141529083252,0.5960578918457031
49,8,15,64,0.012673910707235336,0.09945721179246902,0.6123044490814209
