step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.005204797722399235,0.03989389166235924,0.5653819441795349
0,400,1,64,0.02100180648267269,0.0719686970114708,1.0494134426116943
0,400,2,32,0.00241388869471848,0.03225795924663544,0.4642373323440552
0,400,3,32,0.007302728481590748,0.1390971839427948,0.3194272518157959
0,400,4,16,0.012970732524991035,0.08712447434663773,0.505290150642395
0,400,5,16,0.02431507036089897,0.2200344204902649,0.5303604602813721
0,400,6,8,0.02511550486087799,0.13511595129966736,0.982810378074646
0,400,7,16,0.0169506948441267,0.14877620339393616,0.3541105091571808
0,400,8,16,0.03606756404042244,0.40252771973609924,0.26325076818466187
0,400,9,16,0.02827446535229683,0.46856334805488586,0.2807844281196594
0,400,10,32,0.0001854353613452986,0.012650211341679096,0.006168118678033352
0,400,11,32,0.0006980804027989507,0.014672419987618923,0.10455332696437836
0,400,12,32,0.012175986543297768,0.07947679609060287,0.23654863238334656
0,400,13,64,0.039931390434503555,0.16494321823120117,1.5361418724060059
0,400,14,64,0.012571008875966072,0.12802904844284058,0.5378540754318237
0,400,15,64,0.008330313488841057,0.08128008246421814,0.625758945941925
5,360,0,64,0.005157779436558485,0.03774154931306839,0.5282750129699707
5,360,1,64,0.02108704298734665,0.0794031172990799,1.0205378532409668
5,360,2,32,0.0023806218523532152,0.04144218936562538,0.4160453677177429
5,360,3,32,0.006807136349380016,0.13904878497123718,0.3039396405220032
5,360,4,16,0.013787486590445042,0.11679873615503311,0.4863009452819824
5,360,5,16,0.02137577161192894,0.23945234715938568,0.48814836144447327
5,360,6,8,0.022793162614107132,0.13445428013801575,0.8915435075759888
5,360,7,16,0.015304053202271461,0.15396040678024292,0.3065051734447479
5,360,8,16,0.035011887550354004,0.3803134262561798,0.24801687896251678
5,360,9,16,0.028885548934340477,0.4777792692184448,0.25661522150039673
5,360,10,32,0.0001663867151364684,0.02323366142809391,0.006204693578183651
5,360,11,32,0.0007146180141717196,0.0363454595208168,0.100002720952034
5,360,12,32,0.010198038071393967,0.07243065536022186,0.21223382651805878
5,360,13,64,0.04219388961791992,0.17717692255973816,1.535174012184143
5,360,14,64,0.01260901428759098,0.1018739640712738,0.5449815988540649
5,360,15,64,0.007876623421907425,0.05662547051906586,0.6160428524017334
10,320,0,64,0.005069796461611986,0.03691914677619934,0.4905543625354767
10,320,1,64,0.021305888891220093,0.09987951070070267,0.9895418882369995
10,320,2,32,0.002662594895809889,0.0758856013417244,0.3734605312347412
10,320,3,32,0.006484822370111942,0.13554427027702332,0.290328711271286
10,320,4,16,0.015081757679581642,0.1384705752134323,0.46069905161857605
10,320,5,16,0.01915922202169895,0.25735580921173096,0.4478049874305725
10,320,6,8,0.021205976605415344,0.13421523571014404,0.8094949722290039
10,320,7,16,0.01412935834378004,0.1578661948442459,0.2671736478805542
10,320,8,16,0.0340336449444294,0.38466525077819824,0.23485583066940308
10,320,9,16,0.02845899946987629,0.48328733444213867,0.2410845309495926
10,320,10,32,0.00020371851860545576,0.04582402855157852,0.006505665834993124
