step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.010123377665877342,0.06379206478595734,0.5129720568656921
0,400,1,64,0.03918316587805748,0.1293318271636963,1.1261018514633179
0,400,2,32,0.004578042775392532,0.07295776903629303,0.26163965463638306
0,400,3,32,0.010881416499614716,0.09300223737955093,0.33158037066459656
0,400,4,16,0.009678930044174194,0.07293666154146194,0.39350730180740356
0,400,5,16,0.006019382271915674,0.03144973888993263,0.3416571021080017
0,400,6,8,0.029424607753753662,0.14792479574680328,0.8738599419593811
0,400,7,16,0.005018536001443863,0.02520243264734745,0.2601701021194458
0,400,8,16,0.0014855614863336086,0.01605725660920143,0.10187992453575134
0,400,9,16,0.0013641247060149908,0.003572761779651046,0.0923461765050888
0,400,10,32,0.00013749439676757902,0.004334453493356705,0.0049759093672037125
0,400,11,32,0.0009599326876923442,0.013640796765685081,0.0712994933128357
0,400,12,32,0.0020128758624196053,0.04149317741394043,0.07175112515687943
0,400,13,64,0.04764460772275925,0.2597872316837311,1.4419852495193481
0,400,14,64,0.013661924749612808,0.15840120613574982,0.5346712470054626
0,400,15,64,0.012156174518167973,0.09754295647144318,0.5799809694290161
5,360,0,64,0.009606645442545414,0.06397242099046707,0.49465104937553406
5,360,1,64,0.03969817981123924,0.13348320126533508,1.099730134010315
5,360,2,32,0.004715692717581987,0.07499022781848907,0.24547334015369415
5,360,3,32,0.010265344753861427,0.10434959828853607,0.3112868666648865
5,360,4,16,0.009211203083395958,0.07194899767637253,0.37356966733932495
5,360,5,16,0.005584660917520523,0.026258684694767,0.3326526880264282
5,360,6,8,0.026449304074048996,0.1427399069070816,0.8244200944900513
5,360,7,16,0.004705838859081268,0.021341925486922264,0.26069360971450806
5,360,8,16,0.0014977306127548218,0.016361314803361893,0.10577429085969925
5,360,9,16,0.0014267686055973172,0.003655235283076763,0.09188207983970642
5,360,10,32,0.00012765215069521219,0.003366671269759536,0.004731431137770414
5,360,11,32,0.0008971057832241058,0.01637239381670952,0.06755758821964264
5,360,12,32,0.0018783947452902794,0.031131163239479065,0.0678253173828125
5,360,13,64,0.05012230947613716,0.27137839794158936,1.4382648468017578
5,360,14,64,0.013213275000452995,0.18374517560005188,0.5274051427841187
5,360,15,64,0.011775992810726166,0.08618484437465668,0.581290066242218
10,320,0,64,0.009103700518608093,0.06726058572530746,0.4754694700241089
10,320,1,64,0.040238842368125916,0.1387667953968048,1.0716044902801514
10,320,2,32,0.0045522465370595455,0.06574300676584244,0.22760595381259918
10,320,3,32,0.009423932060599327,0.10861409455537796,0.28890395164489746
10,320,4,16,0.008946013636887074,0.07357055693864822,0.357574999332428
10,320,5,16,0.005306897684931755,0.0172325000166893,0.32734787464141846
10,320,6,8,0.024305112659931183,0.13951125741004944,0.784183144569397
10,320,7,16,0.004293886944651604,0.02159387804567814,0.2524973750114441
10,320,8,16,0.0015322781400755048,0.014529958367347717,0.11135890334844589
10,320,9,16,0.001521318918094039,0.003910497296601534,0.09468568116426468
10,320,10,32,0.00012049548968207091,0.0027158278971910477,0.004614179953932762
10,320,11,32,0.0008627353236079216,0.01862313039600849,0.060772769153118134
10,320,12,32,0.0016882152995094657,0.02851911634206772,0.06507644057273865
10,320,13,64,0.052708812057971954,0.2610236406326294,1.434037208557129
10,320,14,64,0.012112727388739586,0.16214430332183838,0.5198437571525574
10,320,15,64,0.01124325767159462,0.07929597049951553,0.5811220407485962
15,280,0,64,0.008591892197728157,0.07006720453500748,0.4561865031719208
15,280,1,64,0.040142230689525604,0.1380934715270996,1.0328378677368164
15,280,2,32,0.004540616646409035,0.06414316594600677,0.21086588501930237
15,280,3,32,0.008570574223995209,0.10876905173063278,0.26597899198532104
15,280,4,16,0.008471046574413776,0.07154492288827896,0.33558088541030884
15,280,5,16,0.005166888236999512,0.014707139693200588,0.31775856018066406
15,280,6,8,0.022740399464964867,0.13555467128753662,0.7602837681770325
15,280,7,16,0.003962055779993534,0.020873509347438812,0.233692467212677
15,280,8,16,0.001451520947739482,0.012458250857889652,0.10306572169065475
15,280,9,16,0.001478197518736124,0.003961124457418919,0.08837363123893738
15,280,10,32,0.00011024237028323114,0.002424167701974511,0.004351355601102114
15,280,11,32,0.0008320935303345323,0.02107132598757744,0.05837182700634003
15,280,12,32,0.0015350154135376215,0.019316967576742172,0.060094647109508514
15,280,13,64,0.05543443560600281,0.2628043293952942,1.4294804334640503
15,280,14,64,0.011135117150843143,0.1546897441148758,0.5146359801292419
15,280,15,64,0.010637007653713226,0.07108743488788605,0.580175518989563
20,240,0,64,0.008071031421422958,0.07155609875917435,0.43577462434768677
20,240,1,64,0.03936316445469856,0.13326551020145416,0.985191822052002
20,240,2,32,0.004493481479585171,0.069320909678936,0.1938008964061737
20,240,3,32,0.007848154753446579,0.11160805821418762,0.24569931626319885
20,240,4,16,0.00792461633682251,0.0674673318862915,0.31412798166275024
20,240,5,16,0.004988247528672218,0.013831858523190022,0.302359014749527
20,240,6,8,0.021772902458906174,0.13399992883205414,0.7508043646812439
20,240,7,16,0.003686744486913085,0.019678881391882896,0.21332991123199463
20,240,8,16,0.0013461816124618053,0.010835446417331696,0.0902022272348404
20,240,9,16,0.0014042109251022339,0.003566647181287408,0.0815325379371643
20,240,10,32,0.00010266561002936214,0.0027001556009054184,0.004073549062013626
20,240,11,32,0.0008075415389612317,0.022051336243748665,0.05665663629770279
20,240,12,32,0.0014115094672888517,0.013092956505715847,0.05533885210752487
20,240,13,64,0.058931007981300354,0.2638438940048218,1.4240062236785889
20,240,14,64,0.010258030146360397,0.11622334271669388,0.5108335614204407
20,240,15,64,0.010270888917148113,0.07707152515649796,0.580265998840332
25,200,0,64,0.007564016152173281,0.07235255837440491,0.4145743250846863
25,200,1,64,0.03782709315419197,0.12783610820770264,0.926560640335083
25,200,2,32,0.004396616015583277,0.07478129863739014,0.17884570360183716
25,200,3,32,0.007269971072673798,0.09919247031211853,0.22857937216758728
25,200,4,16,0.007332051172852516,0.06203649938106537,0.29255056381225586
25,200,5,16,0.004749751184135675,0.013539187610149384,0.2840214967727661
