step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.008793418295681477,0.1131209209561348,0.5037813782691956
0,400,1,64,0.03670685365796089,0.1503572016954422,1.0773323774337769
0,400,2,32,0.003974847961217165,0.058967605233192444,0.2804473638534546
0,400,3,32,0.011274836957454681,0.1140504777431488,0.35480013489723206
0,400,4,16,0.007573381531983614,0.0676519125699997,0.38851791620254517
0,400,5,16,0.005119889043271542,0.02144455350935459,0.32533714175224304
0,400,6,8,0.0366254523396492,0.18359409272670746,0.9609891176223755
0,400,7,16,0.005433967337012291,0.022730594500899315,0.2716361880302429
0,400,8,16,0.00189984031021595,0.008558263070881367,0.16106641292572021
0,400,9,16,0.001729428768157959,0.0071755675598979,0.11086682230234146
0,400,10,32,0.00023219967260956764,0.00988183356821537,0.007712570950388908
0,400,11,32,0.0009791461052373052,0.01249698270112276,0.08316706120967865
0,400,12,32,0.0025648176670074463,0.052053920924663544,0.08843928575515747
0,400,13,64,0.05406863987445831,0.22649292647838593,1.4852091073989868
0,400,14,64,0.01339875441044569,0.15461602807044983,0.5435894727706909
0,400,15,64,0.012613335624337196,0.1345972865819931,0.5712845325469971
5,360,0,64,0.008401933126151562,0.11788347363471985,0.48295682668685913
5,360,1,64,0.0365062914788723,0.15888074040412903,1.0418424606323242
5,360,2,32,0.004027070477604866,0.06446783989667892,0.25908833742141724
5,360,3,32,0.010583770461380482,0.11269830167293549,0.3353946805000305
5,360,4,16,0.007125729229301214,0.06724835187196732,0.36640387773513794
5,360,5,16,0.004793860949575901,0.020501498132944107,0.3168882727622986
5,360,6,8,0.030547117814421654,0.16724856197834015,0.9185144901275635
5,360,7,16,0.005280650220811367,0.01936708763241768,0.2822118401527405
5,360,8,16,0.00206025131046772,0.008563371375203133,0.17166510224342346
5,360,9,16,0.001690424745902419,0.008682431653141975,0.1068854033946991
5,360,10,32,0.0001813238050090149,0.009241467341780663,0.006332807242870331
5,360,11,32,0.0008723637438379228,0.014035079628229141,0.07830063998699188
5,360,12,32,0.0023477186914533377,0.03890340402722359,0.07901152968406677
5,360,13,64,0.056393641978502274,0.26388564705848694,1.4685325622558594
5,360,14,64,0.012299444526433945,0.15415289998054504,0.52006596326828
5,360,15,64,0.013084138743579388,0.1510922610759735,0.568667471408844
10,320,0,64,0.008004231378436089,0.12051355093717575,0.46278244256973267
10,320,1,64,0.03617596998810768,0.16243460774421692,1.003812313079834
10,320,2,32,0.004166684113442898,0.06913269311189651,0.24093466997146606
