step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.010083364322781563,0.055997032672166824,0.5228246450424194
0,400,1,64,0.03383282572031021,0.11667458713054657,1.1175730228424072
0,400,2,32,0.011933960020542145,0.052745308727025986,0.5075728893280029
0,400,3,32,0.01500069908797741,0.09185835719108582,0.42204993963241577
0,400,4,16,0.00755136925727129,0.05607486888766289,0.4400569796562195
0,400,5,16,0.00780111737549305,0.04021834954619408,0.38009440898895264
0,400,6,8,0.04220658540725708,0.164321169257164,0.9524989128112793
0,400,7,16,0.006958683021366596,0.036698296666145325,0.27543336153030396
0,400,8,16,0.0022152848541736603,0.025821028277277946,0.1507628858089447
0,400,9,16,0.0014546362217515707,0.0036261631175875664,0.09336808323860168
0,400,10,32,0.00018105245544575155,0.0051842620596289635,0.005173594690859318
0,400,11,32,0.0007074037566781044,0.00922042690217495,0.07036340981721878
0,400,12,32,0.003585705067962408,0.028661629185080528,0.10576751828193665
0,400,13,64,0.05023378133773804,0.218491330742836,1.5155575275421143
0,400,14,64,0.02045019157230854,0.19463253021240234,0.638633131980896
0,400,15,64,0.014206239953637123,0.11952000856399536,0.6061109900474548
5,360,0,64,0.009384222328662872,0.06367551535367966,0.4902186989784241
5,360,1,64,0.03354828804731369,0.11687096953392029,1.075863003730774
5,360,2,32,0.011357169598340988,0.05327640846371651,0.4893634617328644
5,360,3,32,0.014213701710104942,0.09254140406847,0.40500587224960327
5,360,4,16,0.006997079588472843,0.053600113838911057,0.4227524995803833
5,360,5,16,0.00731792114675045,0.04261608049273491,0.3699588179588318
5,360,6,8,0.039179377257823944,0.1640596091747284,0.9015740156173706
5,360,7,16,0.006662857253104448,0.031953345984220505,0.25748324394226074
5,360,8,16,0.0029064349364489317,0.028528841212391853,0.16502487659454346
5,360,9,16,0.0014372214209288359,0.003774309065192938,0.10560855269432068
5,360,10,32,0.00019451833213679492,0.0037779565900564194,0.006227214355021715
5,360,11,32,0.000534864841029048,0.009949391707777977,0.06332488358020782
5,360,12,32,0.0038452092558145523,0.03037838637828827,0.1126791313290596
5,360,13,64,0.05728694796562195,0.22909614443778992,1.5004463195800781
5,360,14,64,0.01662018895149231,0.19954898953437805,0.6012619137763977
5,360,15,64,0.012036837637424469,0.11786360293626785,0.5669683218002319
10,320,0,64,0.008627956733107567,0.0733119547367096,0.4589047431945801
10,320,1,64,0.03319298475980759,0.11135280877351761,1.0307657718658447
10,320,2,32,0.010432109236717224,0.05240894854068756,0.46641889214515686
10,320,3,32,0.013407519087195396,0.09251222759485245,0.3832683563232422
10,320,4,16,0.006364635191857815,0.05034339427947998,0.40021955966949463
10,320,5,16,0.006696448661386967,0.04464549571275711,0.3562563359737396
10,320,6,8,0.03544720262289047,0.16407626867294312,0.8340290188789368
10,320,7,16,0.005611747037619352,0.025890100747346878,0.21145379543304443
10,320,8,16,0.003052760846912861,0.02458249032497406,0.16486677527427673
10,320,9,16,0.0013041924685239792,0.0037229745648801327,0.09957519173622131
10,320,10,32,0.0002026705478783697,0.003062630770727992,0.006704265717417002
10,320,11,32,0.0004988200380466878,0.010185133665800095,0.06027669459581375
10,320,12,32,0.0037919373717159033,0.02849191054701805,0.10615597665309906
10,320,13,64,0.06375235319137573,0.22947736084461212,1.493549108505249
10,320,14,64,0.015369735658168793,0.1868106871843338,0.5811110734939575
10,320,15,64,0.010842515155673027,0.07548387348651886,0.5394920706748962
15,280,0,64,0.008113599382340908,0.07766444236040115,0.43050816655158997
15,280,1,64,0.033094074577093124,0.10684631764888763,0.9904727339744568
15,280,2,32,0.009999667294323444,0.05624506622552872,0.44541385769844055
15,280,3,32,0.012793405912816525,0.09957794845104218,0.3599526286125183
15,280,4,16,0.005722677800804377,0.044386908411979675,0.36873286962509155
15,280,5,16,0.006112551316618919,0.04426339268684387,0.3354237675666809
15,280,6,8,0.03169778734445572,0.16243907809257507,0.7789385318756104
15,280,7,16,0.004800003953278065,0.022773820906877518,0.17723195254802704
15,280,8,16,0.0030784117989242077,0.02237020432949066,0.1573711633682251
