step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.005276286508888006,0.0706208273768425,0.5368567705154419
0,400,1,64,0.021139947697520256,0.09001637250185013,1.0050725936889648
0,400,2,32,0.0027235685847699642,0.017587393522262573,0.37947434186935425
0,400,3,32,0.006609683856368065,0.11181844770908356,0.30048155784606934
0,400,4,16,0.013941889628767967,0.09814920276403427,0.5105488300323486
0,400,5,16,0.02432267554104328,0.21453545987606049,0.5495198965072632
0,400,6,8,0.022196516394615173,0.1375279426574707,0.9772747755050659
0,400,7,16,0.017213430255651474,0.15053711831569672,0.3663286566734314
0,400,8,16,0.03641166910529137,0.4660506844520569,0.26475608348846436
0,400,9,16,0.029041625559329987,0.4357587993144989,0.34498149156570435
0,400,10,32,0.0001978779910132289,0.007237076293677092,0.006943865213543177
0,400,11,32,0.0009423524024896324,0.03347461298108101,0.1133587434887886
0,400,12,32,0.004729127045720816,0.09360210597515106,0.16155627369880676
0,400,13,64,0.04362831264734268,0.17137238383293152,1.4921213388442993
0,400,14,64,0.008956816047430038,0.14585526287555695,0.4424551725387573
0,400,15,64,0.0074646128341555595,0.06763084977865219,0.6067655086517334
5,360,0,64,0.005313425790518522,0.07365301251411438,0.5147386789321899
5,360,1,64,0.021444663405418396,0.10025431215763092,0.9730709791183472
5,360,2,32,0.0028361498843878508,0.03165772929787636,0.3403345048427582
5,360,3,32,0.0062354994006454945,0.10854759812355042,0.28598058223724365
5,360,4,16,0.014600737020373344,0.09697403758764267,0.4908263087272644
5,360,5,16,0.024115178734064102,0.2157556116580963,0.5135055780410767
5,360,6,8,0.02008786052465439,0.13284261524677277,0.8969658017158508
5,360,7,16,0.01579590141773224,0.14539696276187897,0.33504652976989746
5,360,8,16,0.034396324306726456,0.4474116861820221,0.2465471774339676
5,360,9,16,0.03018663078546524,0.4332524240016937,0.3168637752532959
5,360,10,32,0.00020958163077011704,0.00984131172299385,0.007101033814251423
5,360,11,32,0.0009206440299749374,0.041327059268951416,0.10889755189418793
5,360,12,32,0.004375724121928215,0.08540983498096466,0.14978688955307007
5,360,13,64,0.046339090913534164,0.19320960342884064,1.4884480237960815
5,360,14,64,0.00868030171841383,0.13322123885154724,0.44127970933914185
5,360,15,64,0.00725030479952693,0.078411765396595,0.6005141735076904
10,320,0,64,0.005403576418757439,0.07744234055280685,0.49374207854270935
10,320,1,64,0.021903537213802338,0.10893364250659943,0.9439612627029419
10,320,2,32,0.0031635896302759647,0.06842654198408127,0.30430862307548523
10,320,3,32,0.005807807669043541,0.1048600897192955,0.26857662200927734
10,320,4,16,0.015615956857800484,0.13069495558738708,0.46438366174697876
10,320,5,16,0.022544339299201965,0.2513240873813629,0.4753853678703308
10,320,6,8,0.0187273770570755,0.12987053394317627,0.8309619426727295
10,320,7,16,0.015166371129453182,0.14464591443538666,0.3083034157752991
10,320,8,16,0.03162268549203873,0.40398144721984863,0.22792482376098633
10,320,9,16,0.029684899374842644,0.4397583305835724,0.2885891795158386
10,320,10,32,0.00020320509793236852,0.009347234852612019,0.007133833598345518
