step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.009574362076818943,0.09512875974178314,0.5019004940986633
0,400,1,64,0.040951892733573914,0.14721094071865082,1.129879355430603
0,400,2,32,0.006645827554166317,0.07098574191331863,0.27553921937942505
0,400,3,32,0.010961168445646763,0.09797276556491852,0.31995463371276855
0,400,4,16,0.008631124161183834,0.05764925107359886,0.3746667504310608
0,400,5,16,0.005998898763209581,0.023918606340885162,0.33624696731567383
0,400,6,8,0.02647184580564499,0.14703793823719025,0.9458912014961243
0,400,7,16,0.00491271261125803,0.02326057292521,0.27599814534187317
0,400,8,16,0.0019025668734684587,0.014033439569175243,0.15086378157138824
0,400,9,16,0.0012324514100328088,0.003433404490351677,0.09510039538145065
0,400,10,32,0.00020173945813439786,0.00918780267238617,0.007512655109167099
0,400,11,32,0.000929041882045567,0.015299719758331776,0.07259434461593628
0,400,12,32,0.0026512485928833485,0.057153668254613876,0.07770796865224838
0,400,13,64,0.053868722170591354,0.2478257417678833,1.4120681285858154
0,400,14,64,0.014421030879020691,0.11680211126804352,0.5377298593521118
0,400,15,64,0.012717381119728088,0.1218838021159172,0.5812518000602722
5,360,0,64,0.009021307341754436,0.10009646415710449,0.4799988567829132
5,360,1,64,0.0416877456009388,0.14778447151184082,1.1062023639678955
5,360,2,32,0.007304091937839985,0.07709386199712753,0.2664285898208618
5,360,3,32,0.010310392826795578,0.10371967405080795,0.3025822639465332
5,360,4,16,0.008111465722322464,0.056180570274591446,0.3511585593223572
5,360,5,16,0.005529474001377821,0.022554079070687294,0.31539586186408997
5,360,6,8,0.02356337383389473,0.14138595759868622,0.8901163339614868
5,360,7,16,0.0045713335275650024,0.02038593403995037,0.25393861532211304
5,360,8,16,0.001855236478149891,0.01400403119623661,0.14979130029678345
5,360,9,16,0.0011694619897753,0.00340532255358994,0.08796293288469315
5,360,10,32,0.00017301060142926872,0.009108011610805988,0.00638970173895359
5,360,11,32,0.0009061082964763045,0.013979624956846237,0.07179072499275208
5,360,12,32,0.0028862617909908295,0.0469699501991272,0.07529139518737793
5,360,13,64,0.056308992207050323,0.24908852577209473,1.4087574481964111
5,360,14,64,0.014056568965315819,0.12542355060577393,0.5345813632011414
5,360,15,64,0.012237314134836197,0.09235378354787827,0.5857299566268921
10,320,0,64,0.008501381613314152,0.10453677177429199,0.45972830057144165
10,320,1,64,0.04227253422141075,0.15217941999435425,1.078647255897522
10,320,2,32,0.007830046117305756,0.08421797305345535,0.25470802187919617
10,320,3,32,0.00979599729180336,0.10748115181922913,0.2860463261604309
10,320,4,16,0.007639458868652582,0.054453056305646896,0.32879385352134705
10,320,5,16,0.005079242866486311,0.02264651469886303,0.2943955063819885
10,320,6,8,0.021273963153362274,0.13715827465057373,0.8427047729492188
10,320,7,16,0.004227905068546534,0.017042197287082672,0.23278841376304626
10,320,8,16,0.0018331605242565274,0.01336143258959055,0.15079715847969055
10,320,9,16,0.0011422992683947086,0.003642338328063488,0.08280403167009354
10,320,10,32,0.00014908208686392754,0.006879844237118959,0.005649426486343145
10,320,11,32,0.0008830754086375237,0.018757298588752747,0.07148231565952301
10,320,12,32,0.002898323815315962,0.03413476049900055,0.07135379314422607
10,320,13,64,0.05900322645902634,0.2503040134906769,1.4087458848953247
10,320,14,64,0.013632070273160934,0.11208802461624146,0.5333865284919739
10,320,15,64,0.011802753433585167,0.08799195289611816,0.5862072110176086
15,280,0,64,0.007983511313796043,0.10904128104448318,0.4401607811450958
15,280,1,64,0.0424572117626667,0.15175184607505798,1.0448477268218994
15,280,2,32,0.00814327597618103,0.0907062515616417,0.2408253401517868
15,280,3,32,0.009269902482628822,0.10753628611564636,0.269317090511322
15,280,4,16,0.007222225423902273,0.052252255380153656,0.3080492615699768
15,280,5,16,0.004674622789025307,0.02403792180120945,0.27413317561149597
15,280,6,8,0.01965913735330105,0.13364800810813904,0.801864743232727
15,280,7,16,0.0038901562802493572,0.014812013134360313,0.21290846168994904
15,280,8,16,0.001833188347518444,0.012177318334579468,0.15009020268917084
15,280,9,16,0.0011541065759956837,0.004072025418281555,0.07985322922468185
15,280,10,32,0.00012944635818712413,0.003947379998862743,0.005039871670305729
15,280,11,32,0.0008668493246659636,0.025096485391259193,0.07210767269134521
15,280,12,32,0.002652952680364251,0.0296724084764719,0.06559780985116959
15,280,13,64,0.062092605978250504,0.2498980611562729,1.4115803241729736
15,280,14,64,0.013345570303499699,0.10767844319343567,0.5352078080177307
15,280,15,64,0.01163296028971672,0.0843973159790039,0.5882781744003296
20,240,0,64,0.007477994542568922,0.11310792714357376,0.4202004075050354
20,240,1,64,0.0420251339673996,0.15015776455402374,1.0038505792617798
20,240,2,32,0.008282787166535854,0.09660191088914871,0.22454550862312317
20,240,3,32,0.008710921742022038,0.10948793590068817,0.25311774015426636
20,240,4,16,0.006855405867099762,0.04907513037323952,0.2882014214992523
20,240,5,16,0.004344075918197632,0.02422458492219448,0.253572940826416
20,240,6,8,0.018862279132008553,0.13068801164627075,0.768930196762085
20,240,7,16,0.003584255464375019,0.012719400227069855,0.19537194073200226
