step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.004045658279210329,0.046164266765117645,0.544806718826294
0,400,1,64,0.019793182611465454,0.06806975603103638,0.9703603982925415
0,400,2,32,0.001972115132957697,0.011646165512502193,0.42336738109588623
0,400,3,32,0.006817878223955631,0.13586457073688507,0.3129333257675171
0,400,4,16,0.012547647580504417,0.09423297643661499,0.4956740736961365
0,400,5,16,0.021495629101991653,0.22177374362945557,0.49922993779182434
0,400,6,8,0.023992067202925682,0.1345909982919693,0.980120837688446
0,400,7,16,0.017529627308249474,0.15412868559360504,0.38456234335899353
0,400,8,16,0.0367465540766716,0.40518397092819214,0.28741925954818726
0,400,9,16,0.030249714851379395,0.45898303389549255,0.33890074491500854
0,400,10,32,0.0002062821586150676,0.00685253506526351,0.007217240519821644
0,400,11,32,0.000939505931455642,0.01691429875791073,0.11750758439302444
0,400,12,32,0.005409246310591698,0.08346657454967499,0.21176403760910034
0,400,13,64,0.041981663554906845,0.18231645226478577,1.5114094018936157
0,400,14,64,0.00952948722988367,0.10737782716751099,0.4505278468132019
0,400,15,64,0.007912578992545605,0.06645534932613373,0.5993250012397766
5,360,0,64,0.003957319539040327,0.041940584778785706,0.5089389085769653
5,360,1,64,0.019834956154227257,0.08761024475097656,0.937096357345581
5,360,2,32,0.002050126902759075,0.05696815624833107,0.37868112325668335
5,360,3,32,0.006277264095842838,0.13469667732715607,0.2952675521373749
5,360,4,16,0.013313304632902145,0.12258993089199066,0.47808390855789185
5,360,5,16,0.01938493363559246,0.23086273670196533,0.4658067226409912
5,360,6,8,0.022017044946551323,0.13274285197257996,0.9028100967407227
5,360,7,16,0.01618824526667595,0.1601647138595581,0.35028666257858276
5,360,8,16,0.03614848107099533,0.389893501996994,0.2734120786190033
5,360,9,16,0.030265314504504204,0.4680977165699005,0.3074173927307129
5,360,10,32,0.0002123828453477472,0.017203817144036293,0.0078116850927472115
5,360,11,32,0.0010295843239873648,0.05909087508916855,0.1153947189450264
5,360,12,32,0.005154814571142197,0.07980125397443771,0.19234855473041534
5,360,13,64,0.04401850700378418,0.20002499222755432,1.5079023838043213
5,360,14,64,0.009035879746079445,0.07577648013830185,0.44452694058418274
5,360,15,64,0.007551725022494793,0.056892432272434235,0.5914890170097351
10,320,0,64,0.0038728429935872555,0.03755774348974228,0.47401005029678345
10,320,1,64,0.01991317793726921,0.11303363740444183,0.9021694660186768
10,320,2,32,0.0021921542938798666,0.07678820937871933,0.3426661491394043
10,320,3,32,0.005867807660251856,0.13275445997714996,0.27896028757095337
10,320,4,16,0.013811036013066769,0.1302160620689392,0.45291954278945923
10,320,5,16,0.017688412219285965,0.25495558977127075,0.43541228771209717
10,320,6,8,0.020778698846697807,0.13141848146915436,0.8406524658203125
10,320,7,16,0.015013990923762321,0.16164998710155487,0.31987541913986206
10,320,8,16,0.035218920558691025,0.38890060782432556,0.2581464946269989
10,320,9,16,0.02985125035047531,0.47550711035728455,0.2812466025352478
10,320,10,32,0.00024421513080596924,0.03089326247572899,0.008117049932479858
10,320,11,32,0.0010775154223665595,0.0637253001332283,0.11683564633131027
10,320,12,32,0.005181978456676006,0.10683348029851913,0.17483751475811005
10,320,13,64,0.04694652557373047,0.20628640055656433,1.5048835277557373
10,320,14,64,0.008443155325949192,0.11164875328540802,0.44073277711868286
10,320,15,64,0.00724033173173666,0.06389463692903519,0.5818192958831787
15,280,0,64,0.003774938639253378,0.036954477429389954,0.4424561858177185
15,280,1,64,0.019844094291329384,0.10627616196870804,0.8609127998352051
15,280,2,32,0.0022558635100722313,0.07269728183746338,0.3098503351211548
15,280,3,32,0.0055111972615122795,0.13027149438858032,0.2631528973579407
15,280,4,16,0.013920518569648266,0.14207753539085388,0.42698895931243896
15,280,5,16,0.016900135204195976,0.2655063271522522,0.40949171781539917
15,280,6,8,0.019707951694726944,0.13072296977043152,0.7943982481956482
15,280,7,16,0.014192575588822365,0.1556752473115921,0.29534730315208435
15,280,8,16,0.03390130400657654,0.3867782950401306,0.24165597558021545
15,280,9,16,0.029651258140802383,0.478663831949234,0.2623453140258789
15,280,10,32,0.0002625013585202396,0.04910600930452347,0.00808670837432146
