step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.008997910656034946,0.14673733711242676,0.5033320188522339
0,400,1,64,0.036955710500478745,0.1354944109916687,1.0847225189208984
0,400,2,32,0.004741797223687172,0.052646879106760025,0.31108105182647705
0,400,3,32,0.011474422179162502,0.11941179633140564,0.35574251413345337
0,400,4,16,0.00735372444614768,0.06429477035999298,0.3733963966369629
0,400,5,16,0.004970435053110123,0.01940726675093174,0.31439852714538574
0,400,6,8,0.03575664013624191,0.18236204981803894,0.9450681209564209
0,400,7,16,0.005451065022498369,0.026223331689834595,0.2676059305667877
0,400,8,16,0.0018984375055879354,0.008987465873360634,0.16608306765556335
0,400,9,16,0.0017120556440204382,0.0063141570426523685,0.1066620871424675
0,400,10,32,0.0002839679073076695,0.011091399006545544,0.00894831120967865
0,400,11,32,0.0009662299416959286,0.01365212257951498,0.0800081342458725
0,400,12,32,0.002585780341178179,0.037185750901699066,0.08995486050844193
0,400,13,64,0.056175392121076584,0.25170812010765076,1.5054545402526855
0,400,14,64,0.014294280670583248,0.13825953006744385,0.5546587705612183
0,400,15,64,0.013441394083201885,0.13056796789169312,0.568366289138794
5,360,0,64,0.00887212436646223,0.15250861644744873,0.4826645255088806
5,360,1,64,0.037233877927064896,0.14444369077682495,1.0585622787475586
5,360,2,32,0.004530876874923706,0.06155870854854584,0.2842610478401184
5,360,3,32,0.010866675525903702,0.11925800144672394,0.33628231287002563
5,360,4,16,0.007039621006697416,0.06417713314294815,0.35211917757987976
5,360,5,16,0.0046863919124007225,0.01890254020690918,0.3044305145740509
5,360,6,8,0.030684154480695724,0.16799966990947723,0.9033965468406677
5,360,7,16,0.005167650990188122,0.021766485646367073,0.27172067761421204
5,360,8,16,0.0020279777236282825,0.009352114051580429,0.184390127658844
5,360,9,16,0.001646710094064474,0.007859311066567898,0.10299807041883469
5,360,10,32,0.00020174976089037955,0.006725702900439501,0.006511814892292023
5,360,11,32,0.0008647812064737082,0.01625973731279373,0.0751044750213623
5,360,12,32,0.002358012832701206,0.031276457011699677,0.08188211917877197
5,360,13,64,0.058009155094623566,0.24522578716278076,1.4969305992126465
5,360,14,64,0.012956323102116585,0.14073538780212402,0.5341098308563232
5,360,15,64,0.01279523130506277,0.13399256765842438,0.5607583522796631
10,320,0,64,0.008704278618097305,0.1564701795578003,0.4627983272075653
10,320,1,64,0.03730729967355728,0.15055537223815918,1.0283796787261963
10,320,2,32,0.004533732309937477,0.07268664240837097,0.26026469469070435
10,320,3,32,0.01024971716105938,0.11681634187698364,0.3170642852783203
10,320,4,16,0.006685678847134113,0.06257258355617523,0.3309122622013092
10,320,5,16,0.004421535413712263,0.01838025636970997,0.29402050375938416
10,320,6,8,0.02678283117711544,0.15158820152282715,0.8607598543167114
10,320,7,16,0.005061776377260685,0.018578939139842987,0.2651926875114441
10,320,8,16,0.002015450969338417,0.008618874475359917,0.17354771494865417
10,320,9,16,0.001572883571498096,0.008339272812008858,0.09616002440452576
10,320,10,32,0.0001593608467373997,0.006377783138304949,0.005404531490057707
10,320,11,32,0.0008306578383781016,0.017414921894669533,0.07354409247636795
10,320,12,32,0.0022247149609029293,0.02784905955195427,0.07561645656824112
10,320,13,64,0.05973365157842636,0.25108766555786133,1.475592851638794
10,320,14,64,0.011806062422692776,0.1356423795223236,0.5135438442230225
10,320,15,64,0.012058598920702934,0.14630305767059326,0.5525148510932922
15,280,0,64,0.008498789742588997,0.1590341478586197,0.4435490369796753
15,280,1,64,0.03695110231637955,0.1504506915807724,0.9903742074966431
15,280,2,32,0.004653570242226124,0.08106070011854172,0.24060389399528503
15,280,3,32,0.009628616273403168,0.11537430435419083,0.29743704199790955
15,280,4,16,0.006327779032289982,0.059758033603429794,0.30871903896331787
15,280,5,16,0.004186004400253296,0.017073478549718857,0.2820374369621277
15,280,6,8,0.02376440167427063,0.13671085238456726,0.8125640153884888
15,280,7,16,0.00493718683719635,0.018320174887776375,0.25085264444351196
15,280,8,16,0.0019072958966717124,0.008649301715195179,0.15595954656600952
15,280,9,16,0.0014863689430058002,0.008631337434053421,0.0892709344625473
15,280,10,32,0.00014162732986733317,0.005744675174355507,0.0049252696335315704
15,280,11,32,0.00084351294208318,0.01721503958106041,0.07358776032924652
15,280,12,32,0.0021038446575403214,0.0265664029866457,0.06993973255157471
15,280,13,64,0.06268225610256195,0.25752800703048706,1.4605536460876465
15,280,14,64,0.010819043964147568,0.12745213508605957,0.5018683671951294
15,280,15,64,0.01117092277854681,0.13099876046180725,0.547254741191864
20,240,0,64,0.00823676772415638,0.16050928831100464,0.42356234788894653
20,240,1,64,0.036003366112709045,0.14348962903022766,0.9433667659759521
20,240,2,32,0.004704928025603294,0.08738163113594055,0.2214246392250061
20,240,3,32,0.008974865078926086,0.11638015508651733,0.2773066461086273
20,240,4,16,0.006009028293192387,0.05666694790124893,0.2868514060974121
20,240,5,16,0.004030274692922831,0.015908997505903244,0.2696743309497833
20,240,6,8,0.021779313683509827,0.127584308385849,0.7686284780502319
20,240,7,16,0.004672125913202763,0.01840260811150074,0.23195436596870422
20,240,8,16,0.0017571280477568507,0.008916320279240608,0.14088794589042664
20,240,9,16,0.0014020947273820639,0.00885826162993908,0.0828588679432869
20,240,10,32,0.00013129877333994955,0.004536358639597893,0.0045812176540493965
20,240,11,32,0.0008604107424616814,0.021525373682379723,0.07358700037002563
20,240,12,32,0.001971178688108921,0.02283845841884613,0.06467188894748688
20,240,13,64,0.06682077050209045,0.2624230980873108,1.450626254081726
20,240,14,64,0.00987103208899498,0.13097000122070312,0.4945862889289856
20,240,15,64,0.010616190731525421,0.11926189810037613,0.5435853004455566
25,200,0,64,0.007898185402154922,0.1614047884941101,0.40286195278167725
25,200,1,64,0.03436148166656494,0.12848234176635742,0.8844283819198608
25,200,2,32,0.004689401015639305,0.09245483577251434,0.2032371610403061
25,200,3,32,0.008259395137429237,0.11767026036977768,0.2572759985923767
25,200,4,16,0.005747869145125151,0.05391329154372215,0.26689064502716064
25,200,5,16,0.003924376796931028,0.015076804906129837,0.2572896480560303
25,200,6,8,0.02042539045214653,0.12223397195339203,0.7294949293136597
25,200,7,16,0.004364116117358208,0.017982957884669304,0.21438997983932495
25,200,8,16,0.0016129128634929657,0.008387662470340729,0.12851960957050323
25,200,9,16,0.001328076934441924,0.009186817333102226,0.07755829393863678
25,200,10,32,0.0001223925792146474,0.0034856286365538836,0.004257997497916222
25,200,11,32,0.0008777654729783535,0.02732768841087818,0.07340380549430847
25,200,12,32,0.0018464098684489727,0.01917564682662487,0.06004812568426132
25,200,13,64,0.0718734860420227,0.2620018720626831,1.441645622253418
25,200,14,64,0.008906777948141098,0.13318604230880737,0.4884503185749054
25,200,15,64,0.010215336456894875,0.1024138554930687,0.5408067107200623
30,160,0,64,0.007471458520740271,0.1622377634048462,0.381855309009552
30,160,1,64,0.03212818130850792,0.12437006831169128,0.8154658079147339
30,160,2,32,0.004628008231520653,0.0946071445941925,0.18667660653591156
30,160,3,32,0.007556677330285311,0.11837783455848694,0.23759043216705322
30,160,4,16,0.0055281552486121655,0.05212445184588432,0.24846003949642181
30,160,5,16,0.0038347369991242886,0.014586178585886955,0.24394461512565613
30,160,6,8,0.019342441111803055,0.11881598830223083,0.6955146789550781
30,160,7,16,0.004038151353597641,0.016871634870767593,0.19764091074466705
30,160,8,16,0.0014830768341198564,0.007550643291324377,0.11786116659641266
30,160,9,16,0.0012575851287692785,0.009417443536221981,0.07282853126525879
30,160,10,32,0.00011337349860696122,0.0027549234218895435,0.003947947174310684
30,160,11,32,0.0008867332944646478,0.030848899856209755,0.072989821434021
30,160,12,32,0.0017505341675132513,0.020776577293872833,0.056013964116573334
30,160,13,64,0.07792507112026215,0.2567422389984131,1.4321107864379883
30,160,14,64,0.007990649901330471,0.13096579909324646,0.48332780599594116
30,160,15,64,0.009957372210919857,0.08230867981910706,0.5392066240310669
35,120,0,64,0.006884473375976086,0.1636456847190857,0.35849958658218384
35,120,1,64,0.02892259694635868,0.12051638215780258,0.7307493686676025
35,120,2,32,0.00450889253988862,0.092800073325634,0.17210239171981812
35,120,3,32,0.006849382538348436,0.11761678755283356,0.21716290712356567
35,120,4,16,0.005357271991670132,0.05104074254631996,0.23096999526023865
35,120,5,16,0.0037504336796700954,0.014527802355587482,0.22971495985984802
35,120,6,8,0.018596895039081573,0.11607368290424347,0.6686556339263916
35,120,7,16,0.0037452594842761755,0.015333429910242558,0.18322476744651794
35,120,8,16,0.001371795660816133,0.006672837771475315,0.10844485461711884
35,120,9,16,0.0011948399478569627,0.009422621689736843,0.068849578499794
35,120,10,32,0.00010375352576375008,0.0025949457194656134,0.0035872142761945724
35,120,11,32,0.0008860726375132799,0.03297369182109833,0.07222407311201096
35,120,12,32,0.0016954599414020777,0.0269622765481472,0.052568741142749786
35,120,13,64,0.08564592152833939,0.25740867853164673,1.4204785823822021
35,120,14,64,0.007159132976084948,0.1255062371492386,0.4791320860385895
35,120,15,64,0.009919721633195877,0.07847948372364044,0.5402153730392456
40,80,0,64,0.006175704766064882,0.16704347729682922,0.33259978890419006
40,80,1,64,0.023918986320495605,0.12101107835769653,0.6165982484817505
40,80,2,32,0.004241964779794216,0.08755862712860107,0.1578167974948883
40,80,3,32,0.006117748096585274,0.11364472657442093,0.19577017426490784
40,80,4,16,0.005195798352360725,0.04965770244598389,0.21293379366397858
40,80,5,16,0.0036562334280461073,0.01495733018964529,0.2135867178440094
40,80,6,8,0.018455103039741516,0.11462415009737015,0.649106502532959
40,80,7,16,0.003496384946629405,0.013478312641382217,0.1704632043838501
40,80,8,16,0.0012753442861139774,0.005818214733153582,0.09938347339630127
40,80,9,16,0.0011479172389954329,0.009273160248994827,0.06556281447410583
40,80,10,32,9.536682046018541e-05,0.0025242124684154987,0.0032278820872306824
40,80,11,32,0.0008757808827795088,0.03526284918189049,0.07090281695127487
40,80,12,32,0.0016537312185391784,0.034322965890169144,0.04930400848388672
40,80,13,64,0.09620076417922974,0.27159836888313293,1.4053776264190674
40,80,14,64,0.006448877044022083,0.11621709167957306,0.4770352840423584
40,80,15,64,0.010147148743271828,0.08736707270145416,0.5449051856994629
