step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.01237565279006958,0.073563352227211,0.6232725381851196
0,400,1,64,0.03968411684036255,0.12188410758972168,1.2802281379699707
0,400,2,32,0.01436079666018486,0.05725942924618721,0.6325887441635132
0,400,3,32,0.01788117177784443,0.1035270243883133,0.48753201961517334
0,400,4,16,0.007096560671925545,0.04124828800559044,0.4133141338825226
0,400,5,16,0.009021644480526447,0.04053603857755661,0.43461406230926514
0,400,6,8,0.04987823963165283,0.17535972595214844,0.9860227108001709
0,400,7,16,0.007540960796177387,0.0406973771750927,0.30048608779907227
0,400,8,16,0.003327487502247095,0.022808048874139786,0.24940051138401031
0,400,9,16,0.0016467084642499685,0.004759867209941149,0.11644391715526581
0,400,10,32,0.0004223565920256078,0.009171015582978725,0.009270324371755123
0,400,11,32,0.0006216277834028006,0.02276463247835636,0.08048608899116516
0,400,12,32,0.0036121755838394165,0.035007476806640625,0.10554671287536621
0,400,13,64,0.05543152242898941,0.18653267621994019,1.5235185623168945
0,400,14,64,0.021715229377150536,0.12506213784217834,0.6412450075149536
0,400,15,64,0.011977184563875198,0.11474859714508057,0.5486540794372559
5,360,0,64,0.011756466701626778,0.08051708340644836,0.5886396169662476
5,360,1,64,0.03987790644168854,0.12326385080814362,1.2544525861740112
5,360,2,32,0.012975150719285011,0.05334162339568138,0.5884400606155396
5,360,3,32,0.01720515638589859,0.09804634749889374,0.4644709527492523
5,360,4,16,0.006817677058279514,0.038044095039367676,0.3948546051979065
5,360,5,16,0.008234900422394276,0.034020308405160904,0.39992472529411316
5,360,6,8,0.041017308831214905,0.15590763092041016,0.8785490989685059
5,360,7,16,0.00669935904443264,0.03632337227463722,0.2614506483078003
5,360,8,16,0.0035403245128691196,0.022244898602366447,0.22354494035243988
5,360,9,16,0.001431122305803001,0.004408673383295536,0.09765425324440002
5,360,10,32,0.00043488419032655656,0.00502397958189249,0.00853460468351841
5,360,11,32,0.0005532836657948792,0.015842873603105545,0.07134847342967987
5,360,12,32,0.0036690460983663797,0.04049428552389145,0.09487567842006683
5,360,13,64,0.059623174369335175,0.20441684126853943,1.521685242652893
5,360,14,64,0.023270683363080025,0.11912518739700317,0.6526275277137756
5,360,15,64,0.011315341107547283,0.06295876204967499,0.5294179916381836
10,320,0,64,0.011152442544698715,0.0834389328956604,0.555566668510437
10,320,1,64,0.04087897762656212,0.12228427827358246,1.2401857376098633
10,320,2,32,0.011930285021662712,0.04782338812947273,0.5448130369186401
10,320,3,32,0.016771480441093445,0.10182859748601913,0.4387044608592987
10,320,4,16,0.0064070760272443295,0.031305957585573196,0.3691812753677368
10,320,5,16,0.007251258473843336,0.03195682168006897,0.3559598922729492
10,320,6,8,0.03337228298187256,0.1425306797027588,0.7901619076728821
10,320,7,16,0.006105423904955387,0.034840695559978485,0.2298717349767685
10,320,8,16,0.0035086730495095253,0.020553061738610268,0.19548830389976501
10,320,9,16,0.0013269709888845682,0.004385992884635925,0.08532613515853882
10,320,10,32,0.0004087708075530827,0.0037520877085626125,0.008023714646697044
10,320,11,32,0.0005255286814644933,0.011304397135972977,0.06863278895616531
10,320,12,32,0.0035392805002629757,0.043198008090257645,0.08686034381389618
10,320,13,64,0.0633838027715683,0.22093641757965088,1.5150911808013916
10,320,14,64,0.02451961115002632,0.13987039029598236,0.6584125757217407
