step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.004025742411613464,0.04322747886180878,0.5456724762916565
0,400,1,64,0.019879741594195366,0.06418538093566895,0.9778118133544922
0,400,2,32,0.001901519251987338,0.011977006681263447,0.41747158765792847
0,400,3,32,0.006762566044926643,0.14036118984222412,0.3120015263557434
0,400,4,16,0.011747199110686779,0.08756612986326218,0.49023234844207764
0,400,5,16,0.01995055377483368,0.2151244431734085,0.49281084537506104
0,400,6,8,0.024851027876138687,0.1352284848690033,1.0210857391357422
0,400,7,16,0.017293352633714676,0.15116043388843536,0.3784139156341553
0,400,8,16,0.036183059215545654,0.41084519028663635,0.2903623878955841
0,400,9,16,0.030278576537966728,0.460498183965683,0.3382145166397095
0,400,10,32,0.00023075848002918065,0.021264677867293358,0.007815973833203316
0,400,11,32,0.0010256491368636489,0.041180048137903214,0.1182715892791748
0,400,12,32,0.0053198449313640594,0.08830589056015015,0.20216476917266846
0,400,13,64,0.04076284170150757,0.17836959660053253,1.5072808265686035
0,400,14,64,0.009441398084163666,0.13743573427200317,0.4459810256958008
0,400,15,64,0.007889959961175919,0.06538145989179611,0.6002475023269653
5,360,0,64,0.0039734928868710995,0.042998604476451874,0.5096104741096497
5,360,1,64,0.019861212000250816,0.07737590372562408,0.9437592029571533
5,360,2,32,0.001959846820682287,0.03952369838953018,0.3773156404495239
5,360,3,32,0.006267228629440069,0.13353785872459412,0.29654526710510254
5,360,4,16,0.012584073469042778,0.11806779354810715,0.47381943464279175
5,360,5,16,0.01840815320611,0.21753405034542084,0.4617955684661865
5,360,6,8,0.0228390134871006,0.13330000638961792,0.93326735496521
5,360,7,16,0.015567689202725887,0.15248993039131165,0.3413082957267761
5,360,8,16,0.03455282002687454,0.3722303509712219,0.27701306343078613
5,360,9,16,0.03097538650035858,0.4712812900543213,0.30981457233428955
5,360,10,32,0.00019028467067983001,0.011987806297838688,0.007381935603916645
5,360,11,32,0.0009030934888869524,0.022895043715834618,0.10920202732086182
5,360,12,32,0.004764141980558634,0.07389896363019943,0.18468010425567627
5,360,13,64,0.04335266351699829,0.1967676281929016,1.505521535873413
5,360,14,64,0.00893138162791729,0.08888553082942963,0.4440253973007202
5,360,15,64,0.007363010197877884,0.0618748739361763,0.5889478921890259
10,320,0,64,0.003905319608747959,0.04303750768303871,0.47476819157600403
10,320,1,64,0.020012710243463516,0.11063060164451599,0.9106606841087341
10,320,2,32,0.002215614076703787,0.07301083952188492,0.3410683274269104
10,320,3,32,0.005846820771694183,0.12708725035190582,0.279326468706131
10,320,4,16,0.013589700683951378,0.13231176137924194,0.45200905203819275
10,320,5,16,0.016681965440511703,0.23024964332580566,0.42885303497314453
10,320,6,8,0.02162415161728859,0.13102665543556213,0.8600298166275024
10,320,7,16,0.014557745307683945,0.151899054646492,0.3142239451408386
10,320,8,16,0.03297319635748863,0.3803764283657074,0.2624993324279785
10,320,9,16,0.030205942690372467,0.48070740699768066,0.2810782194137573
10,320,10,32,0.00020652968669310212,0.01718924380838871,0.007933711633086205
10,320,11,32,0.0010052542202174664,0.05108315125107765,0.10608280450105667
10,320,12,32,0.004599273670464754,0.10610020160675049,0.1633625328540802
