step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.0048609888181090355,0.038838647305965424,0.5557640790939331
0,400,1,64,0.020980142056941986,0.06456935405731201,1.053593635559082
0,400,2,32,0.002300174906849861,0.020952165126800537,0.45353829860687256
0,400,3,32,0.007196457125246525,0.13805334270000458,0.31967318058013916
0,400,4,16,0.012435032986104488,0.08590049296617508,0.5135359764099121
0,400,5,16,0.025491781532764435,0.22585083544254303,0.5350590944290161
0,400,6,8,0.026937030255794525,0.13660988211631775,1.0284785032272339
0,400,7,16,0.017310665920376778,0.1511271446943283,0.37090274691581726
0,400,8,16,0.03571023792028427,0.41465097665786743,0.2600070536136627
0,400,9,16,0.028476886451244354,0.4564111530780792,0.282675176858902
0,400,10,32,0.00019468645041342825,0.016650047153234482,0.006717400625348091
0,400,11,32,0.0007777218706905842,0.030462689697742462,0.1048215925693512
0,400,12,32,0.013960892334580421,0.08749815821647644,0.23818457126617432
0,400,13,64,0.04004870727658272,0.1591978520154953,1.5372600555419922
0,400,14,64,0.012254164554178715,0.14893938601016998,0.5352591276168823
0,400,15,64,0.008340295404195786,0.06908349692821503,0.6238566040992737
5,360,0,64,0.004830983467400074,0.0383043996989727,0.5190713405609131
5,360,1,64,0.0210757777094841,0.08085349202156067,1.0233371257781982
5,360,2,32,0.002312375232577324,0.045044321566820145,0.4086019992828369
5,360,3,32,0.0067536416463553905,0.1322404444217682,0.30585527420043945
5,360,4,16,0.01380245666950941,0.12447753548622131,0.49433767795562744
5,360,5,16,0.02320028468966484,0.22281301021575928,0.4934000074863434
5,360,6,8,0.02382373996078968,0.13388153910636902,0.9110927581787109
5,360,7,16,0.015415024012327194,0.14671820402145386,0.3179491460323334
5,360,8,16,0.033770062029361725,0.3929812014102936,0.24314601719379425
5,360,9,16,0.030025742948055267,0.47446027398109436,0.2599984407424927
5,360,10,32,0.00016535609029233456,0.010790004394948483,0.006191786844283342
5,360,11,32,0.0006590933771803975,0.014928699471056461,0.0950661152601242
