step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.011047200299799442,0.055956125259399414,0.5226268768310547
0,400,1,64,0.04287265986204147,0.15919461846351624,1.107612133026123
0,400,2,32,0.003588466439396143,0.0639997124671936,0.2764075994491577
0,400,3,32,0.011119813658297062,0.10255894809961319,0.30164772272109985
0,400,4,16,0.00743772741407156,0.05559682101011276,0.38640451431274414
0,400,5,16,0.006703374441713095,0.035296935588121414,0.3710074722766876
0,400,6,8,0.03786911070346832,0.16278772056102753,0.9070987701416016
0,400,7,16,0.0056945327669382095,0.026296032592654228,0.2854430675506592
0,400,8,16,0.0016652756603434682,0.014059117995202541,0.1258373111486435
0,400,9,16,0.0009922701865434647,0.002773282118141651,0.08249104768037796
0,400,10,32,8.686530054546893e-05,0.002187890000641346,0.003196610603481531
0,400,11,32,0.0006004376336932182,0.015779532492160797,0.06696664541959763
0,400,12,32,0.0019350468646734953,0.028469551354646683,0.08892486244440079
0,400,13,64,0.055535800755023956,0.21555514633655548,1.405653476715088
0,400,14,64,0.023900914937257767,0.1741550862789154,0.5734212398529053
0,400,15,64,0.017896076664328575,0.17136135697364807,0.6378073692321777
5,360,0,64,0.011059391312301159,0.06884656101465225,0.5045812726020813
5,360,1,64,0.04458989202976227,0.16436180472373962,1.093473196029663
5,360,2,32,0.003862945828586817,0.0778869092464447,0.26158350706100464
5,360,3,32,0.010485650040209293,0.1034124493598938,0.276947021484375
5,360,4,16,0.006667913869023323,0.05253494530916214,0.3537259101867676
5,360,5,16,0.006002225913107395,0.034638598561286926,0.3405105471611023
5,360,6,8,0.03195289894938469,0.14842134714126587,0.8351401090621948
5,360,7,16,0.005443776026368141,0.025575080886483192,0.2853630483150482
5,360,8,16,0.0015469524078071117,0.010933415032923222,0.11302521824836731
5,360,9,16,0.001018407056108117,0.002994976006448269,0.0742570087313652
5,360,10,32,7.240582635859028e-05,0.0014663657639175653,0.0025876800063997507
5,360,11,32,0.000576209626160562,0.019011445343494415,0.06809534132480621
