step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.004930155351758003,0.040016841143369675,0.5622033476829529
0,400,1,64,0.021916359663009644,0.08596549183130264,1.0863008499145508
0,400,2,32,0.0024066329933702946,0.015783196315169334,0.4902898371219635
0,400,3,32,0.00817682035267353,0.136603444814682,0.33444565534591675
0,400,4,16,0.012097051367163658,0.08750993013381958,0.5126457214355469
0,400,5,16,0.024660376831889153,0.23616404831409454,0.5118539333343506
0,400,6,8,0.025501776486635208,0.135995551943779,0.972149133682251
0,400,7,16,0.017484117299318314,0.15009832382202148,0.34872058033943176
0,400,8,16,0.035982340574264526,0.4192485213279724,0.23679177463054657
0,400,9,16,0.027553491294384003,0.4572351276874542,0.19737482070922852
0,400,10,32,0.0001824201608542353,0.0065451813861727715,0.0055070784874260426
0,400,11,32,0.0006067553767934442,0.01643277145922184,0.09363791346549988
0,400,12,32,0.006128224544227123,0.08742751181125641,0.1943325698375702
0,400,13,64,0.04628446325659752,0.18402867019176483,1.563720941543579
0,400,14,64,0.019024234265089035,0.16895881295204163,0.6004499197006226
0,400,15,64,0.009590326808393002,0.07140329480171204,0.6541181206703186
5,360,0,64,0.004954630509018898,0.04005815088748932,0.5260396003723145
5,360,1,64,0.02235102839767933,0.08861425518989563,1.0667026042938232
5,360,2,32,0.002482885029166937,0.039498597383499146,0.4417940080165863
5,360,3,32,0.007891369983553886,0.13597586750984192,0.320203959941864
5,360,4,16,0.013564950786530972,0.1223219558596611,0.49173158407211304
5,360,5,16,0.02289561927318573,0.2388567328453064,0.46340706944465637
5,360,6,8,0.022834882140159607,0.13177219033241272,0.8357666730880737
5,360,7,16,0.01565086655318737,0.14672233164310455,0.2841547727584839
5,360,8,16,0.03477773815393448,0.41359126567840576,0.22291141748428345
5,360,9,16,0.029101606458425522,0.48007774353027344,0.194542795419693
5,360,10,32,0.00018367957090958953,0.007007294800132513,0.005793576594442129
5,360,11,32,0.0006437256815843284,0.024629514664411545,0.0923873633146286
5,360,12,32,0.006170944310724735,0.1438576579093933,0.17278572916984558
5,360,13,64,0.048352692276239395,0.18537217378616333,1.5560718774795532
5,360,14,64,0.018301956355571747,0.18748033046722412,0.5974872708320618
5,360,15,64,0.009158115833997726,0.06812430173158646,0.6498003602027893
10,320,0,64,0.005026926752179861,0.03838532045483589,0.4934271574020386
10,320,1,64,0.0229923278093338,0.09066091477870941,1.0447947978973389
10,320,2,32,0.002620748244225979,0.048996590077877045,0.402506947517395
10,320,3,32,0.007528485730290413,0.13025790452957153,0.3030449151992798
10,320,4,16,0.014674079604446888,0.1335354447364807,0.46010398864746094
10,320,5,16,0.0196699108928442,0.23624949157238007,0.4180976152420044
10,320,6,8,0.021769031882286072,0.13119229674339294,0.7632379531860352
10,320,7,16,0.014490067958831787,0.15160007774829865,0.24567165970802307
10,320,8,16,0.03421751409769058,0.4023345410823822,0.2117980420589447
10,320,9,16,0.02839643880724907,0.48619478940963745,0.18893367052078247
10,320,10,32,0.00020930584287270904,0.0198113601654768,0.006419174838811159
10,320,11,32,0.0008228419465012848,0.0666702389717102,0.09326429665088654
10,320,12,32,0.005974886938929558,0.1599801927804947,0.15467318892478943
10,320,13,64,0.051370374858379364,0.18442845344543457,1.5435677766799927
10,320,14,64,0.01757623627781868,0.20441024005413055,0.5913162231445312
10,320,15,64,0.008899136446416378,0.11094534397125244,0.6434527635574341
15,280,0,64,0.005122814327478409,0.05335331708192825,0.4618243873119354
15,280,1,64,0.02360588125884533,0.10375049710273743,1.013606071472168
15,280,2,32,0.002569777425378561,0.04439578950405121,0.3697059154510498
